source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,30 jours,
7 days,7 jours,
90 days,90 jours,
Acme Corp,Acme Corp,
Active,Actif,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","Les champs supplémentaires (adresse, notes, etc.) peuvent être modifiés après la création du contact.",
Add,Ajouter,
Add people,Ajouter des personnes,
Adding…,Ajout en cours…,
Add bookmark,Ajouter un signet,
All logged-in users,Tous les utilisateurs connectés,
All logged-in users can view this document,Tous les utilisateurs connectés peuvent consulter ce document,
Add notes...,Ajouter des notes…,
All,Tous,
A–Z,A–Z,
Blank = org default,Vide = par défaut de l'organisation,
Bookmark limit reached (12),Limite de signets atteinte (12),
"Bookmark limit reached (12). Remove a bookmark to add another.","Limite de signets atteinte (12). Supprimez un signet pour en ajouter un autre.",
Bookmark this record,Ajouter ce document aux signets,
App context,Contexte de l'application,
App switcher,Sélecteur d'applications,
Browse all apps →,Parcourir toutes les applications →,
Install apps →,Installer des applications →,
Cancel,Annuler,
Clear recent items history,Effacer l'historique des éléments récents,
Company,Entreprise,
Compose email,Rédiger un e-mail,
contact,contact,
contacts,contacts,
Could not create contact,Impossible de créer le contact,
Could not load contact,Impossible de charger le contact,
Could not add user. Please try again.,Impossible d'ajouter l'utilisateur. Veuillez réessayer.,
Could not load contacts,Impossible de charger les contacts,
Could not load shares,Impossible de charger les partages,
Create,Créer,
Create & Open,Créer et ouvrir,
Create a contact or adjust your filters,Créez un contact ou ajustez vos filtres,
Creating…,Création en cours…,
History cleared,Historique effacé,
This will remove all recent items. Continue?,Cela supprimera tous les éléments récents. Continuer ?,
Close,Fermer,
Content is temporarily unavailable.,Le contenu est temporairement indisponible.,
Copied!,Copié !,
Copy link,Copier le lien,
Copy portal URL,Copier l'URL du portail,
Dark,Sombre,
Date format,Format de date,
Default app on login,Application par défaut à la connexion,
Discover ecosystem apps,Découvrir les applications de l'écosystème,
Delete,Supprimer,
Displayed in the top bar,Affiché dans la barre supérieure,
Dock Settings,Paramètres Dock,
