source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,30 dae,
7 days,7 dae,
90 days,90 dae,
Acme Corp,Acme Corp,
Active,Aktief,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","Bykomende velde (adres, notas, ens.) kan gewysig word nadat die kontak geskep is.",
Add,Voeg by,
Add people,Voeg mense by,
Adding…,Besig om by te voeg…,
Add bookmark,Voeg boekmerk by,
All logged-in users,Alle aangemelde gebruikers,
All logged-in users can view this document,Alle aangemelde gebruikers kan hierdie dokument sien,
Add notes...,Voeg notas by...,
All,Alles,
A–Z,A–Z,
Blank = org default,Leeg = organisasie-verstek,
Bookmark limit reached (12),Boekmerklimiet bereik (12),
Bookmark limit reached (12). Remove a bookmark to add another.,Boekmerklimiet bereik (12). Verwyder 'n boekmerk om nog een by te voeg.,
Bookmark this record,Merk hierdie rekord,
App context,App-konteks,
App switcher,App-wisselaar,
Browse all apps →,Blaai deur alle apps →,
Install apps →,Installeer apps →,
Cancel,Kanselleer,
Clear recent items history,Maak onlangse items-geskiedenis skoon,
Company,Maatskappy,
Compose email,Skryf e-pos,
contact,kontak,
contacts,kontakte,
Could not create contact,Kon nie kontak skep nie,
Could not load contact,Kon nie kontak laai nie,
Could not add user. Please try again.,Kon nie gebruiker byvoeg nie. Probeer asseblief weer.,
Could not load contacts,Kon nie kontakte laai nie,
Could not load shares,Kon nie delings laai nie,
Create,Skep,
Create & Open,Skep en Maak Oop,
Create a contact or adjust your filters,Skep 'n kontak of pas jou filters aan,
Creating…,Besig om te skep…,
History cleared,Geskiedenis skoongemaak,
This will remove all recent items. Continue?,Dit sal alle onlangse items verwyder. Gaan voort?,
Close,Sluit,
Content is temporarily unavailable.,Inhoud is tydelik onbeskikbaar.,
Copied!,Gekopieer!,
Copy link,Kopieer skakel,
Copy portal URL,Kopieer portaal-URL,
Dark,Donker,
Date format,Datumformaat,
Default app on login,Verstek-app by aanmelding,
Discover ecosystem apps,Ontdek ekosisteem-apps,
Delete,Skrap,
Displayed in the top bar,Vertoon in die boonste balk,
Dock Settings,Dock-instellings,
Done,Klaar,
Done editing,Klaar met redigeer,
Drag to reorder {0},Sleep om {0} te herrangskik,
Edit bookmarks,Wysig boekmerke,
