source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,දින 30,
7 days,දින 7,
90 days,දින 90,
Acme Corp,Acme Corp,
Active,ක්‍රියාකාරී,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","අමතර ක්ෂේත්‍ර (ලිපිනය, සටහන්, ආදිය) සම්බන්ධතාවය නිර්මාණය කළ පසු සංස්කරණය කළ හැකිය.",
Add,එකතු කරන්න,
Add people,පුද්ගලයන් එකතු කරන්න,
Adding…,එකතු කරමින්…,
Add bookmark,පිටු සළකුණ එකතු කරන්න,
All logged-in users,පුරනය වූ සියලුම පරිශීලකයින්,
All logged-in users can view this document,පුරනය වූ සියලුම පරිශීලකයින්ට මෙම ලේඛනය බැලිය හැක,
Add notes...,සටහන් එකතු කරන්න...,
All,සියල්ල,
A–Z,A–Z,
Blank = org default,හිස් = සංවිධාන පෙරනිමිය,
Bookmark limit reached (12),පිටු සළකුණු සීමාවට ළඟා විය (12),
Bookmark limit reached (12). Remove a bookmark to add another.,පිටු සළකුණු සීමාවට ළඟා විය (12). තවත් එකක් එකතු කිරීමට පිටු සළකුණක් ඉවත් කරන්න.,
Bookmark this record,මෙම වාර්තාව පිටු සළකුණු කරන්න,
App context,යෙදුම් සන්දර්භය,
App switcher,යෙදුම් මාරුකරු,
Browse all apps →,සියලුම යෙදුම් බලන්න →,
Install apps →,යෙදුම් ස්ථාපනය කරන්න →,
Cancel,අවලංගු කරන්න,
Clear recent items history,මෑත අයිතම ඉතිහාසය මකන්න,
Company,සමාගම,
Compose email,ඊමේල් සම්පාදනය කරන්න,
contact,සම්බන්ධතාවය,
contacts,සම්බන්ධතා,
Could not create contact,සම්බන්ධතාවය නිර්මාණය කළ නොහැකි විය,
Could not load contact,සම්බන්ධතාවය පූරණය කළ නොහැකි විය,
Could not add user. Please try again.,පරිශීලකයා එකතු කළ නොහැකි විය. කරුණාකර නැවත උත්සාහ කරන්න.,
Could not load contacts,සම්බන්ධතා පූරණය කළ නොහැකි විය,
Could not load shares,බෙදාගැනීම් පූරණය කළ නොහැකි විය,
Create,නිර්මාණය කරන්න,
Create & Open,නිර්මාණය කර විවෘත කරන්න,
Create a contact or adjust your filters,සම්බන්ධතාවයක් නිර්මාණය කරන්න හෝ ඔබේ පෙරහන් සකසන්න,
Creating…,නිර්මාණය කරමින්…,
History cleared,ඉතිහාසය මකා දමන ලදි,
This will remove all recent items. Continue?,මෙය සියලුම මෑත අයිතම ඉවත් කරයි. ඉදිරියට යන්නද?,
Close,වසන්න,
Content is temporarily unavailable.,අන්තර්ගතය තාවකාලිකව නොලැබේ.,
Copied!,පිටපත් කරන ලදි!,
Copy link,සබැඳිය පිටපත් කරන්න,
Copy portal URL,පෝර්ටල් URL පිටපත් කරන්න,
Dark,අඳුරු,
Date format,දිනය ආකෘතිය,
Default app on login,පුරනයේදී පෙරනිමි යෙදුම,
Discover ecosystem apps,පරිසර පද්ධති යෙදුම් සොයන්න,
Delete,මකන්න,
Displayed in the top bar,ඉහළ තීරුවේ පෙන්වනු ලැබේ,
Dock Settings,Dock සැකසුම්,
Done,සම්පූර්ණයි,
Done editing,සංස්කරණය සම්පූර්ණයි,
Drag to reorder {0},{0} නැවත පිළිවෙලට සැකසීමට ඇද දමන්න,
Edit bookmarks,පිටු සළකුණු සංස්කරණය කරන්න,
e.g. Europe/Berlin,උදා. Europe/Berlin,
Email,ඊමේල්,
Enable bookmarks,පිටු සළකුණු සක්‍රිය කරන්න,
Everyone,සියල්ලන්,
Enable global timer,ගෝලීය ටයිමරය සක්‍රිය කරන්න,
Enable recent items,මෑත අයිතම සක්‍රිය කරන්න,
Expired,කල් ඉකුත් වී ඇත,
Expires,කල් ඉකුත් වේ,
Expires: {0},කල් ඉකුත් වේ: {0},
Failed to generate link. Please try again.,සබැඳිය ජනනය කිරීමට අපොහොසත් විය. කරුණාකර නැවත උත්සාහ කරන්න.,
Failed to load sessions.,සැසි පූරණය කිරීමට අපොහොසත් විය.,
Features,විශේෂාංග,
Full name,සම්පූර්ණ නම,
Frappe Desk,Frappe Desk,
Generate link,සබැඳිය ජනනය කරන්න,
Generating…,ජනනය කරමින්…,
Guest Portal,ආගන්තුක පෝර්ටලය,
in {0},{0} තුළ,
"Install Orga, Micro, or other apps to see cross-app context for your contacts.","ඔබේ සම්බන්ධතා සඳහා අන්තර-යෙදුම් සන්දර්භය බැලීමට Orga, Micro හෝ වෙනත් යෙදුම් ස්ථාපනය කරන්න.",
jane@example.com,jane@example.com,
Jane Smith,Jane Smith,
Job title,රැකියා තනතුර,
Keep running,ක්‍රියාත්මක කරගෙන යන්න,
Label,ලේබලය,
Last accessed,අවසන් වරට ප්‍රවේශ වූ,
Light,ආලෝක,
Limit,සීමාව,
Link expires in:,සබැඳිය කල් ඉකුත් වේ:,
Loading…,පූරණය වෙමින්…,
Load more,තව පූරණය කරන්න,
Log out,නික්මෙන්න,
Make private,පෞද්ගලික කරන්න,
Mark all read,සියල්ල කියවූ ලෙස සලකුණු කරන්න,
Mark read,කියවූ ලෙස සලකුණු කරන්න,
Monday,සඳුදා,
More fields,තව ක්ෂේත්‍ර,
My contacts,මගේ සම්බන්ධතා,
My Account,මගේ ගිණුම,
My Profile,මගේ පැතිකඩ,
Never,කිසිවිටෙක නැත,
New contact,නව සම්බන්ධතාවය,
No contacts found,සම්බන්ධතා හමු නොවීය,
No expiry,කල් ඉකුත් වීමක් නැත,
None,කිසිවක් නැත,
No guest sessions yet.,තවම ආගන්තුක සැසි නොමැත.,
No recent items,මෑත අයිතම නොමැත,
No recent items yet,තවම මෑත අයිතම නොමැත,
No results for "{0}","{0}" සඳහා ප්‍රතිඵල නොමැත,
No results for "{0}" in {1},{1} තුළ "{0}" සඳහා ප්‍රතිඵල නොමැත,
Notifications,දැනුම්දීම්,
Notification unavailable,දැනුම්දීම නොලැබේ,
Organization Defaults,සංවිධාන පෙරනිමි,
Organization settings updated — reload to apply,සංවිධාන සැකසුම් යාවත්කාලීන විය — යෙදීමට නැවත පූරණය කරන්න,
Org default,සංවිධාන පෙරනිමිය,
"Password, 2FA, profile picture","මුරපදය, 2FA, පැතිකඩ පින්තූරය",
Pause,විරාමය,
paused,විරාම කර ඇත,
People,පුද්ගලයන්,
People with access,ප්‍රවේශය ඇති පුද්ගලයන්,
Permissions,අවසරයන්,
Pinned,අමුණා ඇත,
Powered by Tonic,Tonic මඟින් බලගැන්වේ,
Phone,දුරකථනය,
Private,පෞද්ගලික,
Product Manager,Product Manager,
Preferences,මනාපයන්,
Read,කියවන්න,
Recent,මෑත,
Reload,නැවත පූරණය කරන්න,
Remove bookmark,පිටු සළකුණ ඉවත් කරන්න,
Remove from shared,බෙදාගැනීමෙන් ඉවත් කරන්න,
Remove from recent,මෑත වාර්තා වලින් ඉවත් කරන්න,
Resume,නැවත ආරම්භ කරන්න,
Retry,නැවත උත්සාහ කරන්න,
Revoke,අවලංගු කරන්න,
Revoked,අවලංගු කරන ලදි,
Revoke session,සැසිය අවලංගු කරන්න,
Revoking…,අවලංගු කරමින්…,
Saved,සුරැකින ලදි,
Save failed,සුරැකීම අසාර්ථක විය,
Save organization settings,සංවිධාන සැකසුම් සුරකින්න,
Saving…,සුරකිමින්…,
Search...,සොයන්න...,
"Search by name, email, or phone…","නම, ඊමේල් හෝ දුරකථනයෙන් සොයන්න…",
Search users...,පරිශීලකයින් සොයන්න...,
Share {0} {1},{0} {1} බෙදාගන්න,
Submit,ඉදිරිපත් කරන්න,
Search in All apps,සියලුම යෙදුම්වල සොයන්න,
Search unavailable,සෙවීම නොලැබේ,
selected,තෝරාගත්,
Share "{0}","{0}" බෙදාගන්න,
Share with team,කණ්ඩායම සමඟ බෙදාගන්න,
Shared,බෙදාගෙන ඇත,
Shared with team,කණ්ඩායම සමඟ බෙදාගෙන ඇත,
Share with client,සේවාදායකයා සමඟ බෙදාගන්න,
Showing {0} of {1} sessions,සැසි {1} න් {0} පෙන්වමින්,
Site label,අඩවි ලේබලය,
Sort: A–Z — click for last modified,වර්ග කිරීම: A–Z — අවසන් වරට වෙනස් කළ සඳහා ක්ලික් කරන්න,
Sort: last modified — click for A–Z,වර්ග කිරීම: අවසන් වරට වෙනස් කළ — A–Z සඳහා ක්ලික් කරන්න,
Start,ආරම්භ කරන්න,
Start Timer,ටයිමරය ආරම්භ කරන්න,
Status,තත්ත්වය,
Stop,නවතින්න,
Stop & Save,නවතින්න සහ සුරකින්න,
Sunday,ඉරිදා,
System,පද්ධතිය,
Theme,තේමාව,
Theme preference,තේමා මනාපය,
This email is already on,මෙම ඊමේල් දැනටමත් ඇත,
This link has been deactivated.,මෙම සබැඳිය අක්‍රිය කර ඇත.,
This link has expired. Please ask the sender for a new link.,මෙම සබැඳිය කල් ඉකුත් වී ඇත. කරුණාකර යවන්නාගෙන් නව සබැඳියක් ඉල්ලන්න.,
This link is invalid or has been removed.,මෙම සබැඳිය වලංගු නැත හෝ ඉවත් කර ඇත.,
Time,කාලය,
Time entry saved,කාල ඇතුළත් කිරීම සුරැකින ලදි,
Timer unavailable,ටයිමරය නොලැබේ,
Timezone,කාල කලාපය,
total,එකතුව,
Try again,නැවත උත්සාහ කරන්න,
Unread,නොකියවූ,
Open calendar,දිනදර්ශනය විවෘත කරන්න,
Open in Desk,Desk තුළ විවෘත කරන්න,
Open in {0},{0} තුළ විවෘත කරන්න,
User menu,පරිශීලක මෙනුව,
View existing →,පවතින ඒවා බලන්න →,
Visibility,දෘශ්‍යතාව,
View,බලන්න,
View all notifications,සියලුම දැනුම්දීම් බලන්න,
View time entry,කාල ඇතුළත් කිරීම බලන්න,
Week starts on,සතිය ආරම්භ වන්නේ,
Write,ලියන්න,
What are you working on?,ඔබ කුමක් මත වැඩ කරනවාද?,
You're all caught up,ඔබ සියල්ල දැක ඇත,
Your Preferences,ඔබේ මනාපයන්,
Your timer has been running for {0},ඔබේ ටයිමරය {0} සිට ක්‍රියාත්මක වෙමින් පවතී,
Actions,ක්‍රියාමාර්ග,
Add details about this event...,මෙම සිද්ධිය ගැන විස්තර එකතු කරන්න...,
Add event,සිද්ධිය එකතු කරන්න,
Agenda,න්‍යාය පත්‍රය,
All day,මුළු දිනම,
