source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,30 дни,
7 days,7 дни,
90 days,90 дни,
Acme Corp,Acme Corp,
Active,Активен,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","Допълнителни полета (адрес, бележки и др.) могат да бъдат редактирани след създаване на контакта.",
Add,Добави,
Add people,Добави хора,
Adding…,Добавяне…,
Add bookmark,Добави отметка,
All logged-in users,Всички влезли потребители,
All logged-in users can view this document,Всички влезли потребители могат да виждат този документ,
Add notes...,Добави бележки...,
All,Всички,
A–Z,А–Я,
Blank = org default,Празно = по подразбиране за организацията,
Bookmark limit reached (12),Достигнат лимит на отметките (12),
"Bookmark limit reached (12). Remove a bookmark to add another.","Достигнат лимит на отметките (12). Премахни отметка, за да добавиш нова.",
Bookmark this record,Добави запис към отметки,
App context,Контекст на приложение,
App switcher,Превключване на приложения,
Browse all apps →,Разгледай всички приложения →,
Install apps →,Инсталирай приложения →,
Cancel,Отказ,
Clear recent items history,Изчисти историята на скорошни елементи,
Company,Фирма,
Compose email,Напиши имейл,
contact,контакт,
contacts,контакти,
Could not create contact,Контактът не можа да бъде създаден,
Could not load contact,Контактът не можа да бъде зареден,
Could not add user. Please try again.,Потребителят не можа да бъде добавен. Моля опитай отново.,
Could not load contacts,Контактите не можаха да бъдат заредени,
Could not load shares,Споделянията не можаха да бъдат заредени,
Create,Създай,
Create & Open,Създай и отвори,
Create a contact or adjust your filters,Създай контакт или промени филтрите,
Creating…,Създаване…,
History cleared,Историята е изчистена,
This will remove all recent items. Continue?,Това ще премахне всички скорошни елементи. Продължаваш?,
Close,Затвори,
Content is temporarily unavailable.,Съдържанието е временно недостъпно.,
Copied!,Копирано!,
Copy link,Копирай линк,
Copy portal URL,Копирай URL на портала,
Dark,Тъмна,
Date format,Формат на дата,
Default app on login,Приложение по подразбиране при вход,
Discover ecosystem apps,Открий приложенията в екосистемата,
Delete,Изтрий,
Displayed in the top bar,Показва се в горната лента,
Dock Settings,Dock Настройки,
Done,Готово,
Done editing,Край на редактиране,
Drag to reorder {0},Плъзни за пренареждане на {0},
Edit bookmarks,Редактирай отметки,
e.g. Europe/Berlin,напр. Europe/Berlin,
Email,Имейл,
Enable bookmarks,Включи отметки,
Everyone,Всички,
Enable global timer,Включи глобален таймер,
Enable recent items,Включи скорошни елементи,
Expired,Изтекъл,
Expires,Изтича,
Expires: {0},Изтича: {0},
Failed to generate link. Please try again.,Неуспешно генериране на линк. Моля опитай отново.,
Failed to load sessions.,Неуспешно зареждане на сесиите.,
Features,Функции,
Full name,Пълно име,
Frappe Desk,Frappe Desk,
Generate link,Генерирай линк,
Generating…,Генериране…,
Guest Portal,Гост портал,
in {0},в {0},
"Install Orga, Micro, or other apps to see cross-app context for your contacts.","Инсталирай Orga, Micro или други приложения, за да виждаш контекст от различни приложения за контактите си.",
jane@example.com,jane@example.com,
Jane Smith,Jane Smith,
Job title,Длъжност,
Keep running,Продължи работа,
Label,Етикет,
Last accessed,Последен достъп,
Light,Светла,
Limit,Лимит,
Link expires in:,Линкът изтича след:,
Loading…,Зареждане…,
Load more,Зареди още,
Log out,Изход,
Make private,Направи лично,
Mark all read,Маркирай всички като прочетени,
Mark read,Маркирай като прочетено,
Monday,Понеделник,
More fields,Още полета,
My contacts,Моите контакти,
My Account,Моят акаунт,
My Profile,Моят профил,
Never,Никога,
New contact,Нов контакт,
No contacts found,Няма намерени контакти,
No expiry,Без изтичане,
None,Няма,
No guest sessions yet.,Все още няма гост сесии.,
No recent items,Няма скорошни елементи,
No recent items yet,Все още няма скорошни елементи,
No results for "{0}",Няма резултати за „{0}",
No results for "{0}" in {1},Няма резултати за „{0}" в {1},
Notifications,Известия,
Notification unavailable,Известието е недостъпно,
Organization Defaults,Настройки по подразбиране за организацията,
Organization settings updated — reload to apply,Настройките на организацията са обновени — презареди за прилагане,
Org default,По подразбиране за орг.,
"Password, 2FA, profile picture","Парола, 2FA, профилна снимка",
Pause,Пауза,
paused,на пауза,
People,Хора,
People with access,Хора с достъп,
Permissions,Права за достъп,
Pinned,Закачено,
Powered by Tonic,Powered by Tonic,
Phone,Телефон,
Private,Лично,
Product Manager,Product Manager,
Preferences,Предпочитания,
Read,Четене,
Recent,Скорошни,
Reload,Презареди,
Remove bookmark,Премахни отметка,
Remove from shared,Премахни от споделени,
Remove from recent,Премахни от скорошни,
Resume,Продължи,
Retry,Опитай отново,
Revoke,Отмени,
Revoked,Отменена,
Revoke session,Отмени сесия,
Revoking…,Отменяне…,
Saved,Запазено,
Save failed,Неуспешно запазване,
Save organization settings,Запази настройките на организацията,
Saving…,Запазване…,
Search...,Търсене...,
"Search by name, email, or phone…","Търсене по име, имейл или телефон…",
Search users...,Търси потребители...,
Share {0} {1},Сподели {0} {1},
Submit,Изпрати,
Search in All apps,Търсене във всички приложения,
Search unavailable,Търсенето е недостъпно,
selected,избрано,
Share "{0}",Сподели „{0}",
Share with team,Сподели с екипа,
Shared,Споделено,
Shared with team,Споделено с екипа,
Share with client,Сподели с клиент,
Showing {0} of {1} sessions,Показване на {0} от {1} сесии,
Site label,Етикет на сайта,
Sort: A–Z — click for last modified,Сортиране: А–Я — натисни за последно променени,
Sort: last modified — click for A–Z,Сортиране: последно променени — натисни за А–Я,
Start,Старт,
Start Timer,Стартирай таймер,
Status,Статус,
Stop,Стоп,
Stop & Save,Стоп и запази,
Sunday,Неделя,
System,Системна,
Theme,Тема,
Theme preference,Предпочитание за тема,
This email is already on,Този имейл вече е добавен,
This link has been deactivated.,Този линк е деактивиран.,
This link has expired. Please ask the sender for a new link.,Този линк е изтекъл. Моля поискай нов линк от изпращача.,
This link is invalid or has been removed.,Този линк е невалиден или е бил премахнат.,
Time,Време,
Time entry saved,Времевият запис е запазен,
Timer unavailable,Таймерът е недостъпен,
Timezone,Часова зона,
total,общо,
Try again,Опитай отново,
Unread,Непрочетени,
Open calendar,Отвори календар,
Open in Desk,Отвори в Desk,
Open in {0},Отвори в {0},
User menu,Потребителско меню,
View existing →,Виж съществуващ →,
Visibility,Видимост,
View,Преглед,
View all notifications,Виж всички известия,
View time entry,Виж времеви запис,
Week starts on,Седмицата започва в,
Write,Запис,
What are you working on?,Върху какво работиш?,
You're all caught up,Всичко е прочетено,
Your Preferences,Твоите предпочитания,
Your timer has been running for {0},Таймерът ти работи от {0},
Actions,Действия,
Add details about this event...,Добави подробности за това събитие...,
Add event,Добави събитие,
Agenda,Дневен ред,
All day,Цял ден,
Calendar,Календар,
Create Event,Създай събитие,
Create in:,Създай в:,
Day,Ден,
Deadline,Краен срок,
Delete Event,Изтрий събитие,
Delete this event? This cannot be undone.,Изтриване на това събитие? Това не може да бъде отменено.,
Deleting…,Изтриване…,
Description,Описание,
Details,Подробности,
End,Край,
Event,Събитие,
Event title,Заглавие на събитие,
Failed to create event,Неуспешно създаване на събитие,
Failed to delete event,Неуспешно изтриване на събитие,
Manage this event in,Управлявай това събитие в,
Meeting,Среща,
Milestone,Етап,
Month,Месец,
My calendars,Моите календари,
New Event,Ново събитие,
No actions available,Няма налични действия,
No events,Няма събития,
Open in,Отвори в,
Other,Друго,
Permanently remove this event,Окончателно премахване на това събитие,
Review,Преглед,
Source,Източник,
Start date/time is required,Начална дата/час е задължителна,
Title,Заглавие,
Title is required,Заглавието е задължително,
Today,Днес,
Type,Тип,
View full details in the source app,Виж пълни подробности в приложението източник,
Week,Седмица,
When,Кога,
{0} available,{0} налични,
Available,Налично,
Configure Frappe Manager to enable one-click updates.,Настрой Frappe Manager за еднокликови актуализации.,
Copy command,Копирай команда,
Ecosystem Apps,Приложения в екосистемата,
Failed,Неуспешно,
Install,Инсталирай,
Installed,Инсталирано,
Learn more,Научи повече,
No apps found,Няма намерени приложения,
not installed,не е инсталирано,
Open,Отвори,
Pro available,Pro е наличен,
Queued…,В опашка…,
Refresh,Обнови,
Remove,Премахни,
Remove {0}? This will uninstall the app and may affect data.,Премахване на {0}? Това ще деинсталира приложението и може да засегне данните.,
Restart required,Необходимо е рестартиране,
Restarting…,Рестартиране…,
"To install {0}, run:","За инсталиране на {0} изпълни:",
"To update {0}, run:","За актуализиране на {0} изпълни:",
Update {0} from v{1} to {2}? This will restart Frappe.,Актуализиране на {0} от v{1} до {2}? Това ще рестартира Frappe.,
Update to {0},Актуализирай до {0},
Updated,Актуализирано,
Updating…,Актуализиране…,
Up to date,Актуално,
to version,до версия,
For whom?,За кого?,
Working on?,Работиш по?,
Search contacts...,Търси контакти...,
Select type...,Избери тип...,
Context,Контекст,
Contact,Контакт,
Context Type,Тип контекст,
Activity,Активност,
Activity will appear here as you and your team work across ecosystem apps.,Активността ще се появи тук докато ти и екипът ви работите в приложенията от екосистемата.,
Acknowledge,Потвърди,
All apps,Всички приложения,
All Discussions,Всички дискусии,
All types,Всички типове,
Archived,Архивирано,
Cancel,Отказ,
Celebrate,Отпразнувай,
Comments,Коментари,
Create Discussion,Създай дискусия,
Creating…,Създаване…,
Ctrl+Enter to send,Ctrl+Enter за изпращане,
Decision,Решение,
Discussion not found,Дискусията не е намерена,
Discussion title,Заглавие на дискусия,
Discussions,Дискусии,
Flag,Флаг,
General,Общо,
just now,току-що,
Keep commenting,Продължи коментирането,
Linked Records,Свързани записи,
Linked to,Свързано с,
Load more,Зареди още,
Loading…,Зареждане…,
Meeting Protocol,Протокол от среща,
Mentioned,Споменат,
New Discussion,Нова дискусия,
No activity yet,Все още няма активност,
No comments yet,Все още няма коментари,
No discussions found,Няма намерени дискусии,
No discussions yet,Все още няма дискусии,
Note,Бележка,
Notes,Бележки,
Participants,Участници,
Pin,Закачи,
Pinned,Закачено,
Proposal,Предложение,
