source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,30 dní,
7 days,7 dní,
90 days,90 dní,
Acme Corp,Acme Corp,
Active,Aktivní,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","Další pole (adresa, poznámky atd.) můžeš upravit po vytvoření kontaktu.",
Add,Přidat,
Add people,Přidat lidi,
Adding…,Přidávání…,
Add bookmark,Přidat záložku,
All logged-in users,Všichni přihlášení uživatelé,
All logged-in users can view this document,Všichni přihlášení uživatelé mohou zobrazit tento dokument,
Add notes...,Přidat poznámky...,
All,Vše,
A–Z,A–Z,
Blank = org default,Prázdné = výchozí organizace,
Bookmark limit reached (12),Dosažen limit záložek (12),
Bookmark limit reached (12). Remove a bookmark to add another.,Dosažen limit záložek (12). Odeber záložku pro přidání další.,
Bookmark this record,Přidat tento záznam do záložek,
App context,Kontext aplikace,
App switcher,Přepínač aplikací,
Browse all apps →,Procházet všechny aplikace →,
Install apps →,Instalovat aplikace →,
Cancel,Zrušit,
Clear recent items history,Vymazat historii nedávných položek,
Company,Společnost,
Compose email,Napsat e-mail,
contact,kontakt,
contacts,kontakty,
Could not create contact,Kontakt se nepodařilo vytvořit,
Could not load contact,Kontakt se nepodařilo načíst,
Could not add user. Please try again.,Uživatele se nepodařilo přidat. Zkus to prosím znovu.,
Could not load contacts,Kontakty se nepodařilo načíst,
Could not load shares,Sdílení se nepodařilo načíst,
Create,Vytvořit,
Create & Open,Vytvořit a otevřít,
Create a contact or adjust your filters,Vytvoř kontakt nebo uprav filtry,
Creating…,Vytváření…,
History cleared,Historie vymazána,
This will remove all recent items. Continue?,Tímto odstraníš všechny nedávné položky. Pokračovat?,
Close,Zavřít,
Content is temporarily unavailable.,Obsah je dočasně nedostupný.,
Copied!,Zkopírováno!,
Copy link,Kopírovat odkaz,
Copy portal URL,Kopírovat URL portálu,
Dark,Tmavý,
Date format,Formát data,
Default app on login,Výchozí aplikace po přihlášení,
Discover ecosystem apps,Objevit aplikace ekosystému,
Delete,Smazat,
Displayed in the top bar,Zobrazeno v horní liště,
Dock Settings,Dock Nastavení,
Done,Hotovo,
Done editing,Úpravy dokončeny,
Drag to reorder {0},Přetáhni pro změnu pořadí {0},
Edit bookmarks,Upravit záložky,
e.g. Europe/Berlin,např. Europe/Berlin,
Email,E-mail,
Enable bookmarks,Povolit záložky,
Everyone,Všichni,
Enable global timer,Povolit globální časovač,
Enable recent items,Povolit nedávné položky,
Expired,Vypršelo,
Expires,Vyprší,
Expires: {0},Vyprší: {0},
Failed to generate link. Please try again.,Odkaz se nepodařilo vygenerovat. Zkus to prosím znovu.,
Failed to load sessions.,Relace se nepodařilo načíst.,
Features,Funkce,
Full name,Celé jméno,
Frappe Desk,Frappe Desk,
Generate link,Vygenerovat odkaz,
Generating…,Generování…,
Guest Portal,Portál pro hosty,
in {0},v {0},
"Install Orga, Micro, or other apps to see cross-app context for your contacts.","Nainstaluj Orga, Micro nebo jiné aplikace pro zobrazení kontextu kontaktů napříč aplikacemi.",
jane@example.com,jane@example.com,
Jane Smith,Jane Smith,
Job title,Pracovní pozice,
Keep running,Nechat běžet,
Label,Štítek,
Last accessed,Naposledy otevřeno,
Light,Světlý,
Limit,Limit,
Link expires in:,Odkaz vyprší za:,
Loading…,Načítání…,
Load more,Načíst další,
Log out,Odhlásit se,
Make private,Nastavit jako soukromé,
Mark all read,Označit vše jako přečtené,
Mark read,Označit jako přečtené,
Monday,Pondělí,
More fields,Další pole,
My contacts,Moje kontakty,
My Account,Můj účet,
My Profile,Můj profil,
Never,Nikdy,
New contact,Nový kontakt,
No contacts found,Žádné kontakty nenalezeny,
No expiry,Bez expirace,
None,Žádné,
No guest sessions yet.,Zatím žádné relace hostů.,
No recent items,Žádné nedávné položky,
No recent items yet,Zatím žádné nedávné položky,
No results for "{0}","Žádné výsledky pro ""{0}""",
No results for "{0}" in {1},"Žádné výsledky pro ""{0}"" v {1}",
Notifications,Oznámení,
Notification unavailable,Oznámení nedostupné,
Organization Defaults,Výchozí nastavení organizace,
Organization settings updated — reload to apply,Nastavení organizace aktualizováno — pro použití stránku znovu načti,
Org default,Výchozí organizace,
"Password, 2FA, profile picture","Heslo, 2FA, profilový obrázek",
Pause,Pozastavit,
paused,pozastaveno,
People,Lidé,
People with access,Lidé s přístupem,
Permissions,Oprávnění,
Pinned,Připnuto,
Powered by Tonic,Powered by Tonic,
Phone,Telefon,
Private,Soukromé,
Product Manager,Product Manager,
Preferences,Předvolby,
Read,Čtení,
Recent,Nedávné,
Reload,Znovu načíst,
Remove bookmark,Odebrat záložku,
Remove from shared,Odebrat ze sdílených,
Remove from recent,Odebrat z nedávných,
Resume,Pokračovat,
Retry,Zkusit znovu,
Revoke,Odvolat,
Revoked,Odvoláno,
Revoke session,Odvolat relaci,
Revoking…,Odvolávání…,
Saved,Uloženo,
Save failed,Uložení selhalo,
Save organization settings,Uložit nastavení organizace,
Saving…,Ukládání…,
Search...,Hledat...,
"Search by name, email, or phone…","Hledat podle jména, e-mailu nebo telefonu…",
Search users...,Hledat uživatele...,
Share {0} {1},Sdílet {0} {1},
Submit,Odeslat,
Search in All apps,Hledat ve všech aplikacích,
Search unavailable,Hledání nedostupné,
selected,vybráno,
Share "{0}","Sdílet ""{0}""",
Share with team,Sdílet s týmem,
Shared,Sdílené,
Shared with team,Sdíleno s týmem,
Share with client,Sdílet s klientem,
Showing {0} of {1} sessions,Zobrazeno {0} z {1} relací,
Site label,Štítek webu,
Sort: A–Z — click for last modified,Řazení: A–Z — klikni pro poslední úpravu,
Sort: last modified — click for A–Z,Řazení: poslední úprava — klikni pro A–Z,
Start,Spustit,
Start Timer,Spustit časovač,
Status,Stav,
Stop,Zastavit,
Stop & Save,Zastavit a uložit,
Sunday,Neděle,
System,Systém,
Theme,Vzhled,
Theme preference,Předvolba vzhledu,
This email is already on,Tento e-mail je již přidán,
This link has been deactivated.,Tento odkaz byl deaktivován.,
This link has expired. Please ask the sender for a new link.,Platnost tohoto odkazu vypršela. Požádej odesílatele o nový odkaz.,
This link is invalid or has been removed.,Tento odkaz je neplatný nebo byl odstraněn.,
Time,Čas,
Time entry saved,Časový záznam uložen,
Timer unavailable,Časovač nedostupný,
Timezone,Časové pásmo,
total,celkem,
Try again,Zkusit znovu,
Unread,Nepřečtené,
Open calendar,Otevřít kalendář,
Open in Desk,Otevřít v Desku,
Open in {0},Otevřít v {0},
User menu,Uživatelské menu,
View existing →,Zobrazit existující →,
Visibility,Viditelnost,
View,Zobrazit,
View all notifications,Zobrazit všechna oznámení,
View time entry,Zobrazit časový záznam,
Week starts on,Týden začíná,
Write,Zápis,
What are you working on?,Na čem pracuješ?,
You're all caught up,Vše přečteno,
Your Preferences,Tvoje předvolby,
Your timer has been running for {0},Tvůj časovač běží už {0},
Actions,Akce,
Add details about this event...,Přidat podrobnosti k této události...,
Add event,Přidat událost,
Agenda,Agenda,
All day,Celý den,
Calendar,Kalendář,
Create Event,Vytvořit událost,
Create in:,Vytvořit v:,
Day,Den,
Deadline,Termín,
Delete Event,Smazat událost,
Delete this event? This cannot be undone.,Smazat tuto událost? Tuto akci nelze vrátit zpět.,
Deleting…,Mazání…,
Description,Popis,
Details,Podrobnosti,
End,Konec,
Event,Událost,
Event title,Název události,
Failed to create event,Událost se nepodařilo vytvořit,
Failed to delete event,Událost se nepodařilo smazat,
Manage this event in,Spravovat tuto událost v,
Meeting,Schůzka,
Milestone,Milník,
Month,Měsíc,
My calendars,Moje kalendáře,
New Event,Nová událost,
No actions available,Žádné dostupné akce,
No events,Žádné události,
Open in,Otevřít v,
Other,Ostatní,
Permanently remove this event,Trvale odstranit tuto událost,
Review,Přezkum,
Source,Zdroj,
Start date/time is required,Datum/čas začátku je povinný,
Title,Název,
Title is required,Název je povinný,
Today,Dnes,
Type,Typ,
View full details in the source app,Zobrazit všechny podrobnosti ve zdrojové aplikaci,
Week,Týden,
When,Kdy,
{0} available,{0} k dispozici,
Available,K dispozici,
Configure Frappe Manager to enable one-click updates.,Nastav Frappe Manager pro povolení aktualizací jedním kliknutím.,
Copy command,Kopírovat příkaz,
Ecosystem Apps,Aplikace ekosystému,
Failed,Selhalo,
Install,Instalovat,
Installed,Nainstalováno,
Learn more,Zjistit více,
No apps found,Žádné aplikace nenalezeny,
not installed,nenainstalováno,
Open,Otevřít,
Pro available,Pro k dispozici,
Queued…,Ve frontě…,
Refresh,Obnovit,
Remove,Odebrat,
Remove {0}? This will uninstall the app and may affect data.,Odebrat {0}? Tímto se aplikace odinstaluje a může to ovlivnit data.,
Restart required,Vyžadován restart,
Restarting…,Restartování…,
"To install {0}, run:","Pro instalaci {0} spusť:",
"To update {0}, run:","Pro aktualizaci {0} spusť:",
Update {0} from v{1} to {2}? This will restart Frappe.,Aktualizovat {0} z v{1} na {2}? Tímto se restartuje Frappe.,
Update to {0},Aktualizovat na {0},
Updated,Aktualizováno,
Updating…,Aktualizace…,
Up to date,Aktuální,
to version,na verzi,
For whom?,Pro koho?,
Working on?,Na čem pracuješ?,
Search contacts...,Hledat kontakty...,
Select type...,Vyber typ...,
Context,Kontext,
Contact,Kontakt,
Context Type,Typ kontextu,
Activity,Aktivita,
Activity will appear here as you and your team work across ecosystem apps.,Aktivita se zde zobrazí jakmile ty a tvůj tým začnete pracovat v aplikacích ekosystému.,
Acknowledge,Vzít na vědomí,
All apps,Všechny aplikace,
All Discussions,Všechny diskuze,
All types,Všechny typy,
Archived,Archivováno,
Cancel,Zrušit,
Celebrate,Oslavit,
Comments,Komentáře,
Create Discussion,Vytvořit diskuzi,
Creating…,Vytváření…,
Ctrl+Enter to send,Ctrl+Enter pro odeslání,
Decision,Rozhodnutí,
Discussion not found,Diskuze nenalezena,
Discussion title,Název diskuze,
Discussions,Diskuze,
Flag,Označit,
General,Obecné,
just now,právě teď,
Keep commenting,Pokračuj v komentování,
Linked Records,Propojené záznamy,
Linked to,Propojeno s,
Load more,Načíst další,
Loading…,Načítání…,
Meeting Protocol,Protokol schůzky,
Mentioned,Zmíněno,
New Discussion,Nová diskuze,
No activity yet,Zatím žádná aktivita,
No comments yet,Zatím žádné komentáře,
No discussions found,Žádné diskuze nenalezeny,
No discussions yet,Zatím žádné diskuze,
Note,Poznámka,
Notes,Poznámky,
Participants,Účastníci,
Pin,Připnout,
Pinned,Připnuto,
Proposal,Návrh,
Protocol,Protokol,
Reopen,Znovu otevřít,
Replies,Odpovědi,
Reply,Odpovědět,
Replying to comment,Odpověď na komentář,
Resolve,Vyřešit,
Resolve Discussion,Vyřešit diskuzi,
Resolved,Vyřešeno,
Resolution,Řešení,
Resolution summary...,Shrnutí řešení...,
