source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,30 roj,
7 days,7 roj,
90 days,90 roj,
Acme Corp,Acme Corp,
Active,Çalak,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","Qadên din (navnîşan, têbînî, hwd.) piştî afirandina têkiliyê dikarin werin guherandin.",
Add,Lê zêde bike,
Add people,Kesan lê zêde bike,
Adding…,Tê zêdekirin…,
Add bookmark,Nîşank lê zêde bike,
All logged-in users,Hemû bikarhênerên têketî,
All logged-in users can view this document,Hemû bikarhênerên têketî dikarin vê belgeyê bibînin,
Add notes...,Têbînî lê zêde bike...,
All,Hemû,
A–Z,A–Z,
Blank = org default,Vala = standard rêxistinê,
Bookmark limit reached (12),Sînorê nîşankan hat gihandîn (12),
Bookmark limit reached (12). Remove a bookmark to add another.,Sînorê nîşankan hat gihandîn (12). Ji bo lê zêdekirina yekê din nîşankekê jê bibe.,
Bookmark this record,Vê tomarê nîşank bike,
App context,Çarçoveya sepanê,
App switcher,Guhêrkerê sepanê,
Browse all apps →,Hemû sepanan bibîne →,
Install apps →,Sepanan saz bike →,
Cancel,Betal bike,
Clear recent items history,Dîroka tiştên dawî paqij bike,
Company,Pargîdanî,
Compose email,E-nameyê binivîse,
contact,têkilî,
contacts,têkilî,
Could not create contact,Têkilî nehat afirandin,
Could not load contact,Têkilî nehat barkirin,
Could not add user. Please try again.,Bikarhêner nehat zêdekirin. Ji kerema xwe dîsa biceribîne.,
Could not load contacts,Têkilî nehatin barkirin,
Could not load shares,Parvekirinên nehat barkirin,
Create,Biafirîne,
Create & Open,Biafirîne û Veke,
Create a contact or adjust your filters,Têkiliyekê biafirîne an fîlterên xwe rast bike,
Creating…,Tê afirandin…,
History cleared,Dîrok hat paqijkirin,
This will remove all recent items. Continue?,Ev ê hemû tiştên dawî jê bibe. Bidomîne?,
Close,Bigire,
Content is temporarily unavailable.,Naverok bi demkî peyda nîne.,
Copied!,Hat kopîkirin!,
Copy link,Girêdanê kopî bike,
Copy portal URL,URL-ya portalê kopî bike,
Dark,Tarî,
Date format,Formata dîrokê,
Default app on login,Sepana standard dema têketinê,
Discover ecosystem apps,Sepanên ekosîstemê keşf bike,
Delete,Jê bibe,
Displayed in the top bar,Di barika jorîn de tê nîşandan,
Dock Settings,Mîhengên Dock,
Done,Qediya,
Done editing,Guherandin qediya,
Drag to reorder {0},{0} ji bo rêzkirinê bikişîne,
Edit bookmarks,Nîşankan biguherîne,
e.g. Europe/Berlin,wek mînak Europe/Berlin,
Email,E-name,
Enable bookmarks,Nîşankan çalak bike,
Everyone,Her kes,
Enable global timer,Demjimêra gerdûnî çalak bike,
Enable recent items,Tiştên dawî çalak bike,
Expired,Derbas bûye,
Expires,Derbas dibe,
Expires: {0},Derbas dibe: {0},
Failed to generate link. Please try again.,Girêdan nehat çêkirin. Ji kerema xwe dîsa biceribîne.,
Failed to load sessions.,Danişîn nehat barkirin.,
Features,Taybetmendî,
Full name,Navê tevahî,
Frappe Desk,Frappe Desk,
Generate link,Girêdanê çêbike,
Generating…,Tê çêkirin…,
Guest Portal,Portala Mêvanan,
in {0},di {0} de,
"Install Orga, Micro, or other apps to see cross-app context for your contacts.","Orga, Micro, an sepanên din saz bike da ku çarçoveya nav-sepanan ji bo têkiliyên xwe bibînî.",
jane@example.com,jane@example.com,
Jane Smith,Jane Smith,
Job title,Karê wî/wê,
Keep running,Berdewam bike,
Label,Nîşan,
Last accessed,Cara dawî hat gihîştin,
Light,Ronahî,
Limit,Sînor,
Link expires in:,Girêdan derbas dibe di:,
Loading…,Tê barkirin…,
Load more,Zêdetir bar bike,
Log out,Derkeve,
Make private,Taybet bike,
Mark all read,Hemûyan wek xwendî nîşan bike,
Mark read,Wek xwendî nîşan bike,
Monday,Duşem,
More fields,Qadên din,
My contacts,Têkiliyên min,
My Account,Hesabê Min,
My Profile,Profîla Min,
Never,Tu carî,
New contact,Têkiliya nû,
No contacts found,Têkilî nehat dîtin,
No expiry,Bê derbas,
None,Tu tişt,
No guest sessions yet.,Hêj danişînên mêvanan tune ne.,
No recent items,Tiştên dawî tune ne,
No recent items yet,Hêj tiştên dawî tune ne,
No results for "{0}",Ji bo "{0}" encam nehat dîtin,
No results for "{0}" in {1},Ji bo "{0}" di {1} de encam nehat dîtin,
Notifications,Agahdarî,
Notification unavailable,Agahdarî peyda nîne,
Organization Defaults,Standardên rêxistinê,
Organization settings updated — reload to apply,Mîhengên rêxistinê hatin nûkirin — ji bo sepandinê dîsa bar bike,
Org default,Standarda rêxistinê,
"Password, 2FA, profile picture","Şîfre, 2FA, wêneyê profîlê",
Pause,Bisekine,
paused,sekinî,
People,Kes,
People with access,Kesên bi mafê gihîştinê,
Permissions,Maf,
Pinned,Hat zeliqandin,
Powered by Tonic,Ji aliyê Tonic ve,
Phone,Têlefon,
Private,Taybet,
Product Manager,Rêvebirê hilberê,
Preferences,Vebijark,
Read,Bixwîne,
Recent,Dawî,
Reload,Dîsa bar bike,
Remove bookmark,Nîşankê jê bibe,
Remove from shared,Ji parvekirinê jê bibe,
Remove from recent,Ji yên dawî jê bibe,
Resume,Bidomîne,
Retry,Dîsa biceribîne,
Revoke,Betal bike,
Revoked,Hat betalkirin,
Revoke session,Danişînê betal bike,
Revoking…,Tê betalkirin…,
Saved,Hat tomarkirin,
Save failed,Tomarkirin bi ser neket,
Save organization settings,Mîhengên rêxistinê tomar bike,
Saving…,Tê tomarkirin…,
Search...,Lêgerîn...,
"Search by name, email, or phone…","Bi nav, e-name, an têlefonê bigere…",
Search users...,Bikarhêneran bigere...,
Share {0} {1},{0} {1} parve bike,
Submit,Bişîne,
Search in All apps,Di hemû sepanan de bigere,
Search unavailable,Lêgerîn peyda nîne,
selected,hatiye hilbijartin,
Share "{0}","{0}" parve bike,
Share with team,Bi tîmê re parve bike,
Shared,Parvekirî,
Shared with team,Bi tîmê re parvekirî,
Share with client,Bi mişterî re parve bike,
Showing {0} of {1} sessions,Ji {1} danişînan {0} tên nîşandan,
Site label,Nîşana malperê,
Sort: A–Z — click for last modified,Rêzkirin: A–Z — ji bo guhertina dawî bitikîne,
Sort: last modified — click for A–Z,Rêzkirin: guhertina dawî — ji bo A–Z bitikîne,
Start,Dest pê bike,
Start Timer,Demjimêrê dest pê bike,
Status,Rewş,
Stop,Bisekine,
Stop & Save,Bisekine û Tomar bike,
Sunday,Yekşem,
System,Pergal,
Theme,Dirb,
Theme preference,Vebijarka dirbê,
This email is already on,Ev e-name jixwe tê de ye,
This link has been deactivated.,Ev girêdan hat neçalakkirin.,
This link has expired. Please ask the sender for a new link.,Ev girêdan derbas bûye. Ji kerema xwe ji şandiyar girêdaneke nû bixwaze.,
This link is invalid or has been removed.,Ev girêdan nederbasdar e an hat jêbirin.,
Time,Dem,
Time entry saved,Tomara demê hat tomarkirin,
Timer unavailable,Demjimêr peyda nîne,
Timezone,Herêma demê,
total,tevahî,
Try again,Dîsa biceribîne,
Unread,Nexwendî,
Open calendar,Salnameyê veke,
Open in Desk,Di Desk de veke,
Open in {0},Di {0} de veke,
User menu,Menuya bikarhêner,
View existing →,Yên heyî bibîne →,
Visibility,Xuyabûn,
View,Bibîne,
View all notifications,Hemû agahdariyên bibîne,
View time entry,Tomara demê bibîne,
Week starts on,Hefte dest pê dike,
Write,Binivîse,
What are you working on?,Tu li ser çi dixebitî?,
You're all caught up,Tu bi hemûyan re ye,
Your Preferences,Vebijarkên Te,
Your timer has been running for {0},Demjimêra te ji {0} ve dixebite,
Actions,Kiryar,
Add details about this event...,Hûrguliyên vê bûyerê lê zêde bike...,
Add event,Bûyer lê zêde bike,
Agenda,Rojnivîs,
All day,Tevahiya rojê,
Calendar,Salnameya,
Create Event,Bûyerê biafirîne,
Create in:,Di vê de biafirîne:,
Day,Roj,
Deadline,Dema dawî,
Delete Event,Bûyerê jê bibe,
Delete this event? This cannot be undone.,Ev bûyer jê bibe? Ev nayê vegerandin.,
Deleting…,Tê jêbirin…,
Description,Danasîn,
Details,Hûrgulî,
End,Dawî,
Event,Bûyer,
Event title,Sernavê bûyerê,
Failed to create event,Bûyer nehat afirandin,
