source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,30 dni,
7 days,7 dni,
90 days,90 dni,
Acme Corp,Acme Corp,
Active,Aktivno,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","Dodatna polja (naslov, beležke itd.) lahko urediš po ustvarjanju stika.",
Add,Dodaj,
Add people,Dodaj osebe,
Adding…,Dodajanje…,
Add bookmark,Dodaj zaznamek,
All logged-in users,Vsi prijavljeni uporabniki,
All logged-in users can view this document,Vsi prijavljeni uporabniki lahko vidijo ta dokument,
Add notes...,Dodaj beležke...,
All,Vse,
A–Z,A–Ž,
Blank = org default,Prazno = privzeto za organizacijo,
Bookmark limit reached (12),Dosežena omejitev zaznamkov (12),
"Bookmark limit reached (12). Remove a bookmark to add another.","Dosežena omejitev zaznamkov (12). Odstrani zaznamek, da dodaš novega.",
Bookmark this record,Dodaj zaznamek za ta zapis,
App context,Kontekst aplikacije,
App switcher,Preklopnik aplikacij,
Browse all apps →,Prebrskaj vse aplikacije →,
Install apps →,Namesti aplikacije →,
Cancel,Prekliči,
Clear recent items history,Počisti zgodovino nedavnih elementov,
Company,Podjetje,
Compose email,Sestavi e-pošto,
contact,stik,
contacts,stiki,
Could not create contact,Stika ni bilo mogoče ustvariti,
Could not load contact,Stika ni bilo mogoče naložiti,
Could not add user. Please try again.,Uporabnika ni bilo mogoče dodati. Poskusi znova.,
Could not load contacts,Stikov ni bilo mogoče naložiti,
Could not load shares,Deljenih elementov ni bilo mogoče naložiti,
Create,Ustvari,
Create & Open,Ustvari in odpri,
Create a contact or adjust your filters,Ustvari stik ali prilagodi filtre,
Creating…,Ustvarjanje…,
History cleared,Zgodovina počiščena,
This will remove all recent items. Continue?,To bo odstranilo vse nedavne elemente. Nadaljujem?,
Close,Zapri,
Content is temporarily unavailable.,Vsebina je začasno nedosegljiva.,
Copied!,Kopirano!,
Copy link,Kopiraj povezavo,
Copy portal URL,Kopiraj URL portala,
Dark,Temna,
Date format,Format datuma,
Default app on login,Privzeta aplikacija ob prijavi,
Discover ecosystem apps,Odkrij aplikacije ekosistema,
Delete,Izbriši,
Displayed in the top bar,Prikazano v zgornji vrstici,
Dock Settings,Dock nastavitve,
Done,Končano,
Done editing,Urejanje končano,
Drag to reorder {0},Povleci za prerazporeditev {0},
Edit bookmarks,Uredi zaznamke,
e.g. Europe/Berlin,npr. Europe/Berlin,
Email,E-pošta,
Enable bookmarks,Omogoči zaznamke,
Everyone,Vsi,
Enable global timer,Omogoči globalni časovnik,
Enable recent items,Omogoči nedavne elemente,
Expired,Poteklo,
Expires,Poteče,
Expires: {0},Poteče: {0},
Failed to generate link. Please try again.,Povezave ni bilo mogoče ustvariti. Poskusi znova.,
Failed to load sessions.,Sej ni bilo mogoče naložiti.,
Features,Funkcije,
Full name,Polno ime,
Frappe Desk,Frappe Desk,
Generate link,Ustvari povezavo,
Generating…,Ustvarjanje…,
Guest Portal,Portal za goste,
in {0},v {0},
"Install Orga, Micro, or other apps to see cross-app context for your contacts.","Namesti Orga, Micro ali druge aplikacije za prikaz medaplikacijskega konteksta tvojih stikov.",
jane@example.com,jane@example.com,
Jane Smith,Jane Smith,
Job title,Naziv delovnega mesta,
Keep running,Nadaljuj z merjenjem,
Label,Oznaka,
Last accessed,Zadnji dostop,
Light,Svetla,
Limit,Omejitev,
Link expires in:,Povezava poteče čez:,
Loading…,Nalaganje…,
Load more,Naloži več,
Log out,Odjava,
Make private,Nastavi kot zasebno,
Mark all read,Označi vse kot prebrano,
Mark read,Označi kot prebrano,
Monday,Ponedeljek,
More fields,Več polj,
My contacts,Moji stiki,
My Account,Moj račun,
My Profile,Moj profil,
Never,Nikoli,
New contact,Nov stik,
No contacts found,Ni najdenih stikov,
No expiry,Brez poteka,
None,Brez,
No guest sessions yet.,Še ni sej za goste.,
No recent items,Ni nedavnih elementov,
No recent items yet,Še ni nedavnih elementov,
No results for "{0}",Ni rezultatov za »{0}«,
No results for "{0}" in {1},Ni rezultatov za »{0}« v {1},
Notifications,Obvestila,
Notification unavailable,Obvestilo ni na voljo,
Organization Defaults,Privzete nastavitve organizacije,
Organization settings updated — reload to apply,Nastavitve organizacije posodobljene — osveži za uveljavitev,
