source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,30 दिन,
7 days,7 दिन,
90 days,90 दिन,
Acme Corp,Acme Corp,
Active,सक्रिय,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","अतिरिक्त फ़ील्ड (पता, नोट्स, आदि) संपर्क बनाने के बाद संपादित किए जा सकते हैं।",
Add,जोड़ें,
Add people,लोग जोड़ें,
Adding…,जोड़ रहे हैं…,
Add bookmark,बुकमार्क जोड़ें,
All logged-in users,सभी लॉग-इन उपयोगकर्ता,
All logged-in users can view this document,सभी लॉग-इन उपयोगकर्ता यह दस्तावेज़ देख सकते हैं,
Add notes...,नोट्स जोड़ें...,
All,सभी,
A–Z,A–Z,
Blank = org default,खाली = संगठन डिफ़ॉल्ट,
Bookmark limit reached (12),बुकमार्क सीमा पूरी हो गई (12),
"Bookmark limit reached (12). Remove a bookmark to add another.","बुकमार्क सीमा पूरी हो गई (12)। एक और जोड़ने के लिए कोई बुकमार्क हटाओ।",
Bookmark this record,इस रिकॉर्ड को बुकमार्क करो,
App context,ऐप संदर्भ,
App switcher,ऐप स्विचर,
Browse all apps →,सभी ऐप्स देखें →,
Install apps →,ऐप्स इंस्टॉल करें →,
Cancel,रद्द करें,
Clear recent items history,हाल के आइटम का इतिहास साफ़ करें,
Company,कंपनी,
Compose email,ईमेल लिखें,
contact,संपर्क,
contacts,संपर्क,
Could not create contact,संपर्क नहीं बन सका,
Could not load contact,संपर्क लोड नहीं हो सका,
"Could not add user. Please try again.","उपयोगकर्ता जोड़ नहीं सके। कृपया फिर से कोशिश करो।",
Could not load contacts,संपर्क लोड नहीं हो सके,
Could not load shares,शेयर लोड नहीं हो सके,
Create,बनाएँ,
Create & Open,बनाएँ और खोलें,
Create a contact or adjust your filters,एक संपर्क बनाओ या फ़िल्टर बदलो,
Creating…,बना रहे हैं…,
History cleared,इतिहास साफ़ हो गया,
"This will remove all recent items. Continue?","यह सभी हाल के आइटम हटा देगा। जारी रखें?",
Close,बंद करें,
"Content is temporarily unavailable.","सामग्री अस्थायी रूप से अनुपलब्ध है।",
Copied!,कॉपी हो गया!,
Copy link,लिंक कॉपी करें,
Copy portal URL,पोर्टल URL कॉपी करें,
Dark,डार्क,
Date format,दिनांक प्रारूप,
Default app on login,लॉगिन पर डिफ़ॉल्ट ऐप,
Discover ecosystem apps,ईकोसिस्टम ऐप्स खोजें,
Delete,हटाएँ,
Displayed in the top bar,टॉप बार में दिखाया जाता है,
Dock Settings,Dock सेटिंग्स,
Done,हो गया,
Done editing,संपादन पूरा,
Drag to reorder {0},क्रम बदलने के लिए खींचो {0},
Edit bookmarks,बुकमार्क संपादित करें,
"e.g. Europe/Berlin","जैसे Europe/Berlin",
Email,ईमेल,
Enable bookmarks,बुकमार्क चालू करें,
Everyone,सभी,
Enable global timer,ग्लोबल टाइमर चालू करें,
Enable recent items,हाल के आइटम चालू करें,
Expired,समाप्त,
Expires,समाप्ति,
"Expires: {0}","समाप्ति: {0}",
"Failed to generate link. Please try again.","लिंक बनाने में विफल। कृपया फिर से कोशिश करो।",
"Failed to load sessions.","सत्र लोड करने में विफल।",
Features,सुविधाएँ,
Full name,पूरा नाम,
Frappe Desk,Frappe Desk,
Generate link,लिंक बनाएँ,
Generating…,बना रहे हैं…,
Guest Portal,गेस्ट पोर्टल,
"in {0}","{0} में",
"Install Orga, Micro, or other apps to see cross-app context for your contacts.","अपने संपर्कों के लिए क्रॉस-ऐप संदर्भ देखने के लिए Orga, Micro, या अन्य ऐप्स इंस्टॉल करो।",
jane@example.com,jane@example.com,
Jane Smith,Jane Smith,
Job title,पद,
Keep running,चलता रहने दो,
Label,लेबल,
Last accessed,अंतिम बार एक्सेस किया,
Light,लाइट,
Limit,सीमा,
"Link expires in:","लिंक की समाप्ति:",
Loading…,लोड हो रहा है…,
Load more,और लोड करें,
Log out,लॉग आउट,
Make private,प्राइवेट बनाएँ,
Mark all read,सभी पढ़ा हुआ चिह्नित करें,
Mark read,पढ़ा हुआ चिह्नित करें,
Monday,सोमवार,
More fields,और फ़ील्ड,
My contacts,मेरे संपर्क,
My Account,मेरा खाता,
My Profile,मेरी प्रोफ़ाइल,
Never,कभी नहीं,
New contact,नया संपर्क,
No contacts found,कोई संपर्क नहीं मिला,
No expiry,कोई समाप्ति नहीं,
None,कोई नहीं,
"No guest sessions yet.","अभी तक कोई गेस्ट सत्र नहीं।",
