source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,30 päeva,
7 days,7 päeva,
90 days,90 päeva,
Acme Corp,Acme Corp,
Active,Aktiivne,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","Lisavälju (aadress, märkmed jne) saad muuta pärast kontakti loomist.",
Add,Lisa,
Add people,Lisa inimesi,
Adding…,Lisamine…,
Add bookmark,Lisa järjehoidja,
All logged-in users,Kõik sisseloginud kasutajad,
All logged-in users can view this document,Kõik sisseloginud kasutajad saavad seda dokumenti vaadata,
Add notes...,Lisa märkmeid...,
All,Kõik,
A–Z,A–Z,
Blank = org default,Tühi = organisatsiooni vaikeväärtus,
Bookmark limit reached (12),Järjehoidjate limiit täis (12),
"Bookmark limit reached (12). Remove a bookmark to add another.","Järjehoidjate limiit täis (12). Eemalda üks järjehoidja, et uut lisada.",
Bookmark this record,Lisa see kirje järjehoidjatesse,
App context,Rakenduse kontekst,
App switcher,Rakenduste vahetaja,
Browse all apps →,Sirvi kõiki rakendusi →,
Install apps →,Paigalda rakendusi →,
Cancel,Tühista,
Clear recent items history,Tühjenda hiljutiste kirjete ajalugu,
Company,Ettevõte,
Compose email,Koosta e-kiri,
contact,kontakt,
contacts,kontaktid,
Could not create contact,Kontakti loomine ebaõnnestus,
Could not load contact,Kontakti laadimine ebaõnnestus,
Could not add user. Please try again.,Kasutaja lisamine ebaõnnestus. Palun proovi uuesti.,
Could not load contacts,Kontaktide laadimine ebaõnnestus,
Could not load shares,Jagamiste laadimine ebaõnnestus,
Create,Loo,
Create & Open,Loo ja ava,
Create a contact or adjust your filters,Loo kontakt või muuda filtreid,
Creating…,Loomine…,
History cleared,Ajalugu tühjendatud,
This will remove all recent items. Continue?,See eemaldab kõik hiljutised kirjed. Kas jätkata?,
Close,Sulge,
Content is temporarily unavailable.,Sisu on ajutiselt kättesaamatu.,
Copied!,Kopeeritud!,
Copy link,Kopeeri link,
Copy portal URL,Kopeeri portaali URL,
Dark,Tume,
Date format,Kuupäeva vorming,
Default app on login,Vaikerakendus sisselogimisel,
Discover ecosystem apps,Avasta ökosüsteemi rakendusi,
Delete,Kustuta,
Displayed in the top bar,Kuvatakse ülaribal,
Dock Settings,Dock seaded,
Done,Valmis,
Done editing,Muutmine lõpetatud,
Drag to reorder {0},Lohista ümberjärjestamiseks {0},
Edit bookmarks,Muuda järjehoidjaid,
e.g. Europe/Berlin,nt Europe/Berlin,
Email,E-post,
Enable bookmarks,Luba järjehoidjad,
Everyone,Kõik,
Enable global timer,Luba globaalne taimer,
Enable recent items,Luba hiljutised kirjed,
Expired,Aegunud,
Expires,Aegub,
Expires: {0},Aegub: {0},
Failed to generate link. Please try again.,Lingi loomine ebaõnnestus. Palun proovi uuesti.,
Failed to load sessions.,Seansside laadimine ebaõnnestus.,
Features,Funktsioonid,
Full name,Täisnimi,
Frappe Desk,Frappe Desk,
Generate link,Loo link,
Generating…,Loomine…,
Guest Portal,Külalisportaal,
in {0},{0}-s,
