source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,30 dies,
7 days,7 dies,
90 days,90 dies,
Acme Corp,Acme Corp,
Active,Actiu,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","Els camps addicionals (adreça, notes, etc.) es poden editar després de crear el contacte.",
Add,Afegeix,
Add people,Afegeix persones,
Adding…,Afegint…,
Add bookmark,Afegeix marcador,
All logged-in users,Tots els usuaris amb sessió iniciada,
All logged-in users can view this document,Tots els usuaris amb sessió iniciada poden veure aquest document,
Add notes...,Afegeix notes...,
All,Tot,
A–Z,A–Z,
Blank = org default,En blanc = predeterminat de l'organització,
Bookmark limit reached (12),Límit de marcadors assolit (12),
"Bookmark limit reached (12). Remove a bookmark to add another.","Límit de marcadors assolit (12). Elimina un marcador per afegir-ne un altre.",
Bookmark this record,Marca aquest registre,
App context,Context de l'aplicació,
App switcher,Commutador d'aplicacions,
Browse all apps →,Explora totes les aplicacions →,
Install apps →,Instal·la aplicacions →,
Cancel,Cancel·la,
Clear recent items history,Esborra l'historial d'elements recents,
Company,Empresa,
Compose email,Redacta un correu electrònic,
contact,contacte,
contacts,contactes,
Could not create contact,No s'ha pogut crear el contacte,
Could not load contact,No s'ha pogut carregar el contacte,
Could not add user. Please try again.,No s'ha pogut afegir l'usuari. Torna-ho a provar.,
Could not load contacts,No s'han pogut carregar els contactes,
Could not load shares,No s'han pogut carregar els elements compartits,
Create,Crea,
Create & Open,Crea i obre,
Create a contact or adjust your filters,Crea un contacte o ajusta els filtres,
Creating…,Creant…,
History cleared,Historial esborrat,
This will remove all recent items. Continue?,S'eliminaran tots els elements recents. Vols continuar?,
Close,Tanca,
Content is temporarily unavailable.,El contingut no està disponible temporalment.,
Copied!,Copiat!,
Copy link,Copia l'enllaç,
Copy portal URL,Copia l'URL del portal,
Dark,Fosc,
Date format,Format de data,
Default app on login,Aplicació predeterminada en iniciar sessió,
Discover ecosystem apps,Descobreix les aplicacions de l'ecosistema,
Delete,Elimina,
Displayed in the top bar,Es mostra a la barra superior,
Dock Settings,Configuració de Dock,
Done,Fet,
Done editing,Edició finalitzada,
Drag to reorder {0},Arrossega per reordenar {0},
Edit bookmarks,Edita els marcadors,
e.g. Europe/Berlin,p. ex. Europe/Berlin,
Email,Correu electrònic,
Enable bookmarks,Activa els marcadors,
Everyone,Tothom,
Enable global timer,Activa el temporitzador global,
Enable recent items,Activa els elements recents,
Expired,Caducat,
Expires,Caduca,
Expires: {0},Caduca: {0},
Failed to generate link. Please try again.,No s'ha pogut generar l'enllaç. Torna-ho a provar.,
Failed to load sessions.,No s'han pogut carregar les sessions.,
Features,Funcionalitats,
Full name,Nom complet,
Frappe Desk,Frappe Desk,
Generate link,Genera un enllaç,
Generating…,Generant…,
Guest Portal,Portal de convidats,
in {0},a {0},
"Install Orga, Micro, or other apps to see cross-app context for your contacts.","Instal·la Orga, Micro o altres aplicacions per veure el context entre aplicacions dels teus contactes.",
jane@example.com,jane@example.com,
Jane Smith,Jane Smith,
Job title,Càrrec,
Keep running,Continua en marxa,
Label,Etiqueta,
Last accessed,Darrer accés,
Light,Clar,
Limit,Límit,
Link expires in:,L'enllaç caduca en:,
Loading…,Carregant…,
Load more,Carrega'n més,
Log out,Tanca la sessió,
Make private,Fes privat,
Mark all read,Marca tot com a llegit,
Mark read,Marca com a llegit,
Monday,Dilluns,
More fields,Més camps,
My contacts,Els meus contactes,
My Account,El meu compte,
My Profile,El meu perfil,
Never,Mai,
New contact,Nou contacte,
No contacts found,No s'han trobat contactes,
No expiry,Sense caducitat,
None,Cap,
No guest sessions yet.,Encara no hi ha sessions de convidats.,
No recent items,No hi ha elements recents,
No recent items yet,Encara no hi ha elements recents,
No results for "{0}",Cap resultat per a «{0}»,
"No results for ""{0}"" in {1}","Cap resultat per a «{0}» a {1}",
Notifications,Notificacions,
Notification unavailable,Notificació no disponible,
Organization Defaults,Valors predeterminats de l'organització,
Organization settings updated — reload to apply,Configuració de l'organització actualitzada — recarrega per aplicar,
Org default,Predeterminat de l'org.,
"Password, 2FA, profile picture","Contrasenya, 2FA, foto de perfil",
Pause,Pausa,
paused,en pausa,
People,Persones,
People with access,Persones amb accés,
Permissions,Permisos,
Pinned,Fixat,
Powered by Tonic,Amb tecnologia de Tonic,
Phone,Telèfon,
Private,Privat,
Product Manager,Product Manager,
Preferences,Preferències,
Read,Lectura,
Recent,Recents,
Reload,Recarrega,
Remove bookmark,Elimina el marcador,
Remove from shared,Elimina dels compartits,
Remove from recent,Elimina dels recents,
Resume,Reprèn,
Retry,Torna-ho a provar,
Revoke,Revoca,
Revoked,Revocat,
Revoke session,Revoca la sessió,
Revoking…,Revocant…,
Saved,Desat,
Save failed,No s'ha pogut desar,
Save organization settings,Desa la configuració de l'organització,
Saving…,Desant…,
Search...,Cerca...,
"Search by name, email, or phone…","Cerca per nom, correu electrònic o telèfon…",
Search users...,Cerca usuaris...,
Share {0} {1},Comparteix {0} {1},
Submit,Envia,
Search in All apps,Cerca a totes les aplicacions,
Search unavailable,Cerca no disponible,
selected,seleccionat,
"Share ""{0}""",Comparteix «{0}»,
Share with team,Comparteix amb l'equip,
Shared,Compartit,
Shared with team,Compartit amb l'equip,
Share with client,Comparteix amb el client,
Showing {0} of {1} sessions,Mostrant {0} de {1} sessions,
Site label,Etiqueta del lloc,
Sort: A–Z — click for last modified,Ordena: A–Z — clica per darrera modificació,
Sort: last modified — click for A–Z,Ordena: darrera modificació — clica per A–Z,
Start,Inicia,
Start Timer,Inicia el temporitzador,
Status,Estat,
Stop,Atura,
Stop & Save,Atura i desa,
Sunday,Diumenge,
System,Sistema,
Theme,Tema,
Theme preference,Preferència de tema,
This email is already on,Aquest correu electrònic ja existeix,
This link has been deactivated.,Aquest enllaç ha estat desactivat.,
This link has expired. Please ask the sender for a new link.,Aquest enllaç ha caducat. Demana al remitent un nou enllaç.,
This link is invalid or has been removed.,Aquest enllaç no és vàlid o ha estat eliminat.,
Time,Temps,
Time entry saved,Entrada de temps desada,
Timer unavailable,Temporitzador no disponible,
Timezone,Zona horària,
total,total,
Try again,Torna-ho a provar,
Unread,No llegit,
Open calendar,Obre el calendari,
Open in Desk,Obre al Desk,
Open in {0},Obre a {0},
User menu,Menú d'usuari,
View existing →,Mostra l'existent →,
Visibility,Visibilitat,
View,Mostra,
View all notifications,Mostra totes les notificacions,
View time entry,Mostra l'entrada de temps,
Week starts on,La setmana comença el,
Write,Escriptura,
What are you working on?,En què estàs treballant?,
You're all caught up,Estàs al dia,
Your Preferences,Les teves preferències,
Your timer has been running for {0},El teu temporitzador porta {0} en marxa,
Actions,Accions,
Add details about this event...,Afegeix detalls sobre aquest esdeveniment...,
Add event,Afegeix un esdeveniment,
Agenda,Agenda,
All day,Tot el dia,
Calendar,Calendari,
Create Event,Crea un esdeveniment,
Create in:,Crea a:,
Day,Dia,
Deadline,Data límit,
Delete Event,Elimina l'esdeveniment,
Delete this event? This cannot be undone.,Vols eliminar aquest esdeveniment? Aquesta acció no es pot desfer.,
Deleting…,Eliminant…,
Description,Descripció,
Details,Detalls,
End,Final,
Event,Esdeveniment,
Event title,Títol de l'esdeveniment,
Failed to create event,No s'ha pogut crear l'esdeveniment,
Failed to delete event,No s'ha pogut eliminar l'esdeveniment,
Manage this event in,Gestiona aquest esdeveniment a,
Meeting,Reunió,
Milestone,Fita,
Month,Mes,
My calendars,Els meus calendaris,
New Event,Nou esdeveniment,
No actions available,No hi ha accions disponibles,
No events,No hi ha esdeveniments,
Open in,Obre a,
Other,Altre,
Permanently remove this event,Elimina permanentment aquest esdeveniment,
Review,Revisió,
Source,Origen,
Start date/time is required,La data/hora d'inici és obligatòria,
Title,Títol,
Title is required,El títol és obligatori,
Today,Avui,
Type,Tipus,
View full details in the source app,Mostra tots els detalls a l'aplicació d'origen,
Week,Setmana,
When,Quan,
{0} available,{0} disponible,
Available,Disponible,
Configure Frappe Manager to enable one-click updates.,Configura Frappe Manager per activar les actualitzacions amb un sol clic.,
