source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,30 天,
7 days,7 天,
90 days,90 天,
Acme Corp,Acme Corp,
Active,使用中,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","建立聯絡人後可以編輯其他欄位（地址、備註等）。",
Add,新增,
Add people,新增人員,
Adding…,正在新增…,
Add bookmark,新增書籤,
All logged-in users,所有已登入使用者,
All logged-in users can view this document,所有已登入使用者均可檢視此文件,
Add notes...,新增備註...,
All,全部,
A–Z,A–Z,
Blank = org default,留空 = 組織預設值,
Bookmark limit reached (12),書籤數量已達上限 (12),
Bookmark limit reached (12). Remove a bookmark to add another.,書籤數量已達上限 (12)。請移除一個書籤後再新增。,
Bookmark this record,將此記錄加入書籤,
App context,應用程式內容,
App switcher,應用程式切換器,
Browse all apps →,瀏覽所有應用程式 →,
Install apps →,安裝應用程式 →,
Cancel,取消,
Clear recent items history,清除最近項目紀錄,
Company,公司,
Compose email,撰寫郵件,
contact,聯絡人,
contacts,聯絡人,
Could not create contact,無法建立聯絡人,
Could not load contact,無法載入聯絡人,
Could not add user. Please try again.,無法新增使用者，請再試一次。,
Could not load contacts,無法載入聯絡人,
Could not load shares,無法載入分享,
Create,建立,
Create & Open,建立並開啟,
Create a contact or adjust your filters,建立聯絡人或調整篩選條件,
Creating…,正在建立…,
History cleared,紀錄已清除,
This will remove all recent items. Continue?,這將會清除所有最近項目。是否繼續？,
Close,關閉,
Content is temporarily unavailable.,內容暫時無法使用。,
Copied!,已複製！,
Copy link,複製連結,
Copy portal URL,複製入口網址,
Dark,深色,
Date format,日期格式,
Default app on login,登入後預設應用程式,
Discover ecosystem apps,探索生態系應用程式,
Delete,刪除,
Displayed in the top bar,顯示在頂端列,
Dock Settings,Dock 設定,
Done,完成,
Done editing,編輯完成,
Drag to reorder {0},拖曳以重新排列 {0},
Edit bookmarks,編輯書籤,
e.g. Europe/Berlin,例如 Europe/Berlin,
Email,電子郵件,
Enable bookmarks,啟用書籤,
Everyone,所有人,
Enable global timer,啟用全域計時器,
Enable recent items,啟用最近項目,
Expired,已過期,
Expires,到期時間,
Expires: {0},到期時間：{0},
Failed to generate link. Please try again.,產生連結失敗，請再試一次。,
Failed to load sessions.,載入工作階段失敗。,
Features,功能,
Full name,全名,
Frappe Desk,Frappe Desk,
Generate link,產生連結,
Generating…,正在產生…,
Guest Portal,訪客入口,
in {0},在 {0} 中,
"Install Orga, Micro, or other apps to see cross-app context for your contacts.","安裝 Orga、Micro 或其他應用程式以檢視聯絡人的跨應用程式資訊。",
jane@example.com,jane@example.com,
Jane Smith,Jane Smith,
Job title,職稱,
Keep running,繼續執行,
Label,標籤,
Last accessed,上次存取,
Light,淺色,
Limit,限制,
Link expires in:,連結到期時間：,
Loading…,正在載入…,
