source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,30 dage,
7 days,7 dage,
90 days,90 dage,
Acme Corp,Acme Corp,
Active,Aktiv,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","Yderligere felter (adresse, noter osv.) kan redigeres efter oprettelse af kontakten.",
Add,Tilføj,
Add people,Tilføj personer,
Adding…,Tilføjer…,
Add bookmark,Tilføj bogmærke,
All logged-in users,Alle loggede brugere,
All logged-in users can view this document,Alle loggede brugere kan se dette dokument,
Add notes...,Tilføj noter...,
All,Alle,
A–Z,A–Z,
Blank = org default,Tom = organisationsstandard,
Bookmark limit reached (12),Bogmærkegrænse nået (12),
"Bookmark limit reached (12). Remove a bookmark to add another.","Bogmærkegrænse nået (12). Fjern et bogmærke for at tilføje et nyt.",
Bookmark this record,Bogmærk denne post,
App context,App-kontekst,
App switcher,App-skifter,
Browse all apps →,Se alle apps →,
Install apps →,Installer apps →,
Cancel,Annuller,
Clear recent items history,Ryd seneste aktivitet,
Company,Virksomhed,
Compose email,Skriv e-mail,
contact,kontakt,
contacts,kontakter,
Could not create contact,Kunne ikke oprette kontakt,
Could not load contact,Kunne ikke indlæse kontakt,
Could not add user. Please try again.,Kunne ikke tilføje bruger. Prøv igen.,
Could not load contacts,Kunne ikke indlæse kontakter,
Could not load shares,Kunne ikke indlæse delinger,
Create,Opret,
Create & Open,Opret og åbn,
Create a contact or adjust your filters,Opret en kontakt eller juster dine filtre,
Creating…,Opretter…,
History cleared,Historik ryddet,
This will remove all recent items. Continue?,Dette fjerner alle seneste elementer. Fortsæt?,
Close,Luk,
Content is temporarily unavailable.,Indholdet er midlertidigt utilgængeligt.,
Copied!,Kopieret!,
Copy link,Kopiér link,
Copy portal URL,Kopiér portal-URL,
Dark,Mørk,
Date format,Datoformat,
Default app on login,Standardapp ved login,
Discover ecosystem apps,Udforsk økosystem-apps,
Delete,Slet,
Displayed in the top bar,Vises i topbjælken,
Dock Settings,Dock-indstillinger,
Done,Færdig,
Done editing,Færdig med redigering,
Drag to reorder {0},Træk for at ændre rækkefølgen af {0},
Edit bookmarks,Rediger bogmærker,
e.g. Europe/Berlin,f.eks. Europe/Berlin,
Email,E-mail,
Enable bookmarks,Aktiver bogmærker,
Everyone,Alle,
Enable global timer,Aktiver global timer,
Enable recent items,Aktiver seneste elementer,
Expired,Udløbet,
Expires,Udløber,
Expires: {0},Udløber: {0},
Failed to generate link. Please try again.,Kunne ikke generere link. Prøv igen.,
Failed to load sessions.,Kunne ikke indlæse sessioner.,
Features,Funktioner,
Full name,Fulde navn,
Frappe Desk,Frappe Desk,
Generate link,Generér link,
