source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,30 beaivvi,
7 days,7 beaivvi,
90 days,90 beaivvi,
Acme Corp,Acme Corp,
Active,Aktiiva,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","Lassigeavadagat (čujuhus, čállosat, jna.) sáhttet rievdaduvvot maŋŋil go oktavuohta lea ráhkaduvvon.",
Add,Lasit,
Add people,Lasit olbmuid,
Adding…,Lasimin…,
Add bookmark,Lasit girjemerkka,
All logged-in users,Buot sisačáliheaddjit,
All logged-in users can view this document,Buot sisačáliheaddjit sáhttet oaidnit dán dokumeantta,
Add notes...,Lasit čállosiid...,
All,Buot,
A–Z,A–Z,
Blank = org default,Guoros = organisašuvnna standárda,
Bookmark limit reached (12),Girjemerkkaid rádji olahuvvon (12),
Bookmark limit reached (12). Remove a bookmark to add another.,Girjemerkkaid rádji olahuvvon (12). Válddát girjemerkka vai lasihit ođđa.,
Bookmark this record,Girjemerke dán diŋgosa,
App context,Applikašuvnna konteavsta,
App switcher,Applikašuvnnamolsun,
Browse all apps →,Geahča buot applikašuvnnaid →,
Install apps →,Biját applikašuvnnaid →,
Cancel,Šiito,
Clear recent items history,Čilge maŋemus diŋgosiid historjjá,
Company,Fitnodaga,
Compose email,Čále e-poastta,
contact,oktavuohta,
contacts,oktavuođat,
Could not create contact,Ii leat vejolaš ráhkadit oktavuođa,
Could not load contact,Ii leat vejolaš lođet oktavuođa,
Could not add user. Please try again.,Ii leat vejolaš lasihit geavaheaddji. Geahččal ođđasit.,
Could not load contacts,Ii leat vejolaš lođet oktavuođaid,
Could not load shares,Ii leat vejolaš lođet juogádusaid,
Create,Ráhkat,
Create & Open,Ráhkat & Raba,
Create a contact or adjust your filters,Ráhkat oktavuođa dahje heive du filteraid,
Creating…,Ráhkadeamen…,
History cleared,Historjá čilgejuvvon,
This will remove all recent items. Continue?,Dát válddaha buot maŋemus diŋgosiid. Joatke?,
Close,Gidde,
Content is temporarily unavailable.,Sisdoallu ii leat gáskit fidnemis.,
Copied!,Kopijerejuvvon!,
Copy link,Kopijere liŋkka,
Copy portal URL,Kopijere portála URL,
Dark,Seavdnjat,
Date format,Beaivemeari formáhta,
Default app on login,Standárda applikašuvdna sisačáliheddjiid,
Discover ecosystem apps,Oza ekosystema applikašuvnnaid,
Delete,Sihko,
Displayed in the top bar,Čájehuvvo badjepanelas,
Dock Settings,Dock Heivehusat,
Done,Gárvvis,
Done editing,Rievdadeapmi gárvvis,
Drag to reorder {0},Gease ođđasit ortnet {0},
Edit bookmarks,Rievdat girjemerkkaid,
e.g. Europe/Berlin,ovdm. Europe/Berlin,
Email,E-poasta,
Enable bookmarks,Atte girjemerkkaid,
Everyone,Buohkat,
Enable global timer,Atte globála áigemeari,
Enable recent items,Atte maŋemus diŋgosiid,
Expired,Nohkan,
Expires,Nohká,
Expires: {0},Nohká: {0},
Failed to generate link. Please try again.,Ii leat vejolaš ráhkadit liŋkka. Geahččal ođđasit.,
Failed to load sessions.,Ii leat vejolaš lođet sesšuvnnaid.,
Features,Iešvuođat,
Full name,Olles namma,
Frappe Desk,Frappe Desk,
Generate link,Ráhkat liŋkka,
Generating…,Ráhkadeamen…,
Guest Portal,Guossepotála,
in {0},{0}:s,
"Install Orga, Micro, or other apps to see cross-app context for your contacts.","Bija Orga, Micro dahje eará applikašuvnnaid vai oainnát applikašuvnnaidgaskasaš konteavstta du oktavuođaide.",
jane@example.com,jane@example.com,
Jane Smith,Jane Smith,
Job title,Bargonamma,
Keep running,Joatke mannan,
Label,Namma,
Last accessed,Maŋemus fidnen,
Light,Čuovgat,
Limit,Rádji,
Link expires in:,Liŋka nohká:,
Loading…,Lođemin…,
Load more,Lođe eanet,
Log out,Čálihe olggos,
Make private,Dahje priváhtan,
Mark all read,Merkke buot lohkkon,
Mark read,Merkke lohkkon,
Monday,Vuossárga,
More fields,Eanet geavadagat,
My contacts,Mu oktavuođat,
My Account,Mu Kontu,
My Profile,Mu Profiila,
Never,Goassige,
New contact,Ođđa oktavuohta,
No contacts found,Oktavuođat eai gávdnon,
No expiry,Ii nohka,
None,Ii mihkkege,
No guest sessions yet.,Guossesešuvnnat eai leat velá.,
No recent items,Maŋemus diŋgosat eai leat,
No recent items yet,Maŋemus diŋgosat eai leat velá,
No results for "{0}",Bohtosat eai gávdnon "{0}" várás,
No results for "{0}" in {1},Bohtosat eai gávdnon "{0}" várás {1}:s,
Notifications,Dieđáhusat,
Notification unavailable,Dieđáhus ii leat fidnemis,
Organization Defaults,Organisašuvnna standárddat,
Organization settings updated — reload to apply,Organisašuvnna heivehusat ođasmahttojuvvon — lođe ođđasit vai guoski,
Org default,Organisašuvnna standárda,
"Password, 2FA, profile picture","Beassesátni, 2FA, profiilagonagásse",
Pause,Botke,
paused,botkejuvvon,
People,Olbmot,
People with access,Olbmot geain lea beassin,
Permissions,Vuoigatvuođat,
Pinned,Čuoggaskerejuvvon,
Powered by Tonic,Tonic fápmorustejuvvon,
Phone,Telefovdna,
