source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,30 ditë,
7 days,7 ditë,
90 days,90 ditë,
Acme Corp,Acme Corp,
Active,Aktiv,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","Fushat shtesë (adresa, shënimet, etj.) mund të ndryshohen pasi të krijohet kontakti.",
Add,Shto,
Add people,Shto persona,
Adding…,Duke shtuar…,
Add bookmark,Shto faqeshënues,
All logged-in users,Të gjithë përdoruesit e kyçur,
All logged-in users can view this document,Të gjithë përdoruesit e kyçur mund ta shohin këtë dokument,
Add notes...,Shto shënime...,
All,Të gjitha,
A–Z,A–Z,
Blank = org default,Bosh = parazgjedhja e organizatës,
Bookmark limit reached (12),Kufiri i faqeshënuesve u arrit (12),
"Bookmark limit reached (12). Remove a bookmark to add another.","Kufiri i faqeshënuesve u arrit (12). Hiq një faqeshënues për të shtuar një tjetër.",
Bookmark this record,Shëno këtë regjistrim,
App context,Konteksti i aplikacionit,
App switcher,Ndërruesi i aplikacioneve,
Browse all apps →,Shfleto të gjitha aplikacionet →,
Install apps →,Instalo aplikacione →,
Cancel,Anulo,
Clear recent items history,Pastro historikun e artikujve të fundit,
Company,Kompania,
Compose email,Shkruaj email,
contact,kontakt,
contacts,kontakte,
Could not create contact,Kontakti nuk u krijua dot,
Could not load contact,Kontakti nuk u ngarkua dot,
Could not add user. Please try again.,Përdoruesi nuk u shtua dot. Provo përsëri.,
Could not load contacts,Kontaktet nuk u ngarkuan dot,
Could not load shares,Ndarjet nuk u ngarkuan dot,
Create,Krijo,
Create & Open,Krijo dhe hap,
Create a contact or adjust your filters,Krijo një kontakt ose rregullo filtrat,
Creating…,Duke krijuar…,
History cleared,Historiku u pastrua,
This will remove all recent items. Continue?,Kjo do të heqë të gjithë artikujt e fundit. Vazhdo?,
Close,Mbyll,
Content is temporarily unavailable.,Përmbajtja është përkohësisht e padisponueshme.,
Copied!,U kopjua!,
Copy link,Kopjo lidhjen,
Copy portal URL,Kopjo URL-në e portalit,
Dark,E errët,
Date format,Formati i datës,
Default app on login,Aplikacioni parazgjedhur në kyçje,
Discover ecosystem apps,Zbulo aplikacionet e ekosistemit,
Delete,Fshi,
