source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,siku 30,
7 days,siku 7,
90 days,siku 90,
Acme Corp,Acme Corp,
Active,Hai,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","Sehemu za ziada (anwani, maelezo, n.k.) zinaweza kuhaririwa baada ya kuunda mwasiliani.",
Add,Ongeza,
Add people,Ongeza watu,
Adding…,Inaongeza…,
Add bookmark,Ongeza alamisho,
All logged-in users,Watumiaji wote walioingia,
All logged-in users can view this document,Watumiaji wote walioingia wanaweza kuona hati hii,
Add notes...,Ongeza maelezo...,
All,Zote,
A–Z,A–Z,
Blank = org default,Tupu = chaguo-msingi la shirika,
Bookmark limit reached (12),Kikomo cha alamisho kimefikiwa (12),
Bookmark limit reached (12). Remove a bookmark to add another.,Kikomo cha alamisho kimefikiwa (12). Ondoa alamisho ili kuongeza nyingine.,
Bookmark this record,Weka alamisho kwa rekodi hii,
App context,Muktadha wa programu,
App switcher,Kibadilishaji programu,
Browse all apps →,Vinjari programu zote →,
Install apps →,Sakinisha programu →,
Cancel,Ghairi,
Clear recent items history,Futa historia ya vitu vya hivi karibuni,
Company,Kampuni,
Compose email,Tunga barua pepe,
contact,mwasiliani,
contacts,wawasiliani,
Could not create contact,Haikuweza kuunda mwasiliani,
Could not load contact,Haikuweza kupakia mwasiliani,
Could not add user. Please try again.,Haikuweza kuongeza mtumiaji. Tafadhali jaribu tena.,
Could not load contacts,Haikuweza kupakia wawasiliani,
Could not load shares,Haikuweza kupakia ushiriki,
Create,Unda,
Create & Open,Unda na Ufungue,
Create a contact or adjust your filters,Unda mwasiliani au urekebishe vichujio vyako,
Creating…,Inaunda…,
History cleared,Historia imefutwa,
This will remove all recent items. Continue?,Hii itaondoa vitu vyote vya hivi karibuni. Endelea?,
Close,Funga,
Content is temporarily unavailable.,Maudhui hayapatikani kwa muda.,
Copied!,Imenakiliwa!,
Copy link,Nakili kiungo,
Copy portal URL,Nakili URL ya lango,
Dark,Giza,
Date format,Muundo wa tarehe,
Default app on login,Programu chaguo-msingi wakati wa kuingia,
Discover ecosystem apps,Gundua programu za mfumo-ikolojia,
Delete,Futa,
Displayed in the top bar,Inaonyeshwa kwenye upau wa juu,
Dock Settings,Mipangilio ya Dock,
Done,Imekamilika,
Done editing,Umemaliza kuhariri,
Drag to reorder {0},Buruta ili kupanga upya {0},
Edit bookmarks,Hariri alamisho,
e.g. Europe/Berlin,k.m. Europe/Berlin,
Email,Barua pepe,
Enable bookmarks,Wezesha alamisho,
Everyone,Kila mtu,
Enable global timer,Wezesha kipima muda cha jumla,
Enable recent items,Wezesha vitu vya hivi karibuni,
Expired,Imeisha muda,
Expires,Inaisha muda,
Expires: {0},Inaisha muda: {0},
Failed to generate link. Please try again.,Imeshindwa kutengeneza kiungo. Tafadhali jaribu tena.,
Failed to load sessions.,Imeshindwa kupakia vipindi.,
Features,Vipengele,
Full name,Jina kamili,
Frappe Desk,Frappe Desk,
Generate link,Tengeneza kiungo,
Generating…,Inatengeneza…,
Guest Portal,Lango la Mgeni,
in {0},katika {0},
"Install Orga, Micro, or other apps to see cross-app context for your contacts.","Sakinisha Orga, Micro au programu nyingine ili kuona muktadha wa programu-mtambuka kwa wawasiliani wako.",
jane@example.com,jane@example.com,
Jane Smith,Jane Smith,
Job title,Cheo cha kazi,
Keep running,Endelea kuendesha,
Label,Lebo,
Last accessed,Iliyofikiwa mwisho,
Light,Mwangaza,
Limit,Kikomo,
Link expires in:,Kiungo kinaisha muda katika:,
Loading…,Inapakia…,
Load more,Pakia zaidi,
Log out,Ondoka,
Make private,Fanya faragha,
Mark all read,Weka zote kama zilizosomwa,
Mark read,Weka kama iliyosomwa,
Monday,Jumatatu,
More fields,Sehemu zaidi,
My contacts,Wawasiliani wangu,
My Account,Akaunti Yangu,
My Profile,Wasifu Wangu,
Never,Kamwe,
New contact,Mwasiliani mpya,
No contacts found,Hakuna wawasiliani waliopatikana,
No expiry,Hakuna muda wa kumalizika,
None,Hakuna,
No guest sessions yet.,Hakuna vipindi vya wageni bado.,
No recent items,Hakuna vitu vya hivi karibuni,
No recent items yet,Hakuna vitu vya hivi karibuni bado,
No results for "{0}",Hakuna matokeo ya "{0}",
No results for "{0}" in {1},Hakuna matokeo ya "{0}" katika {1},
Notifications,Arifa,
Notification unavailable,Arifa haipatikani,
Organization Defaults,Chaguo-msingi za Shirika,
Organization settings updated — reload to apply,Mipangilio ya shirika imesasishwa — pakia upya ili kutumia,
Org default,Chaguo-msingi la shirika,
"Password, 2FA, profile picture","Nenosiri, 2FA, picha ya wasifu",
Pause,Simamisha,
paused,imesimamishwa,
People,Watu,
People with access,Watu wenye ufikiaji,
Permissions,Ruhusa,
Pinned,Imebandikwa,
Powered by Tonic,Imeendeshwa na Tonic,
Phone,Simu,
Private,Faragha,
Product Manager,Product Manager,
Preferences,Mapendeleo,
Read,Soma,
Recent,Hivi Karibuni,
Reload,Pakia upya,
Remove bookmark,Ondoa alamisho,
Remove from shared,Ondoa kutoka ushiriki,
Remove from recent,Ondoa kutoka hivi karibuni,
Resume,Endelea,
Retry,Jaribu tena,
Revoke,Batilisha,
Revoked,Imebatilishwa,
Revoke session,Batilisha kipindi,
Revoking…,Inabatilisha…,
Saved,Imehifadhiwa,
Save failed,Kuhifadhi kumeshindikana,
Save organization settings,Hifadhi mipangilio ya shirika,
Saving…,Inahifadhi…,
Search...,Tafuta...,
"Search by name, email, or phone…","Tafuta kwa jina, barua pepe au simu…",
Search users...,Tafuta watumiaji...,
Share {0} {1},Shiriki {0} {1},
Submit,Wasilisha,
Search in All apps,Tafuta katika programu zote,
Search unavailable,Utafutaji haupatikani,
selected,imechaguliwa,
Share "{0}",Shiriki "{0}",
Share with team,Shiriki na timu,
Shared,Imeshirikiwa,
Shared with team,Imeshirikiwa na timu,
Share with client,Shiriki na mteja,
Showing {0} of {1} sessions,Inaonyesha {0} kati ya {1} vipindi,
Site label,Lebo ya tovuti,
Sort: A–Z — click for last modified,Panga: A–Z — bofya kwa iliyobadilishwa mwisho,
Sort: last modified — click for A–Z,Panga: iliyobadilishwa mwisho — bofya kwa A–Z,
Start,Anza,
Start Timer,Anza Kipima Muda,
Status,Hali,
Stop,Simama,
Stop & Save,Simama na Uhifadhi,
Sunday,Jumapili,
System,Mfumo,
Theme,Mandhari,
Theme preference,Pendeleo la mandhari,
This email is already on,Barua pepe hii tayari imewashwa,
This link has been deactivated.,Kiungo hiki kimezimwa.,
This link has expired. Please ask the sender for a new link.,Kiungo hiki kimeisha muda. Tafadhali muombe mtumaji kiungo kipya.,
This link is invalid or has been removed.,Kiungo hiki si halali au kimeondolewa.,
Time,Muda,
Time entry saved,Ingizo la muda limehifadhiwa,
Timer unavailable,Kipima muda hakipatikani,
Timezone,Eneo la saa,
total,jumla,
Try again,Jaribu tena,
Unread,Haijasomwa,
Open calendar,Fungua kalenda,
Open in Desk,Fungua katika Desk,
Open in {0},Fungua katika {0},
User menu,Menyu ya mtumiaji,
View existing →,Tazama zilizopo →,
Visibility,Muonekano,
View,Tazama,
View all notifications,Tazama arifa zote,
View time entry,Tazama ingizo la muda,
Week starts on,Wiki inaanza,
Write,Andika,
What are you working on?,Unafanya kazi gani?,
You're all caught up,Umesoma zote,
Your Preferences,Mapendeleo Yako,
Your timer has been running for {0},Kipima muda chako kimekuwa kikiendesha kwa {0},
Actions,Vitendo,
Add details about this event...,Ongeza maelezo kuhusu tukio hili...,
Add event,Ongeza tukio,
Agenda,Ajenda,
All day,Siku nzima,
Calendar,Kalenda,
Create Event,Unda Tukio,
Create in:,Unda katika:,
Day,Siku,
Deadline,Tarehe ya mwisho,
Delete Event,Futa Tukio,
Delete this event? This cannot be undone.,Futa tukio hili? Hii haiwezi kutenduliwa.,
Deleting…,Inafuta…,
Description,Maelezo,
Details,Maelezo ya kina,
End,Mwisho,
Event,Tukio,
Event title,Kichwa cha tukio,
Failed to create event,Imeshindwa kuunda tukio,
Failed to delete event,Imeshindwa kufuta tukio,
Manage this event in,Simamia tukio hili katika,
Meeting,Mkutano,
Milestone,Hatua muhimu,
Month,Mwezi,
My calendars,Kalenda zangu,
New Event,Tukio Jipya,
No actions available,Hakuna vitendo vinavyopatikana,
No events,Hakuna matukio,
Open in,Fungua katika,
Other,Nyingine,
Permanently remove this event,Ondoa tukio hili kabisa,
Review,Kagua,
Source,Chanzo,
Start date/time is required,Tarehe/muda wa kuanza unahitajika,
Title,Kichwa,
Title is required,Kichwa kinahitajika,
Today,Leo,
Type,Aina,
View full details in the source app,Tazama maelezo kamili katika programu chanzo,
Week,Wiki,
When,Lini,
{0} available,{0} zinapatikana,
Available,Inapatikana,
Configure Frappe Manager to enable one-click updates.,Sanidi Frappe Manager ili kuwezesha masasisho ya kubofya mara moja.,
Copy command,Nakili amri,
Ecosystem Apps,Programu za Mfumo-ikolojia,
Failed,Imeshindikana,
Install,Sakinisha,
Installed,Imesakinishwa,
Learn more,Jifunze zaidi,
No apps found,Hakuna programu zilizopatikana,
not installed,haijasakinishwa,
Open,Fungua,
Pro available,Pro inapatikana,
Queued…,Kwenye foleni…,
Refresh,Onyesha upya,
Remove,Ondoa,
Remove {0}? This will uninstall the app and may affect data.,Ondoa {0}? Hii itaondoa programu na inaweza kuathiri data.,
Restart required,Kuanzisha upya kunahitajika,
Restarting…,Inaanzisha upya…,
"To install {0}, run:","Ili kusakinisha {0}, endesha:",
"To update {0}, run:","Ili kusasisha {0}, endesha:",
Update {0} from v{1} to {2}? This will restart Frappe.,Sasisha {0} kutoka v{1} hadi {2}? Hii itaanzisha upya Frappe.,
Update to {0},Sasisha hadi {0},
Updated,Imesasishwa,
Updating…,Inasasisha…,
Up to date,Imesasishwa,
to version,hadi toleo,
For whom?,Kwa nani?,
Working on?,Unafanya nini?,
Search contacts...,Tafuta wawasiliani...,
Select type...,Chagua aina...,
Context,Muktadha,
Contact,Mwasiliani,
Context Type,Aina ya Muktadha,
Activity,Shughuli,
Activity will appear here as you and your team work across ecosystem apps.,Shughuli zitaonekana hapa unapofanya kazi na timu yako katika programu za mfumo-ikolojia.,
Acknowledge,Kubali,
All apps,Programu zote,
All Discussions,Majadiliano Yote,
All types,Aina zote,
Archived,Imehifadhiwa kwenye kumbukumbu,
Cancel,Ghairi,
Celebrate,Sherehekea,
Comments,Maoni,
Create Discussion,Unda Majadiliano,
Creating…,Inaunda…,
Ctrl+Enter to send,Ctrl+Enter kutuma,
Decision,Uamuzi,
Discussion not found,Majadiliano hayakupatikana,
Discussion title,Kichwa cha majadiliano,
Discussions,Majadiliano,
Flag,Bendera,
General,Jumla,
just now,sasa hivi,
Keep commenting,Endelea kutoa maoni,
Linked Records,Rekodi Zilizounganishwa,
Linked to,Imeunganishwa na,
