source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,30 дена,
7 days,7 дена,
90 days,90 дена,
Acme Corp,Acme Corp,
Active,Активно,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","Дополнителни полиња (адреса, белешки итн.) може да ги уредиш откако ќе го креираш контактот.",
Add,Додај,
Add people,Додај луѓе,
Adding…,Се додава…,
Add bookmark,Додај обележувач,
All logged-in users,Сите најавени корисници,
All logged-in users can view this document,Сите најавени корисници можат да го гледаат овој документ,
Add notes...,Додај белешки...,
All,Сите,
A–Z,А–Ш,
Blank = org default,Празно = стандардно за организацијата,
Bookmark limit reached (12),Достигнат лимит на обележувачи (12),
"Bookmark limit reached (12). Remove a bookmark to add another.","Достигнат лимит на обележувачи (12). Отстрани обележувач за да додадеш нов.",
Bookmark this record,Обележи го овој запис,
App context,Контекст на апликација,
App switcher,Менувач на апликации,
Browse all apps →,Прегледај ги сите апликации →,
Install apps →,Инсталирај апликации →,
Cancel,Откажи,
Clear recent items history,Исчисти ја историјата на неодамнешни ставки,
Company,Компанија,
Compose email,Состави е-пошта,
contact,контакт,
contacts,контакти,
Could not create contact,Не можеше да се креира контакт,
Could not load contact,Не можеше да се вчита контакт,
Could not add user. Please try again.,Не можеше да се додаде корисник. Обиди се повторно.,
Could not load contacts,Не можеа да се вчитаат контактите,
Could not load shares,Не можеа да се вчитаат споделувањата,
Create,Креирај,
Create & Open,Креирај и отвори,
Create a contact or adjust your filters,Креирај контакт или прилагоди ги филтрите,
Creating…,Се креира…,
History cleared,Историјата е исчистена,
This will remove all recent items. Continue?,Ова ќе ги отстрани сите неодамнешни ставки. Продолжи?,
Close,Затвори,
Content is temporarily unavailable.,Содржината е привремено недостапна.,
Copied!,Копирано!,
Copy link,Копирај врска,
Copy portal URL,Копирај URL на порталот,
Dark,Темна,
Date format,Формат на датум,
Default app on login,Стандардна апликација при најава,
Discover ecosystem apps,Откриј апликации од екосистемот,
Delete,Избриши,
Displayed in the top bar,Прикажано во горната лента,
Dock Settings,Dock поставки,
Done,Готово,
Done editing,Завршено уредување,
Drag to reorder {0},Повлечи за преуредување {0},
Edit bookmarks,Уреди обележувачи,
e.g. Europe/Berlin,на пр. Europe/Berlin,
Email,Е-пошта,
Enable bookmarks,Овозможи обележувачи,
Everyone,Сите,
Enable global timer,Овозможи глобален тајмер,
Enable recent items,Овозможи неодамнешни ставки,
Expired,Истечено,
Expires,Истекува,
Expires: {0},Истекува: {0},
Failed to generate link. Please try again.,Не успеа генерирање на врска. Обиди се повторно.,
Failed to load sessions.,Не успеа вчитување на сесии.,
Features,Функции,
Full name,Целосно име,
Frappe Desk,Frappe Desk,
Generate link,Генерирај врска,
Generating…,Се генерира…,
Guest Portal,Гостински портал,
in {0},во {0},
"Install Orga, Micro, or other apps to see cross-app context for your contacts.","Инсталирај Orga, Micro или други апликации за да видиш контекст од повеќе апликации за твоите контакти.",
jane@example.com,jane@example.com,
Jane Smith,Jane Smith,
Job title,Работна позиција,
Keep running,Продолжи со работа,
Label,Етикета,
Last accessed,Последен пристап,
Light,Светла,
Limit,Лимит,
Link expires in:,Врската истекува за:,
Loading…,Се вчитува…,
Load more,Вчитај повеќе,
Log out,Одјави се,
Make private,Направи приватно,
Mark all read,Означи ги сите како прочитани,
Mark read,Означи како прочитано,
Monday,Понеделник,
More fields,Повеќе полиња,
My contacts,Мои контакти,
My Account,Мојот профил,
My Profile,Мој профил,
Never,Никогаш,
New contact,Нов контакт,
No contacts found,Не се пронајдени контакти,
No expiry,Без истекување,
None,Ништо,
No guest sessions yet.,Сè уште нема гостински сесии.,
No recent items,Нема неодамнешни ставки,
No recent items yet,Сè уште нема неодамнешни ставки,
No results for "{0}",Нема резултати за „{0}",
