source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,30 kun,
7 days,7 kun,
90 days,90 kun,
Acme Corp,Acme Corp,
Active,Faol,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","Qo'shimcha maydonlarni (manzil, eslatmalar va h.k.) kontaktni yaratgandan keyin tahrirlash mumkin.",
Add,Qo'shish,
Add people,Odamlarni qo'shish,
Adding…,Qo'shilmoqda…,
Add bookmark,Xatcho'p qo'shish,
All logged-in users,Barcha tizimga kirgan foydalanuvchilar,
All logged-in users can view this document,Barcha tizimga kirgan foydalanuvchilar ushbu hujjatni ko'rishi mumkin,
Add notes...,Eslatmalar qo'shish...,
All,Barchasi,
A–Z,A–Z,
Blank = org default,Bo'sh = tashkilot standarti,
Bookmark limit reached (12),Xatcho'p chegarasiga yetildi (12),
Bookmark limit reached (12). Remove a bookmark to add another.,Xatcho'p chegarasiga yetildi (12). Yangi xatcho'p qo'shish uchun birini o'chiring.,
Bookmark this record,Ushbu yozuvni xatcho'plash,
App context,Ilova konteksti,
App switcher,Ilova almashtirgich,
Browse all apps →,Barcha ilovalarni ko'rish →,
Install apps →,Ilovalarni o'rnatish →,
Cancel,Bekor qilish,
Clear recent items history,So'nggi elementlar tarixini tozalash,
Company,Kompaniya,
Compose email,Xat yozish,
contact,kontakt,
contacts,kontaktlar,
Could not create contact,Kontakt yaratib bo'lmadi,
Could not load contact,Kontaktni yuklab bo'lmadi,
Could not add user. Please try again.,Foydalanuvchini qo'shib bo'lmadi. Iltimos qaytadan urinib ko'ring.,
Could not load contacts,Kontaktlarni yuklab bo'lmadi,
Could not load shares,Ulashishlarni yuklab bo'lmadi,
Create,Yaratish,
Create & Open,Yaratish va ochish,
Create a contact or adjust your filters,Kontakt yarating yoki filtrlarni sozlang,
Creating…,Yaratilmoqda…,
History cleared,Tarix tozalandi,
This will remove all recent items. Continue?,Bu barcha so'nggi elementlarni o'chiradi. Davom etsinmi?,
Close,Yopish,
Content is temporarily unavailable.,Kontent vaqtincha mavjud emas.,
Copied!,Nusxalandi!,
Copy link,Havolani nusxalash,
Copy portal URL,Portal URL manzilini nusxalash,
Dark,Qorong'i,
Date format,Sana formati,
Default app on login,Kirish paytidagi asosiy ilova,
Discover ecosystem apps,Ekotizim ilovalarini kashf eting,
Delete,O'chirish,
Displayed in the top bar,Yuqori panelda ko'rsatiladi,
Dock Settings,Dock Sozlamalari,
Done,Tayyor,
Done editing,Tahrirlash tugadi,
Drag to reorder {0},{0}ni tartibga solish uchun sudrab olib boring,
Edit bookmarks,Xatcho'plarni tahrirlash,
e.g. Europe/Berlin,masalan Europe/Berlin,
Email,Elektron pochta,
Enable bookmarks,Xatcho'plarni yoqish,
Everyone,Hamma,
Enable global timer,Global taymerni yoqish,
Enable recent items,So'nggi elementlarni yoqish,
Expired,Muddati tugagan,
Expires,Muddati tugaydi,
Expires: {0},Muddati: {0},
Failed to generate link. Please try again.,Havola yaratib bo'lmadi. Iltimos qaytadan urinib ko'ring.,
Failed to load sessions.,Sessiyalarni yuklab bo'lmadi.,
Features,Xususiyatlar,
Full name,To'liq ism,
Frappe Desk,Frappe Desk,
Generate link,Havola yaratish,
Generating…,Yaratilmoqda…,
Guest Portal,Mehmon portali,
in {0},{0} da,
"Install Orga, Micro, or other apps to see cross-app context for your contacts.","Kontaktlaringiz uchun ilovalararo kontekstni ko'rish uchun Orga, Micro yoki boshqa ilovalarni o'rnating.",
jane@example.com,jane@example.com,
Jane Smith,Jane Smith,
Job title,Lavozim,
Keep running,Ishlashda davom etish,
Label,Yorliq,
Last accessed,Oxirgi kirish,
Light,Yorug',
Limit,Chegara,
Link expires in:,Havola muddati:,
Loading…,Yuklanmoqda…,
Load more,Ko'proq yuklash,
Log out,Chiqish,
Make private,Maxfiy qilish,
Mark all read,Hammasini o'qilgan deb belgilash,
Mark read,O'qilgan deb belgilash,
Monday,Dushanba,
More fields,Qo'shimcha maydonlar,
My contacts,Mening kontaktlarim,
My Account,Mening hisobim,
My Profile,Mening profilim,
Never,Hech qachon,
New contact,Yangi kontakt,
No contacts found,Kontaktlar topilmadi,
No expiry,Muddatsiz,
None,Yo'q,
No guest sessions yet.,Hozircha mehmon sessiyalari yo'q.,
No recent items,So'nggi elementlar yo'q,
No recent items yet,Hozircha so'nggi elementlar yo'q,
No results for "{0}","{0}" uchun natijalar topilmadi,
No results for "{0}" in {1},"{0}" uchun {1} da natijalar topilmadi,
Notifications,Bildirishnomalar,
Notification unavailable,Bildirishnoma mavjud emas,
Organization Defaults,Tashkilot standartlari,
Organization settings updated — reload to apply,Tashkilot sozlamalari yangilandi — qo'llash uchun qayta yuklang,
Org default,Tashkilot standarti,
"Password, 2FA, profile picture","Parol, 2FA, profil rasmi",
Pause,To'xtatish,
paused,to'xtatilgan,
People,Odamlar,
People with access,Kirish huquqiga ega odamlar,
Permissions,Ruxsatlar,
Pinned,Qadaldi,
Powered by Tonic,Tonic tomonidan ishlab chiqilgan,
Phone,Telefon,
Private,Maxfiy,
Product Manager,Mahsulot menejeri,
Preferences,Afzalliklar,
Read,O'qish,
Recent,So'nggi,
Reload,Qayta yuklash,
Remove bookmark,Xatcho'pni o'chirish,
Remove from shared,Ulashishdan olib tashlash,
Remove from recent,So'nggilardan olib tashlash,
Resume,Davom ettirish,
Retry,Qayta urinish,
Revoke,Bekor qilish,
Revoked,Bekor qilingan,
Revoke session,Sessiyani bekor qilish,
Revoking…,Bekor qilinmoqda…,
Saved,Saqlandi,
