source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,৩০ দিন,
7 days,৭ দিন,
90 days,৯০ দিন,
Acme Corp,Acme Corp,
Active,সক্রিয়,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","অতিরিক্ত ক্ষেত্র (ঠিকানা, নোট ইত্যাদি) পরিচিতি তৈরির পরে সম্পাদনা করা যাবে।",
Add,যোগ করুন,
Add people,মানুষ যোগ করুন,
Adding…,যোগ করা হচ্ছে…,
Add bookmark,বুকমার্ক যোগ করুন,
All logged-in users,সমস্ত লগইনকৃত ব্যবহারকারী,
All logged-in users can view this document,সমস্ত লগইনকৃত ব্যবহারকারী এই নথি দেখতে পারবেন,
Add notes...,নোট যোগ করুন...,
All,সমস্ত,
A–Z,A–Z,
Blank = org default,ফাঁকা = প্রতিষ্ঠানের ডিফল্ট,
Bookmark limit reached (12),বুকমার্ক সীমা পূর্ণ (১২),
"Bookmark limit reached (12). Remove a bookmark to add another.","বুকমার্ক সীমা পূর্ণ (১২)। আরেকটি যোগ করতে একটি বুকমার্ক সরান।",
Bookmark this record,এই রেকর্ড বুকমার্ক করুন,
App context,App প্রসঙ্গ,
App switcher,App পরিবর্তক,
Browse all apps →,সমস্ত app দেখুন →,
Install apps →,App ইনস্টল করুন →,
Cancel,বাতিল,
Clear recent items history,সাম্প্রতিক আইটেমের ইতিহাস মুছুন,
Company,কোম্পানি,
Compose email,ইমেইল লিখুন,
contact,পরিচিতি,
contacts,পরিচিতিসমূহ,
Could not create contact,পরিচিতি তৈরি করা যায়নি,
Could not load contact,পরিচিতি লোড করা যায়নি,
Could not add user. Please try again.,ব্যবহারকারী যোগ করা যায়নি। অনুগ্রহ করে আবার চেষ্টা করুন।,
Could not load contacts,পরিচিতিসমূহ লোড করা যায়নি,
Could not load shares,শেয়ারসমূহ লোড করা যায়নি,
Create,তৈরি করুন,
Create & Open,তৈরি করুন ও খুলুন,
Create a contact or adjust your filters,একটি পরিচিতি তৈরি করুন বা ফিল্টার পরিবর্তন করুন,
Creating…,তৈরি করা হচ্ছে…,
History cleared,ইতিহাস মুছে ফেলা হয়েছে,
This will remove all recent items. Continue?,এটি সমস্ত সাম্প্রতিক আইটেম মুছে ফেলবে। চালিয়ে যেতে চান?,
Close,বন্ধ করুন,
Content is temporarily unavailable.,বিষয়বস্তু সাময়িকভাবে অনুপলব্ধ।,
Copied!,কপি করা হয়েছে!,
Copy link,লিঙ্ক কপি করুন,
Copy portal URL,পোর্টাল URL কপি করুন,
Dark,গাঢ়,
Date format,তারিখের বিন্যাস,
Default app on login,লগইনে ডিফল্ট app,
Discover ecosystem apps,ইকোসিস্টেম app আবিষ্কার করুন,
Delete,মুছুন,
Displayed in the top bar,উপরের বারে প্রদর্শিত,
Dock Settings,Dock সেটিংস,
Done,সম্পন্ন,
Done editing,সম্পাদনা সম্পন্ন,
Drag to reorder {0},{0} পুনর্বিন্যাস করতে টেনে আনুন,
Edit bookmarks,বুকমার্ক সম্পাদনা করুন,
e.g. Europe/Berlin,যেমন Europe/Berlin,
Email,ইমেইল,
Enable bookmarks,বুকমার্ক সক্রিয় করুন,
Everyone,সবাই,
Enable global timer,গ্লোবাল টাইমার সক্রিয় করুন,
Enable recent items,সাম্প্রতিক আইটেম সক্রিয় করুন,
Expired,মেয়াদোত্তীর্ণ,
Expires,মেয়াদ শেষ,
Expires: {0},মেয়াদ শেষ: {0},
Failed to generate link. Please try again.,লিঙ্ক তৈরি করা যায়নি। অনুগ্রহ করে আবার চেষ্টা করুন।,
Failed to load sessions.,সেশনসমূহ লোড করা যায়নি।,
Features,বৈশিষ্ট্যসমূহ,
Full name,পুরো নাম,
Frappe Desk,Frappe Desk,
Generate link,লিঙ্ক তৈরি করুন,
Generating…,তৈরি করা হচ্ছে…,
Guest Portal,অতিথি পোর্টাল,
in {0},{0}-এ,
"Install Orga, Micro, or other apps to see cross-app context for your contacts.","আপনার পরিচিতিদের ক্রস-app প্রসঙ্গ দেখতে Orga, Micro, বা অন্যান্য app ইনস্টল করুন।",
jane@example.com,jane@example.com,
Jane Smith,Jane Smith,
Job title,পদবি,
Keep running,চালু রাখুন,
Label,লেবেল,
