source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,30 dana,
7 days,7 dana,
90 days,90 dana,
Acme Corp,Acme Corp,
Active,Aktivno,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","Dodatna polja (adresa, bilješke itd.) možeš urediti nakon kreiranja kontakta.",
Add,Dodaj,
Add people,Dodaj osobe,
Adding…,Dodavanje…,
Add bookmark,Dodaj oznaku,
All logged-in users,Svi prijavljeni korisnici,
All logged-in users can view this document,Svi prijavljeni korisnici mogu vidjeti ovaj dokument,
Add notes...,Dodaj bilješke...,
All,Sve,
A–Z,A–Z,
Blank = org default,Prazno = podrazumijevano za organizaciju,
Bookmark limit reached (12),Dostignut limit oznaka (12),
"Bookmark limit reached (12). Remove a bookmark to add another.","Dostignut limit oznaka (12). Ukloni oznaku da bi dodao/la novu.",
Bookmark this record,Označi ovaj zapis,
App context,Kontekst aplikacije,
App switcher,Prebacivanje aplikacija,
Browse all apps →,Pregledaj sve aplikacije →,
Install apps →,Instaliraj aplikacije →,
Cancel,Otkaži,
Clear recent items history,Obriši historiju nedavnih stavki,
Company,Kompanija,
Compose email,Napiši email,
contact,kontakt,
contacts,kontakti,
Could not create contact,Kreiranje kontakta nije uspjelo,
Could not load contact,Učitavanje kontakta nije uspjelo,
"Could not add user. Please try again.","Dodavanje korisnika nije uspjelo. Pokušaj ponovo.",
Could not load contacts,Učitavanje kontakata nije uspjelo,
Could not load shares,Učitavanje dijeljenja nije uspjelo,
Create,Kreiraj,
Create & Open,Kreiraj i otvori,
Create a contact or adjust your filters,Kreiraj kontakt ili prilagodi filtere,
Creating…,Kreiranje…,
History cleared,Historija obrisana,
"This will remove all recent items. Continue?","Ovo će ukloniti sve nedavne stavke. Nastaviti?",
Close,Zatvori,
"Content is temporarily unavailable.","Sadržaj je privremeno nedostupan.",
Copied!,Kopirano!,
Copy link,Kopiraj link,
Copy portal URL,Kopiraj URL portala,
Dark,Tamna,
Date format,Format datuma,
Default app on login,Podrazumijevana aplikacija pri prijavi,
Discover ecosystem apps,Otkrij aplikacije ekosistema,
Delete,Obriši,
Displayed in the top bar,Prikazano u gornjoj traci,
Dock Settings,Dock postavke,
Done,Gotovo,
Done editing,Uređivanje završeno,
Drag to reorder {0},Povuci da preurediš {0},
Edit bookmarks,Uredi oznake,
"e.g. Europe/Berlin","npr. Europe/Berlin",
Email,Email,
Enable bookmarks,Omogući oznake,
Everyone,Svi,
Enable global timer,Omogući globalni tajmer,
Enable recent items,Omogući nedavne stavke,
Expired,Isteklo,
Expires,Ističe,
"Expires: {0}","Ističe: {0}",
"Failed to generate link. Please try again.","Generisanje linka nije uspjelo. Pokušaj ponovo.",
"Failed to load sessions.","Učitavanje sesija nije uspjelo.",
Features,Funkcionalnosti,
Full name,Puno ime,
Frappe Desk,Frappe Desk,
Generate link,Generiši link,
Generating…,Generisanje…,
Guest Portal,Portal za goste,
"in {0}","u {0}",
"Install Orga, Micro, or other apps to see cross-app context for your contacts.","Instaliraj Orga, Micro ili druge aplikacije da vidiš kontekst kontakata iz različitih aplikacija.",
jane@example.com,jane@example.com,
Jane Smith,Jane Smith,
Job title,Pozicija,
Keep running,Nastavi rad,
Label,Oznaka,
Last accessed,Zadnji pristup,
Light,Svijetla,
Limit,Limit,
