source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,30 dagen,
7 days,7 dagen,
90 days,90 dagen,
Acme Corp,Acme Corp,
Active,Actief,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","Extra velden (adres, notities, etc.) kunnen na het aanmaken van het contact worden bewerkt.",
Add,Toevoegen,
Add people,Mensen toevoegen,
Adding…,Toevoegen…,
Add bookmark,Bladwijzer toevoegen,
All logged-in users,Alle ingelogde gebruikers,
All logged-in users can view this document,Alle ingelogde gebruikers kunnen dit document bekijken,
Add notes...,Notities toevoegen...,
All,Alle,
A–Z,A–Z,
Blank = org default,Leeg = standaard van de organisatie,
Bookmark limit reached (12),Bladwijzerlimiet bereikt (12),
Bookmark limit reached (12). Remove a bookmark to add another.,Bladwijzerlimiet bereikt (12). Verwijder een bladwijzer om een andere toe te voegen.,
Bookmark this record,Bladwijzer toevoegen voor dit record,
App context,App-context,
App switcher,App-wisselaar,
Browse all apps →,Alle apps bekijken →,
Install apps →,Apps installeren →,
Cancel,Annuleren,
Clear recent items history,Geschiedenis van recente items wissen,
Company,Bedrijf,
Compose email,E-mail opstellen,
contact,contact,
contacts,contacten,
Could not create contact,Kon contact niet aanmaken,
Could not load contact,Kon contact niet laden,
Could not add user. Please try again.,Kon gebruiker niet toevoegen. Probeer het opnieuw.,
Could not load contacts,Kon contacten niet laden,
Could not load shares,Kon gedeelde items niet laden,
Create,Aanmaken,
Create & Open,Aanmaken & openen,
Create a contact or adjust your filters,Maak een contact aan of pas je filters aan,
Creating…,Aanmaken…,
History cleared,Geschiedenis gewist,
This will remove all recent items. Continue?,Dit verwijdert alle recente items. Doorgaan?,
Close,Sluiten,
Content is temporarily unavailable.,Inhoud is tijdelijk niet beschikbaar.,
Copied!,Gekopieerd!,
Copy link,Link kopiëren,
Copy portal URL,Portal-URL kopiëren,
Dark,Donker,
Date format,Datumnotatie,
Default app on login,Standaard-app bij inloggen,
Discover ecosystem apps,Ecosysteem-apps ontdekken,
Delete,Verwijderen,
Displayed in the top bar,Weergegeven in de bovenbalk,
Dock Settings,Dock-instellingen,
Done,Klaar,
Done editing,Klaar met bewerken,
Drag to reorder {0},Sleep om {0} te herordenen,
Edit bookmarks,Bladwijzers bewerken,
e.g. Europe/Berlin,bijv. Europe/Berlin,
Email,E-mail,
Enable bookmarks,Bladwijzers inschakelen,
Everyone,Iedereen,
Enable global timer,Globale timer inschakelen,
Enable recent items,Recente items inschakelen,
Expired,Verlopen,
Expires,Verloopt,
Expires: {0},Verloopt: {0},
Failed to generate link. Please try again.,Kon link niet genereren. Probeer het opnieuw.,
Failed to load sessions.,Kon sessies niet laden.,
Features,Functies,
Full name,Volledige naam,
Frappe Desk,Frappe Desk,
Generate link,Link genereren,
Generating…,Genereren…,
Guest Portal,Gastenportaal,
in {0},in {0},
"Install Orga, Micro, or other apps to see cross-app context for your contacts.","Installeer Orga, Micro of andere apps om cross-app context voor je contacten te zien.",
jane@example.com,jane@example.com,
Jane Smith,Jane Smith,
Job title,Functietitel,
Keep running,Doorgaan,
Label,Label,
Last accessed,Laatst geopend,
Light,Licht,
Limit,Limiet,
Link expires in:,Link verloopt over:,
Loading…,Laden…,
Load more,Meer laden,
Log out,Uitloggen,
Make private,Privé maken,
Mark all read,Alles als gelezen markeren,
Mark read,Als gelezen markeren,
Monday,Maandag,
More fields,Meer velden,
My contacts,Mijn contacten,
My Account,Mijn account,
My Profile,Mijn profiel,
Never,Nooit,
New contact,Nieuw contact,
No contacts found,Geen contacten gevonden,
No expiry,Geen vervaldatum,
None,Geen,
No guest sessions yet.,Nog geen gastsessies.,
No recent items,Geen recente items,
No recent items yet,Nog geen recente items,
No results for "{0}",Geen resultaten voor "{0}",
No results for "{0}" in {1},Geen resultaten voor "{0}" in {1},
Notifications,Meldingen,
Notification unavailable,Melding niet beschikbaar,
Organization Defaults,Organisatie-standaarden,
Organization settings updated — reload to apply,Organisatie-instellingen bijgewerkt — herlaad om toe te passen,
Org default,Standaard organisatie,
"Password, 2FA, profile picture","Wachtwoord, 2FA, profielfoto",
Pause,Pauzeren,
paused,gepauzeerd,
People,Mensen,
People with access,Mensen met toegang,
Permissions,Rechten,
Pinned,Vastgezet,
Powered by Tonic,Powered by Tonic,
Phone,Telefoon,
Private,Privé,
Product Manager,Product Manager,
Preferences,Voorkeuren,
Read,Lezen,
Recent,Recent,
Reload,Herladen,
Remove bookmark,Bladwijzer verwijderen,
Remove from shared,Verwijderen uit gedeeld,
Remove from recent,Verwijderen uit recent,
Resume,Hervatten,
Retry,Opnieuw proberen,
Revoke,Intrekken,
Revoked,Ingetrokken,
Revoke session,Sessie intrekken,
Revoking…,Intrekken…,
Saved,Opgeslagen,
Save failed,Opslaan mislukt,
Save organization settings,Organisatie-instellingen opslaan,
Saving…,Opslaan…,
Search...,Zoeken...,
"Search by name, email, or phone…","Zoeken op naam, e-mail of telefoon…",
Search users...,Gebruikers zoeken...,
Share {0} {1},{0} {1} delen,
Submit,Verzenden,
Search in All apps,Zoeken in alle apps,
Search unavailable,Zoeken niet beschikbaar,
selected,geselecteerd,
Share "{0}","{0}" delen,
Share with team,Delen met team,
Shared,Gedeeld,
Shared with team,Gedeeld met team,
Share with client,Delen met klant,
Showing {0} of {1} sessions,{0} van {1} sessies weergegeven,
Site label,Sitelabel,
Sort: A–Z — click for last modified,Sorteren: A–Z — klik voor laatst gewijzigd,
Sort: last modified — click for A–Z,Sorteren: laatst gewijzigd — klik voor A–Z,
Start,Starten,
Start Timer,Timer starten,
Status,Status,
Stop,Stoppen,
Stop & Save,Stoppen & opslaan,
Sunday,Zondag,
System,Systeem,
Theme,Thema,
Theme preference,Themavoorkeur,
This email is already on,Dit e-mailadres is al in gebruik,
This link has been deactivated.,Deze link is gedeactiveerd.,
This link has expired. Please ask the sender for a new link.,Deze link is verlopen. Vraag de afzender om een nieuwe link.,
This link is invalid or has been removed.,Deze link is ongeldig of is verwijderd.,
Time,Tijd,
Time entry saved,Tijdregistratie opgeslagen,
Timer unavailable,Timer niet beschikbaar,
Timezone,Tijdzone,
total,totaal,
Try again,Opnieuw proberen,
Unread,Ongelezen,
Open calendar,Agenda openen,
Open in Desk,Openen in Desk,
Open in {0},Openen in {0},
User menu,Gebruikersmenu,
View existing →,Bestaande bekijken →,
Visibility,Zichtbaarheid,
View,Bekijken,
View all notifications,Alle meldingen bekijken,
View time entry,Tijdregistratie bekijken,
Week starts on,Week begint op,
Write,Schrijven,
What are you working on?,Waar werk je aan?,
You're all caught up,Je bent helemaal bij,
Your Preferences,Jouw voorkeuren,
Your timer has been running for {0},Je timer loopt al {0},
Actions,Acties,
Add details about this event...,Details over dit evenement toevoegen...,
Add event,Evenement toevoegen,
Agenda,Agenda,
All day,Hele dag,
Calendar,Kalender,
Create Event,Evenement aanmaken,
Create in:,Aanmaken in:,
Day,Dag,
Deadline,Deadline,
Delete Event,Evenement verwijderen,
Delete this event? This cannot be undone.,Dit evenement verwijderen? Dit kan niet ongedaan worden gemaakt.,
Deleting…,Verwijderen…,
Description,Beschrijving,
Details,Details,
End,Einde,
Event,Evenement,
Event title,Evenementtitel,
