source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,30 天,
7 days,7 天,
90 days,90 天,
Acme Corp,Acme Corp,
Active,活跃,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","创建联系人后可以编辑其他字段（地址、备注等）。",
Add,添加,
Add people,添加人员,
Adding…,正在添加…,
Add bookmark,添加书签,
All logged-in users,所有已登录用户,
All logged-in users can view this document,所有已登录用户均可查看此文档,
Add notes...,添加备注...,
All,全部,
A–Z,A–Z,
Blank = org default,留空 = 组织默认值,
Bookmark limit reached (12),书签数量已达上限 (12),
Bookmark limit reached (12). Remove a bookmark to add another.,书签数量已达上限 (12)。请移除一个书签后再添加。,
Bookmark this record,为此记录添加书签,
App context,应用上下文,
App switcher,应用切换器,
Browse all apps →,浏览所有应用 →,
Install apps →,安装应用 →,
Cancel,取消,
Clear recent items history,清除最近项目历史,
Company,公司,
Compose email,撰写邮件,
contact,联系人,
contacts,联系人,
Could not create contact,无法创建联系人,
Could not load contact,无法加载联系人,
Could not add user. Please try again.,无法添加用户，请重试。,
Could not load contacts,无法加载联系人,
Could not load shares,无法加载共享,
Create,创建,
Create & Open,创建并打开,
Create a contact or adjust your filters,创建联系人或调整筛选条件,
Creating…,正在创建…,
History cleared,历史已清除,
This will remove all recent items. Continue?,此操作将清除所有最近项目。是否继续？,
Close,关闭,
Content is temporarily unavailable.,内容暂时不可用。,
Copied!,已复制！,
Copy link,复制链接,
Copy portal URL,复制门户链接,
Dark,深色,
Date format,日期格式,
Default app on login,登录后默认应用,
Discover ecosystem apps,探索生态应用,
Delete,删除,
Displayed in the top bar,显示在顶部栏,
Dock Settings,Dock 设置,
Done,完成,
Done editing,编辑完成,
Drag to reorder {0},拖动以重新排列 {0},
Edit bookmarks,编辑书签,
e.g. Europe/Berlin,例如 Europe/Berlin,
Email,邮箱,
Enable bookmarks,启用书签,
Everyone,所有人,
Enable global timer,启用全局计时器,
Enable recent items,启用最近项目,
Expired,已过期,
Expires,过期时间,
Expires: {0},过期时间：{0},
Failed to generate link. Please try again.,生成链接失败，请重试。,
Failed to load sessions.,加载会话失败。,
Features,功能,
Full name,全名,
Frappe Desk,Frappe Desk,
Generate link,生成链接,
Generating…,正在生成…,
Guest Portal,访客门户,
in {0},在 {0} 中,
"Install Orga, Micro, or other apps to see cross-app context for your contacts.","安装 Orga、Micro 或其他应用以查看联系人的跨应用上下文。",
jane@example.com,jane@example.com,
Jane Smith,Jane Smith,
Job title,职位,
Keep running,继续运行,
Label,标签,
Last accessed,上次访问,
Light,浅色,
Limit,限制,
Link expires in:,链接过期时间：,
Loading…,正在加载…,
Load more,加载更多,
Log out,退出登录,
Make private,设为私有,
Mark all read,全部标为已读,
Mark read,标为已读,
Monday,星期一,
More fields,更多字段,
