source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,30 дана,
7 days,7 дана,
90 days,90 дана,
Acme Corp,Acme Corp,
Active,Активно,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","Додатна поља (адреса, белешке итд.) можеш уредити после креирања контакта.",
Add,Додај,
Add people,Додај особе,
Adding…,Додавање…,
Add bookmark,Додај обележивач,
All logged-in users,Сви пријављени корисници,
All logged-in users can view this document,Сви пријављени корисници могу да виде овај документ,
Add notes...,Додај белешке...,
All,Све,
A–Z,А–Ш,
Blank = org default,Празно = подразумевано за организацију,
Bookmark limit reached (12),Достигнут лимит обележивача (12),
"Bookmark limit reached (12). Remove a bookmark to add another.","Достигнут лимит обележивача (12). Уклони један обележивач да би додао нови.",
Bookmark this record,Обележи овај запис,
App context,Контекст апликације,
App switcher,Пребацивач апликација,
Browse all apps →,Прегледај све апликације →,
Install apps →,Инсталирај апликације →,
Cancel,Откажи,
Clear recent items history,Обриши историју недавних ставки,
Company,Компанија,
Compose email,Напиши имејл,
contact,контакт,
contacts,контакти,
Could not create contact,Није могуће креирати контакт,
Could not load contact,Није могуће учитати контакт,
Could not add user. Please try again.,Није могуће додати корисника. Покушај поново.,
Could not load contacts,Није могуће учитати контакте,
Could not load shares,Није могуће учитати дељења,
Create,Креирај,
Create & Open,Креирај и отвори,
Create a contact or adjust your filters,Креирај контакт или прилагоди филтере,
Creating…,Креирање…,
History cleared,Историја обрисана,
This will remove all recent items. Continue?,Ово ће уклонити све недавне ставке. Наставити?,
Close,Затвори,
Content is temporarily unavailable.,Садржај је тренутно недоступан.,
Copied!,Копирано!,
Copy link,Копирај линк,
Copy portal URL,Копирај URL портала,
Dark,Тамна,
Date format,Формат датума,
Default app on login,Подразумевана апликација при пријави,
Discover ecosystem apps,Откриј апликације екосистема,
Delete,Обриши,
Displayed in the top bar,Приказано у горњој траци,
Dock Settings,Dock подешавања,
Done,Готово,
Done editing,Уређивање завршено,
Drag to reorder {0},Превуци за промену редоследа {0},
Edit bookmarks,Уреди обележиваче,
e.g. Europe/Berlin,нпр. Europe/Berlin,
Email,Имејл,
Enable bookmarks,Укључи обележиваче,
Everyone,Сви,
Enable global timer,Укључи глобални тајмер,
Enable recent items,Укључи недавне ставке,
Expired,Истекло,
Expires,Истиче,
Expires: {0},Истиче: {0},
Failed to generate link. Please try again.,Генерисање линка није успело. Покушај поново.,
Failed to load sessions.,Учитавање сесија није успело.,
Features,Функције,
Full name,Пуно име,
Frappe Desk,Frappe Desk,
Generate link,Генериши линк,
Generating…,Генерисање…,
Guest Portal,Портал за госте,
in {0},у {0},
"Install Orga, Micro, or other apps to see cross-app context for your contacts.","Инсталирај Orga, Micro или друге апликације да видиш контекст контаката из других апликација.",
jane@example.com,jane@example.com,
Jane Smith,Jane Smith,
Job title,Позиција,
Keep running,Настави са радом,
Label,Ознака,
Last accessed,Последњи приступ,
Light,Светла,
Limit,Лимит,
Link expires in:,Линк истиче за:,
Loading…,Учитавање…,
Load more,Учитај још,
Log out,Одјави се,
Make private,Учини приватним,
Mark all read,Означи све као прочитано,
Mark read,Означи као прочитано,
Monday,Понедељак,
More fields,Још поља,
My contacts,Моји контакти,
My Account,Мој налог,
My Profile,Мој профил,
Never,Никад,
New contact,Нови контакт,
No contacts found,Нема пронађених контаката,
No expiry,Без истека,
None,Ништа,
No guest sessions yet.,Још нема сесија гостију.,
No recent items,Нема недавних ставки,
No recent items yet,Још нема недавних ставки,
No results for "{0}",Нема резултата за „{0}",
No results for "{0}" in {1},Нема резултата за „{0}" у {1},
Notifications,Обавештења,
Notification unavailable,Обавештење недоступно,
Organization Defaults,Подразумевана подешавања организације,
Organization settings updated — reload to apply,Подешавања организације ажурирана — поново учитај да примениш,
Org default,Подразумевано за организацију,
"Password, 2FA, profile picture","Лозинка, 2FA, слика профила",
Pause,Пауза,
paused,паузирано,
People,Особе,
People with access,Особе са приступом,
Permissions,Дозволе,
Pinned,Закачено,
Powered by Tonic,Покреће Tonic,
Phone,Телефон,
Private,Приватно,
Product Manager,Product Manager,
Preferences,Преференце,
Read,Читање,
Recent,Недавно,
Reload,Поново учитај,
Remove bookmark,Уклони обележивач,
Remove from shared,Уклони из дељених,
Remove from recent,Уклони из недавних,
Resume,Настави,
Retry,Покушај поново,
Revoke,Опозови,
Revoked,Опозвано,
Revoke session,Опозови сесију,
Revoking…,Опозивање…,
Saved,Сачувано,
Save failed,Чување неуспешно,
Save organization settings,Сачувај подешавања организације,
Saving…,Чување…,
Search...,Претрага...,
"Search by name, email, or phone…","Претражи по имену, имејлу или телефону…",
Search users...,Претражи кориснике...,
Share {0} {1},Подели {0} {1},
Submit,Пошаљи,
Search in All apps,Претражи у свим апликацијама,
Search unavailable,Претрага недоступна,
selected,изабрано,
Share "{0}",Подели „{0}",
Share with team,Подели са тимом,
Shared,Дељено,
Shared with team,Подељено са тимом,
Share with client,Подели са клијентом,
Showing {0} of {1} sessions,Приказано {0} од {1} сесија,
Site label,Ознака сајта,
Sort: A–Z — click for last modified,Сортирај: А–Ш — кликни за последње измењено,
Sort: last modified — click for A–Z,Сортирај: последње измењено — кликни за А–Ш,
Start,Започни,
Start Timer,Покрени тајмер,
Status,Статус,
Stop,Заустави,
Stop & Save,Заустави и сачувај,
Sunday,Недеља,
System,Системска,
Theme,Тема,
Theme preference,Преференца теме,
This email is already on,Овај имејл је већ додат,
This link has been deactivated.,Овај линк је деактивиран.,
This link has expired. Please ask the sender for a new link.,Овај линк је истекао. Затражи нови линк од пошиљаоца.,
This link is invalid or has been removed.,Овај линк је неважећи или је уклоњен.,
Time,Време,
Time entry saved,Временски унос сачуван,
Timer unavailable,Тајмер недоступан,
Timezone,Временска зона,
total,укупно,
Try again,Покушај поново,
Unread,Непрочитано,
Open calendar,Отвори календар,
Open in Desk,Отвори у Desk-у,
Open in {0},Отвори у {0},
User menu,Кориснички мени,
View existing →,Погледај постојеће →,
Visibility,Видљивост,
View,Прегледај,
View all notifications,Погледај сва обавештења,
View time entry,Погледај временски унос,
Week starts on,Недеља почиње,
Write,Писање,
What are you working on?,На чему радиш?,
You're all caught up,Све си прочитао,
Your Preferences,Твоје преференце,
Your timer has been running for {0},Твој тајмер ради већ {0},
Actions,Акције,
Add details about this event...,Додај детаље о овом догађају...,
Add event,Додај догађај,
Agenda,Агенда,
All day,Цео дан,
Calendar,Календар,
Create Event,Креирај догађај,
Create in:,Креирај у:,
Day,Дан,
Deadline,Рок,
Delete Event,Обриши догађај,
Delete this event? This cannot be undone.,Обрисати овај догађај? Ово се не може поништити.,
Deleting…,Брисање…,
Description,Опис,
Details,Детаљи,
End,Крај,
Event,Догађај,
Event title,Назив догађаја,
Failed to create event,Креирање догађаја није успело,
Failed to delete event,Брисање догађаја није успело,
Manage this event in,Управљај овим догађајем у,
Meeting,Састанак,
Milestone,Прекретница,
Month,Месец,
My calendars,Моји календари,
New Event,Нови догађај,
No actions available,Нема доступних акција,
No events,Нема догађаја,
Open in,Отвори у,
Other,Остало,
Permanently remove this event,Трајно уклони овај догађај,
Review,Преглед,
Source,Извор,
Start date/time is required,Датум/време почетка је обавезно,
Title,Наслов,
Title is required,Наслов је обавезан,
Today,Данас,
Type,Тип,
View full details in the source app,Погледај све детаље у изворној апликацији,
Week,Недеља,
When,Када,
{0} available,{0} доступно,
Available,Доступно,
Configure Frappe Manager to enable one-click updates.,Подеси Frappe Manager за ажурирања једним кликом.,
Copy command,Копирај команду,
Ecosystem Apps,Апликације екосистема,
Failed,Неуспешно,
Install,Инсталирај,
Installed,Инсталирано,
Learn more,Сазнај више,
No apps found,Нема пронађених апликација,
not installed,није инсталирано,
Open,Отвори,
Pro available,Pro доступан,
Queued…,У реду…,
Refresh,Освежи,
Remove,Уклони,
Remove {0}? This will uninstall the app and may affect data.,Уклонити {0}? Ово ће деинсталирати апликацију и може утицати на податке.,
Restart required,Потребан рестарт,
Restarting…,Рестартовање…,
"To install {0}, run:","За инсталацију {0}, покрени:",
"To update {0}, run:","За ажурирање {0}, покрени:",
Update {0} from v{1} to {2}? This will restart Frappe.,Ажурирати {0} са v{1} на {2}? Ово ће рестартовати Frappe.,
Update to {0},Ажурирај на {0},
Updated,Ажурирано,
Updating…,Ажурирање…,
Up to date,Ажурно,
to version,на верзију,
For whom?,За кога?,
Working on?,На чему?,
Search contacts...,Претражи контакте...,
Select type...,Изабери тип...,
Context,Контекст,
Contact,Контакт,
Context Type,Тип контекста,
Activity,Активност,
Activity will appear here as you and your team work across ecosystem apps.,Активност ће се појавити овде док ти и твој тим радите у апликацијама екосистема.,
Acknowledge,Потврди,
All apps,Све апликације,
All Discussions,Све дискусије,
All types,Сви типови,
Archived,Архивирано,
Cancel,Откажи,
Celebrate,Прослави,
Comments,Коментари,
Create Discussion,Креирај дискусију,
Creating…,Креирање…,
Ctrl+Enter to send,Ctrl+Enter за слање,
Decision,Одлука,
Discussion not found,Дискусија није пронађена,
Discussion title,Наслов дискусије,
Discussions,Дискусије,
Flag,Означи,
General,Опште,
just now,управо сада,
Keep commenting,Настави коментарисање,
Linked Records,Повезани записи,
Linked to,Повезано са,
Load more,Учитај још,
Loading…,Учитавање…,
Meeting Protocol,Записник састанка,
Mentioned,Поменуто,
New Discussion,Нова дискусија,
No activity yet,Још нема активности,
No comments yet,Још нема коментара,
No discussions found,Нема пронађених дискусија,
No discussions yet,Још нема дискусија,
Note,Белешка,
Notes,Белешке,
Participants,Учесници,
Pin,Закачи,
Pinned,Закачено,
Proposal,Предлог,
Protocol,Протокол,
Reopen,Поново отвори,
Replies,Одговори,
Reply,Одговори,
Replying to comment,Одговор на коментар,
Resolve,Реши,
Resolve Discussion,Реши дискусију,
Resolved,Решено,
Resolution,Решење,
Resolution summary...,Резиме решења...,
Retrospective,Ретроспектива,
Search discussions...,Претражи дискусије...,
Seen,Виђено,
Send,Пошаљи,
Start Discussion,Започни дискусију,
Unpin,Откачи,
Write a comment...,Напиши коментар...,
Write your discussion content...,Напиши садржај дискусије...,
resolved,решено,
unread,непрочитано,
{0} mentioned you in a comment,{0} те помиње у коментару,
{0} is already an attendee.,{0} је већ учесник.,
{0} is not an attendee.,{0} није учесник.,
{0} is not installed,{0} није инсталирано,
{0} results found,Пронађено {0} резултата,
+ Add tags,+ Додај ознаке,
A→Z,А→Ш,
Accept,Прихвати,
Action failed,Акција неуспешна,
Active now,Активно сада,
Add a note,Додај белешку,
"Add a note to keep track of details about this contact.","Додај белешку да пратиш детаље о овом контакту.",
Add address,Додај адресу,
Add another address,Додај још једну адресу,
Add birthday,Додај рођендан,
Add company,Додај компанију,
Add job title,Додај позицију,
Add more tags...,Додај још ознака...,
