source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,30 päivää,
7 days,7 päivää,
90 days,90 päivää,
Acme Corp,Acme Corp,
Active,Aktiivinen,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","Lisäkenttiä (osoite, muistiinpanot jne.) voi muokata yhteystiedon luomisen jälkeen.",
Add,Lisää,
Add people,Lisää ihmisiä,
Adding…,Lisätään…,
Add bookmark,Lisää kirjanmerkki,
All logged-in users,Kaikki kirjautuneet käyttäjät,
All logged-in users can view this document,Kaikki kirjautuneet käyttäjät voivat tarkastella tätä dokumenttia,
Add notes...,Lisää muistiinpanoja...,
All,Kaikki,
A–Z,A–Ö,
Blank = org default,Tyhjä = organisaation oletus,
Bookmark limit reached (12),Kirjanmerkkien enimmäismäärä saavutettu (12),
"Bookmark limit reached (12). Remove a bookmark to add another.","Kirjanmerkkien enimmäismäärä saavutettu (12). Poista kirjanmerkki lisätäksesi uuden.",
Bookmark this record,Lisää tämä tietue kirjanmerkkeihin,
App context,Sovelluskonteksti,
App switcher,Sovellusvaihdin,
Browse all apps →,Selaa kaikkia sovelluksia →,
Install apps →,Asenna sovelluksia →,
Cancel,Peruuta,
Clear recent items history,Tyhjennä viimeisimpien kohteiden historia,
Company,Yritys,
Compose email,Kirjoita sähköposti,
contact,yhteystieto,
contacts,yhteystiedot,
Could not create contact,Yhteystiedon luominen epäonnistui,
Could not load contact,Yhteystietoa ei voitu ladata,
Could not add user. Please try again.,Käyttäjän lisääminen epäonnistui. Yritä uudelleen.,
Could not load contacts,Yhteystietoja ei voitu ladata,
Could not load shares,Jakoja ei voitu ladata,
Create,Luo,
Create & Open,Luo ja avaa,
Create a contact or adjust your filters,Luo yhteystieto tai muuta suodattimia,
Creating…,Luodaan…,
History cleared,Historia tyhjennetty,
This will remove all recent items. Continue?,Tämä poistaa kaikki viimeisimmät kohteet. Jatketaanko?,
Close,Sulje,
Content is temporarily unavailable.,Sisältö ei ole tilapäisesti saatavilla.,
Copied!,Kopioitu!,
Copy link,Kopioi linkki,
Copy portal URL,Kopioi portaalin URL,
Dark,Tumma,
Date format,Päivämäärämuoto,
Default app on login,Oletussovellus kirjautuessa,
Discover ecosystem apps,Tutustu ekosysteemin sovelluksiin,
Delete,Poista,
Displayed in the top bar,Näytetään yläpalkissa,
Dock Settings,Dock-asetukset,
Done,Valmis,
Done editing,Muokkaus valmis,
Drag to reorder {0},Vedä järjestääksesi {0} uudelleen,
Edit bookmarks,Muokkaa kirjanmerkkejä,
e.g. Europe/Berlin,"esim. Europe/Helsinki",
Email,Sähköposti,
Enable bookmarks,Ota kirjanmerkit käyttöön,
Everyone,Kaikki,
Enable global timer,Ota globaali ajastin käyttöön,
Enable recent items,Ota viimeisimmät kohteet käyttöön,
Expired,Vanhentunut,
Expires,Vanhenee,
Expires: {0},Vanhenee: {0},
Failed to generate link. Please try again.,Linkin luominen epäonnistui. Yritä uudelleen.,
Failed to load sessions.,Istuntojen lataaminen epäonnistui.,
Features,Ominaisuudet,
Full name,Koko nimi,
Frappe Desk,Frappe Desk,
Generate link,Luo linkki,
Generating…,Luodaan…,
Guest Portal,Vierasportaali,
in {0},{0}:ssa,
"Install Orga, Micro, or other apps to see cross-app context for your contacts.","Asenna Orga, Micro tai muita sovelluksia nähdäksesi sovellusten väliset yhteystiedot.",
jane@example.com,jane@example.com,
Jane Smith,Jane Smith,
Job title,Tehtävänimike,
Keep running,Jatka käyntiä,
Label,Nimike,
Last accessed,Viimeksi käytetty,
Light,Vaalea,
Limit,Raja,
Link expires in:,Linkki vanhenee:,
Loading…,Ladataan…,
Load more,Lataa lisää,
Log out,Kirjaudu ulos,
Make private,Tee yksityiseksi,
Mark all read,Merkitse kaikki luetuiksi,
Mark read,Merkitse luetuksi,
Monday,Maanantai,
More fields,Lisäkentät,
My contacts,Omat yhteystiedot,
My Account,Oma tili,
My Profile,Oma profiili,
Never,Ei koskaan,
New contact,Uusi yhteystieto,
No contacts found,Yhteystietoja ei löytynyt,
No expiry,Ei vanhene,
None,Ei mitään,
No guest sessions yet.,Ei vierasistuntoja vielä.,
No recent items,Ei viimeisimpiä kohteita,
No recent items yet,Ei viimeisimpiä kohteita vielä,
No results for "{0}",Ei tuloksia haulle "{0}",
"No results for ""{0}"" in {1}","Ei tuloksia haulle ""{0}"" kohteessa {1}",
Notifications,Ilmoitukset,
Notification unavailable,Ilmoitus ei saatavilla,
Organization Defaults,Organisaation oletukset,
Organization settings updated — reload to apply,Organisaation asetukset päivitetty — lataa sivu uudelleen,
Org default,Organisaation oletus,
"Password, 2FA, profile picture","Salasana, 2FA, profiilikuva",
Pause,Tauko,
paused,tauolla,
People,Ihmiset,
People with access,Käyttöoikeudet,
Permissions,Oikeudet,
Pinned,Kiinnitetty,
Powered by Tonic,Powered by Tonic,
Phone,Puhelin,
Private,Yksityinen,
Product Manager,Product Manager,
Preferences,Omat asetukset,
Read,Luku,
Recent,Viimeisimmät,
Reload,Lataa uudelleen,
Remove bookmark,Poista kirjanmerkki,
Remove from shared,Poista jaetusta,
Remove from recent,Poista viimeisimmistä,
Resume,Jatka,
Retry,Yritä uudelleen,
Revoke,Kumoa,
