source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,30 dienų,
7 days,7 dienos,
90 days,90 dienų,
Acme Corp,Acme Corp,
Active,Aktyvus,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","Papildomi laukai (adresas, pastabos ir kt.) bus redaguojami sukūrus kontaktą.",
Add,Pridėti,
Add people,Pridėti žmonių,
Adding…,Pridedama…,
Add bookmark,Pridėti žymę,
All logged-in users,Visi prisijungę naudotojai,
All logged-in users can view this document,Visi prisijungę naudotojai gali matyti šį dokumentą,
Add notes...,Pridėti pastabų...,
All,Visi,
A–Z,A–Ž,
Blank = org default,Tuščia = organizacijos numatytasis,
Bookmark limit reached (12),Žymių limitas pasiektas (12),
Bookmark limit reached (12). Remove a bookmark to add another.,Žymių limitas pasiektas (12). Pašalink žymę norint pridėti naują.,
Bookmark this record,Pažymėti šį įrašą,
App context,Programėlės kontekstas,
App switcher,Programėlių perjungiklis,
Browse all apps →,Visos programėlės →,
Install apps →,Įdiegti programėles →,
Cancel,Atšaukti,
Clear recent items history,Išvalyti naujausių elementų istoriją,
Company,Įmonė,
Compose email,Rašyti laišką,
contact,kontaktas,
contacts,kontaktai,
Could not create contact,Nepavyko sukurti kontakto,
Could not load contact,Nepavyko įkelti kontakto,
Could not add user. Please try again.,Nepavyko pridėti naudotojo. Bandyk dar kartą.,
Could not load contacts,Nepavyko įkelti kontaktų,
Could not load shares,Nepavyko įkelti bendrinimų,
Create,Sukurti,
Create & Open,Sukurti ir atidaryti,
Create a contact or adjust your filters,Sukurk kontaktą arba pakeisk filtrus,
Creating…,Kuriama…,
History cleared,Istorija išvalyta,
This will remove all recent items. Continue?,Tai pašalins visus naujausius elementus. Tęsti?,
Close,Uždaryti,
Content is temporarily unavailable.,Turinys laikinai nepasiekiamas.,
Copied!,Nukopijuota!,
Copy link,Kopijuoti nuorodą,
Copy portal URL,Kopijuoti portalo URL,
Dark,Tamsus,
Date format,Datos formatas,
Default app on login,Numatytoji programėlė prisijungus,
Discover ecosystem apps,Atrask ekosistemos programėles,
Delete,Ištrinti,
Displayed in the top bar,Rodoma viršutinėje juostoje,
Dock Settings,Dock nustatymai,
Done,Atlikta,
Done editing,Redagavimas baigtas,
Drag to reorder {0},Vilk norėdamas pertvarkyti {0},
Edit bookmarks,Redaguoti žymes,
e.g. Europe/Berlin,pvz. Europe/Berlin,
Email,El. paštas,
Enable bookmarks,Įjungti žymes,
Everyone,Visi,
Enable global timer,Įjungti globalų laikmatį,
Enable recent items,Įjungti naujausius elementus,
Expired,Pasibaigęs,
Expires,Baigiasi,
Expires: {0},Baigiasi: {0},
Failed to generate link. Please try again.,Nepavyko sugeneruoti nuorodos. Bandyk dar kartą.,
Failed to load sessions.,Nepavyko įkelti sesijų.,
Features,Funkcijos,
Full name,Vardas ir pavardė,
Frappe Desk,Frappe Desk,
Generate link,Generuoti nuorodą,
Generating…,Generuojama…,
Guest Portal,Svečio portalas,
in {0},{0} programėlėje,
"Install Orga, Micro, or other apps to see cross-app context for your contacts.","Įdiek Orga, Micro ar kitas programėles norėdamas matyti tarprograminį kontaktų kontekstą.",
jane@example.com,jane@example.com,
Jane Smith,Jane Smith,
Job title,Pareigos,
Keep running,Palikti veikiantį,
Label,Etiketė,
Last accessed,Paskutinė prieiga,
Light,Šviesus,
Limit,Limitas,
Link expires in:,Nuoroda baigia galioti:,
Loading…,Įkeliama…,
Load more,Įkelti daugiau,
Log out,Atsijungti,
Make private,Padaryti privatų,
Mark all read,Pažymėti visus skaitytais,
Mark read,Pažymėti skaitytu,
Monday,Pirmadienis,
More fields,Daugiau laukų,
My contacts,Mano kontaktai,
My Account,Mano paskyra,
My Profile,Mano profilis,
Never,Niekada,
New contact,Naujas kontaktas,
No contacts found,Kontaktų nerasta,
No expiry,Neterminuota,
None,Nėra,
No guest sessions yet.,Svečių sesijų dar nėra.,
No recent items,Nėra naujausių elementų,
No recent items yet,Naujausių elementų dar nėra,
No results for "{0}",Rezultatų pagal „{0}" nerasta,
