source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,30 วัน,
7 days,7 วัน,
90 days,90 วัน,
Acme Corp,Acme Corp,
Active,ใช้งานอยู่,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","ฟิลด์เพิ่มเติม (ที่อยู่, บันทึก, ฯลฯ) สามารถแก้ไขได้หลังจากสร้างผู้ติดต่อ",
Add,เพิ่ม,
Add people,เพิ่มคน,
Adding…,กำลังเพิ่ม…,
Add bookmark,เพิ่มบุ๊กมาร์ก,
All logged-in users,ผู้ใช้ที่เข้าสู่ระบบทั้งหมด,
All logged-in users can view this document,ผู้ใช้ที่เข้าสู่ระบบทั้งหมดสามารถดูเอกสารนี้ได้,
Add notes...,เพิ่มบันทึก...,
All,ทั้งหมด,
A–Z,A–Z,
Blank = org default,ว่าง = ค่าเริ่มต้นขององค์กร,
Bookmark limit reached (12),ถึงขีดจำกัดบุ๊กมาร์กแล้ว (12),
Bookmark limit reached (12). Remove a bookmark to add another.,ถึงขีดจำกัดบุ๊กมาร์กแล้ว (12) ลบบุ๊กมาร์กเพื่อเพิ่มรายการใหม่,
Bookmark this record,บุ๊กมาร์กรายการนี้,
App context,บริบทแอป,
App switcher,ตัวสลับแอป,
Browse all apps →,ดูแอปทั้งหมด →,
Install apps →,ติดตั้งแอป →,
Cancel,ยกเลิก,
Clear recent items history,ล้างประวัติรายการล่าสุด,
Company,บริษัท,
Compose email,เขียนอีเมล,
contact,ผู้ติดต่อ,
contacts,ผู้ติดต่อ,
Could not create contact,ไม่สามารถสร้างผู้ติดต่อได้,
Could not load contact,ไม่สามารถโหลดผู้ติดต่อได้,
Could not add user. Please try again.,ไม่สามารถเพิ่มผู้ใช้ได้ กรุณาลองอีกครั้ง,
Could not load contacts,ไม่สามารถโหลดผู้ติดต่อได้,
Could not load shares,ไม่สามารถโหลดการแชร์ได้,
Create,สร้าง,
Create & Open,สร้างและเปิด,
Create a contact or adjust your filters,สร้างผู้ติดต่อหรือปรับตัวกรองของคุณ,
Creating…,กำลังสร้าง…,
History cleared,ล้างประวัติแล้ว,
This will remove all recent items. Continue?,การดำเนินการนี้จะลบรายการล่าสุดทั้งหมด ดำเนินการต่อ?,
Close,ปิด,
Content is temporarily unavailable.,เนื้อหาไม่พร้อมใช้งานชั่วคราว,
Copied!,คัดลอกแล้ว!,
Copy link,คัดลอกลิงก์,
Copy portal URL,คัดลอก URL พอร์ทัล,
Dark,มืด,
Date format,รูปแบบวันที่,
Default app on login,แอปเริ่มต้นเมื่อเข้าสู่ระบบ,
Discover ecosystem apps,ค้นพบแอปในระบบนิเวศ,
Delete,ลบ,
Displayed in the top bar,แสดงบนแถบด้านบน,
Dock Settings,การตั้งค่า Dock,
Done,เสร็จสิ้น,
Done editing,แก้ไขเสร็จแล้ว,
Drag to reorder {0},ลากเพื่อจัดเรียง {0} ใหม่,
Edit bookmarks,แก้ไขบุ๊กมาร์ก,
e.g. Europe/Berlin,เช่น Europe/Berlin,
Email,อีเมล,
Enable bookmarks,เปิดใช้งานบุ๊กมาร์ก,
Everyone,ทุกคน,
Enable global timer,เปิดใช้งานตัวจับเวลาทั่วไป,
Enable recent items,เปิดใช้งานรายการล่าสุด,
Expired,หมดอายุ,
Expires,หมดอายุ,
Expires: {0},หมดอายุ: {0},
Failed to generate link. Please try again.,ไม่สามารถสร้างลิงก์ได้ กรุณาลองอีกครั้ง,
Failed to load sessions.,ไม่สามารถโหลดเซสชันได้,
Features,คุณสมบัติ,
Full name,ชื่อ-นามสกุล,
Frappe Desk,Frappe Desk,
Generate link,สร้างลิงก์,
Generating…,กำลังสร้าง…,
Guest Portal,พอร์ทัลผู้เยี่ยมชม,
in {0},ใน {0},
"Install Orga, Micro, or other apps to see cross-app context for your contacts.","ติดตั้ง Orga, Micro, หรือแอปอื่น ๆ เพื่อดูบริบทข้ามแอปสำหรับผู้ติดต่อของคุณ",
jane@example.com,jane@example.com,
Jane Smith,Jane Smith,
Job title,ตำแหน่งงาน,
Keep running,ให้ทำงานต่อ,
Label,ป้ายกำกับ,
Last accessed,เข้าถึงล่าสุด,
Light,สว่าง,
Limit,ขีดจำกัด,
Link expires in:,ลิงก์หมดอายุใน:,
Loading…,กำลังโหลด…,
Load more,โหลดเพิ่มเติม,
Log out,ออกจากระบบ,
Make private,ทำให้เป็นส่วนตัว,
Mark all read,ทำเครื่องหมายอ่านทั้งหมด,
Mark read,ทำเครื่องหมายว่าอ่านแล้ว,
Monday,วันจันทร์,
More fields,ฟิลด์เพิ่มเติม,
My contacts,ผู้ติดต่อของฉัน,
My Account,บัญชีของฉัน,
My Profile,โปรไฟล์ของฉัน,
Never,ไม่เคย,
New contact,ผู้ติดต่อใหม่,
No contacts found,ไม่พบผู้ติดต่อ,
No expiry,ไม่หมดอายุ,
None,ไม่มี,
No guest sessions yet.,ยังไม่มีเซสชันผู้เยี่ยมชม,
No recent items,ไม่มีรายการล่าสุด,
No recent items yet,ยังไม่มีรายการล่าสุด,
No results for "{0}",ไม่มีผลลัพธ์สำหรับ "{0}",
No results for "{0}" in {1},ไม่มีผลลัพธ์สำหรับ "{0}" ใน {1},
Notifications,การแจ้งเตือน,
Notification unavailable,การแจ้งเตือนไม่พร้อมใช้งาน,
Organization Defaults,ค่าเริ่มต้นขององค์กร,
Organization settings updated — reload to apply,อัปเดตการตั้งค่าองค์กรแล้ว — รีโหลดเพื่อใช้งาน,
Org default,ค่าเริ่มต้นขององค์กร,
"Password, 2FA, profile picture","รหัสผ่าน, 2FA, รูปโปรไฟล์",
Pause,หยุดชั่วคราว,
paused,หยุดชั่วคราว,
People,ผู้คน,
People with access,ผู้ที่มีสิทธิ์เข้าถึง,
Permissions,สิทธิ์,
Pinned,ปักหมุดแล้ว,
Powered by Tonic,ขับเคลื่อนโดย Tonic,
Phone,โทรศัพท์,
Private,ส่วนตัว,
Product Manager,Product Manager,
Preferences,ค่ากำหนด,
Read,อ่าน,
Recent,ล่าสุด,
Reload,รีโหลด,
Remove bookmark,ลบบุ๊กมาร์ก,
Remove from shared,ลบจากการแชร์,
Remove from recent,ลบจากล่าสุด,
Resume,ดำเนินการต่อ,
Retry,ลองอีกครั้ง,
Revoke,เพิกถอน,
Revoked,เพิกถอนแล้ว,
Revoke session,เพิกถอนเซสชัน,
Revoking…,กำลังเพิกถอน…,
Saved,บันทึกแล้ว,
Save failed,บันทึกไม่สำเร็จ,
Save organization settings,บันทึกการตั้งค่าองค์กร,
Saving…,กำลังบันทึก…,
Search...,ค้นหา...,
"Search by name, email, or phone…","ค้นหาตามชื่อ, อีเมล, หรือโทรศัพท์…",
Search users...,ค้นหาผู้ใช้...,
Share {0} {1},แชร์ {0} {1},
Submit,ส่ง,
Search in All apps,ค้นหาในแอปทั้งหมด,
Search unavailable,การค้นหาไม่พร้อมใช้งาน,
selected,เลือกแล้ว,
Share "{0}",แชร์ "{0}",
Share with team,แชร์กับทีม,
Shared,แชร์แล้ว,
Shared with team,แชร์กับทีมแล้ว,
Share with client,แชร์กับลูกค้า,
Showing {0} of {1} sessions,แสดง {0} จาก {1} เซสชัน,
Site label,ป้ายกำกับไซต์,
Sort: A–Z — click for last modified,เรียง: A–Z — คลิกเพื่อดูแก้ไขล่าสุด,
Sort: last modified — click for A–Z,เรียง: แก้ไขล่าสุด — คลิกเพื่อดู A–Z,
Start,เริ่ม,
Start Timer,เริ่มตัวจับเวลา,
Status,สถานะ,
Stop,หยุด,
Stop & Save,หยุดและบันทึก,
Sunday,วันอาทิตย์,
System,ระบบ,
Theme,ธีม,
Theme preference,ค่ากำหนดธีม,
This email is already on,อีเมลนี้มีอยู่แล้วใน,
This link has been deactivated.,ลิงก์นี้ถูกปิดใช้งานแล้ว,
This link has expired. Please ask the sender for a new link.,ลิงก์นี้หมดอายุแล้ว กรุณาขอลิงก์ใหม่จากผู้ส่ง,
This link is invalid or has been removed.,ลิงก์นี้ไม่ถูกต้องหรือถูกลบแล้ว,
Time,เวลา,
Time entry saved,บันทึกรายการเวลาแล้ว,
Timer unavailable,ตัวจับเวลาไม่พร้อมใช้งาน,
Timezone,เขตเวลา,
total,รวม,
Try again,ลองอีกครั้ง,
Unread,ยังไม่ได้อ่าน,
Open calendar,เปิดปฏิทิน,
Open in Desk,เปิดใน Desk,
Open in {0},เปิดใน {0},
User menu,เมนูผู้ใช้,
View existing →,ดูที่มีอยู่ →,
Visibility,การแสดงผล,
View,ดู,
View all notifications,ดูการแจ้งเตือนทั้งหมด,
View time entry,ดูรายการเวลา,
Week starts on,สัปดาห์เริ่มต้นวัน,
Write,เขียน,
What are you working on?,คุณกำลังทำอะไรอยู่?,
You're all caught up,คุณอ่านครบทุกรายการแล้ว,
Your Preferences,ค่ากำหนดของคุณ,
Your timer has been running for {0},ตัวจับเวลาของคุณทำงานมาแล้ว {0},
Actions,การดำเนินการ,
Add details about this event...,เพิ่มรายละเอียดเกี่ยวกับกิจกรรมนี้...,
Add event,เพิ่มกิจกรรม,
Agenda,วาระการประชุม,
All day,ทั้งวัน,
Calendar,ปฏิทิน,
Create Event,สร้างกิจกรรม,
Create in:,สร้างใน:,
Day,วัน,
Deadline,กำหนดส่ง,
Delete Event,ลบกิจกรรม,
Delete this event? This cannot be undone.,ลบกิจกรรมนี้? การดำเนินการนี้ไม่สามารถย้อนกลับได้,
Deleting…,กำลังลบ…,
Description,คำอธิบาย,
Details,รายละเอียด,
End,สิ้นสุด,
Event,กิจกรรม,
Event title,ชื่อกิจกรรม,
Failed to create event,ไม่สามารถสร้างกิจกรรมได้,
Failed to delete event,ไม่สามารถลบกิจกรรมได้,
Manage this event in,จัดการกิจกรรมนี้ใน,
Meeting,การประชุม,
Milestone,เหตุการณ์สำคัญ,
Month,เดือน,
My calendars,ปฏิทินของฉัน,
New Event,กิจกรรมใหม่,
No actions available,ไม่มีการดำเนินการที่พร้อมใช้งาน,
No events,ไม่มีกิจกรรม,
Open in,เปิดใน,
Other,อื่น ๆ,
Permanently remove this event,ลบกิจกรรมนี้อย่างถาวร,
Review,ทบทวน,
Source,แหล่งที่มา,
Start date/time is required,ต้องระบุวันที่/เวลาเริ่มต้น,
Title,ชื่อเรื่อง,
Title is required,ต้องระบุชื่อเรื่อง,
Today,วันนี้,
Type,ประเภท,
View full details in the source app,ดูรายละเอียดทั้งหมดในแอปต้นทาง,
Week,สัปดาห์,
When,เมื่อไหร่,
{0} available,{0} พร้อมใช้งาน,
Available,พร้อมใช้งาน,
Configure Frappe Manager to enable one-click updates.,กำหนดค่า Frappe Manager เพื่อเปิดใช้งานการอัปเดตด้วยคลิกเดียว,
Copy command,คัดลอกคำสั่ง,
Ecosystem Apps,แอประบบนิเวศ,
Failed,ล้มเหลว,
Install,ติดตั้ง,
Installed,ติดตั้งแล้ว,
Learn more,เรียนรู้เพิ่มเติม,
No apps found,ไม่พบแอป,
not installed,ยังไม่ได้ติดตั้ง,
Open,เปิด,
Pro available,Pro พร้อมใช้งาน,
Queued…,อยู่ในคิว…,
Refresh,รีเฟรช,
Remove,ลบ,
Remove {0}? This will uninstall the app and may affect data.,ลบ {0}? การดำเนินการนี้จะถอนการติดตั้งแอปและอาจส่งผลต่อข้อมูล,
Restart required,ต้องรีสตาร์ท,
Restarting…,กำลังรีสตาร์ท…,
"To install {0}, run:","ในการติดตั้ง {0}, เรียกใช้:",
"To update {0}, run:","ในการอัปเดต {0}, เรียกใช้:",
Update {0} from v{1} to {2}? This will restart Frappe.,อัปเดต {0} จาก v{1} เป็น {2}? การดำเนินการนี้จะรีสตาร์ท Frappe,
Update to {0},อัปเดตเป็น {0},
Updated,อัปเดตแล้ว,
Updating…,กำลังอัปเดต…,
Up to date,เป็นเวอร์ชันล่าสุดแล้ว,
to version,เป็นเวอร์ชัน,
For whom?,สำหรับใคร?,
Working on?,กำลังทำอะไร?,
Search contacts...,ค้นหาผู้ติดต่อ...,
Select type...,เลือกประเภท...,
Context,บริบท,
Contact,ผู้ติดต่อ,
Context Type,ประเภทบริบท,
Activity,กิจกรรม,
Activity will appear here as you and your team work across ecosystem apps.,กิจกรรมจะปรากฏที่นี่เมื่อคุณและทีมของคุณทำงานข้ามแอประบบนิเวศ,
Acknowledge,รับทราบ,
All apps,แอปทั้งหมด,
All Discussions,การสนทนาทั้งหมด,
All types,ทุกประเภท,
Archived,เก็บถาวรแล้ว,
Cancel,ยกเลิก,
Celebrate,เฉลิมฉลอง,
Comments,ความคิดเห็น,
Create Discussion,สร้างการสนทนา,
Creating…,กำลังสร้าง…,
Ctrl+Enter to send,Ctrl+Enter เพื่อส่ง,
Decision,การตัดสินใจ,
Discussion not found,ไม่พบการสนทนา,
Discussion title,ชื่อการสนทนา,
Discussions,การสนทนา,
Flag,ติดธง,
General,ทั่วไป,
just now,เมื่อสักครู่,
Keep commenting,แสดงความคิดเห็นต่อ,
Linked Records,รายการที่เชื่อมโยง,
Linked to,เชื่อมโยงกับ,
Load more,โหลดเพิ่มเติม,
Loading…,กำลังโหลด…,
Meeting Protocol,รายงานการประชุม,
Mentioned,ถูกกล่าวถึง,
New Discussion,การสนทนาใหม่,
No activity yet,ยังไม่มีกิจกรรม,
No comments yet,ยังไม่มีความคิดเห็น,
No discussions found,ไม่พบการสนทนา,
No discussions yet,ยังไม่มีการสนทนา,
Note,บันทึก,
Notes,บันทึก,
Participants,ผู้เข้าร่วม,
Pin,ปักหมุด,
Pinned,ปักหมุดแล้ว,
Proposal,ข้อเสนอ,
Protocol,รายงาน,
Reopen,เปิดอีกครั้ง,
Replies,การตอบกลับ,
Reply,ตอบกลับ,
Replying to comment,กำลังตอบกลับความคิดเห็น,
Resolve,แก้ไข,
Resolve Discussion,แก้ไขการสนทนา,
Resolved,แก้ไขแล้ว,
Resolution,มติ,
Resolution summary...,สรุปมติ...,
Retrospective,การทบทวนย้อนหลัง,
Search discussions...,ค้นหาการสนทนา...,
Seen,เห็นแล้ว,
Send,ส่ง,
Start Discussion,เริ่มการสนทนา,
Unpin,ยกเลิกปักหมุด,
Write a comment...,เขียนความคิดเห็น...,
Write your discussion content...,เขียนเนื้อหาการสนทนาของคุณ...,
resolved,แก้ไขแล้ว,
unread,ยังไม่ได้อ่าน,
{0} mentioned you in a comment,{0} กล่าวถึงคุณในความคิดเห็น,
{0} is already an attendee.,{0} เป็นผู้เข้าร่วมอยู่แล้ว,
{0} is not an attendee.,{0} ไม่ใช่ผู้เข้าร่วม,
{0} is not installed,{0} ยังไม่ได้ติดตั้ง,
{0} results found,พบ {0} ผลลัพธ์,
+ Add tags,+ เพิ่มแท็ก,
A→Z,A→Z,
Accept,ยอมรับ,
Action failed,การดำเนินการล้มเหลว,
Active now,ใช้งานอยู่ตอนนี้,
Add a note,เพิ่มบันทึก,
"Add a note to keep track of details about this contact.","เพิ่มบันทึกเพื่อติดตามรายละเอียดเกี่ยวกับผู้ติดต่อนี้",
Add address,เพิ่มที่อยู่,
Add another address,เพิ่มที่อยู่อื่น,
Add birthday,เพิ่มวันเกิด,
Add company,เพิ่มบริษัท,
Add job title,เพิ่มตำแหน่งงาน,
Add more tags...,เพิ่มแท็กอื่น...,
Add tags...,เพิ่มแท็ก...,
"Address is not linked to this contact","ที่อยู่ไม่ได้เชื่อมโยงกับผู้ติดต่อนี้",
"Address line 1, city, and country are required","ต้องระบุที่อยู่บรรทัด 1, เมือง, และประเทศ",
ago,ที่แล้ว,
All companies,บริษัททั้งหมด,
All day event,กิจกรรมทั้งวัน,
"Apartment, suite, etc.","อพาร์ทเมนต์, ห้องชุด, ฯลฯ",
Apps,แอป,
Archive contact,เก็บถาวรผู้ติดต่อ,
Attendees,ผู้เข้าร่วม,
available,พร้อมใช้งาน,
Best regards,ด้วยความนับถือ,
Bookmarks,บุ๊กมาร์ก,
