source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,30 dni,
7 days,7 dni,
90 days,90 dni,
Acme Corp,Acme Corp,
Active,Aktywne,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","Dodatkowe pola (adres, notatki itp.) można edytować po utworzeniu kontaktu.",
Add,Dodaj,
Add people,Dodaj osoby,
Adding…,Dodawanie…,
Add bookmark,Dodaj zakładkę,
All logged-in users,Wszyscy zalogowani użytkownicy,
All logged-in users can view this document,Wszyscy zalogowani użytkownicy mogą wyświetlić ten dokument,
Add notes...,Dodaj notatki...,
All,Wszystko,
A–Z,A–Z,
Blank = org default,Puste = domyślne organizacji,
Bookmark limit reached (12),Osiągnięto limit zakładek (12),
"Bookmark limit reached (12). Remove a bookmark to add another.","Osiągnięto limit zakładek (12). Usuń zakładkę, aby dodać kolejną.",
Bookmark this record,Dodaj ten rekord do zakładek,
App context,Kontekst aplikacji,
App switcher,Przełącznik aplikacji,
Browse all apps →,Przeglądaj wszystkie aplikacje →,
Install apps →,Zainstaluj aplikacje →,
Cancel,Anuluj,
Clear recent items history,Wyczyść historię ostatnich elementów,
Company,Firma,
Compose email,Napisz e-mail,
contact,kontakt,
contacts,kontakty,
Could not create contact,Nie udało się utworzyć kontaktu,
Could not load contact,Nie udało się wczytać kontaktu,
Could not add user. Please try again.,Nie udało się dodać użytkownika. Spróbuj ponownie.,
Could not load contacts,Nie udało się wczytać kontaktów,
Could not load shares,Nie udało się wczytać udostępnień,
Create,Utwórz,
Create & Open,Utwórz i otwórz,
Create a contact or adjust your filters,"Utwórz kontakt lub zmień filtry",
Creating…,Tworzenie…,
History cleared,Historia wyczyszczona,
This will remove all recent items. Continue?,Wszystkie ostatnie elementy zostaną usunięte. Kontynuować?,
Close,Zamknij,
Content is temporarily unavailable.,Treść jest tymczasowo niedostępna.,
Copied!,Skopiowano!,
Copy link,Kopiuj link,
Copy portal URL,Kopiuj URL portalu,
Dark,Ciemny,
Date format,Format daty,
Default app on login,Domyślna aplikacja po zalogowaniu,
Discover ecosystem apps,Odkryj aplikacje ekosystemu,
Delete,Usuń,
Displayed in the top bar,Wyświetlane w górnym pasku,
Dock Settings,Ustawienia Dock,
Done,Gotowe,
Done editing,Zakończono edycję,
Drag to reorder {0},Przeciągnij aby zmienić kolejność {0},
Edit bookmarks,Edytuj zakładki,
e.g. Europe/Berlin,np. Europe/Berlin,
Email,E-mail,
Enable bookmarks,Włącz zakładki,
Everyone,Wszyscy,
Enable global timer,Włącz globalny stoper,
Enable recent items,Włącz ostatnie elementy,
Expired,Wygasło,
Expires,Wygasa,
Expires: {0},Wygasa: {0},
Failed to generate link. Please try again.,Nie udało się wygenerować linku. Spróbuj ponownie.,
Failed to load sessions.,Nie udało się wczytać sesji.,
Features,Funkcje,
Full name,Imię i nazwisko,
Frappe Desk,Frappe Desk,
Generate link,Wygeneruj link,
Generating…,Generowanie…,
Guest Portal,Portal gościa,
in {0},w {0},
"Install Orga, Micro, or other apps to see cross-app context for your contacts.","Zainstaluj Orga, Micro lub inne aplikacje, aby zobaczyć kontekst między aplikacjami dla swoich kontaktów.",
jane@example.com,jane@example.com,
Jane Smith,Jane Smith,
Job title,Stanowisko,
Keep running,Kontynuuj,
Label,Etykieta,
Last accessed,Ostatni dostęp,
Light,Jasny,
Limit,Limit,
Link expires in:,Link wygasa za:,
Loading…,Ładowanie…,
Load more,Wczytaj więcej,
Log out,Wyloguj się,
Make private,Ustaw jako prywatne,
Mark all read,Oznacz wszystkie jako przeczytane,
Mark read,Oznacz jako przeczytane,
Monday,Poniedziałek,
More fields,Więcej pól,
My contacts,Moje kontakty,
My Account,Moje konto,
My Profile,Mój profil,
Never,Nigdy,
New contact,Nowy kontakt,
No contacts found,Nie znaleziono kontaktów,
No expiry,Bez wygaśnięcia,
None,Brak,
No guest sessions yet.,Brak sesji gości.,
No recent items,Brak ostatnich elementów,
No recent items yet,Brak ostatnich elementów,
"No results for ""{0}""","Brak wyników dla „{0}"",
"No results for ""{0}"" in {1}","Brak wyników dla „{0}" w {1}",
Notifications,Powiadomienia,
Notification unavailable,Powiadomienie niedostępne,
Organization Defaults,Domyślne ustawienia organizacji,
