source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,૩૦ દિવસ,
7 days,૭ દિવસ,
90 days,૯૦ દિવસ,
Acme Corp,Acme Corp,
Active,સક્રિય,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","વધારાના ક્ષેત્રો (સરનામું, નોંધ વગેરે) સંપર્ક બનાવ્યા પછી સંપાદિત કરી શકાય છે.",
Add,ઉમેરો,
Add people,લોકો ઉમેરો,
Adding…,ઉમેરી રહ્યા છીએ…,
Add bookmark,બુકમાર્ક ઉમેરો,
All logged-in users,બધા લૉગિન થયેલા વપરાશકર્તાઓ,
All logged-in users can view this document,બધા લૉગિન થયેલા વપરાશકર્તાઓ આ દસ્તાવેજ જોઈ શકે છે,
Add notes...,નોંધ ઉમેરો...,
All,બધા,
A–Z,A–Z,
Blank = org default,ખાલી = સંસ્થાની ડિફૉલ્ટ,
Bookmark limit reached (12),બુકમાર્ક મર્યાદા પૂરી થઈ (૧૨),
"Bookmark limit reached (12). Remove a bookmark to add another.","બુકમાર્ક મર્યાદા પૂરી થઈ (૧૨). બીજું ઉમેરવા માટે એક બુકમાર્ક દૂર કરો.",
Bookmark this record,આ રેકોર્ડ બુકમાર્ક કરો,
App context,App સંદર્ભ,
App switcher,App સ્વિચર,
Browse all apps →,બધા app જુઓ →,
Install apps →,App ઇન્સ્ટૉલ કરો →,
Cancel,રદ કરો,
Clear recent items history,તાજેતરના આઇટમનો ઇતિહાસ સાફ કરો,
Company,કંપની,
Compose email,ઇમેઇલ લખો,
contact,સંપર્ક,
contacts,સંપર્કો,
Could not create contact,સંપર્ક બનાવી શકાયો નહીં,
Could not load contact,સંપર્ક લોડ કરી શકાયો નહીં,
Could not add user. Please try again.,વપરાશકર્તા ઉમેરી શકાયા નહીં. કૃપા કરીને ફરી પ્રયાસ કરો.,
Could not load contacts,સંપર્કો લોડ કરી શકાયા નહીં,
Could not load shares,શેર લોડ કરી શકાયા નહીં,
Create,બનાવો,
Create & Open,બનાવો અને ખોલો,
Create a contact or adjust your filters,સંપર્ક બનાવો અથવા ફિલ્ટર્સ બદલો,
Creating…,બનાવી રહ્યા છીએ…,
History cleared,ઇતિહાસ સાફ થયો,
This will remove all recent items. Continue?,આ બધી તાજેતરની આઇટમ દૂર કરશે. ચાલુ રાખશો?,
Close,બંધ કરો,
Content is temporarily unavailable.,સામગ્રી હાલમાં ઉપલબ્ધ નથી.,
Copied!,કૉપિ થયું!,
Copy link,લિંક કૉપિ કરો,
Copy portal URL,પોર્ટલ URL કૉપિ કરો,
Dark,ઘેરું,
Date format,તારીખનું ફૉર્મેટ,
Default app on login,લૉગિન પર ડિફૉલ્ટ app,
Discover ecosystem apps,ઇકોસિસ્ટમ app શોધો,
Delete,કાઢી નાખો,
Displayed in the top bar,ટોપ બારમાં દર્શાવેલ,
Dock Settings,Dock સેટિંગ્સ,
Done,પૂર્ણ,
Done editing,સંપાદન પૂર્ણ,
Drag to reorder {0},{0} ફરીથી ગોઠવવા ખેંચો,
Edit bookmarks,બુકમાર્ક સંપાદિત કરો,
e.g. Europe/Berlin,દા.ત. Europe/Berlin,
Email,ઇમેઇલ,
Enable bookmarks,બુકમાર્ક સક્રિય કરો,
Everyone,બધા,
Enable global timer,ગ્લોબલ ટાઇમર સક્રિય કરો,
Enable recent items,તાજેતરની આઇટમ સક્રિય કરો,
Expired,સમયસીમા પૂરી,
Expires,સમયસીમા,
Expires: {0},સમયસીમા: {0},
Failed to generate link. Please try again.,લિંક બનાવી શકાઈ નહીં. કૃપા કરીને ફરી પ્રયાસ કરો.,
Failed to load sessions.,સત્રો લોડ કરી શકાયા નહીં.,
Features,વિશેષતાઓ,
Full name,પૂરું નામ,
Frappe Desk,Frappe Desk,
Generate link,લિંક બનાવો,
Generating…,બનાવી રહ્યા છીએ…,
Guest Portal,અતિથિ પોર્ટલ,
in {0},{0}માં,
"Install Orga, Micro, or other apps to see cross-app context for your contacts.","તમારા સંપર્કો માટે ક્રોસ-app સંદર્ભ જોવા Orga, Micro, અથવા અન્ય app ઇન્સ્ટૉલ કરો.",
jane@example.com,jane@example.com,
Jane Smith,Jane Smith,
Job title,હોદ્દો,
Keep running,ચાલુ રાખો,
Label,લેબલ,
Last accessed,છેલ્લે ઍક્સેસ,
Light,હળવું,
Limit,મર્યાદા,
Link expires in:,લિંકની સમયસીમા:,
Loading…,લોડ થઈ રહ્યું છે…,
Load more,વધુ જુઓ,
Log out,લૉગ આઉટ,
Make private,ખાનગી બનાવો,
Mark all read,બધા વાંચેલ તરીકે ચિહ્નિત કરો,
Mark read,વાંચેલ તરીકે ચિહ્નિત કરો,
Monday,સોમવાર,
More fields,વધુ ક્ષેત્રો,
My contacts,મારા સંપર્કો,
My Account,મારું ખાતું,
My Profile,મારી પ્રોફાઇલ,
Never,ક્યારેય નહીં,
New contact,નવો સંપર્ક,
No contacts found,કોઈ સંપર્ક મળ્યા નહીં,
No expiry,કોઈ સમયસીમા નથી,
None,કંઈ નહીં,
No guest sessions yet.,હજુ સુધી કોઈ અતિથિ સત્ર નથી.,
No recent items,કોઈ તાજેતરની આઇટમ નથી,
No recent items yet,હજુ સુધી કોઈ તાજેતરની આઇટમ નથી,
"No results for ""{0}""","""{0}"" માટે કોઈ પરિણામ નથી",
"No results for ""{0}"" in {1}","{1}માં ""{0}"" માટે કોઈ પરિણામ નથી",
Notifications,સૂચનાઓ,
Notification unavailable,સૂચના ઉપલબ્ધ નથી,
Organization Defaults,સંસ્થાની ડિફૉલ્ટ,
Organization settings updated — reload to apply,સંસ્થાની સેટિંગ્સ અપડેટ થઈ — લાગુ કરવા ફરી લોડ કરો,
Org default,સંસ્થાની ડિફૉલ્ટ,
"Password, 2FA, profile picture","પાસવર્ડ, 2FA, પ્રોફાઇલ ફોટો",
Pause,વિરામ,
paused,વિરામમાં,
People,લોકો,
People with access,ઍક્સેસ ધરાવતા લોકો,
Permissions,પરવાનગીઓ,
Pinned,પિન કરેલ,
Powered by Tonic,Tonic દ્વારા સંચાલિત,
Phone,ફોન,
Private,ખાનગી,
Product Manager,Product Manager,
Preferences,પસંદગીઓ,
Read,વાંચો,
Recent,તાજેતરનું,
Reload,ફરી લોડ કરો,
Remove bookmark,બુકમાર્ક દૂર કરો,
Remove from shared,શેરમાંથી દૂર કરો,
Remove from recent,તાજેતરનામાંથી દૂર કરો,
Resume,ફરી શરૂ કરો,
Retry,ફરી પ્રયાસ,
Revoke,રદ કરો,
Revoked,રદ થયેલ,
Revoke session,સત્ર રદ કરો,
Revoking…,રદ કરી રહ્યા છીએ…,
Saved,સાચવેલ,
Save failed,સાચવવું નિષ્ફળ,
Save organization settings,સંસ્થાની સેટિંગ્સ સાચવો,
Saving…,સાચવી રહ્યા છીએ…,
Search...,શોધો...,
"Search by name, email, or phone…","નામ, ઇમેઇલ, અથવા ફોનથી શોધો…",
Search users...,વપરાશકર્તાઓ શોધો...,
Share {0} {1},{0} {1} શેર કરો,
Submit,સબમિટ કરો,
Search in All apps,બધા app માં શોધો,
Search unavailable,શોધ ઉપલબ્ધ નથી,
selected,પસંદ કરેલ,
"Share ""{0}""","""{0}"" શેર કરો",
Share with team,ટીમ સાથે શેર કરો,
Shared,શેર કરેલ,
Shared with team,ટીમ સાથે શેર કરેલ,
Share with client,ક્લાયન્ટ સાથે શેર કરો,
Showing {0} of {1} sessions,{1} સત્રોમાંથી {0} દર્શાવી રહ્યા છીએ,
Site label,સાઇટ લેબલ,
Sort: A–Z — click for last modified,"ક્રમ: A–Z — છેલ્લા ફેરફાર માટે ક્લિક કરો",
Sort: last modified — click for A–Z,"ક્રમ: છેલ્લો ફેરફાર — A–Z માટે ક્લિક કરો",
Start,શરૂ,
Start Timer,ટાઇમર શરૂ કરો,
Status,સ્થિતિ,
Stop,રોકો,
Stop & Save,રોકો અને સાચવો,
Sunday,રવિવાર,
System,સિસ્ટમ,
Theme,થીમ,
Theme preference,થીમ પસંદગી,
This email is already on,આ ઇમેઇલ પહેલેથી છે,
This link has been deactivated.,આ લિંક નિષ્ક્રિય કરવામાં આવી છે.,
