source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,30 hari,
7 days,7 hari,
90 days,90 hari,
Acme Corp,Acme Corp,
Active,Aktif,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","Kolom tambahan (alamat, catatan, dll.) dapat diedit setelah membuat kontak.",
Add,Tambah,
Add people,Tambah orang,
Adding…,Menambahkan…,
Add bookmark,Tambah bookmark,
All logged-in users,Semua pengguna yang masuk,
All logged-in users can view this document,Semua pengguna yang masuk dapat melihat dokumen ini,
Add notes...,Tambah catatan...,
All,Semua,
A–Z,A–Z,
Blank = org default,Kosong = default organisasi,
Bookmark limit reached (12),Batas bookmark tercapai (12),
Bookmark limit reached (12). Remove a bookmark to add another.,Batas bookmark tercapai (12). Hapus bookmark untuk menambahkan yang lain.,
Bookmark this record,Bookmark catatan ini,
App context,Konteks aplikasi,
App switcher,Pengalih aplikasi,
Browse all apps →,Jelajahi semua aplikasi →,
Install apps →,Instal aplikasi →,
Cancel,Batal,
Clear recent items history,Hapus riwayat item terbaru,
Company,Perusahaan,
Compose email,Tulis email,
contact,kontak,
contacts,kontak,
Could not create contact,Tidak dapat membuat kontak,
Could not load contact,Tidak dapat memuat kontak,
Could not add user. Please try again.,Tidak dapat menambahkan pengguna. Silakan coba lagi.,
Could not load contacts,Tidak dapat memuat kontak,
Could not load shares,Tidak dapat memuat berbagi,
Create,Buat,
Create & Open,Buat & Buka,
Create a contact or adjust your filters,Buat kontak atau sesuaikan filter Anda,
Creating…,Membuat…,
History cleared,Riwayat dihapus,
This will remove all recent items. Continue?,Ini akan menghapus semua item terbaru. Lanjutkan?,
Close,Tutup,
Content is temporarily unavailable.,Konten tidak tersedia untuk sementara.,
Copied!,Disalin!,
Copy link,Salin tautan,
Copy portal URL,Salin URL portal,
Dark,Gelap,
Date format,Format tanggal,
Default app on login,Aplikasi default saat login,
Discover ecosystem apps,Temukan aplikasi ekosistem,
Delete,Hapus,
Displayed in the top bar,Ditampilkan di bilah atas,
Dock Settings,Pengaturan Dock,
Done,Selesai,
Done editing,Selesai mengedit,
Drag to reorder {0},Seret untuk mengatur ulang {0},
Edit bookmarks,Edit bookmark,
e.g. Europe/Berlin,mis. Europe/Berlin,
Email,Email,
Enable bookmarks,Aktifkan bookmark,
Everyone,Semua orang,
Enable global timer,Aktifkan timer global,
Enable recent items,Aktifkan item terbaru,
Expired,Kedaluwarsa,
Expires,Kedaluwarsa,
Expires: {0},Kedaluwarsa: {0},
Failed to generate link. Please try again.,Gagal membuat tautan. Silakan coba lagi.,
Failed to load sessions.,Gagal memuat sesi.,
Features,Fitur,
Full name,Nama lengkap,
Frappe Desk,Frappe Desk,
Generate link,Buat tautan,
Generating…,Membuat…,
Guest Portal,Portal Tamu,
in {0},di {0},
"Install Orga, Micro, or other apps to see cross-app context for your contacts.","Instal Orga, Micro, atau aplikasi lain untuk melihat konteks lintas aplikasi untuk kontak Anda.",
jane@example.com,jane@example.com,
Jane Smith,Jane Smith,
Job title,Jabatan,
Keep running,Tetap berjalan,
Label,Label,
Last accessed,Terakhir diakses,
Light,Terang,
Limit,Batas,
Link expires in:,Tautan kedaluwarsa dalam:,
Loading…,Memuat…,
Load more,Muat lebih banyak,
Log out,Keluar,
Make private,Jadikan privat,
Mark all read,Tandai semua dibaca,
Mark read,Tandai dibaca,
Monday,Senin,
More fields,Lebih banyak kolom,
My contacts,Kontak saya,
My Account,Akun Saya,
My Profile,Profil Saya,
Never,Tidak pernah,
New contact,Kontak baru,
No contacts found,Tidak ada kontak ditemukan,
No expiry,Tanpa kedaluwarsa,
None,Tidak ada,
No guest sessions yet.,Belum ada sesi tamu.,
No recent items,Tidak ada item terbaru,
No recent items yet,Belum ada item terbaru,
No results for "{0}",Tidak ada hasil untuk "{0}",
No results for "{0}" in {1},Tidak ada hasil untuk "{0}" di {1},
Notifications,Notifikasi,
Notification unavailable,Notifikasi tidak tersedia,
Organization Defaults,Default Organisasi,
Organization settings updated — reload to apply,Pengaturan organisasi diperbarui — muat ulang untuk menerapkan,
Org default,Default organisasi,
"Password, 2FA, profile picture","Kata sandi, 2FA, foto profil",
Pause,Jeda,
paused,dijeda,
People,Orang,
People with access,Orang dengan akses,
Permissions,Izin,
Pinned,Disematkan,
Powered by Tonic,Didukung oleh Tonic,
Phone,Telepon,
Private,Privat,
Product Manager,Product Manager,
Preferences,Preferensi,
Read,Baca,
Recent,Terbaru,
Reload,Muat ulang,
Remove bookmark,Hapus bookmark,
Remove from shared,Hapus dari berbagi,
Remove from recent,Hapus dari terbaru,
Resume,Lanjutkan,
Retry,Coba lagi,
Revoke,Cabut,
Revoked,Dicabut,
Revoke session,Cabut sesi,
Revoking…,Mencabut…,
Saved,Disimpan,
Save failed,Gagal menyimpan,
Save organization settings,Simpan pengaturan organisasi,
Saving…,Menyimpan…,
Search...,Cari...,
"Search by name, email, or phone…","Cari berdasarkan nama, email, atau telepon…",
Search users...,Cari pengguna...,
Share {0} {1},Bagikan {0} {1},
Submit,Kirim,
Search in All apps,Cari di Semua aplikasi,
Search unavailable,Pencarian tidak tersedia,
selected,dipilih,
Share "{0}",Bagikan "{0}",
Share with team,Bagikan dengan tim,
Shared,Dibagikan,
Shared with team,Dibagikan dengan tim,
Share with client,Bagikan dengan klien,
Showing {0} of {1} sessions,Menampilkan {0} dari {1} sesi,
Site label,Label situs,
Sort: A–Z — click for last modified,Urut: A–Z — klik untuk terakhir diubah,
Sort: last modified — click for A–Z,Urut: terakhir diubah — klik untuk A–Z,
Start,Mulai,
Start Timer,Mulai Timer,
Status,Status,
Stop,Berhenti,
Stop & Save,Berhenti & Simpan,
Sunday,Minggu,
System,Sistem,
Theme,Tema,
Theme preference,Preferensi tema,
This email is already on,Email ini sudah ada di,
This link has been deactivated.,Tautan ini telah dinonaktifkan.,
This link has expired. Please ask the sender for a new link.,Tautan ini telah kedaluwarsa. Silakan minta pengirim untuk tautan baru.,
This link is invalid or has been removed.,Tautan ini tidak valid atau telah dihapus.,
Time,Waktu,
Time entry saved,Entri waktu disimpan,
Timer unavailable,Timer tidak tersedia,
Timezone,Zona waktu,
total,total,
Try again,Coba lagi,
Unread,Belum dibaca,
Open calendar,Buka kalender,
Open in Desk,Buka di Desk,
Open in {0},Buka di {0},
User menu,Menu pengguna,
View existing →,Lihat yang ada →,
Visibility,Visibilitas,
View,Lihat,
View all notifications,Lihat semua notifikasi,
View time entry,Lihat entri waktu,
Week starts on,Minggu dimulai pada,
Write,Tulis,
What are you working on?,Sedang mengerjakan apa?,
You're all caught up,Anda sudah membaca semuanya,
Your Preferences,Preferensi Anda,
Your timer has been running for {0},Timer Anda telah berjalan selama {0},
Actions,Tindakan,
Add details about this event...,Tambahkan detail tentang acara ini...,
Add event,Tambah acara,
Agenda,Agenda,
All day,Sepanjang hari,
Calendar,Kalender,
Create Event,Buat Acara,
Create in:,Buat di:,
Day,Hari,
Deadline,Tenggat waktu,
Delete Event,Hapus Acara,
Delete this event? This cannot be undone.,Hapus acara ini? Ini tidak dapat dibatalkan.,
Deleting…,Menghapus…,
Description,Deskripsi,
Details,Detail,
End,Selesai,
Event,Acara,
Event title,Judul acara,
Failed to create event,Gagal membuat acara,
Failed to delete event,Gagal menghapus acara,
Manage this event in,Kelola acara ini di,
Meeting,Rapat,
Milestone,Pencapaian,
Month,Bulan,
My calendars,Kalender saya,
New Event,Acara Baru,
No actions available,Tidak ada tindakan tersedia,
No events,Tidak ada acara,
Open in,Buka di,
Other,Lainnya,
Permanently remove this event,Hapus acara ini secara permanen,
Review,Tinjauan,
Source,Sumber,
Start date/time is required,Tanggal/waktu mulai diperlukan,
Title,Judul,
Title is required,Judul diperlukan,
Today,Hari ini,
Type,Tipe,
View full details in the source app,Lihat detail lengkap di aplikasi sumber,
Week,Minggu,
When,Kapan,
{0} available,{0} tersedia,
Available,Tersedia,
Configure Frappe Manager to enable one-click updates.,Konfigurasikan Frappe Manager untuk mengaktifkan pembaruan sekali klik.,
Copy command,Salin perintah,
Ecosystem Apps,Aplikasi Ekosistem,
Failed,Gagal,
Install,Instal,
Installed,Terinstal,
Learn more,Pelajari lebih lanjut,
No apps found,Tidak ada aplikasi ditemukan,
not installed,tidak terinstal,
Open,Buka,
Pro available,Pro tersedia,
Queued…,Dalam antrean…,
Refresh,Segarkan,
Remove,Hapus,
Remove {0}? This will uninstall the app and may affect data.,Hapus {0}? Ini akan menghapus aplikasi dan dapat memengaruhi data.,
Restart required,Perlu dimulai ulang,
Restarting…,Memulai ulang…,
"To install {0}, run:","Untuk menginstal {0}, jalankan:",
"To update {0}, run:","Untuk memperbarui {0}, jalankan:",
Update {0} from v{1} to {2}? This will restart Frappe.,Perbarui {0} dari v{1} ke {2}? Ini akan memulai ulang Frappe.,
Update to {0},Perbarui ke {0},
Updated,Diperbarui,
Updating…,Memperbarui…,
Up to date,Sudah terbaru,
to version,ke versi,
For whom?,Untuk siapa?,
Working on?,Sedang mengerjakan?,
Search contacts...,Cari kontak...,
Select type...,Pilih tipe...,
Context,Konteks,
Contact,Kontak,
Context Type,Tipe Konteks,
Activity,Aktivitas,
Activity will appear here as you and your team work across ecosystem apps.,Aktivitas akan muncul di sini saat Anda dan tim bekerja di seluruh aplikasi ekosistem.,
Acknowledge,Konfirmasi,
All apps,Semua aplikasi,
All Discussions,Semua Diskusi,
All types,Semua tipe,
Archived,Diarsipkan,
Cancel,Batal,
Celebrate,Rayakan,
Comments,Komentar,
Create Discussion,Buat Diskusi,
Creating…,Membuat…,
Ctrl+Enter to send,Ctrl+Enter untuk mengirim,
Decision,Keputusan,
Discussion not found,Diskusi tidak ditemukan,
Discussion title,Judul diskusi,
Discussions,Diskusi,
Flag,Tandai,
General,Umum,
just now,baru saja,
Keep commenting,Terus berkomentar,
Linked Records,Catatan Terkait,
Linked to,Terkait dengan,
Load more,Muat lebih banyak,
Loading…,Memuat…,
Meeting Protocol,Protokol Rapat,
Mentioned,Disebut,
New Discussion,Diskusi Baru,
No activity yet,Belum ada aktivitas,
No comments yet,Belum ada komentar,
No discussions found,Tidak ada diskusi ditemukan,
No discussions yet,Belum ada diskusi,
Note,Catatan,
Notes,Catatan,
Participants,Peserta,
Pin,Sematkan,
Pinned,Disematkan,
Proposal,Proposal,
Protocol,Protokol,
Reopen,Buka kembali,
Replies,Balasan,
Reply,Balas,
Replying to comment,Membalas komentar,
Resolve,Selesaikan,
Resolve Discussion,Selesaikan Diskusi,
Resolved,Diselesaikan,
Resolution,Resolusi,
Resolution summary...,Ringkasan resolusi...,
Retrospective,Retrospektif,
Search discussions...,Cari diskusi...,
Seen,Dilihat,
Send,Kirim,
Start Discussion,Mulai Diskusi,
Unpin,Lepas sematan,
Write a comment...,Tulis komentar...,
Write your discussion content...,Tulis konten diskusi Anda...,
resolved,diselesaikan,
unread,belum dibaca,
{0} mentioned you in a comment,{0} menyebut Anda dalam komentar,
{0} is already an attendee.,{0} sudah menjadi peserta.,
{0} is not an attendee.,{0} bukan peserta.,
{0} is not installed,{0} tidak terinstal,
{0} results found,{0} hasil ditemukan,
+ Add tags,+ Tambah tag,
A→Z,A→Z,
Accept,Terima,
Action failed,Tindakan gagal,
Active now,Aktif sekarang,
Add a note,Tambah catatan,
"Add a note to keep track of details about this contact.","Tambahkan catatan untuk mencatat detail tentang kontak ini.",
Add address,Tambah alamat,
Add another address,Tambah alamat lain,
Add birthday,Tambah ulang tahun,
Add company,Tambah perusahaan,
Add job title,Tambah jabatan,
Add more tags...,Tambah tag lainnya...,
Add tags...,Tambah tag...,
"Address is not linked to this contact","Alamat tidak terkait dengan kontak ini",
"Address line 1, city, and country are required","Baris alamat 1, kota, dan negara diperlukan",
ago,yang lalu,
All companies,Semua perusahaan,
All day event,Acara sepanjang hari,
"Apartment, suite, etc.","Apartemen, suite, dll.",
Apps,Aplikasi,
Archive contact,Arsipkan kontak,
Attendees,Peserta,
available,tersedia,
Best regards,Salam hormat,
Bookmarks,Bookmark,
"Both proposed start and end times are required.","Waktu mulai dan selesai yang diusulkan keduanya diperlukan.",
Break,Istirahat,
Bridge not registered,Bridge tidak terdaftar,
Calendar Settings,Pengaturan Kalender,
Call,Panggilan,
Cannot change bookmark owner,Tidak dapat mengubah pemilik bookmark,
Cannot revoke your current session,Tidak dapat mencabut sesi Anda saat ini,
Change Password,Ubah Kata Sandi,
Change photo,Ubah foto,
Check Status,Periksa Status,
City,Kota,
Clear,Hapus,
Clear filters,Hapus filter,
Close search,Tutup pencarian,
Cmd+Enter to save,Cmd+Enter untuk menyimpan,
Coming soon,Segera hadir,
Coming up!,Segera!,
Comment,Komentar,
Community Edition,Edisi Komunitas,
