source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,30 ថ្ងៃ,
7 days,7 ថ្ងៃ,
90 days,90 ថ្ងៃ,
Acme Corp,Acme Corp,
Active,សកម្ម,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","វាលបន្ថែម (អាសយដ្ឋាន, កំណត់ចំណាំ។ល។) អាចកែសម្រួលបានបន្ទាប់ពីបង្កើតទំនាក់ទំនង។",
Add,បន្ថែម,
Add people,បន្ថែមមនុស្ស,
Adding…,កំពុងបន្ថែម…,
Add bookmark,បន្ថែមចំណាំ,
All logged-in users,អ្នកប្រើប្រាស់ទាំងអស់ដែលបានចូល,
All logged-in users can view this document,អ្នកប្រើប្រាស់ទាំងអស់ដែលបានចូលអាចមើលឯកសារនេះ,
Add notes...,បន្ថែមកំណត់ចំណាំ...,
All,ទាំងអស់,
A–Z,A–Z,
Blank = org default,ទទេ = លំនាំដើមអង្គភាព,
Bookmark limit reached (12),ដល់កម្រិតចំណាំហើយ (12),
Bookmark limit reached (12). Remove a bookmark to add another.,ដល់កម្រិតចំណាំហើយ (12)។ លុបចំណាំមួយដើម្បីបន្ថែមថ្មី។,
Bookmark this record,ចំណាំកំណត់ត្រានេះ,
App context,បរិបទកម្មវិធី,
App switcher,កម្មវិធីប្តូរ,
Browse all apps →,រកមើលកម្មវិធីទាំងអស់ →,
Install apps →,ដំឡើងកម្មវិធី →,
Cancel,បោះបង់,
Clear recent items history,សម្អាតប្រវត្តិធាតុថ្មីៗ,
Company,ក្រុមហ៊ុន,
Compose email,សរសេរអ៊ីមែល,
contact,ទំនាក់ទំនង,
contacts,ទំនាក់ទំនង,
Could not create contact,មិនអាចបង្កើតទំនាក់ទំនង,
Could not load contact,មិនអាចផ្ទុកទំនាក់ទំនង,
Could not add user. Please try again.,មិនអាចបន្ថែមអ្នកប្រើប្រាស់។ សូមព្យាយាមម្តងទៀត។,
Could not load contacts,មិនអាចផ្ទុកទំនាក់ទំនង,
Could not load shares,មិនអាចផ្ទុកការចែករំលែក,
Create,បង្កើត,
Create & Open,បង្កើត និងបើក,
Create a contact or adjust your filters,បង្កើតទំនាក់ទំនង ឬកែតម្រូវតម្រង,
Creating…,កំពុងបង្កើត…,
History cleared,ប្រវត្តិត្រូវបានសម្អាត,
This will remove all recent items. Continue?,នេះនឹងលុបធាតុថ្មីៗទាំងអស់។ បន្ត?,
Close,បិទ,
