source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,30 ມື້,
7 days,7 ມື້,
90 days,90 ມື້,
Acme Corp,Acme Corp,
Active,ເຄື່ອນໄຫວ,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","ຊ່ອງເພີ່ມເຕີມ (ທີ່ຢູ່, ບັນທຶກ, ແລະອື່ນໆ) ສາມາດແກ້ໄຂໄດ້ຫຼັງຈາກສ້າງຜູ້ຕິດຕໍ່.",
Add,ເພີ່ມ,
Add people,ເພີ່ມຄົນ,
Adding…,ກຳລັງເພີ່ມ…,
Add bookmark,ເພີ່ມບຸກມາກ,
All logged-in users,ຜູ້ໃຊ້ທີ່ເຂົ້າສູ່ລະບົບທັງໝົດ,
All logged-in users can view this document,ຜູ້ໃຊ້ທີ່ເຂົ້າສູ່ລະບົບທັງໝົດສາມາດເບິ່ງເອກະສານນີ້ໄດ້,
Add notes...,ເພີ່ມບັນທຶກ...,
All,ທັງໝົດ,
A–Z,A–Z,
Blank = org default,ຫວ່າງ = ຄ່າເລີ່ມຕົ້ນອົງກອນ,
Bookmark limit reached (12),ຮອດຂີດຈຳກັດບຸກມາກແລ້ວ (12),
Bookmark limit reached (12). Remove a bookmark to add another.,ຮອດຂີດຈຳກັດບຸກມາກແລ້ວ (12). ລຶບບຸກມາກໜຶ່ງເພື່ອເພີ່ມອັນໃໝ່.,
Bookmark this record,ບຸກມາກບັນທຶກນີ້,
App context,ບໍລິບົດແອັບ,
App switcher,ຕົວສະຫຼັບແອັບ,
Browse all apps →,ເບິ່ງແອັບທັງໝົດ →,
Install apps →,ຕິດຕັ້ງແອັບ →,
Cancel,ຍົກເລີກ,
Clear recent items history,ລຶບປະຫວັດລາຍການຫຼ້າສຸດ,
Company,ບໍລິສັດ,
Compose email,ຂຽນອີເມລ,
contact,ຜູ້ຕິດຕໍ່,
contacts,ຜູ້ຕິດຕໍ່,
Could not create contact,ບໍ່ສາມາດສ້າງຜູ້ຕິດຕໍ່ໄດ້,
Could not load contact,ບໍ່ສາມາດໂຫຼດຜູ້ຕິດຕໍ່ໄດ້,
Could not add user. Please try again.,ບໍ່ສາມາດເພີ່ມຜູ້ໃຊ້ໄດ້. ກະລຸນາລອງໃໝ່.,
Could not load contacts,ບໍ່ສາມາດໂຫຼດຜູ້ຕິດຕໍ່ໄດ້,
Could not load shares,ບໍ່ສາມາດໂຫຼດການແບ່ງປັນໄດ້,
Create,ສ້າງ,
Create & Open,ສ້າງ ແລະເປີດ,
Create a contact or adjust your filters,ສ້າງຜູ້ຕິດຕໍ່ ຫຼືປັບຕົວກອງ,
Creating…,ກຳລັງສ້າງ…,
History cleared,ລຶບປະຫວັດແລ້ວ,
This will remove all recent items. Continue?,ການນີ້ຈະລຶບລາຍການຫຼ້າສຸດທັງໝົດ. ສືບຕໍ່?,
Close,ປິດ,
Content is temporarily unavailable.,ເນື້ອຫາບໍ່ສາມາດໃຊ້ໄດ້ຊົ່ວຄາວ.,
Copied!,ຄັດລອກແລ້ວ!,
Copy link,ຄັດລອກລິ້ງ,
Copy portal URL,ຄັດລອກ URL ປະຕູ,
Dark,ມືດ,
Date format,ຮູບແບບວັນທີ,
Default app on login,ແອັບເລີ່ມຕົ້ນເມື່ອເຂົ້າສູ່ລະບົບ,
Discover ecosystem apps,ຄົ້ນພົບແອັບລະບົບນິເວດ,
Delete,ລຶບ,
Displayed in the top bar,ສະແດງໃນແຖບດ້ານເທິງ,
Dock Settings,ການຕັ້ງຄ່າ Dock,
Done,ສຳເລັດ,
Done editing,ແກ້ໄຂສຳເລັດ,
Drag to reorder {0},ລາກເພື່ອຈັດລຳດັບ {0} ໃໝ່,
Edit bookmarks,ແກ້ໄຂບຸກມາກ,
e.g. Europe/Berlin,ເຊັ່ນ Europe/Berlin,
Email,ອີເມລ,
Enable bookmarks,ເປີດບຸກມາກ,
Everyone,ທຸກຄົນ,
Enable global timer,ເປີດໂມງຈັບເວລາທົ່ວໄປ,
Enable recent items,ເປີດລາຍການຫຼ້າສຸດ,
Expired,ໝົດອາຍຸ,
Expires,ໝົດອາຍຸ,
Expires: {0},ໝົດອາຍຸ: {0},
Failed to generate link. Please try again.,ລ້ົມເຫຼວໃນການສ້າງລິ້ງ. ກະລຸນາລອງໃໝ່.,
Failed to load sessions.,ລ້ົມເຫຼວໃນການໂຫຼດເຊດຊັນ.,
Features,ຄຸນສົມບັດ,
Full name,ຊື່ເຕັມ,
Frappe Desk,Frappe Desk,
Generate link,ສ້າງລິ້ງ,
Generating…,ກຳລັງສ້າງ…,
Guest Portal,ປະຕູແຂກ,
in {0},ໃນ {0},
"Install Orga, Micro, or other apps to see cross-app context for your contacts.","ຕິດຕັ້ງ Orga, Micro ຫຼືແອັບອື່ນເພື່ອເບິ່ງບໍລິບົດຂ້າມແອັບສຳລັບຜູ້ຕິດຕໍ່ຂອງທ່ານ.",
jane@example.com,jane@example.com,
Jane Smith,Jane Smith,
Job title,ຕຳແໜ່ງ,
Keep running,ສືບຕໍ່ແລ່ນ,
Label,ປ້າຍ,
Last accessed,ເຂົ້າເຖິງຫຼ້າສຸດ,
Light,ສະຫວ່າງ,
Limit,ຂີດຈຳກັດ,
Link expires in:,ລິ້ງໝົດອາຍຸໃນ:,
Loading…,ກຳລັງໂຫຼດ…,
Load more,ໂຫຼດເພີ່ມ,
Log out,ອອກຈາກລະບົບ,
Make private,ເຮັດໃຫ້ເປັນສ່ວນຕົວ,
Mark all read,ໝາຍວ່າອ່ານທັງໝົດ,
Mark read,ໝາຍວ່າອ່ານແລ້ວ,
Monday,ວັນຈັນ,
More fields,ຊ່ອງເພີ່ມເຕີມ,
My contacts,ຜູ້ຕິດຕໍ່ຂອງຂ້ອຍ,
My Account,ບັນຊີຂອງຂ້ອຍ,
My Profile,ໂປຣໄຟລ໌ຂອງຂ້ອຍ,
Never,ບໍ່ເຄີຍ,
New contact,ຜູ້ຕິດຕໍ່ໃໝ່,
No contacts found,ບໍ່ພົບຜູ້ຕິດຕໍ່,
No expiry,ບໍ່ໝົດອາຍຸ,
None,ບໍ່ມີ,
No guest sessions yet.,ຍັງບໍ່ມີເຊດຊັນແຂກ.,
No recent items,ບໍ່ມີລາຍການຫຼ້າສຸດ,
No recent items yet,ຍັງບໍ່ມີລາຍການຫຼ້າສຸດ,
