source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,30일,
7 days,7일,
90 days,90일,
Acme Corp,Acme Corp,
Active,활성,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","연락처를 생성한 후 추가 필드(주소, 메모 등)를 수정할 수 있어요.",
Add,추가,
Add people,사람 추가,
Adding…,추가 중…,
Add bookmark,북마크 추가,
All logged-in users,로그인한 모든 사용자,
All logged-in users can view this document,로그인한 모든 사용자가 이 문서를 볼 수 있어요,
Add notes...,메모 추가...,
All,전체,
A–Z,A–Z,
Blank = org default,비어 있으면 조직 기본값 사용,
Bookmark limit reached (12),북마크 한도에 도달했어요 (12개),
Bookmark limit reached (12). Remove a bookmark to add another.,북마크 한도에 도달했어요 (12개). 다른 북마크를 추가하려면 기존 북마크를 제거해 주세요.,
Bookmark this record,이 레코드 북마크하기,
App context,앱 컨텍스트,
App switcher,앱 전환,
Browse all apps →,모든 앱 둘러보기 →,
Install apps →,앱 설치하기 →,
Cancel,취소,
Clear recent items history,최근 항목 기록 지우기,
Company,회사,
Compose email,이메일 작성,
contact,연락처,
contacts,연락처,
Could not create contact,연락처를 생성할 수 없었어요,
Could not load contact,연락처를 불러올 수 없었어요,
Could not add user. Please try again.,사용자를 추가할 수 없었어요. 다시 시도해 주세요.,
Could not load contacts,연락처를 불러올 수 없었어요,
Could not load shares,공유 정보를 불러올 수 없었어요,
Create,생성,
Create & Open,생성 후 열기,
Create a contact or adjust your filters,연락처를 생성하거나 필터를 조정해 주세요,
Creating…,생성 중…,
History cleared,기록이 지워졌어요,
This will remove all recent items. Continue?,모든 최근 항목이 삭제돼요. 계속할까요?,
Close,닫기,
Content is temporarily unavailable.,콘텐츠를 일시적으로 사용할 수 없어요.,
Copied!,복사했어요!,
Copy link,링크 복사,
Copy portal URL,포털 URL 복사,
Dark,다크,
Date format,날짜 형식,
Default app on login,로그인 시 기본 앱,
Discover ecosystem apps,에코시스템 앱 둘러보기,
Delete,삭제,
Displayed in the top bar,상단 바에 표시됨,
Dock Settings,Dock 설정,
Done,완료,
Done editing,편집 완료,
Drag to reorder {0},{0}을(를) 드래그하여 순서 변경,
Edit bookmarks,북마크 편집,
e.g. Europe/Berlin,예: Europe/Berlin,
Email,이메일,
Enable bookmarks,북마크 활성화,
Everyone,모든 사람,
Enable global timer,글로벌 타이머 활성화,
Enable recent items,최근 항목 활성화,
Expired,만료됨,
Expires,만료,
Expires: {0},만료: {0},
Failed to generate link. Please try again.,링크를 생성하지 못했어요. 다시 시도해 주세요.,
Failed to load sessions.,세션을 불러오지 못했어요.,
Features,기능,
Full name,이름,
Frappe Desk,Frappe Desk,
Generate link,링크 생성,
Generating…,생성 중…,
Guest Portal,게스트 포털,
in {0},{0}에서,
"Install Orga, Micro, or other apps to see cross-app context for your contacts.","Orga, Micro 또는 다른 앱을 설치하면 연락처의 교차 앱 컨텍스트를 볼 수 있어요.",
jane@example.com,jane@example.com,
Jane Smith,Jane Smith,
Job title,직함,
Keep running,계속 실행,
Label,라벨,
Last accessed,마지막 접근,
Light,라이트,
Limit,제한,
Link expires in:,링크 만료까지:,
Loading…,로딩 중…,
Load more,더 보기,
Log out,로그아웃,
Make private,비공개로 설정,
Mark all read,모두 읽음으로 표시,
Mark read,읽음으로 표시,
Monday,월요일,
More fields,추가 필드,
My contacts,내 연락처,
My Account,내 계정,
My Profile,내 프로필,
Never,사용 안 함,
New contact,새 연락처,
No contacts found,연락처를 찾을 수 없어요,
No expiry,만료 없음,
None,없음,
No guest sessions yet.,아직 게스트 세션이 없어요.,
No recent items,최근 항목 없음,
No recent items yet,아직 최근 항목이 없어요,
No results for "{0}","{0}"에 대한 결과가 없어요,
No results for "{0}" in {1},{1}에서 "{0}"에 대한 결과가 없어요,
Notifications,알림,
Notification unavailable,알림을 사용할 수 없어요,
Organization Defaults,조직 기본 설정,
Organization settings updated — reload to apply,조직 설정이 업데이트되었어요 — 적용하려면 새로고침해 주세요,
Org default,조직 기본값,
"Password, 2FA, profile picture","비밀번호, 2단계 인증, 프로필 사진",
Pause,일시정지,
paused,일시정지됨,
People,사람,
People with access,접근 권한이 있는 사람,
Permissions,권한,
Pinned,고정됨,
Powered by Tonic,Powered by Tonic,
Phone,전화번호,
Private,비공개,
Product Manager,Product Manager,
Preferences,환경설정,
Read,읽기,
Recent,최근,
Reload,새로고침,
Remove bookmark,북마크 제거,
Remove from shared,공유에서 제거,
Remove from recent,최근 항목에서 제거,
Resume,재개,
Retry,재시도,
Revoke,취소,
Revoked,취소됨,
Revoke session,세션 취소,
Revoking…,취소 중…,
Saved,저장됨,
Save failed,저장에 실패했어요,
Save organization settings,조직 설정 저장,
Saving…,저장 중…,
Search...,검색...,
"Search by name, email, or phone…","이름, 이메일 또는 전화번호로 검색…",
Search users...,사용자 검색...,
Share {0} {1},{0} {1} 공유,
Submit,제출,
Search in All apps,모든 앱에서 검색,
Search unavailable,검색을 사용할 수 없어요,
