source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,30 дней,
7 days,7 дней,
90 days,90 дней,
Acme Corp,Acme Corp,
Active,Активный,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","Дополнительные поля (адрес, заметки и т.д.) можно отредактировать после создания контакта.",
Add,Добавить,
Add people,Добавить людей,
Adding…,Добавление…,
Add bookmark,Добавить закладку,
All logged-in users,Все авторизованные пользователи,
All logged-in users can view this document,Все авторизованные пользователи могут просматривать этот документ,
Add notes...,Добавить заметки...,
All,Все,
A–Z,А–Я,
Blank = org default,Пусто = по умолчанию для организации,
Bookmark limit reached (12),Достигнут лимит закладок (12),
Bookmark limit reached (12). Remove a bookmark to add another.,Достигнут лимит закладок (12). Удали одну закладку чтобы добавить новую.,
Bookmark this record,Добавить запись в закладки,
App context,Контекст приложения,
App switcher,Переключатель приложений,
Browse all apps →,Все приложения →,
Install apps →,Установить приложения →,
Cancel,Отмена,
Clear recent items history,Очистить историю последних элементов,
Company,Компания,
Compose email,Написать письмо,
contact,контакт,
contacts,контакты,
Could not create contact,Не удалось создать контакт,
Could not load contact,Не удалось загрузить контакт,
Could not add user. Please try again.,Не удалось добавить пользователя. Попробуй ещё раз.,
Could not load contacts,Не удалось загрузить контакты,
Could not load shares,Не удалось загрузить доступы,
Create,Создать,
Create & Open,Создать и открыть,
Create a contact or adjust your filters,Создай контакт или измени фильтры,
Creating…,Создание…,
History cleared,История очищена,
This will remove all recent items. Continue?,Все последние элементы будут удалены. Продолжить?,
Close,Закрыть,
Content is temporarily unavailable.,Содержимое временно недоступно.,
Copied!,Скопировано!,
Copy link,Копировать ссылку,
Copy portal URL,Копировать URL портала,
Dark,Тёмная,
Date format,Формат даты,
Default app on login,Приложение по умолчанию при входе,
Discover ecosystem apps,Обзор приложений экосистемы,
Delete,Удалить,
Displayed in the top bar,Отображается в верхней панели,
Dock Settings,Настройки Dock,
Done,Готово,
Done editing,Редактирование завершено,
Drag to reorder {0},Перетащи для изменения порядка {0},
Edit bookmarks,Редактировать закладки,
e.g. Europe/Berlin,напр. Europe/Berlin,
Email,Эл. почта,
Enable bookmarks,Включить закладки,
Everyone,Все,
Enable global timer,Включить глобальный таймер,
Enable recent items,Включить последние элементы,
Expired,Истёк,
Expires,Истекает,
Expires: {0},Истекает: {0},
Failed to generate link. Please try again.,Не удалось сгенерировать ссылку. Попробуй ещё раз.,
Failed to load sessions.,Не удалось загрузить сессии.,
Features,Функции,
Full name,Полное имя,
Frappe Desk,Frappe Desk,
Generate link,Сгенерировать ссылку,
Generating…,Генерация…,
Guest Portal,Гостевой портал,
in {0},в {0},
"Install Orga, Micro, or other apps to see cross-app context for your contacts.","Установи Orga, Micro или другие приложения чтобы видеть контекст контактов из разных приложений.",
jane@example.com,jane@example.com,
Jane Smith,Jane Smith,
Job title,Должность,
Keep running,Продолжить,
Label,Название,
Last accessed,Последний доступ,
Light,Светлая,
Limit,Лимит,
Link expires in:,Ссылка истекает через:,
Loading…,Загрузка…,
Load more,Загрузить ещё,
Log out,Выйти,
Make private,Сделать приватным,
Mark all read,Отметить все как прочитанные,
Mark read,Отметить как прочитанное,
Monday,Понедельник,
More fields,Дополнительные поля,
My contacts,Мои контакты,
My Account,Мой аккаунт,
My Profile,Мой профиль,
Never,Никогда,
New contact,Новый контакт,
No contacts found,Контакты не найдены,
No expiry,Бессрочно,
None,Нет,
No guest sessions yet.,Гостевых сессий пока нет.,
No recent items,Нет последних элементов,
No recent items yet,Последних элементов пока нет,
No results for "{0}","Нет результатов для «{0}»",
"No results for ""{0}"" in {1}","Нет результатов для «{0}» в {1}",
Notifications,Уведомления,
Notification unavailable,Уведомление недоступно,
Organization Defaults,Настройки организации по умолчанию,
Organization settings updated — reload to apply,Настройки организации обновлены — перезагрузи страницу для применения,
Org default,По умолчанию для орг.,
"Password, 2FA, profile picture","Пароль, 2FA, фото профиля",
Pause,Пауза,
paused,на паузе,
People,Люди,
People with access,Люди с доступом,
Permissions,Разрешения,
Pinned,Закреплено,
Powered by Tonic,Работает на Tonic,
Phone,Телефон,
Private,Приватный,
Product Manager,Product Manager,
Preferences,Предпочтения,
Read,Чтение,
Recent,Последние,
Reload,Перезагрузить,
Remove bookmark,Удалить закладку,
Remove from shared,Убрать из общего доступа,
Remove from recent,Убрать из последних,
Resume,Возобновить,
Retry,Повторить,
Revoke,Отозвать,
Revoked,Отозван,
Revoke session,Отозвать сессию,
Revoking…,Отзыв…,
Saved,Сохранено,
Save failed,Не удалось сохранить,
Save organization settings,Сохранить настройки организации,
Saving…,Сохранение…,
Search...,Поиск...,
"Search by name, email, or phone…","Поиск по имени, эл. почте или телефону…",
Search users...,Поиск пользователей...,
Share {0} {1},Поделиться {0} {1},
Submit,Отправить,
Search in All apps,Поиск во всех приложениях,
Search unavailable,Поиск недоступен,
selected,выбрано,
Share "{0}","Поделиться «{0}»",
Share with team,Поделиться с командой,
Shared,Общий доступ,
