source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,30 dagar,
7 days,7 dagar,
90 days,90 dagar,
Acme Corp,Acme Corp,
Active,Virkt,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","Fleiri reiti (heimilisfang, athugasemdir o.fl.) er hægt að breyta eftir að tengiliður er stofnaður.",
Add,Bæta við,
Add people,Bæta við fólki,
Adding…,Bæti við…,
Add bookmark,Bæta við bókamerki,
All logged-in users,Allir innskráðir notendur,
All logged-in users can view this document,Allir innskráðir notendur geta skoðað þetta skjal,
Add notes...,Bæta við athugasemdum...,
All,Allt,
A–Z,A–Ö,
Blank = org default,Autt = sjálfgefið stofnunar,
Bookmark limit reached (12),Hámarki bókamerkja náð (12),
"Bookmark limit reached (12). Remove a bookmark to add another.","Hámarki bókamerkja náð (12). Fjarlægðu bókamerki til að bæta við nýju.",
Bookmark this record,Bókamerkja þessa færslu,
App context,Forritasamhengi,
App switcher,Forritaval,
Browse all apps →,Skoða öll forrit →,
Install apps →,Setja upp forrit →,
Cancel,Hætta við,
Clear recent items history,Hreinsa nýlega sögu,
Company,Fyrirtæki,
Compose email,Skrifa tölvupóst,
contact,tengiliður,
contacts,tengiliðir,
Could not create contact,Gat ekki stofnað tengilið,
Could not load contact,Gat ekki hlaðið tengilið,
Could not add user. Please try again.,Gat ekki bætt við notanda. Reyndu aftur.,
Could not load contacts,Gat ekki hlaðið tengiliðum,
Could not load shares,Gat ekki hlaðið deilingum,
Create,Stofna,
Create & Open,Stofna og opna,
Create a contact or adjust your filters,Stofnaðu tengilið eða breyttu síunum,
Creating…,Stofna…,
History cleared,Saga hreinsuð,
This will remove all recent items. Continue?,Þetta mun fjarlægja alla nýlega hluti. Halda áfram?,
Close,Loka,
Content is temporarily unavailable.,Efni er tímabundið óaðgengilegt.,
Copied!,Afritað!,
Copy link,Afrita tengil,
Copy portal URL,Afrita gáttarslóð,
Dark,Dökkt,
Date format,Dagsetningarsnið,
Default app on login,Sjálfgefið forrit við innskráningu,
Discover ecosystem apps,Skoða vistkerfsforrit,
Delete,Eyða,
Displayed in the top bar,Birt á efstu slá,
Dock Settings,Dock stillingar,
Done,Lokið,
Done editing,Lokið við breytingar,
Drag to reorder {0},Dragðu til að endurraða {0},
Edit bookmarks,Breyta bókamerkjum,
e.g. Europe/Berlin,t.d. Atlantic/Reykjavik,
Email,Tölvupóstur,
Enable bookmarks,Virkja bókamerki,
Everyone,Allir,
Enable global timer,Virkja altækan tímamæli,
Enable recent items,Virkja nýlega hluti,
Expired,Útrunnið,
Expires,Rennur út,
Expires: {0},Rennur út: {0},
Failed to generate link. Please try again.,Gat ekki búið til tengil. Reyndu aftur.,
Failed to load sessions.,Gat ekki hlaðið setum.,
Features,Eiginleikar,
Full name,Fullt nafn,
Frappe Desk,Frappe Desk,
Generate link,Búa til tengil,
Generating…,Bý til…,
