source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,30日間,
7 days,7日間,
90 days,90日間,
Acme Corp,Acme Corp,
Active,アクティブ,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","追加フィールド（住所、メモなど）は連絡先の作成後に編集できます。",
Add,追加,
Add people,メンバーを追加,
Adding…,追加中…,
Add bookmark,ブックマークを追加,
All logged-in users,ログイン中の全ユーザー,
All logged-in users can view this document,ログイン中の全ユーザーがこのドキュメントを閲覧できます,
Add notes...,メモを追加...,
All,すべて,
A–Z,A–Z,
Blank = org default,空欄 = 組織のデフォルト,
Bookmark limit reached (12),ブックマークの上限に達しました（12件）,
Bookmark limit reached (12). Remove a bookmark to add another.,ブックマークの上限に達しました（12件）。追加するには既存のブックマークを削除してください。,
Bookmark this record,このレコードをブックマーク,
App context,アプリコンテキスト,
App switcher,アプリ切替,
Browse all apps →,すべてのアプリを見る →,
Install apps →,アプリをインストール →,
Cancel,キャンセル,
Clear recent items history,最近の項目の履歴を消去,
Company,会社,
Compose email,メールを作成,
contact,連絡先,
contacts,連絡先,
Could not create contact,連絡先を作成できませんでした,
Could not load contact,連絡先を読み込めませんでした,
Could not add user. Please try again.,ユーザーを追加できませんでした。もう一度お試しください。,
Could not load contacts,連絡先を読み込めませんでした,
Could not load shares,共有情報を読み込めませんでした,
Create,作成,
Create & Open,作成して開く,
Create a contact or adjust your filters,連絡先を作成するか、フィルターを調整してください,
Creating…,作成中…,
History cleared,履歴を消去しました,
This will remove all recent items. Continue?,すべての最近の項目が削除されます。続行しますか？,
Close,閉じる,
Content is temporarily unavailable.,コンテンツは一時的に利用できません。,
Copied!,コピーしました！,
Copy link,リンクをコピー,
Copy portal URL,ポータルURLをコピー,
Dark,ダーク,
Date format,日付形式,
Default app on login,ログイン時のデフォルトアプリ,
Discover ecosystem apps,エコシステムアプリを探す,
Delete,削除,
Displayed in the top bar,トップバーに表示されます,
Dock Settings,Dock 設定,
Done,完了,
Done editing,編集完了,
Drag to reorder {0},ドラッグして{0}を並べ替え,
Edit bookmarks,ブックマークを編集,
e.g. Europe/Berlin,例: Europe/Berlin,
Email,メール,
