source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,30 நாட்கள்,
7 days,7 நாட்கள்,
90 days,90 நாட்கள்,
Acme Corp,Acme Corp,
Active,செயலில்,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","கூடுதல் புலங்கள் (முகவரி, குறிப்புகள் போன்றவை) தொடர்பை உருவாக்கிய பின் திருத்தலாம்.",
Add,சேர்,
Add people,நபர்களைச் சேர்,
Adding…,சேர்க்கிறது…,
Add bookmark,புக்மார்க் சேர்,
All logged-in users,உள்நுழைந்த அனைத்து பயனர்களும்,
All logged-in users can view this document,உள்நுழைந்த அனைத்து பயனர்களும் இந்த ஆவணத்தைப் பார்க்கலாம்,
Add notes...,குறிப்புகள் சேர்...,
All,அனைத்தும்,
A–Z,A–Z,
Blank = org default,காலி = நிறுவன இயல்புநிலை,
Bookmark limit reached (12),புக்மார்க் வரம்பு எட்டியது (12),
"Bookmark limit reached (12). Remove a bookmark to add another.","புக்மார்க் வரம்பு எட்டியது (12). மற்றொன்று சேர்க்க ஒரு புக்மார்க்கை நீக்குக.",
Bookmark this record,இந்தப் பதிவை புக்மார்க் செய்,
App context,App சூழல்,
App switcher,App மாற்றி,
Browse all apps →,அனைத்து app களையும் உலாவு →,
Install apps →,App களை நிறுவு →,
Cancel,ரத்து செய்,
Clear recent items history,சமீபத்திய உருப்படிகளின் வரலாற்றை அழி,
Company,நிறுவனம்,
Compose email,மின்னஞ்சல் எழுது,
contact,தொடர்பு,
contacts,தொடர்புகள்,
Could not create contact,தொடர்பை உருவாக்க இயலவில்லை,
Could not load contact,தொடர்பை ஏற்ற இயலவில்லை,
Could not add user. Please try again.,பயனரைச் சேர்க்க இயலவில்லை. மீண்டும் முயற்சிக்கவும்.,
Could not load contacts,தொடர்புகளை ஏற்ற இயலவில்லை,
Could not load shares,பகிர்வுகளை ஏற்ற இயலவில்லை,
Create,உருவாக்கு,
Create & Open,உருவாக்கு & திற,
Create a contact or adjust your filters,ஒரு தொடர்பை உருவாக்குக அல்லது வடிப்பான்களை மாற்றுக,
Creating…,உருவாக்குகிறது…,
History cleared,வரலாறு அழிக்கப்பட்டது,
This will remove all recent items. Continue?,இது அனைத்து சமீபத்திய உருப்படிகளையும் நீக்கும். தொடரவா?,
Close,மூடு,
Content is temporarily unavailable.,உள்ளடக்கம் தற்காலிகமாகக் கிடைக்கவில்லை.,
Copied!,நகலெடுக்கப்பட்டது!,
Copy link,இணைப்பை நகலெடு,
Copy portal URL,போர்ட்டல் URL நகலெடு,
Dark,அடர்,
Date format,தேதி வடிவம்,
Default app on login,உள்நுழைவில் இயல்புநிலை app,
Discover ecosystem apps,சூழல்நிலை app களைக் கண்டறி,
Delete,நீக்கு,
Displayed in the top bar,மேல் பட்டியில் காட்டப்பட்டுள்ளது,
Dock Settings,Dock அமைப்புகள்,
Done,முடிந்தது,
Done editing,திருத்தம் முடிந்தது,
Drag to reorder {0},{0} மறுவரிசைப்படுத்த இழுக்கவும்,
Edit bookmarks,புக்மார்க்குகளைத் திருத்து,
e.g. Europe/Berlin,எ.கா. Europe/Berlin,
Email,மின்னஞ்சல்,
Enable bookmarks,புக்மார்க்குகளை இயக்கு,
Everyone,அனைவரும்,
Enable global timer,உலகளாவிய நேர அளவியை இயக்கு,
Enable recent items,சமீபத்திய உருப்படிகளை இயக்கு,
Expired,காலாவதியானது,
Expires,காலாவதி,
Expires: {0},காலாவதி: {0},
Failed to generate link. Please try again.,இணைப்பை உருவாக்க இயலவில்லை. மீண்டும் முயற்சிக்கவும்.,
Failed to load sessions.,அமர்வுகளை ஏற்ற இயலவில்லை.,
Features,அம்சங்கள்,
Full name,முழு பெயர்,
Frappe Desk,Frappe Desk,
Generate link,இணைப்பை உருவாக்கு,
Generating…,உருவாக்குகிறது…,
Guest Portal,விருந்தினர் போர்ட்டல்,
in {0},{0} இல்,
"Install Orga, Micro, or other apps to see cross-app context for your contacts.","உங்கள் தொடர்புகளின் குறுக்கு-app சூழலைக் காண Orga, Micro, அல்லது பிற app களை நிறுவுக.",
jane@example.com,jane@example.com,
Jane Smith,Jane Smith,
Job title,பதவி,
Keep running,இயங்கட்டும்,
Label,லேபிள்,
Last accessed,கடைசியாக அணுகியது,
Light,மெல்லிய,
Limit,வரம்பு,
Link expires in:,இணைப்பு காலாவதி:,
Loading…,ஏற்றுகிறது…,
Load more,மேலும் காண்,
Log out,வெளியேறு,
Make private,தனிப்பட்டதாக்கு,
Mark all read,அனைத்தையும் படித்ததாகக் குறி,
Mark read,படித்ததாகக் குறி,
Monday,திங்கள்,
More fields,மேலும் புலங்கள்,
My contacts,எனது தொடர்புகள்,
My Account,எனது கணக்கு,
My Profile,எனது சுயவிவரம்,
Never,ஒருபோதும் இல்லை,
New contact,புதிய தொடர்பு,
No contacts found,தொடர்புகள் எதுவும் கிடைக்கவில்லை,
No expiry,காலாவதி இல்லை,
None,எதுவுமில்லை,
No guest sessions yet.,இதுவரை விருந்தினர் அமர்வுகள் இல்லை.,
No recent items,சமீபத்திய உருப்படிகள் இல்லை,
No recent items yet,இதுவரை சமீபத்திய உருப்படிகள் இல்லை,
"No results for ""{0}""","""{0}"" க்கான முடிவுகள் இல்லை",
"No results for ""{0}"" in {1}","{1} இல் ""{0}"" க்கான முடிவுகள் இல்லை",
Notifications,அறிவிப்புகள்,
Notification unavailable,அறிவிப்பு கிடைக்கவில்லை,
Organization Defaults,நிறுவன இயல்புநிலைகள்,
Organization settings updated — reload to apply,நிறுவன அமைப்புகள் புதுப்பிக்கப்பட்டன — பொருத்த மீண்டும் ஏற்றுக,
Org default,நிறுவன இயல்புநிலை,
"Password, 2FA, profile picture","கடவுச்சொல், 2FA, சுயவிவரப் படம்",
Pause,இடைநிறுத்து,
paused,இடைநிறுத்தப்பட்டது,
People,நபர்கள்,
People with access,அணுகல் உள்ள நபர்கள்,
Permissions,அனுமதிகள்,
Pinned,பின் செய்யப்பட்டது,
Powered by Tonic,Tonic வழங்கும் சேவை,
Phone,தொலைபேசி,
Private,தனிப்பட்டது,
Product Manager,Product Manager,
Preferences,விருப்பங்கள்,
Read,படி,
Recent,சமீபத்திய,
Reload,மீண்டும் ஏற்று,
Remove bookmark,புக்மார்க் நீக்கு,
Remove from shared,பகிர்விலிருந்து நீக்கு,
Remove from recent,சமீபத்தியவற்றிலிருந்து நீக்கு,
Resume,மீண்டும் தொடங்கு,
Retry,மீண்டும் முயற்சி,
Revoke,திரும்பப்பெறு,
