source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,30 dagar,
7 days,7 dagar,
90 days,90 dagar,
Acme Corp,Acme Corp,
Active,Aktiv,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","Ytterligare fält (adress, anteckningar m.m.) kan redigeras efter att kontakten skapats.",
Add,Lägg till,
Add people,Lägg till personer,
Adding…,Lägger till…,
Add bookmark,Lägg till bokmärke,
All logged-in users,Alla inloggade användare,
All logged-in users can view this document,Alla inloggade användare kan se detta dokument,
Add notes...,Lägg till anteckningar...,
All,Alla,
A–Z,A–Ö,
Blank = org default,Tom = organisationens standard,
Bookmark limit reached (12),Bokmärkesgränsen nådd (12),
"Bookmark limit reached (12). Remove a bookmark to add another.","Bokmärkesgränsen nådd (12). Ta bort ett bokmärke för att lägga till ett nytt.",
Bookmark this record,Bokmärk denna post,
App context,Appkontext,
App switcher,Appväxlare,
Browse all apps →,Bläddra bland alla appar →,
Install apps →,Installera appar →,
Cancel,Avbryt,
Clear recent items history,Rensa senaste-historiken,
Company,Företag,
Compose email,Skriv e-post,
contact,kontakt,
contacts,kontakter,
Could not create contact,Kunde inte skapa kontakt,
Could not load contact,Kunde inte ladda kontakt,
Could not add user. Please try again.,Kunde inte lägga till användare. Försök igen.,
Could not load contacts,Kunde inte ladda kontakter,
Could not load shares,Kunde inte ladda delningar,
Create,Skapa,
Create & Open,Skapa och öppna,
Create a contact or adjust your filters,Skapa en kontakt eller justera dina filter,
Creating…,Skapar…,
History cleared,Historik rensad,
This will remove all recent items. Continue?,Detta tar bort alla senaste objekt. Fortsätta?,
Close,Stäng,
Content is temporarily unavailable.,Innehållet är tillfälligt otillgängligt.,
Copied!,Kopierat!,
Copy link,Kopiera länk,
Copy portal URL,Kopiera portal-URL,
Dark,Mörkt,
Date format,Datumformat,
Default app on login,Standardapp vid inloggning,
Discover ecosystem apps,Upptäck ekosystemappar,
Delete,Radera,
Displayed in the top bar,Visas i toppfältet,
Dock Settings,Dock-inställningar,
Done,Klar,
Done editing,Klar med redigering,
Drag to reorder {0},Dra för att ordna om {0},
Edit bookmarks,Redigera bokmärken,
e.g. Europe/Berlin,t.ex. Europe/Berlin,
Email,E-post,
Enable bookmarks,Aktivera bokmärken,
Everyone,Alla,
Enable global timer,Aktivera global timer,
Enable recent items,Aktivera senaste objekt,
Expired,Utgången,
Expires,Utgår,
Expires: {0},Utgår: {0},
Failed to generate link. Please try again.,Kunde inte generera länk. Försök igen.,
Failed to load sessions.,Kunde inte ladda sessioner.,
Features,Funktioner,
Full name,Fullständigt namn,
Frappe Desk,Frappe Desk,
Generate link,Generera länk,
Generating…,Genererar…,
Guest Portal,Gästportal,
in {0},i {0},
"Install Orga, Micro, or other apps to see cross-app context for your contacts.","Installera Orga, Micro eller andra appar för att se appövergripande kontext för dina kontakter.",
jane@example.com,jane@example.com,
