source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,30 dienas,
7 days,7 dienas,
90 days,90 dienas,
Acme Corp,Acme Corp,
Active,Aktīvs,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","Papildu laukus (adrese, piezīmes u.c.) varēsi rediģēt pēc kontakta izveides.",
Add,Pievienot,
Add people,Pievienot cilvēkus,
Adding…,Pievieno…,
Add bookmark,Pievienot grāmatzīmi,
All logged-in users,Visi pieteikušies lietotāji,
All logged-in users can view this document,Visi pieteikušies lietotāji var skatīt šo dokumentu,
Add notes...,Pievienot piezīmes...,
All,Visi,
A–Z,A–Z,
Blank = org default,Tukšs = organizācijas noklusējums,
Bookmark limit reached (12),Grāmatzīmju limits sasniegts (12),
"Bookmark limit reached (12). Remove a bookmark to add another.","Grāmatzīmju limits sasniegts (12). Noņem grāmatzīmi, lai pievienotu jaunu.",
Bookmark this record,Pievienot šo ierakstu grāmatzīmēm,
App context,Lietotnes konteksts,
App switcher,Lietotņu pārslēdzējs,
Browse all apps →,Pārlūkot visas lietotnes →,
Install apps →,Instalēt lietotnes →,
Cancel,Atcelt,
Clear recent items history,Notīrīt neseno vienumu vēsturi,
Company,Uzņēmums,
Compose email,Rakstīt e-pastu,
contact,kontakts,
contacts,kontakti,
Could not create contact,Neizdevās izveidot kontaktu,
Could not load contact,Neizdevās ielādēt kontaktu,
Could not add user. Please try again.,Neizdevās pievienot lietotāju. Lūdzu mēģini vēlreiz.,
Could not load contacts,Neizdevās ielādēt kontaktus,
Could not load shares,Neizdevās ielādēt koplietojumus,
Create,Izveidot,
Create & Open,Izveidot un atvērt,
Create a contact or adjust your filters,Izveido kontaktu vai pielāgo filtrus,
Creating…,Izveido…,
History cleared,Vēsture notīrīta,
This will remove all recent items. Continue?,Tiks noņemtas visas nesenās vienības. Turpināt?,
Close,Aizvērt,
Content is temporarily unavailable.,Saturs īslaicīgi nav pieejams.,
Copied!,Nokopēts!,
Copy link,Kopēt saiti,
Copy portal URL,Kopēt portāla URL,
Dark,Tumšs,
Date format,Datuma formāts,
Default app on login,Noklusējuma lietotne pieteikšanās brīdī,
Discover ecosystem apps,Atklāt ekosistēmas lietotnes,
Delete,Dzēst,
Displayed in the top bar,Tiek rādīts augšējā joslā,
Dock Settings,Dock iestatījumi,
Done,Gatavs,
Done editing,Rediģēšana pabeigta,
Drag to reorder {0},Velc lai pārkārtotu {0},
Edit bookmarks,Rediģēt grāmatzīmes,
e.g. Europe/Berlin,"piem., Europe/Berlin",
Email,E-pasts,
Enable bookmarks,Iespējot grāmatzīmes,
Everyone,Visi,
Enable global timer,Iespējot globālo taimeri,
Enable recent items,Iespējot nesenos vienumus,
Expired,Beidzies,
Expires,Derīguma termiņš,
Expires: {0},Derīgs līdz: {0},
Failed to generate link. Please try again.,Neizdevās ģenerēt saiti. Lūdzu mēģini vēlreiz.,
Failed to load sessions.,Neizdevās ielādēt sesijas.,
Features,Iespējas,
Full name,Pilns vārds,
Frappe Desk,Frappe Desk,
Generate link,Ģenerēt saiti,
Generating…,Ģenerē…,
Guest Portal,Viesu portāls,
in {0},{0} ietvaros,
"Install Orga, Micro, or other apps to see cross-app context for your contacts.","Instalē Orga, Micro vai citas lietotnes, lai redzētu starpaplikāciju kontekstu saviem kontaktiem.",
jane@example.com,jane@example.com,
Jane Smith,Jane Smith,
Job title,Amats,
Keep running,Turpināt darbību,
Label,Nosaukums,
Last accessed,Pēdējoreiz piekļūts,
Light,Gaišs,
Limit,Limits,
Link expires in:,Saite derīga vēl:,
Loading…,Ielādē…,
Load more,Ielādēt vairāk,
Log out,Iziet,
Make private,Padarīt privātu,
Mark all read,Atzīmēt visu kā lasītu,
Mark read,Atzīmēt kā lasītu,
Monday,Pirmdiena,
More fields,Vairāk lauku,
My contacts,Mani kontakti,
My Account,Mans konts,
My Profile,Mans profils,
Never,Nekad,
New contact,Jauns kontakts,
No contacts found,Kontakti nav atrasti,
No expiry,Bez termiņa,
None,Nav,
No guest sessions yet.,Viesu sesiju pagaidām nav.,
No recent items,Nav neseno vienumu,
No recent items yet,Pagaidām nav neseno vienumu,
No results for "{0}",Nav rezultātu vaicājumam "{0}",
No results for "{0}" in {1},Nav rezultātu vaicājumam "{0}" sadaļā {1},
Notifications,Paziņojumi,
Notification unavailable,Paziņojums nav pieejams,
Organization Defaults,Organizācijas noklusējumi,
Organization settings updated — reload to apply,Organizācijas iestatījumi atjaunināti — pārlādē lai piemērotu,
Org default,Org. noklusējums,
"Password, 2FA, profile picture","Parole, 2FA, profila attēls",
Pause,Pauze,
paused,apturēts,
People,Cilvēki,
People with access,Cilvēki ar piekļuvi,
Permissions,Atļaujas,
Pinned,Piesprausts,
Powered by Tonic,Nodrošina Tonic,
Phone,Tālrunis,
Private,Privāts,
Product Manager,Product Manager,
Preferences,Preferences,
Read,Lasīt,
Recent,Nesenie,
Reload,Pārlādēt,
Remove bookmark,Noņemt grāmatzīmi,
Remove from shared,Noņemt no koplietotā,
Remove from recent,Noņemt no nesenajiem,
Resume,Atsākt,
Retry,Mēģināt vēlreiz,
Revoke,Atsaukt,
Revoked,Atsaukts,
Revoke session,Atsaukt sesiju,
Revoking…,Atsauc…,
Saved,Saglabāts,
Save failed,Saglabāšana neizdevās,
Save organization settings,Saglabāt organizācijas iestatījumus,
Saving…,Saglabā…,
Search...,Meklēt...,
"Search by name, email, or phone…","Meklēt pēc vārda, e-pasta vai tālruņa…",
Search users...,Meklēt lietotājus...,
Share {0} {1},Koplietot {0} {1},
Submit,Iesniegt,
Search in All apps,Meklēt visās lietotnēs,
Search unavailable,Meklēšana nav pieejama,
selected,atlasīts,
Share "{0}",Koplietot "{0}",
Share with team,Koplietot ar komandu,
Shared,Koplietots,
Shared with team,Koplietots ar komandu,
Share with client,Koplietot ar klientu,
Showing {0} of {1} sessions,Rāda {0} no {1} sesijām,
Site label,Vietnes nosaukums,
Sort: A–Z — click for last modified,Kārtot: A–Z — klikšķini lai kārtotu pēc izmaiņu laika,
Sort: last modified — click for A–Z,Kārtot: pēc izmaiņu laika — klikšķini lai kārtotu A–Z,
Start,Sākt,
Start Timer,Sākt taimeri,
Status,Statuss,
Stop,Apturēt,
Stop & Save,Apturēt un saglabāt,
Sunday,Svētdiena,
System,Sistēma,
Theme,Motīvs,
Theme preference,Motīva preference,
This email is already on,Šis e-pasts jau ir pievienots,
This link has been deactivated.,Šī saite ir deaktivizēta.,
This link has expired. Please ask the sender for a new link.,Šai saitei ir beidzies derīguma termiņš. Lūdzu pieprasi sūtītājam jaunu saiti.,
This link is invalid or has been removed.,Šī saite ir nederīga vai ir noņemta.,
Time,Laiks,
Time entry saved,Laika ieraksts saglabāts,
Timer unavailable,Taimeris nav pieejams,
Timezone,Laika zona,
total,kopā,
Try again,Mēģināt vēlreiz,
Unread,Nelasīts,
Open calendar,Atvērt kalendāru,
Open in Desk,Atvērt Desk,
Open in {0},Atvērt {0},
User menu,Lietotāja izvēlne,
View existing →,Skatīt esošos →,
Visibility,Redzamība,
View,Skatīt,
View all notifications,Skatīt visus paziņojumus,
View time entry,Skatīt laika ierakstu,
Week starts on,Nedēļa sākas ar,
Write,Rakstīt,
What are you working on?,Pie kā tu strādā?,
You're all caught up,Viss izlasīts,
Your Preferences,Tavas preferences,
Your timer has been running for {0},Tavs taimeris darbojas jau {0},
Actions,Darbības,
Add details about this event...,Pievieno informāciju par šo notikumu...,
Add event,Pievienot notikumu,
Agenda,Darba kārtība,
All day,Visa diena,
Calendar,Kalendārs,
Create Event,Izveidot notikumu,
Create in:,Izveidot:,
