source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,30 giorni,
7 days,7 giorni,
90 days,90 giorni,
Acme Corp,Acme Corp,
Active,Attivo,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","I campi aggiuntivi (indirizzo, note, ecc.) possono essere modificati dopo aver creato il contatto.",
Add,Aggiungi,
Add people,Aggiungi persone,
Adding…,Aggiunta in corso…,
Add bookmark,Aggiungi segnalibro,
All logged-in users,Tutti gli utenti connessi,
All logged-in users can view this document,Tutti gli utenti connessi possono visualizzare questo documento,
Add notes...,Aggiungi note...,
All,Tutto,
A–Z,A–Z,
Blank = org default,Vuoto = predefinito organizzazione,
Bookmark limit reached (12),Limite segnalibri raggiunto (12),
Bookmark limit reached (12). Remove a bookmark to add another.,Limite segnalibri raggiunto (12). Rimuovi un segnalibro per aggiungerne un altro.,
Bookmark this record,Aggiungi questo record ai segnalibri,
App context,Contesto app,
App switcher,Selettore app,
Browse all apps →,Sfoglia tutte le app →,
Install apps →,Installa app →,
Cancel,Annulla,
Clear recent items history,Cancella la cronologia degli elementi recenti,
Company,Azienda,
Compose email,Scrivi email,
contact,contatto,
contacts,contatti,
Could not create contact,Impossibile creare il contatto,
Could not load contact,Impossibile caricare il contatto,
Could not add user. Please try again.,Impossibile aggiungere l'utente. Riprova.,
Could not load contacts,Impossibile caricare i contatti,
Could not load shares,Impossibile caricare le condivisioni,
Create,Crea,
Create & Open,Crea e apri,
Create a contact or adjust your filters,Crea un contatto o modifica i tuoi filtri,
Creating…,Creazione in corso…,
History cleared,Cronologia cancellata,
This will remove all recent items. Continue?,Verranno rimossi tutti gli elementi recenti. Continuare?,
Close,Chiudi,
Content is temporarily unavailable.,Il contenuto è temporaneamente non disponibile.,
Copied!,Copiato!,
Copy link,Copia link,
Copy portal URL,Copia URL portale,
Dark,Scuro,
Date format,Formato data,
Default app on login,App predefinita all'accesso,
Discover ecosystem apps,Scopri le app dell'ecosistema,
Delete,Elimina,
Displayed in the top bar,Visualizzato nella barra superiore,
Dock Settings,Impostazioni Dock,
Done,Fatto,
Done editing,Modifica completata,
Drag to reorder {0},Trascina per riordinare {0},
Edit bookmarks,Modifica segnalibri,
e.g. Europe/Berlin,es. Europe/Berlin,
Email,Email,
Enable bookmarks,Abilita segnalibri,
Everyone,Tutti,
Enable global timer,Abilita timer globale,
Enable recent items,Abilita elementi recenti,
Expired,Scaduto,
Expires,Scade,
Expires: {0},Scade: {0},
Failed to generate link. Please try again.,Generazione link fallita. Riprova.,
Failed to load sessions.,Caricamento sessioni fallito.,
Features,Funzionalità,
Full name,Nome completo,
Frappe Desk,Frappe Desk,
Generate link,Genera link,
Generating…,Generazione in corso…,
Guest Portal,Portale Ospiti,
in {0},in {0},
"Install Orga, Micro, or other apps to see cross-app context for your contacts.","Installa Orga, Micro o altre app per vedere il contesto cross-app dei tuoi contatti.",
jane@example.com,jane@example.com,
Jane Smith,Jane Smith,
Job title,Qualifica,
Keep running,Continua,
Label,Etichetta,
Last accessed,Ultimo accesso,
Light,Chiaro,
Limit,Limite,
Link expires in:,Il link scade tra:,
Loading…,Caricamento…,
Load more,Carica altro,
Log out,Esci,
Make private,Rendi privato,
Mark all read,Segna tutto come letto,
Mark read,Segna come letto,
Monday,Lunedì,
More fields,Altri campi,
My contacts,I miei contatti,
My Account,Il mio account,
My Profile,Il mio profilo,
Never,Mai,
New contact,Nuovo contatto,
No contacts found,Nessun contatto trovato,
No expiry,Nessuna scadenza,
None,Nessuno,
No guest sessions yet.,Nessuna sessione ospite per ora.,
No recent items,Nessun elemento recente,
No recent items yet,Nessun elemento recente per ora,
No results for "{0}",Nessun risultato per "{0}",
No results for "{0}" in {1},Nessun risultato per "{0}" in {1},
Notifications,Notifiche,
Notification unavailable,Notifica non disponibile,
Organization Defaults,Predefiniti organizzazione,
Organization settings updated — reload to apply,Impostazioni organizzazione aggiornate — ricarica per applicare,
Org default,Predefinito organizzazione,
"Password, 2FA, profile picture","Password, 2FA, foto profilo",
Pause,Pausa,
paused,in pausa,
People,Persone,
People with access,Persone con accesso,
Permissions,Permessi,
Pinned,Fissato,
Powered by Tonic,Powered by Tonic,
Phone,Telefono,
Private,Privato,
Product Manager,Product Manager,
Preferences,Preferenze,
Read,Lettura,
Recent,Recenti,
Reload,Ricarica,
Remove bookmark,Rimuovi segnalibro,
Remove from shared,Rimuovi dalla condivisione,
Remove from recent,Rimuovi dai recenti,
Resume,Riprendi,
Retry,Riprova,
Revoke,Revoca,
Revoked,Revocato,
Revoke session,Revoca sessione,
Revoking…,Revoca in corso…,
Saved,Salvato,
Save failed,Salvataggio fallito,
Save organization settings,Salva impostazioni organizzazione,
Saving…,Salvataggio…,
Search...,Cerca...,
"Search by name, email, or phone…","Cerca per nome, email o telefono…",
Search users...,Cerca utenti...,
Share {0} {1},Condividi {0} {1},
Submit,Invia,
Search in All apps,Cerca in tutte le app,
Search unavailable,Ricerca non disponibile,
selected,selezionato,
Share "{0}",Condividi "{0}",
Share with team,Condividi con il team,
Shared,Condiviso,
Shared with team,Condiviso con il team,
Share with client,Condividi con il cliente,
Showing {0} of {1} sessions,Visualizzazione di {0} su {1} sessioni,
Site label,Etichetta sito,
Sort: A–Z — click for last modified,Ordine: A–Z — clicca per ultima modifica,
Sort: last modified — click for A–Z,Ordine: ultima modifica — clicca per A–Z,
Start,Avvia,
Start Timer,Avvia timer,
Status,Stato,
Stop,Ferma,
Stop & Save,Ferma e salva,
Sunday,Domenica,
System,Sistema,
Theme,Tema,
Theme preference,Preferenza tema,
This email is already on,Questa email è già presente,
This link has been deactivated.,Questo link è stato disattivato.,
This link has expired. Please ask the sender for a new link.,Questo link è scaduto. Chiedi al mittente un nuovo link.,
This link is invalid or has been removed.,Questo link non è valido o è stato rimosso.,
Time,Tempo,
Time entry saved,Registrazione tempo salvata,
Timer unavailable,Timer non disponibile,
Timezone,Fuso orario,
total,totale,
Try again,Riprova,
Unread,Non letto,
Open calendar,Apri calendario,
Open in Desk,Apri in Desk,
Open in {0},Apri in {0},
User menu,Menu utente,
View existing →,Vedi esistente →,
Visibility,Visibilità,
View,Visualizza,
View all notifications,Visualizza tutte le notifiche,
View time entry,Visualizza registrazione tempo,
Week starts on,La settimana inizia il,
Write,Scrittura,
What are you working on?,Su cosa stai lavorando?,
You're all caught up,Sei in pari,
Your Preferences,Le tue preferenze,
Your timer has been running for {0},Il tuo timer è attivo da {0},
Actions,Azioni,
Add details about this event...,Aggiungi dettagli su questo evento...,
Add event,Aggiungi evento,
Agenda,Agenda,
All day,Tutto il giorno,
Calendar,Calendario,
Create Event,Crea evento,
Create in:,Crea in:,
Day,Giorno,
Deadline,Scadenza,
Delete Event,Elimina evento,
Delete this event? This cannot be undone.,Eliminare questo evento? L'operazione non può essere annullata.,
Deleting…,Eliminazione…,
Description,Descrizione,
Details,Dettagli,
End,Fine,
Event,Evento,
Event title,Titolo evento,
Failed to create event,Creazione evento fallita,
Failed to delete event,Eliminazione evento fallita,
Manage this event in,Gestisci questo evento in,
Meeting,Riunione,
Milestone,Traguardo,
Month,Mese,
My calendars,I miei calendari,
New Event,Nuovo evento,
No actions available,Nessuna azione disponibile,
No events,Nessun evento,
Open in,Apri in,
Other,Altro,
Permanently remove this event,Elimina definitivamente questo evento,
Review,Revisione,
Source,Origine,
Start date/time is required,Data/ora di inizio obbligatoria,
Title,Titolo,
Title is required,Il titolo è obbligatorio,
Today,Oggi,
Type,Tipo,
View full details in the source app,Visualizza tutti i dettagli nell'app di origine,
Week,Settimana,
When,Quando,
{0} available,{0} disponibile,
Available,Disponibile,
Configure Frappe Manager to enable one-click updates.,Configura Frappe Manager per abilitare gli aggiornamenti con un clic.,
Copy command,Copia comando,
Ecosystem Apps,App dell'ecosistema,
Failed,Fallito,
Install,Installa,
Installed,Installato,
Learn more,Scopri di più,
No apps found,Nessuna app trovata,
