source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,30 días,
7 days,7 días,
90 days,90 días,
Acme Corp,Acme Corp,
Active,Activo,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","Os campos adicionais (enderezo, notas, etc.) pódense editar despois de crear o contacto.",
Add,Engadir,
Add people,Engadir persoas,
Adding…,Engadindo…,
Add bookmark,Engadir marcador,
All logged-in users,Todos os usuarios conectados,
All logged-in users can view this document,Todos os usuarios conectados poden ver este documento,
Add notes...,Engadir notas...,
All,Todos,
A–Z,A–Z,
Blank = org default,Baleiro = predeterminado da organización,
Bookmark limit reached (12),Límite de marcadores acadado (12),
"Bookmark limit reached (12). Remove a bookmark to add another.","Límite de marcadores acadado (12). Elimina un marcador para engadir outro.",
Bookmark this record,Marcar este rexistro,
App context,Contexto da aplicación,
App switcher,Selector de aplicacións,
Browse all apps →,Ver todas as aplicacións →,
Install apps →,Instalar aplicacións →,
Cancel,Cancelar,
Clear recent items history,Limpar historial de elementos recentes,
Company,Empresa,
Compose email,Redactar correo electrónico,
contact,contacto,
contacts,contactos,
Could not create contact,Non se puido crear o contacto,
Could not load contact,Non se puido cargar o contacto,
Could not add user. Please try again.,Non se puido engadir o usuario. Téntao de novo.,
Could not load contacts,Non se puideron cargar os contactos,
Could not load shares,Non se puideron cargar os elementos compartidos,
Create,Crear,
Create & Open,Crear e abrir,
Create a contact or adjust your filters,Crea un contacto ou axusta os teus filtros,
Creating…,Creando…,
History cleared,Historial limpado,
This will remove all recent items. Continue?,Isto eliminará todos os elementos recentes. Continuar?,
Close,Pechar,
Content is temporarily unavailable.,O contido non está dispoñible temporalmente.,
Copied!,Copiado!,
Copy link,Copiar ligazón,
Copy portal URL,Copiar URL do portal,
Dark,Escuro,
Date format,Formato de data,
Default app on login,Aplicación predeterminada ao iniciar sesión,
Discover ecosystem apps,Descubrir aplicacións do ecosistema,
Delete,Eliminar,
Displayed in the top bar,Amosado na barra superior,
Dock Settings,Configuración de Dock,
Done,Feito,
Done editing,Edición finalizada,
Drag to reorder {0},Arrastra para reordenar {0},
Edit bookmarks,Editar marcadores,
e.g. Europe/Berlin,p. ex. Europe/Berlin,
Email,Correo electrónico,
Enable bookmarks,Activar marcadores,
Everyone,Todos,
Enable global timer,Activar temporizador global,
Enable recent items,Activar elementos recentes,
Expired,Caducado,
Expires,Caduca,
Expires: {0},Caduca: {0},
Failed to generate link. Please try again.,Non se puido xerar a ligazón. Téntao de novo.,
Failed to load sessions.,Non se puideron cargar as sesións.,
Features,Funcionalidades,
Full name,Nome completo,
Frappe Desk,Frappe Desk,
Generate link,Xerar ligazón,
Generating…,Xerando…,
Guest Portal,Portal de convidados,
in {0},en {0},
"Install Orga, Micro, or other apps to see cross-app context for your contacts.","Instala Orga, Micro ou outras aplicacións para ver o contexto entre aplicacións dos teus contactos.",
jane@example.com,xoana@exemplo.com,
Jane Smith,Xoana García,
Job title,Cargo,
Keep running,Seguir en marcha,
Label,Etiqueta,
Last accessed,Último acceso,
Light,Claro,
Limit,Límite,
Link expires in:,A ligazón caduca en:,
Loading…,Cargando…,
Load more,Cargar máis,
Log out,Pechar sesión,
Make private,Facer privado,
Mark all read,Marcar todo como lido,
Mark read,Marcar como lido,
Monday,Luns,
More fields,Máis campos,
My contacts,Os meus contactos,
My Account,A miña conta,
My Profile,O meu perfil,
Never,Nunca,
New contact,Novo contacto,
No contacts found,Non se atoparon contactos,
No expiry,Sen caducidade,
None,Ningún,
No guest sessions yet.,Aínda non hai sesións de convidados.,
No recent items,Non hai elementos recentes,
No recent items yet,Aínda non hai elementos recentes,
No results for "{0}",Sen resultados para "{0}",
"No results for ""{0}"" in {1}","Sen resultados para ""{0}"" en {1}",
Notifications,Notificacións,
Notification unavailable,Notificación non dispoñible,
Organization Defaults,Valores predeterminados da organización,
Organization settings updated — reload to apply,Configuración da organización actualizada — recarga para aplicar,
Org default,Predeterminado da organización,
"Password, 2FA, profile picture","Contrasinal, 2FA, foto de perfil",
Pause,Pausar,
paused,pausado,
People,Persoas,
People with access,Persoas con acceso,
Permissions,Permisos,
Pinned,Fixado,
Powered by Tonic,Powered by Tonic,
Phone,Teléfono,
Private,Privado,
Product Manager,Product Manager,
Preferences,Preferencias,
Read,Lectura,
Recent,Recentes,
Reload,Recargar,
Remove bookmark,Eliminar marcador,
Remove from shared,Eliminar de compartidos,
Remove from recent,Eliminar de recentes,
Resume,Retomar,
Retry,Reintentar,
Revoke,Revogar,
Revoked,Revogado,
Revoke session,Revogar sesión,
Revoking…,Revogando…,
Saved,Gardado,
Save failed,Erro ao gardar,
Save organization settings,Gardar configuración da organización,
Saving…,Gardando…,
Search...,Buscar...,
"Search by name, email, or phone…","Buscar por nome, correo electrónico ou teléfono…",
Search users...,Buscar usuarios...,
Share {0} {1},Compartir {0} {1},
Submit,Enviar,
Search in All apps,Buscar en todas as aplicacións,
Search unavailable,Busca non dispoñible,
selected,seleccionado,
"Share ""{0}""","Compartir ""{0}""",
Share with team,Compartir co equipo,
Shared,Compartido,
Shared with team,Compartido co equipo,
Share with client,Compartir co cliente,
Showing {0} of {1} sessions,Amosando {0} de {1} sesións,
Site label,Etiqueta do sitio,
Sort: A–Z — click for last modified,Ordenar: A–Z — preme para orde por última modificación,
Sort: last modified — click for A–Z,Ordenar: última modificación — preme para orde A–Z,
Start,Iniciar,
Start Timer,Iniciar temporizador,
Status,Estado,
Stop,Deter,
Stop & Save,Deter e gardar,
Sunday,Domingo,
System,Sistema,
Theme,Tema,
Theme preference,Preferencia de tema,
This email is already on,Este correo electrónico xa está en,
This link has been deactivated.,Esta ligazón foi desactivada.,
This link has expired. Please ask the sender for a new link.,Esta ligazón caducou. Pídelle ao remitente unha nova ligazón.,
This link is invalid or has been removed.,Esta ligazón non é válida ou foi eliminada.,
Time,Tempo,
Time entry saved,Entrada de tempo gardada,
Timer unavailable,Temporizador non dispoñible,
Timezone,Fuso horario,
total,total,
Try again,Tentar de novo,
Unread,Non lido,
Open calendar,Abrir calendario,
Open in Desk,Abrir en Desk,
Open in {0},Abrir en {0},
User menu,Menú de usuario,
View existing →,Ver existente →,
Visibility,Visibilidade,
View,Ver,
View all notifications,Ver todas as notificacións,
View time entry,Ver entrada de tempo,
Week starts on,A semana comeza o,
Write,Escritura,
What are you working on?,En que estás a traballar?,
You're all caught up,Estás ao día,
Your Preferences,As túas preferencias,
Your timer has been running for {0},O teu temporizador leva {0} en marcha,
Actions,Accións,
Add details about this event...,Engadir detalles sobre este evento...,
Add event,Engadir evento,
Agenda,Axenda,
All day,Todo o día,
