source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,30 днів,
7 days,7 днів,
90 days,90 днів,
Acme Corp,Acme Corp,
Active,Активний,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","Додаткові поля (адреса, нотатки тощо) можна редагувати після створення контакту.",
Add,Додати,
Add people,Додати людей,
Adding…,Додавання…,
Add bookmark,Додати закладку,
All logged-in users,Усі авторизовані користувачі,
All logged-in users can view this document,Усі авторизовані користувачі можуть переглядати цей документ,
Add notes...,Додати нотатки...,
All,Усі,
A–Z,А–Я,
Blank = org default,Порожнє = за замовчуванням організації,
Bookmark limit reached (12),Досягнуто ліміт закладок (12),
"Bookmark limit reached (12). Remove a bookmark to add another.","Досягнуто ліміт закладок (12). Видали закладку, щоб додати нову.",
Bookmark this record,Додати цей запис до закладок,
App context,Контекст застосунку,
App switcher,Перемикач застосунків,
Browse all apps →,Переглянути всі застосунки →,
Install apps →,Встановити застосунки →,
Cancel,Скасувати,
Clear recent items history,Очистити історію нещодавніх елементів,
Company,Компанія,
Compose email,Написати лист,
contact,контакт,
contacts,контакти,
Could not create contact,Не вдалося створити контакт,
Could not load contact,Не вдалося завантажити контакт,
Could not add user. Please try again.,Не вдалося додати користувача. Спробуй ще раз.,
Could not load contacts,Не вдалося завантажити контакти,
Could not load shares,Не вдалося завантажити спільні доступи,
Create,Створити,
Create & Open,Створити й відкрити,
Create a contact or adjust your filters,"Створи контакт або зміни фільтри",
Creating…,Створення…,
History cleared,Історію очищено,
This will remove all recent items. Continue?,Це видалить усі нещодавні елементи. Продовжити?,
Close,Закрити,
Content is temporarily unavailable.,Вміст тимчасово недоступний.,
Copied!,Скопійовано!,
Copy link,Копіювати посилання,
Copy portal URL,Копіювати URL порталу,
Dark,Темна,
Date format,Формат дати,
Default app on login,Застосунок за замовчуванням при вході,
Discover ecosystem apps,Знайти застосунки екосистеми,
Delete,Видалити,
Displayed in the top bar,Відображається у верхній панелі,
Dock Settings,Налаштування Dock,
Done,Готово,
Done editing,Редагування завершено,
Drag to reorder {0},Перетягни для зміни порядку {0},
Edit bookmarks,Редагувати закладки,
e.g. Europe/Berlin,напр. Europe/Berlin,
Email,Електронна пошта,
Enable bookmarks,Увімкнути закладки,
Everyone,Усі,
Enable global timer,Увімкнути глобальний таймер,
Enable recent items,Увімкнути нещодавні елементи,
Expired,Термін минув,
Expires,Закінчується,
Expires: {0},Закінчується: {0},
Failed to generate link. Please try again.,Не вдалося згенерувати посилання. Спробуй ще раз.,
Failed to load sessions.,Не вдалося завантажити сесії.,
Features,Функції,
Full name,Повне імʼя,
Frappe Desk,Frappe Desk,
Generate link,Згенерувати посилання,
Generating…,Генерування…,
Guest Portal,Гостьовий портал,
in {0},у {0},
"Install Orga, Micro, or other apps to see cross-app context for your contacts.","Встанови Orga, Micro або інші застосунки, щоб бачити міжзастосунковий контекст для контактів.",
jane@example.com,jane@example.com,
Jane Smith,Jane Smith,
Job title,Посада,
Keep running,Продовжити роботу,
Label,Мітка,
Last accessed,Останній доступ,
Light,Світла,
Limit,Ліміт,
Link expires in:,Посилання закінчується через:,
Loading…,Завантаження…,
Load more,Завантажити ще,
Log out,Вийти,
Make private,Зробити приватним,
Mark all read,Позначити все як прочитане,
Mark read,Позначити як прочитане,
Monday,Понеділок,
More fields,Додаткові поля,
My contacts,Мої контакти,
My Account,Мій акаунт,
My Profile,Мій профіль,
Never,Ніколи,
New contact,Новий контакт,
No contacts found,Контактів не знайдено,
No expiry,Без терміну дії,
None,Немає,
No guest sessions yet.,Гостьових сесій ще немає.,
No recent items,Немає нещодавніх елементів,
No recent items yet,Нещодавніх елементів ще немає,
No results for "{0}","Немає результатів для «{0}»",
"No results for ""{0}"" in {1}","Немає результатів для «{0}» у {1}",
Notifications,Сповіщення,
Notification unavailable,Сповіщення недоступне,
Organization Defaults,Типові налаштування організації,
Organization settings updated — reload to apply,Налаштування організації оновлено — перезавантаж для застосування,
Org default,За замовчуванням організації,
"Password, 2FA, profile picture","Пароль, 2FA, фото профілю",
Pause,Пауза,
paused,на паузі,
People,Люди,
People with access,Люди з доступом,
Permissions,Дозволи,
Pinned,Закріплено,
Powered by Tonic,Працює на Tonic,
Phone,Телефон,
Private,Приватний,
Product Manager,Product Manager,
Preferences,Уподобання,
Read,Читання,
Recent,Нещодавні,
Reload,Перезавантажити,
Remove bookmark,Видалити закладку,
Remove from shared,Видалити зі спільного,
Remove from recent,Видалити з нещодавніх,
Resume,Продовжити,
Retry,Повторити,
Revoke,Відкликати,
Revoked,Відкликано,
Revoke session,Відкликати сесію,
Revoking…,Відкликання…,
Saved,Збережено,
Save failed,Не вдалося зберегти,
Save organization settings,Зберегти налаштування організації,
Saving…,Збереження…,
Search...,Пошук...,
"Search by name, email, or phone…","Пошук за імʼям, електронною поштою або телефоном…",
Search users...,Пошук користувачів...,
Share {0} {1},Поділитися {0} {1},
Submit,Надіслати,
Search in All apps,Пошук у всіх застосунках,
Search unavailable,Пошук недоступний,
selected,вибрано,
"Share ""{0}""","Поділитися «{0}»",
Share with team,Поділитися з командою,
Shared,Спільний,
Shared with team,Надано доступ команді,
Share with client,Поділитися з клієнтом,
Showing {0} of {1} sessions,Показано {0} з {1} сесій,
Site label,Мітка сайту,
Sort: A–Z — click for last modified,Сортування: А–Я — натисни для сортування за зміною,
Sort: last modified — click for A–Z,Сортування: за зміною — натисни для А–Я,
Start,Старт,
Start Timer,Запустити таймер,
Status,Статус,
Stop,Стоп,
Stop & Save,Зупинити й зберегти,
Sunday,Неділя,
System,Системна,
Theme,Тема,
Theme preference,Тема оформлення,
This email is already on,Цей email вже додано,
This link has been deactivated.,Це посилання було деактивовано.,
This link has expired. Please ask the sender for a new link.,Термін дії цього посилання минув. Попроси відправника надіслати нове посилання.,
This link is invalid or has been removed.,Це посилання недійсне або було видалено.,
Time,Час,
Time entry saved,Запис часу збережено,
Timer unavailable,Таймер недоступний,
Timezone,Часовий пояс,
total,загалом,
Try again,Спробувати ще раз,
Unread,Непрочитані,
Open calendar,Відкрити календар,
Open in Desk,Відкрити в Desk,
Open in {0},Відкрити в {0},
User menu,Меню користувача,
View existing →,Переглянути наявні →,
Visibility,Видимість,
View,Перегляд,
View all notifications,Переглянути всі сповіщення,
View time entry,Переглянути запис часу,
Week starts on,Тиждень починається з,
Write,Запис,
What are you working on?,Над чим ти працюєш?,
You're all caught up,Все прочитано,
Your Preferences,Твої уподобання,
Your timer has been running for {0},Твій таймер працює вже {0},
Actions,Дії,
Add details about this event...,Додай деталі про цю подію...,
Add event,Додати подію,
Agenda,Порядок денний,
All day,Весь день,
Calendar,Календар,
Create Event,Створити подію,
Create in:,Створити в:,
Day,День,
Deadline,Дедлайн,
Delete Event,Видалити подію,
Delete this event? This cannot be undone.,Видалити цю подію? Цю дію не можна скасувати.,
Deleting…,Видалення…,
Description,Опис,
Details,Деталі,
End,Кінець,
Event,Подія,
Event title,Назва події,
Failed to create event,Не вдалося створити подію,
Failed to delete event,Не вдалося видалити подію,
Manage this event in,Керувати цією подією в,
Meeting,Зустріч,
Milestone,Віха,
Month,Місяць,
My calendars,Мої календарі,
New Event,Нова подія,
No actions available,Немає доступних дій,
No events,Немає подій,
Open in,Відкрити в,
Other,Інше,
Permanently remove this event,Видалити цю подію назавжди,
Review,Огляд,
Source,Джерело,
Start date/time is required,Дата/час початку є обовʼязковими,
Title,Заголовок,
Title is required,Заголовок є обовʼязковим,
Today,Сьогодні,
Type,Тип,
View full details in the source app,Переглянути повні деталі в застосунку-джерелі,
Week,Тиждень,
When,Коли,
{0} available,{0} доступно,
Available,Доступний,
Configure Frappe Manager to enable one-click updates.,Налаштуй Frappe Manager для увімкнення оновлення одним натиском.,
Copy command,Копіювати команду,
Ecosystem Apps,Застосунки екосистеми,
Failed,Помилка,
Install,Встановити,
Installed,Встановлено,
Learn more,Дізнатися більше,
No apps found,Застосунків не знайдено,
not installed,не встановлено,
Open,Відкрити,
Pro available,Доступна Pro-версія,
Queued…,У черзі…,
Refresh,Оновити,
Remove,Видалити,
"Remove {0}? This will uninstall the app and may affect data.","Видалити {0}? Це деінсталює застосунок і може вплинути на дані.",
Restart required,Потрібен перезапуск,
Restarting…,Перезапуск…,
"To install {0}, run:","Щоб встановити {0}, виконай:",
"To update {0}, run:","Щоб оновити {0}, виконай:",
"Update {0} from v{1} to {2}? This will restart Frappe.","Оновити {0} з v{1} до {2}? Це перезапустить Frappe.",
Update to {0},Оновити до {0},
Updated,Оновлено,
Updating…,Оновлення…,
Up to date,Актуальна версія,
to version,до версії,
For whom?,Для кого?,
Working on?,Над чим?,
Search contacts...,Пошук контактів...,
Select type...,Обрати тип...,
Context,Контекст,
Contact,Контакт,
Context Type,Тип контексту,
Activity,Активність,
Activity will appear here as you and your team work across ecosystem apps.,Активність зʼявиться тут у процесі роботи тебе та твоєї команди в застосунках екосистеми.,
Acknowledge,Підтвердити,
All apps,Усі застосунки,
All Discussions,Усі обговорення,
All types,Усі типи,
Archived,В архіві,
Cancel,Скасувати,
Celebrate,Відсвяткувати,
Comments,Коментарі,
Create Discussion,Створити обговорення,
Creating…,Створення…,
Ctrl+Enter to send,Ctrl+Enter щоб надіслати,
Decision,Рішення,
Discussion not found,Обговорення не знайдено,
Discussion title,Заголовок обговорення,
Discussions,Обговорення,
Flag,Позначити,
General,Загальне,
just now,щойно,
Keep commenting,Продовжуй коментувати,
Linked Records,Повʼязані записи,
Linked to,Повʼязано з,
Load more,Завантажити ще,
Loading…,Завантаження…,
Meeting Protocol,Протокол зустрічі,
Mentioned,Згадки,
New Discussion,Нове обговорення,
No activity yet,Ще немає активності,
No comments yet,Коментарів ще немає,
No discussions found,Обговорень не знайдено,
No discussions yet,Обговорень ще немає,
Note,Нотатка,
Notes,Нотатки,
Participants,Учасники,
Pin,Закріпити,
Pinned,Закріплено,
Proposal,Пропозиція,
Protocol,Протокол,
Reopen,Відкрити знову,
Replies,Відповіді,
Reply,Відповісти,
Replying to comment,Відповідь на коментар,
Resolve,Вирішити,
Resolve Discussion,Вирішити обговорення,
Resolved,Вирішено,
Resolution,Резолюція,
Resolution summary...,Підсумок резолюції...,
Retrospective,Ретроспектива,
Search discussions...,Пошук обговорень...,
Seen,Переглянуто,
Send,Надіслати,
Start Discussion,Розпочати обговорення,
Unpin,Відкріпити,
Write a comment...,Написати коментар...,
Write your discussion content...,Напиши зміст обговорення...,
resolved,вирішено,
unread,непрочитане,
{0} mentioned you in a comment,{0} згадав(-ла) тебе в коментарі,
{0} is already an attendee.,{0} вже є учасником.,
{0} is not an attendee.,{0} не є учасником.,
{0} is not installed,{0} не встановлено,
{0} results found,Знайдено результатів: {0},
+ Add tags,+ Додати теґи,
A→Z,А→Я,
Accept,Прийняти,
Action failed,Дію не виконано,
Active now,Зараз активний,
Add a note,Додати нотатку,
"Add a note to keep track of details about this contact.","Додай нотатку, щоб зберігати деталі про цей контакт.",
Add address,Додати адресу,
Add another address,Додати ще адресу,
Add birthday,Додати день народження,
Add company,Додати компанію,
Add job title,Додати посаду,
Add more tags...,Додати більше теґів...,
Add tags...,Додати теґи...,
"Address is not linked to this contact","Адреса не повʼязана з цим контактом",
"Address line 1, city, and country are required","Адреса (рядок 1), місто та країна є обовʼязковими",
ago,тому,
All companies,Усі компанії,
All day event,Подія на весь день,
"Apartment, suite, etc.","Квартира, офіс тощо",
Apps,Застосунки,
Archive contact,Архівувати контакт,
Attendees,Учасники,
available,доступно,
Best regards,З повагою,
Bookmarks,Закладки,
"Both proposed start and end times are required.","Потрібно вказати час початку та закінчення.",
Break,Перерва,
Bridge not registered,Міст не зареєстровано,
Calendar Settings,Налаштування календаря,
Call,Дзвінок,
Cannot change bookmark owner,Неможливо змінити власника закладки,
Cannot revoke your current session,Неможливо відкликати поточну сесію,
Change Password,Змінити пароль,
Change photo,Змінити фото,
Check Status,Перевірити статус,
City,Місто,
Clear,Очистити,
Clear filters,Очистити фільтри,
Close search,Закрити пошук,
Cmd+Enter to save,Cmd+Enter щоб зберегти,
Coming soon,Незабаром,
Coming up!,Скоро!,
Comment,Коментар,
Community Edition,Версія Community,
Complete,Завершити,
Confirm new password,Підтвердити новий пароль,
Copy,Копіювати,
Could not load notes,Не вдалося завантажити нотатки,
Country,Країна,
"Country '{0}' not found. Please select a valid country.","Країну «{0}» не знайдено. Обери дійсну країну.",
Create a contact to get started,"Створи контакт, щоб почати",
Created event: {0},Створено подію: {0},
Creating...,Створення...,
Current,Поточний,
Current password,Поточний пароль,
Current password is incorrect,Поточний пароль невірний,
Currency,Валюта,
Date,Дата,
Decline,Відхилити,
Department,Відділ,
Do Not Contact,Не контактувати,
Dock,Dock,
Download,Завантажити,
"e.g. en, fr, de","напр. en, fr, de",
Edit,Редагувати,
Edit address,Редагувати адресу,
Edit Timer,Редагувати таймер,
Email addresses,Адреси електронної пошти,
Enabled,Увімкнено,
"End time was before start time. Adjusted to 1 hour after start.","Час закінчення був раніше за час початку. Скориговано на 1 годину після початку.",
Error,Помилка,
Event '{0}' status changed to {1},Статус події «{0}» змінено на {1},
Event Type,Тип події,
events,події,
External,Зовнішній,
External — no user account,Зовнішній — без облікового запису,
Failed to change password,Не вдалося змінити пароль,
