source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,30 dana,
7 days,7 dana,
90 days,90 dana,
Acme Corp,Acme Corp,
Active,Aktivno,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","Dodatna polja (adresa, bilješke itd.) možeš urediti nakon kreiranja kontakta.",
Add,Dodaj,
Add people,Dodaj osobe,
Adding…,Dodavanje…,
Add bookmark,Dodaj oznaku,
All logged-in users,Svi prijavljeni korisnici,
All logged-in users can view this document,Svi prijavljeni korisnici mogu vidjeti ovaj dokument,
Add notes...,Dodaj bilješke...,
All,Sve,
A–Z,A–Ž,
Blank = org default,Prazno = zadano za organizaciju,
Bookmark limit reached (12),Dosegnut limit oznaka (12),
"Bookmark limit reached (12). Remove a bookmark to add another.","Dosegnut limit oznaka (12). Ukloni jednu oznaku da dodaš novu.",
Bookmark this record,Označi ovaj zapis,
App context,Kontekst aplikacije,
App switcher,Prebacivanje aplikacija,
Browse all apps →,Pregledaj sve aplikacije →,
Install apps →,Instaliraj aplikacije →,
Cancel,Odustani,
Clear recent items history,Očisti povijest nedavnih stavki,
Company,Tvrtka,
Compose email,Napiši e-mail,
contact,kontakt,
contacts,kontakti,
Could not create contact,Kontakt se ne može kreirati,
Could not load contact,Kontakt se ne može učitati,
Could not add user. Please try again.,Korisnik se ne može dodati. Pokušaj ponovo.,
Could not load contacts,Kontakti se ne mogu učitati,
Could not load shares,Dijeljenja se ne mogu učitati,
Create,Kreiraj,
Create & Open,Kreiraj i otvori,
Create a contact or adjust your filters,Kreiraj kontakt ili prilagodi filtere,
Creating…,Kreiranje…,
History cleared,Povijest očišćena,
This will remove all recent items. Continue?,Ovo će ukloniti sve nedavne stavke. Nastaviti?,
Close,Zatvori,
Content is temporarily unavailable.,Sadržaj je privremeno nedostupan.,
Copied!,Kopirano!,
Copy link,Kopiraj poveznicu,
Copy portal URL,Kopiraj URL portala,
Dark,Tamna,
Date format,Format datuma,
Default app on login,Zadana aplikacija pri prijavi,
Discover ecosystem apps,Otkrij aplikacije ekosustava,
Delete,Obriši,
Displayed in the top bar,Prikazano u gornjoj traci,
Dock Settings,Dock Postavke,
Done,Gotovo,
Done editing,Uređivanje završeno,
Drag to reorder {0},Povuci za promjenu redoslijeda {0},
Edit bookmarks,Uredi oznake,
e.g. Europe/Berlin,npr. Europe/Berlin,
Email,E-mail,
Enable bookmarks,Omogući oznake,
Everyone,Svi,
Enable global timer,Omogući globalni mjerač vremena,
Enable recent items,Omogući nedavne stavke,
Expired,Isteklo,
Expires,Ističe,
Expires: {0},Ističe: {0},
Failed to generate link. Please try again.,Generiranje poveznice nije uspjelo. Pokušaj ponovo.,
Failed to load sessions.,Učitavanje sesija nije uspjelo.,
Features,Značajke,
Full name,Puno ime,
Frappe Desk,Frappe Desk,
Generate link,Generiraj poveznicu,
Generating…,Generiranje…,
Guest Portal,Portal za goste,
in {0},u {0},
"Install Orga, Micro, or other apps to see cross-app context for your contacts.","Instaliraj Orga, Micro ili druge aplikacije da vidiš međuaplikacijski kontekst za svoje kontakte.",
jane@example.com,jane@example.com,
Jane Smith,Jane Smith,
Job title,Radno mjesto,
Keep running,Nastavi s radom,
Label,Oznaka,
Last accessed,Zadnji pristup,
Light,Svijetla,
Limit,Limit,
