source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,30 de zile,
7 days,7 zile,
90 days,90 de zile,
Acme Corp,Acme Corp,
Active,Activ,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","Câmpurile suplimentare (adresă, notițe etc.) pot fi editate după crearea contactului.",
Add,Adaugă,
Add people,Adaugă persoane,
Adding…,Se adaugă…,
Add bookmark,Adaugă marcaj,
All logged-in users,Toți utilizatorii autentificați,
All logged-in users can view this document,Toți utilizatorii autentificați pot vedea acest document,
Add notes...,Adaugă notițe...,
All,Toate,
A–Z,A–Z,
Blank = org default,Gol = implicit organizație,
Bookmark limit reached (12),Limită de marcaje atinsă (12),
"Bookmark limit reached (12). Remove a bookmark to add another.","Limită de marcaje atinsă (12). Elimină un marcaj pentru a adăuga altul.",
Bookmark this record,Adaugă acest element la marcaje,
App context,Context aplicație,
App switcher,Comutator aplicații,
Browse all apps →,Răsfoiește toate aplicațiile →,
Install apps →,Instalează aplicații →,
Cancel,Anulează,
Clear recent items history,Șterge istoricul elementelor recente,
Company,Companie,
Compose email,Compune email,
contact,contact,
contacts,contacte,
Could not create contact,Contactul nu a putut fi creat,
Could not load contact,Contactul nu a putut fi încărcat,
Could not add user. Please try again.,Utilizatorul nu a putut fi adăugat. Te rugăm să încerci din nou.,
Could not load contacts,Contactele nu au putut fi încărcate,
Could not load shares,Partajările nu au putut fi încărcate,
Create,Creează,
Create & Open,Creează și deschide,
Create a contact or adjust your filters,Creează un contact sau ajustează filtrele,
Creating…,Se creează…,
History cleared,Istoric șters,
This will remove all recent items. Continue?,Aceasta va elimina toate elementele recente. Continuă?,
Close,Închide,
Content is temporarily unavailable.,Conținutul este temporar indisponibil.,
Copied!,Copiat!,
Copy link,Copiază linkul,
Copy portal URL,Copiază URL-ul portalului,
Dark,Întunecat,
Date format,Format dată,
Default app on login,Aplicația implicită la autentificare,
Discover ecosystem apps,Descoperă aplicațiile ecosistemului,
Delete,Șterge,
Displayed in the top bar,Afișat în bara de sus,
Dock Settings,Setări Dock,
Done,Gata,
Done editing,Editare finalizată,
Drag to reorder {0},Trage pentru a reordona {0},
Edit bookmarks,Editează marcajele,
e.g. Europe/Berlin,ex. Europe/Berlin,
Email,Email,
Enable bookmarks,Activează marcajele,
Everyone,Toată lumea,
Enable global timer,Activează cronometrul global,
Enable recent items,Activează elementele recente,
Expired,Expirat,
Expires,Expiră,
Expires: {0},Expiră: {0},
Failed to generate link. Please try again.,Generarea linkului a eșuat. Te rugăm să încerci din nou.,
Failed to load sessions.,Sesiunile nu au putut fi încărcate.,
Features,Funcționalități,
Full name,Nume complet,
Frappe Desk,Frappe Desk,
Generate link,Generează link,
Generating…,Se generează…,
Guest Portal,Portal invitați,
in {0},în {0},
"Install Orga, Micro, or other apps to see cross-app context for your contacts.","Instalează Orga, Micro sau alte aplicații pentru a vedea contextul inter-aplicații al contactelor tale.",
jane@example.com,jane@example.com,
Jane Smith,Jane Smith,
Job title,Funcție,
Keep running,Continuă rularea,
Label,Etichetă,
Last accessed,Ultimul acces,
Light,Luminos,
Limit,Limită,
Link expires in:,Linkul expiră în:,
Loading…,Se încarcă…,
Load more,Încarcă mai multe,
Log out,Deconectare,
Make private,Fă privat,
Mark all read,Marchează toate ca citite,
Mark read,Marchează ca citit,
Monday,Luni,
More fields,Mai multe câmpuri,
My contacts,Contactele mele,
My Account,Contul meu,
My Profile,Profilul meu,
Never,Niciodată,
New contact,Contact nou,
No contacts found,Niciun contact găsit,
No expiry,Fără expirare,
None,Niciunul,
No guest sessions yet.,Nicio sesiune de invitat încă.,
No recent items,Niciun element recent,
No recent items yet,Niciun element recent încă,
No results for "{0}",Niciun rezultat pentru „{0}",
No results for "{0}" in {1},Niciun rezultat pentru „{0}" în {1},
Notifications,Notificări,
Notification unavailable,Notificare indisponibilă,
Organization Defaults,Valori implicite organizație,
Organization settings updated — reload to apply,Setările organizației au fost actualizate — reîncarcă pentru a aplica,
Org default,Implicit organizație,
"Password, 2FA, profile picture","Parolă, 2FA, poză de profil",
Pause,Pauză,
paused,în pauză,
People,Persoane,
People with access,Persoane cu acces,
Permissions,Permisiuni,
Pinned,Fixat,
Powered by Tonic,Powered by Tonic,
Phone,Telefon,
Private,Privat,
Product Manager,Product Manager,
Preferences,Preferințe,
Read,Citire,
Recent,Recente,
Reload,Reîncarcă,
Remove bookmark,Elimină marcajul,
Remove from shared,Elimină din partajate,
Remove from recent,Elimină din recente,
Resume,Reia,
Retry,Reîncearcă,
Revoke,Revocă,
Revoked,Revocat,
Revoke session,Revocă sesiunea,
Revoking…,Se revocă…,
Saved,Salvat,
Save failed,Salvarea a eșuat,
Save organization settings,Salvează setările organizației,
Saving…,Se salvează…,
Search...,Căutare...,
"Search by name, email, or phone…","Caută după nume, email sau telefon…",
Search users...,Caută utilizatori...,
Share {0} {1},Partajează {0} {1},
Submit,Trimite,
Search in All apps,Caută în toate aplicațiile,
Search unavailable,Căutare indisponibilă,
selected,selectat,
Share "{0}",Partajează „{0}",
Share with team,Partajează cu echipa,
Shared,Partajat,
Shared with team,Partajat cu echipa,
Share with client,Partajează cu clientul,
Showing {0} of {1} sessions,Se afișează {0} din {1} sesiuni,
Site label,Etichetă site,
Sort: A–Z — click for last modified,Sortare: A–Z — clic pentru ultima modificare,
Sort: last modified — click for A–Z,Sortare: ultima modificare — clic pentru A–Z,
Start,Pornește,
Start Timer,Pornește cronometrul,
Status,Stare,
Stop,Oprește,
Stop & Save,Oprește și salvează,
Sunday,Duminică,
System,Sistem,
Theme,Temă,
Theme preference,Preferință temă,
This email is already on,Acest email este deja pe,
This link has been deactivated.,Acest link a fost dezactivat.,
This link has expired. Please ask the sender for a new link.,Acest link a expirat. Solicită expeditorului un link nou.,
This link is invalid or has been removed.,Acest link este invalid sau a fost eliminat.,
Time,Timp,
Time entry saved,Înregistrare de timp salvată,
Timer unavailable,Cronometru indisponibil,
Timezone,Fus orar,
total,total,
Try again,Încearcă din nou,
Unread,Necitite,
Open calendar,Deschide calendarul,
Open in Desk,Deschide în Desk,
Open in {0},Deschide în {0},
User menu,Meniul utilizatorului,
View existing →,Vezi cele existente →,
Visibility,Vizibilitate,
View,Vizualizare,
View all notifications,Vezi toate notificările,
View time entry,Vezi înregistrarea de timp,
Week starts on,Săptămâna începe,
Write,Scriere,
What are you working on?,La ce lucrezi?,
You're all caught up,Ești la curent cu totul,
Your Preferences,Preferințele tale,
Your timer has been running for {0},Cronometrul tău rulează de {0},
Actions,Acțiuni,
Add details about this event...,Adaugă detalii despre acest eveniment...,
Add event,Adaugă eveniment,
Agenda,Agendă,
All day,Toată ziua,
Calendar,Calendar,
Create Event,Creează eveniment,
Create in:,Creează în:,
Day,Zi,
Deadline,Termen limită,
Delete Event,Șterge evenimentul,
Delete this event? This cannot be undone.,Ștergi acest eveniment? Această acțiune nu poate fi anulată.,
Deleting…,Se șterge…,
Description,Descriere,
Details,Detalii,
End,Sfârșit,
Event,Eveniment,
Event title,Titlu eveniment,
Failed to create event,Evenimentul nu a putut fi creat,
Failed to delete event,Evenimentul nu a putut fi șters,
Manage this event in,Gestionează acest eveniment în,
Meeting,Întâlnire,
Milestone,Jalon,
Month,Lună,
My calendars,Calendarele mele,
New Event,Eveniment nou,
No actions available,Nicio acțiune disponibilă,
No events,Niciun eveniment,
Open in,Deschide în,
Other,Altele,
Permanently remove this event,Elimină definitiv acest eveniment,
Review,Recenzie,
Source,Sursă,
Start date/time is required,Data/ora de început este obligatorie,
Title,Titlu,
Title is required,Titlul este obligatoriu,
Today,Astăzi,
Type,Tip,
View full details in the source app,Vezi detaliile complete în aplicația sursă,
Week,Săptămână,
When,Când,
{0} available,{0} disponibil,
Available,Disponibil,
Configure Frappe Manager to enable one-click updates.,Configurează Frappe Manager pentru a activa actualizările cu un singur clic.,
Copy command,Copiază comanda,
Ecosystem Apps,Aplicații ecosistem,
Failed,Eșuat,
Install,Instalează,
Installed,Instalat,
Learn more,Află mai multe,
No apps found,Nicio aplicație găsită,
not installed,neinstalat,
Open,Deschide,
Pro available,Pro disponibil,
Queued…,În așteptare…,
Refresh,Reîmprospătează,
Remove,Elimină,
Remove {0}? This will uninstall the app and may affect data.,Elimini {0}? Aplicația va fi dezinstalată și datele pot fi afectate.,
Restart required,Repornire necesară,
Restarting…,Se repornește…,
"To install {0}, run:","Pentru a instala {0}, rulează:",
"To update {0}, run:","Pentru a actualiza {0}, rulează:",
Update {0} from v{1} to {2}? This will restart Frappe.,Actualizezi {0} de la v{1} la {2}? Frappe va fi repornit.,
Update to {0},Actualizează la {0},
Updated,Actualizat,
Updating…,Se actualizează…,
Up to date,La zi,
to version,la versiunea,
For whom?,Pentru cine?,
Working on?,La ce lucrezi?,
Search contacts...,Caută contacte...,
Select type...,Selectează tipul...,
Context,Context,
Contact,Contact,
Context Type,Tip context,
Activity,Activitate,
Activity will appear here as you and your team work across ecosystem apps.,Activitatea va apărea aici pe măsură ce tu și echipa ta lucrați în aplicațiile ecosistemului.,
Acknowledge,Confirmă,
All apps,Toate aplicațiile,
All Discussions,Toate discuțiile,
All types,Toate tipurile,
Archived,Arhivat,
Cancel,Anulează,
Celebrate,Celebrează,
Comments,Comentarii,
Create Discussion,Creează discuție,
Creating…,Se creează…,
Ctrl+Enter to send,Ctrl+Enter pentru a trimite,
Decision,Decizie,
Discussion not found,Discuția nu a fost găsită,
Discussion title,Titlu discuție,
Discussions,Discuții,
Flag,Semnalează,
General,General,
just now,chiar acum,
Keep commenting,Continuă să comentezi,
Linked Records,Înregistrări asociate,
Linked to,Asociat cu,
Load more,Încarcă mai multe,
Loading…,Se încarcă…,
Meeting Protocol,Protocol de întâlnire,
Mentioned,Menționat,
New Discussion,Discuție nouă,
No activity yet,Nicio activitate încă,
No comments yet,Niciun comentariu încă,
No discussions found,Nicio discuție găsită,
No discussions yet,Nicio discuție încă,
Note,Notiță,
Notes,Notițe,
Participants,Participanți,
Pin,Fixează,
Pinned,Fixat,
Proposal,Propunere,
Protocol,Protocol,
