source,target,context
+ 1 555 000 0000,+ ۱ ۵۵۵ ۰۰۰ ۰۰۰۰,
30 days,۳۰ ورځې,
7 days,۷ ورځې,
90 days,۹۰ ورځې,
Acme Corp,Acme Corp,
Active,فعال,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","اضافي برخې (پته، یادښتونه، او نور) د اړیکې له جوړولو وروسته سمون کیدای شي.",
Add,اضافه کول,
Add people,خلک اضافه کړئ,
Adding…,اضافه کیږي…,
Add bookmark,نښه اضافه کړئ,
All logged-in users,ټول ننوتي کارونکي,
All logged-in users can view this document,ټول ننوتي کارونکي کولای شي دا سند وګوري,
Add notes...,یادښتونه اضافه کړئ...,
All,ټول,
A–Z,A–Z,
Blank = org default,خالي = د سازمان تلواله,
Bookmark limit reached (12),د نښو حد ته ورسیدل (۱۲),
Bookmark limit reached (12). Remove a bookmark to add another.,د نښو حد ته ورسیدل (۱۲). د بلې نښې اضافه کولو لپاره یوه نښه لرې کړئ.,
Bookmark this record,دا سند نښه کړئ,
App context,د اپلیکیشن شرایط,
App switcher,د اپلیکیشن بدلونګر,
Browse all apps →,ټول اپلیکیشنونه وګورئ →,
Install apps →,اپلیکیشنونه نصب کړئ →,
Cancel,لغوه کول,
Clear recent items history,د وروستي توکو تاریخ پاک کړئ,
Company,شرکت,
Compose email,بریښنالیک ولیکئ,
contact,اړیکه,
contacts,اړیکې,
Could not create contact,اړیکه نه شو جوړ کیدای,
Could not load contact,اړیکه نه شو بار کیدای,
Could not add user. Please try again.,کارونکی نه شو اضافه کیدای. مهرباني وکړئ بیا هڅه وکړئ.,
Could not load contacts,اړیکې نه شوې بار کیدای,
Could not load shares,شریکولي نه شوې بار کیدای,
Create,جوړول,
Create & Open,جوړول او خلاصول,
Create a contact or adjust your filters,یوه اړیکه جوړه کړئ یا خپل فلټرونه تنظیم کړئ,
Creating…,جوړیږي…,
History cleared,تاریخ پاک شو,
This will remove all recent items. Continue?,دا به ټول وروستي توکي لرې کړي. دوام ورکړئ؟,
Close,بندول,
