source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,30 días,
7 days,7 días,
90 days,90 días,
Acme Corp,Acme Corp,
Active,Activo,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","Los campos adicionales (dirección, notas, etc.) se pueden editar después de crear el contacto.",
Add,Añadir,
Add people,Añadir personas,
Adding…,Añadiendo…,
Add bookmark,Añadir marcador,
All logged-in users,Todos los usuarios con sesión iniciada,
All logged-in users can view this document,Todos los usuarios con sesión iniciada pueden ver este documento,
Add notes...,Añadir notas...,
All,Todos,
A–Z,A–Z,
Blank = org default,Vacío = predeterminado de la organización,
Bookmark limit reached (12),Límite de marcadores alcanzado (12),
"Bookmark limit reached (12). Remove a bookmark to add another.","Límite de marcadores alcanzado (12). Elimina un marcador para añadir otro.",
Bookmark this record,Marcar este registro,
App context,Contexto de la app,
App switcher,Selector de apps,
Browse all apps →,Ver todas las apps →,
Install apps →,Instalar apps →,
Cancel,Cancelar,
Clear recent items history,Borrar historial de elementos recientes,
Company,Empresa,
Compose email,Redactar correo,
contact,contacto,
contacts,contactos,
Could not create contact,No se pudo crear el contacto,
Could not load contact,No se pudo cargar el contacto,
Could not add user. Please try again.,No se pudo añadir el usuario. Inténtalo de nuevo.,
Could not load contacts,No se pudieron cargar los contactos,
Could not load shares,No se pudieron cargar los elementos compartidos,
Create,Crear,
Create & Open,Crear y abrir,
Create a contact or adjust your filters,Crea un contacto o ajusta tus filtros,
Creating…,Creando…,
History cleared,Historial borrado,
This will remove all recent items. Continue?,Se eliminarán todos los elementos recientes. ¿Continuar?,
Close,Cerrar,
Content is temporarily unavailable.,El contenido no está disponible temporalmente.,
Copied!,¡Copiado!,
Copy link,Copiar enlace,
Copy portal URL,Copiar URL del portal,
Dark,Oscuro,
Date format,Formato de fecha,
Default app on login,App predeterminada al iniciar sesión,
Discover ecosystem apps,Descubrir apps del ecosistema,
Delete,Eliminar,
Displayed in the top bar,Se muestra en la barra superior,
Dock Settings,Configuración de Dock,
Done,Hecho,
Done editing,Edición finalizada,
Drag to reorder {0},Arrastra para reordenar {0},
Edit bookmarks,Editar marcadores,
e.g. Europe/Berlin,p. ej. Europe/Berlin,
Email,Correo electrónico,
Enable bookmarks,Activar marcadores,
Everyone,Todos,
Enable global timer,Activar temporizador global,
Enable recent items,Activar elementos recientes,
Expired,Expirado,
Expires,Expira,
Expires: {0},Expira: {0},
Failed to generate link. Please try again.,No se pudo generar el enlace. Inténtalo de nuevo.,
Failed to load sessions.,No se pudieron cargar las sesiones.,
Features,Características,
Full name,Nombre completo,
Frappe Desk,Frappe Desk,
Generate link,Generar enlace,
Generating…,Generando…,
Guest Portal,Portal de invitados,
in {0},en {0},
"Install Orga, Micro, or other apps to see cross-app context for your contacts.","Instala Orga, Micro u otras apps para ver el contexto entre apps de tus contactos.",
jane@example.com,jane@example.com,
Jane Smith,Jane Smith,
Job title,Cargo,
Keep running,Seguir ejecutando,
Label,Etiqueta,
Last accessed,Último acceso,
Light,Claro,
Limit,Límite,
Link expires in:,El enlace expira en:,
Loading…,Cargando…,
Load more,Cargar más,
Log out,Cerrar sesión,
Make private,Hacer privado,
Mark all read,Marcar todo como leído,
Mark read,Marcar como leído,
Monday,Lunes,
More fields,Más campos,
My contacts,Mis contactos,
My Account,Mi cuenta,
My Profile,Mi perfil,
Never,Nunca,
New contact,Nuevo contacto,
No contacts found,No se encontraron contactos,
No expiry,Sin expiración,
None,Ninguno,
No guest sessions yet.,Aún no hay sesiones de invitados.,
No recent items,No hay elementos recientes,
No recent items yet,Aún no hay elementos recientes,
No results for "{0}",Sin resultados para «{0}»,
No results for "{0}" in {1},Sin resultados para «{0}» en {1},
Notifications,Notificaciones,
Notification unavailable,Notificación no disponible,
Organization Defaults,Valores predeterminados de la organización,
Organization settings updated — reload to apply,Configuración de la organización actualizada — recarga para aplicar,
Org default,Predeterminado de la org.,
"Password, 2FA, profile picture","Contraseña, 2FA, foto de perfil",
Pause,Pausar,
paused,en pausa,
People,Personas,
People with access,Personas con acceso,
Permissions,Permisos,
Pinned,Fijado,
Powered by Tonic,Powered by Tonic,
Phone,Teléfono,
Private,Privado,
Product Manager,Product Manager,
Preferences,Preferencias,
Read,Leer,
Recent,Recientes,
Reload,Recargar,
Remove bookmark,Eliminar marcador,
Remove from shared,Eliminar de compartidos,
Remove from recent,Eliminar de recientes,
Resume,Reanudar,
Retry,Reintentar,
Revoke,Revocar,
Revoked,Revocado,
Revoke session,Revocar sesión,
Revoking…,Revocando…,
Saved,Guardado,
Save failed,Error al guardar,
Save organization settings,Guardar configuración de la organización,
Saving…,Guardando…,
Search...,Buscar...,
"Search by name, email, or phone…","Buscar por nombre, correo o teléfono…",
Search users...,Buscar usuarios...,
Share {0} {1},Compartir {0} {1},
Submit,Enviar,
Search in All apps,Buscar en todas las apps,
Search unavailable,Búsqueda no disponible,
selected,seleccionado,
Share "{0}",Compartir «{0}»,
Share with team,Compartir con el equipo,
Shared,Compartido,
Shared with team,Compartido con el equipo,
Share with client,Compartir con el cliente,
Showing {0} of {1} sessions,Mostrando {0} de {1} sesiones,
Site label,Etiqueta del sitio,
Sort: A–Z — click for last modified,Orden: A–Z — clic para último modificado,
Sort: last modified — click for A–Z,Orden: último modificado — clic para A–Z,
Start,Iniciar,
Start Timer,Iniciar temporizador,
Status,Estado,
Stop,Detener,
Stop & Save,Detener y guardar,
Sunday,Domingo,
System,Sistema,
Theme,Tema,
Theme preference,Preferencia de tema,
This email is already on,Este correo ya está en,
This link has been deactivated.,Este enlace ha sido desactivado.,
This link has expired. Please ask the sender for a new link.,Este enlace ha expirado. Pide al remitente un nuevo enlace.,
This link is invalid or has been removed.,Este enlace no es válido o ha sido eliminado.,
Time,Tiempo,
Time entry saved,Registro de tiempo guardado,
Timer unavailable,Temporizador no disponible,
Timezone,Zona horaria,
total,total,
Try again,Intentar de nuevo,
Unread,No leído,
Open calendar,Abrir calendario,
Open in Desk,Abrir en Desk,
Open in {0},Abrir en {0},
User menu,Menú de usuario,
View existing →,Ver existente →,
Visibility,Visibilidad,
View,Ver,
View all notifications,Ver todas las notificaciones,
View time entry,Ver registro de tiempo,
Week starts on,La semana empieza el,
Write,Escribir,
What are you working on?,¿En qué estás trabajando?,
You're all caught up,Estás al día,
Your Preferences,Tus preferencias,
Your timer has been running for {0},Tu temporizador lleva {0} en marcha,
Actions,Acciones,
Add details about this event...,Añade detalles sobre este evento...,
Add event,Añadir evento,
Agenda,Agenda,
All day,Todo el día,
Calendar,Calendario,
Create Event,Crear evento,
Create in:,Crear en:,
Day,Día,
