source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,iminsi 30,
7 days,iminsi 7,
90 days,iminsi 90,
Acme Corp,Acme Corp,
Active,Irakora,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","Imyanya yinyongera (aderesi, inyandiko, n'ibindi) ishobora guhindurwa nyuma yo gukora umuntu wo guhamagara.",
Add,Ongeraho,
Add people,Ongeraho abantu,
Adding…,Irongera…,
Add bookmark,Ongeraho ikimenyetso,
All logged-in users,Abakoresha bose binjiye,
All logged-in users can view this document,Abakoresha bose binjiye barashobora kureba iki cyangombwa,
Add notes...,Ongeraho inyandiko...,
All,Byose,
A–Z,A–Z,
Blank = org default,Ubusa = ibisanzwe by'umuryango,
Bookmark limit reached (12),Umubare ntarengwa w'ibikimo ugezweho (12),
Bookmark limit reached (12). Remove a bookmark to add another.,Umubare ntarengwa w'ibikimo ugezweho (12). Kuraho ikimenyetso kugira wongeremo ikindi.,
Bookmark this record,Shyiraho ikimenyetso kuri iki cyanditswe,
App context,Imiterere ya porogaramu,
App switcher,Igihinduranya porogaramu,
Browse all apps →,Reba porogaramu zose →,
Install apps →,Shyiramo porogaramu →,
Cancel,Hagarika,
Clear recent items history,Siba amateka y'ibintu bya vuba,
Company,Isosiyete,
Compose email,Andika imeri,
contact,umuntu wo guhamagara,
contacts,abantu bo guhamagara,
Could not create contact,Ntibyashobotse gukora umuntu wo guhamagara,
Could not load contact,Ntibyashobotse gupakira umuntu wo guhamagara,
Could not add user. Please try again.,Ntibyashobotse kongeraho umukoresha. Nyamuneka ongera ugerageze.,
Could not load contacts,Ntibyashobotse gupakira abantu bo guhamagara,
Could not load shares,Ntibyashobotse gupakira ibisangiye,
Create,Kora,
Create & Open,Kora Ufungure,
Create a contact or adjust your filters,Kora umuntu wo guhamagara cyangwa uhindure imiyunguruzo yawe,
Creating…,Irakora…,
History cleared,Amateka yasibwe,
This will remove all recent items. Continue?,Ibi bizakuraho ibintu byose bya vuba. Komeza?,
Close,Funga,
Content is temporarily unavailable.,Ibikubiyemo ntibishobora kuboneka by'agateganyo.,
Copied!,Byakopiywe!,
Copy link,Koporora umuyoboro,
Copy portal URL,Koporora URL y'irembo,
Dark,Umukara,
Date format,Imiterere y'itariki,
Default app on login,Porogaramu isanzwe mu kwinjira,
Discover ecosystem apps,Menya porogaramu z'urwego,
Delete,Siba,
Displayed in the top bar,Bigaragara mu ngabo yo hejuru,
Dock Settings,Igenamiterere ya Dock,
Done,Birarangiye,
Done editing,Guhindura birarangiye,
Drag to reorder {0},Kurura kugira wongere gutondeka {0},
Edit bookmarks,Hindura ibikimo,
e.g. Europe/Berlin,urugero Europe/Berlin,
Email,Imeri,
Enable bookmarks,Fungura ibikimo,
Everyone,Buri wese,
Enable global timer,Fungura isaha rusange,
Enable recent items,Fungura ibintu bya vuba,
Expired,Byarangiye,
Expires,Birangira,
Expires: {0},Birangira: {0},
Failed to generate link. Please try again.,Byanze gukora umuyoboro. Nyamuneka ongera ugerageze.,
Failed to load sessions.,Byanze gupakira amatsinda.,
Features,Ibiranga,
Full name,Izina ryuzuye,
Frappe Desk,Frappe Desk,
Generate link,Kora umuyoboro,
Generating…,Irakora umuyoboro…,
Guest Portal,Irembo ry'umushyitsi,
in {0},muri {0},
"Install Orga, Micro, or other apps to see cross-app context for your contacts.","Shyiramo Orga, Micro cyangwa izindi porogaramu kugira urebe imiterere y'interuro zinyuranye ku bantu bawe bo guhamagara.",
jane@example.com,jane@example.com,
Jane Smith,Jane Smith,
Job title,Umwanya w'akazi,
Keep running,Komeza gukora,
Label,Ikirango,
Last accessed,Byanyuma bwakoreshejwe,
Light,Urumuri,
Limit,Ikigenero,
Link expires in:,Umuyoboro urangira muri:,
Loading…,Irapakira…,
Load more,Pakira ibindi,
Log out,Sohoka,
Make private,Fanya ibanga,
Mark all read,Shyiraho ko byose byasomwe,
Mark read,Shyiraho ko byasomwe,
Monday,Kuwa mbere,
More fields,Imyanya myinshi,
My contacts,Abantu banjye bo guhamagara,
My Account,Konti Yanjye,
My Profile,Umwirondoro Wanjye,
Never,Ntabwo,
New contact,Umuntu mushya wo guhamagara,
No contacts found,Nta bantu bo guhamagara babonetse,
No expiry,Nta gihe cyo kurangira,
None,Ntacyo,
No guest sessions yet.,Nta matsinda y'abashyitsi ahari.,
No recent items,Nta bintu bya vuba,
No recent items yet,Nta bintu bya vuba birahari,
No results for "{0}",Nta bisubizo bya "{0}",
No results for "{0}" in {1},Nta bisubizo bya "{0}" muri {1},
Notifications,Imenyesha,
Notification unavailable,Imenyesha ntiboneka,
Organization Defaults,Ibisanzwe by'umuryango,
Organization settings updated — reload to apply,Igenamiterere y'umuryango yahinduwe — subiza kugira wibikoreshe,
Org default,Ibisanzwe by'umuryango,
"Password, 2FA, profile picture","Ijambo ry'ibanga, 2FA, ifoto y'umwirondoro",
Pause,Hagarika by'agateganyo,
paused,birahagaritswe,
People,Abantu,
People with access,Abantu bafite uburenganzira,
Permissions,Uburenganzira,
Pinned,Bimanikiye,
Powered by Tonic,Bikozwe na Tonic,
Phone,Telefoni,
Private,Ibanga,
Product Manager,Product Manager,
Preferences,Amahitamo,
Read,Soma,
Recent,Vuba aha,
Reload,Subiza,
Remove bookmark,Kuraho ikimenyetso,
Remove from shared,Kuraho mu bisangiye,
Remove from recent,Kuraho mu bya vuba,
Resume,Komeza,
Retry,Ongera ugerageze,
Revoke,Hagarika,
Revoked,Byahagaritswe,
Revoke session,Hagarika umukoro,
Revoking…,Irahagarika…,
Saved,Byabitswe,
Save failed,Kubika byanze,
Save organization settings,Bika igenamiterere y'umuryango,
Saving…,Irabika…,
Search...,Shakisha...,
"Search by name, email, or phone…","Shakisha ku izina, imeri cyangwa telefoni…",
Search users...,Shakisha abakoresha...,
Share {0} {1},Sangira {0} {1},
Submit,Ohereza,
Search in All apps,Shakisha muri porogaramu zose,
Search unavailable,Gushakisha ntibiboneka,
selected,byatoranijwe,
Share "{0}",Sangira "{0}",
Share with team,Sangira n'ikipe,
Shared,Bisangiye,
Shared with team,Bisangiwe n'ikipe,
Share with client,Sangira n'umukiriya,
Showing {0} of {1} sessions,Igaragaza {0} mu {1} amatsinda,
Site label,Ikirango cy'urubuga,
Sort: A–Z — click for last modified,Gutondeka: A–Z — kanda kugira ubone ibyahinduwe bwa nyuma,
Sort: last modified — click for A–Z,Gutondeka: ibyahinduwe bwa nyuma — kanda kugira ubone A–Z,
Start,Tangira,
Start Timer,Tangira Isaha,
Status,Imimerere,
Stop,Hagarika,
Stop & Save,Hagarika Ubike,
Sunday,Ku cyumweru,
System,Sisitemu,
Theme,Insanganyamatsiko,
Theme preference,Ihitamo ry'insanganyamatsiko,
This email is already on,Iyi meri isanzwe ikora,
