source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,30 Tage,
7 days,7 Tage,
90 days,90 Tage,
Acme Corp,Acme Corp,
Active,Aktiv,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","Zusätzliche Felder (Adresse, Notizen usw.) können nach dem Erstellen des Kontakts bearbeitet werden.",
Add,Hinzufügen,
Add people,Personen hinzufügen,
Adding…,Wird hinzugefügt…,
Add bookmark,Lesezeichen hinzufügen,
All logged-in users,Alle angemeldeten Benutzer,
All logged-in users can view this document,Alle angemeldeten Benutzer können dieses Dokument sehen,
Add notes...,Notizen hinzufügen...,
All,Alle,
A–Z,A–Z,
Blank = org default,Leer = Organisationsstandard,
Bookmark limit reached (12),Lesezeichen-Limit erreicht (12),
Bookmark limit reached (12). Remove a bookmark to add another.,Lesezeichen-Limit erreicht (12). Entferne ein Lesezeichen um ein weiteres hinzuzufügen.,
Bookmark this record,Diesen Datensatz als Lesezeichen speichern,
App context,App-Kontext,
App switcher,App-Wechsler,
Browse all apps →,Alle Apps durchsuchen →,
Install apps →,Apps installieren →,
Cancel,Abbrechen,
Clear recent items history,Verlauf der letzten Einträge löschen,
Company,Unternehmen,
Compose email,E-Mail verfassen,
contact,Kontakt,
contacts,Kontakte,
Could not create contact,Kontakt konnte nicht erstellt werden,
Could not load contact,Kontakt konnte nicht geladen werden,
Could not add user. Please try again.,Benutzer konnte nicht hinzugefügt werden. Bitte versuche es erneut.,
Could not load contacts,Kontakte konnten nicht geladen werden,
Could not load shares,Freigaben konnten nicht geladen werden,
Create,Erstellen,
Create & Open,Erstellen & Öffnen,
Create a contact or adjust your filters,Erstelle einen Kontakt oder passe deine Filter an,
Creating…,Wird erstellt…,
History cleared,Verlauf gelöscht,
This will remove all recent items. Continue?,Dadurch werden alle letzten Einträge entfernt. Fortfahren?,
Close,Schließen,
Content is temporarily unavailable.,Inhalt ist vorübergehend nicht verfügbar.,
Copied!,Kopiert!,
Copy link,Link kopieren,
Copy portal URL,Portal-URL kopieren,
Dark,Dunkel,
Date format,Datumsformat,
Default app on login,Standard-App nach Anmeldung,
Discover ecosystem apps,Ökosystem-Apps entdecken,
Delete,Löschen,
Displayed in the top bar,Wird in der oberen Leiste angezeigt,
Dock Settings,Dock-Einstellungen,
Done,Fertig,
Done editing,Bearbeitung abgeschlossen,
Drag to reorder {0},Ziehen um {0} neu zu ordnen,
Edit bookmarks,Lesezeichen bearbeiten,
e.g. Europe/Berlin,z. B. Europe/Berlin,
Email,E-Mail,
Enable bookmarks,Lesezeichen aktivieren,
Everyone,Alle,
Enable global timer,Globalen Timer aktivieren,
Enable recent items,Letzte Einträge aktivieren,
Expired,Abgelaufen,
Expires,Läuft ab,
Expires: {0},Läuft ab: {0},
Failed to generate link. Please try again.,Link konnte nicht erstellt werden. Bitte versuche es erneut.,
Failed to load sessions.,Sitzungen konnten nicht geladen werden.,
Features,Funktionen,
Full name,Vollständiger Name,
Frappe Desk,Frappe Desk,
Generate link,Link erstellen,
Generating…,Wird erstellt…,
Guest Portal,Gästeportal,
in {0},in {0},
"Install Orga, Micro, or other apps to see cross-app context for your contacts.","Installiere Orga, Micro oder andere Apps, um App-übergreifenden Kontext für deine Kontakte zu sehen.",
jane@example.com,jane@example.com,
Jane Smith,Jane Smith,
Job title,Berufsbezeichnung,
Keep running,Weiterlaufen lassen,
Label,Bezeichnung,
Last accessed,Letzter Zugriff,
Light,Hell,
Limit,Limit,
Link expires in:,Link läuft ab in:,
Loading…,Wird geladen…,
Load more,Mehr laden,
Log out,Abmelden,
Make private,Privat machen,
Mark all read,Alle als gelesen markieren,
Mark read,Als gelesen markieren,
Monday,Montag,
More fields,Weitere Felder,
My contacts,Meine Kontakte,
My Account,Mein Konto,
My Profile,Mein Profil,
Never,Nie,
New contact,Neuer Kontakt,
No contacts found,Keine Kontakte gefunden,
No expiry,Kein Ablaufdatum,
None,Keine,
No guest sessions yet.,Noch keine Gästesitzungen.,
No recent items,Keine letzten Einträge,
No recent items yet,Noch keine letzten Einträge,
No results for "{0}",Keine Ergebnisse für „{0}",
No results for "{0}" in {1},Keine Ergebnisse für „{0}" in {1},
Notifications,Benachrichtigungen,
Notification unavailable,Benachrichtigung nicht verfügbar,
Organization Defaults,Organisationsstandards,
Organization settings updated — reload to apply,Organisationseinstellungen aktualisiert — neu laden um sie anzuwenden,
Org default,Org-Standard,
"Password, 2FA, profile picture","Passwort, 2FA, Profilbild",
Pause,Pause,
paused,pausiert,
People,Personen,
People with access,Personen mit Zugriff,
Permissions,Berechtigungen,
Pinned,Angeheftet,
Powered by Tonic,Powered by Tonic,
Phone,Telefon,
Private,Privat,
Product Manager,Product Manager,
Preferences,Einstellungen,
Read,Lesen,
Recent,Zuletzt,
Reload,Neu laden,
Remove bookmark,Lesezeichen entfernen,
Remove from shared,Aus Freigaben entfernen,
Remove from recent,Aus letzten Einträgen entfernen,
Resume,Fortsetzen,
Retry,Erneut versuchen,
Revoke,Widerrufen,
Revoked,Widerrufen,
Revoke session,Sitzung widerrufen,
Revoking…,Wird widerrufen…,
Saved,Gespeichert,
Save failed,Speichern fehlgeschlagen,
