source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,30 lá,
7 days,7 lá,
90 days,90 lá,
Acme Corp,Acme Corp,
Active,Gníomhach,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","Is féidir réimsí breise (seoladh, nótaí, srl.) a chur in eagar tar éis an teagmháil a chruthú.",
Add,Cuir leis,
Add people,Cuir daoine leis,
Adding…,Ag cur leis…,
Add bookmark,Cuir leabharmharc leis,
All logged-in users,Gach úsáideoir logáilte isteach,
All logged-in users can view this document,Is féidir le gach úsáideoir logáilte isteach an doiciméad seo a fheiceáil,
Add notes...,Cuir nótaí leis...,
All,Uile,
A–Z,A–Z,
Blank = org default,Bán = réamhshocrú eagraíochta,
Bookmark limit reached (12),Teorainn leabharmharcanna bainte amach (12),
"Bookmark limit reached (12). Remove a bookmark to add another.","Teorainn leabharmharcanna bainte amach (12). Bain leabharmharc chun ceann eile a chur leis.",
Bookmark this record,Cuir leabharmharc ar an taifead seo,
App context,Comhthéacs aipe,
App switcher,Aistritheoir aipeanna,
Browse all apps →,Brabhsáil gach aip →,
Install apps →,Suiteáil aipeanna →,
Cancel,Cealaigh,
Clear recent items history,Glan stair na míreanna le déanaí,
Company,Cuideachta,
Compose email,Cum ríomhphost,
contact,teagmháil,
contacts,teagmhálacha,
Could not create contact,Níorbh fhéidir teagmháil a chruthú,
Could not load contact,Níorbh fhéidir teagmháil a lódáil,
Could not add user. Please try again.,Níorbh fhéidir úsáideoir a chur leis. Bain triail eile as.,
Could not load contacts,Níorbh fhéidir teagmhálacha a lódáil,
Could not load shares,Níorbh fhéidir comhroinntí a lódáil,
Create,Cruthaigh,
Create & Open,Cruthaigh & Oscail,
Create a contact or adjust your filters,Cruthaigh teagmháil nó athraigh do scagairí,
Creating…,Ag cruthú…,
History cleared,Stair glanta,
This will remove all recent items. Continue?,Bainfidh sé seo gach mír le déanaí. Lean ar aghaidh?,
Close,Dún,
Content is temporarily unavailable.,Níl an t-ábhar ar fáil faoi láthair.,
Copied!,Cóipeáilte!,
Copy link,Cóipeáil nasc,
Copy portal URL,Cóipeáil URL an tairseaigh,
Dark,Dorcha,
Date format,Formáid dáta,
Default app on login,Aip réamhshocraithe nuair a logálann tú isteach,
Discover ecosystem apps,Aimsigh aipeanna éiceachórais,
Delete,Scrios,
Displayed in the top bar,Ar taispeáint sa bharra uachtair,
Dock Settings,Socruithe Dock,
Done,Déanta,
Done editing,Eagarthóireacht críochnaithe,
Drag to reorder {0},Tarraing chun {0} a athordú,
Edit bookmarks,Cuir leabharmharcanna in eagar,
e.g. Europe/Berlin,m.sh. Europe/Berlin,
Email,Ríomhphost,
Enable bookmarks,Cumasaigh leabharmharcanna,
Everyone,Gach duine,
Enable global timer,Cumasaigh amadóir domhanda,
Enable recent items,Cumasaigh míreanna le déanaí,
Expired,Éagtha,
Expires,Éagann,
Expires: {0},Éagann: {0},
Failed to generate link. Please try again.,Theip ar ghiniúint an naisc. Bain triail eile as.,
Failed to load sessions.,Theip ar lódáil na seisiún.,
Features,Gnéithe,
Full name,Ainm iomlán,
Frappe Desk,Frappe Desk,
Generate link,Gin nasc,
Generating…,Ag giniúint…,
Guest Portal,Tairseach Aíonna,
in {0},i {0},
"Install Orga, Micro, or other apps to see cross-app context for your contacts.","Suiteáil Orga, Micro, nó aipeanna eile chun comhthéacs tras-aipeanna a fheiceáil do do theagmhálacha.",
jane@example.com,jane@example.com,
Jane Smith,Jane Smith,
Job title,Teideal poist,
Keep running,Coinnigh ag rith,
