source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,30 gün,
7 days,7 gün,
90 days,90 gün,
Acme Corp,Acme Corp,
Active,Aktif,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","Ek alanlar (adres, notlar vb.) kişiyi oluşturduktan sonra düzenlenebilir.",
Add,Ekle,
Add people,Kişi ekle,
Adding…,Ekleniyor…,
Add bookmark,Yer işareti ekle,
All logged-in users,Giriş yapmış tüm kullanıcılar,
All logged-in users can view this document,Giriş yapmış tüm kullanıcılar bu belgeyi görüntüleyebilir,
Add notes...,Not ekle...,
All,Tümü,
A–Z,A–Z,
Blank = org default,Boş = kuruluş varsayılanı,
Bookmark limit reached (12),Yer işareti sınırına ulaşıldı (12),
Bookmark limit reached (12). Remove a bookmark to add another.,Yer işareti sınırına ulaşıldı (12). Yeni bir tane eklemek için birini kaldır.,
Bookmark this record,Bu kaydı yer işaretlerine ekle,
App context,Uygulama bağlamı,
App switcher,Uygulama değiştirici,
Browse all apps →,Tüm uygulamalara göz at →,
Install apps →,Uygulama kur →,
Cancel,İptal,
Clear recent items history,Son öğeler geçmişini temizle,
Company,Şirket,
Compose email,E-posta yaz,
contact,kişi,
contacts,kişiler,
Could not create contact,Kişi oluşturulamadı,
Could not load contact,Kişi yüklenemedi,
Could not add user. Please try again.,Kullanıcı eklenemedi. Lütfen tekrar dene.,
Could not load contacts,Kişiler yüklenemedi,
Could not load shares,Paylaşımlar yüklenemedi,
Create,Oluştur,
Create & Open,Oluştur ve Aç,
Create a contact or adjust your filters,Bir kişi oluştur veya filtrelerini ayarla,
Creating…,Oluşturuluyor…,
History cleared,Geçmiş temizlendi,
This will remove all recent items. Continue?,Tüm son öğeler kaldırılacak. Devam edilsin mi?,
Close,Kapat,
Content is temporarily unavailable.,İçerik geçici olarak kullanılamıyor.,
Copied!,Kopyalandı!,
Copy link,Bağlantıyı kopyala,
Copy portal URL,Portal URL'sini kopyala,
Dark,Koyu,
Date format,Tarih formatı,
Default app on login,Girişte varsayılan uygulama,
Discover ecosystem apps,Ekosistem uygulamalarını keşfet,
Delete,Sil,
Displayed in the top bar,Üst çubukta gösterilir,
Dock Settings,Dock Ayarları,
Done,Tamam,
Done editing,Düzenleme tamamlandı,
Drag to reorder {0},Sıralamak için sürükle: {0},
Edit bookmarks,Yer işaretlerini düzenle,
e.g. Europe/Berlin,ör. Europe/Berlin,
Email,E-posta,
Enable bookmarks,Yer işaretlerini etkinleştir,
Everyone,Herkes,
Enable global timer,Genel zamanlayıcıyı etkinleştir,
Enable recent items,Son öğeleri etkinleştir,
Expired,Süresi doldu,
Expires,Sona eriyor,
Expires: {0},Sona eriyor: {0},
Failed to generate link. Please try again.,Bağlantı oluşturulamadı. Lütfen tekrar dene.,
Failed to load sessions.,Oturumlar yüklenemedi.,
Features,Özellikler,
Full name,Ad soyad,
Frappe Desk,Frappe Desk,
Generate link,Bağlantı oluştur,
Generating…,Oluşturuluyor…,
Guest Portal,Misafir Portalı,
in {0},{0} içinde,
"Install Orga, Micro, or other apps to see cross-app context for your contacts.","Kişileriniz için uygulamalar arası bağlamı görmek üzere Orga, Micro veya diğer uygulamaları kurun.",
jane@example.com,jane@example.com,
Jane Smith,Jane Smith,
Job title,Ünvan,
Keep running,Çalışmaya devam et,
Label,Etiket,
Last accessed,Son erişim,
Light,Açık,
Limit,Sınır,
Link expires in:,Bağlantının süresi doluyor:,
Loading…,Yükleniyor…,
Load more,Daha fazla yükle,
Log out,Çıkış yap,
Make private,Gizli yap,
Mark all read,Tümünü okundu işaretle,
Mark read,Okundu işaretle,
Monday,Pazartesi,
More fields,Daha fazla alan,
My contacts,Kişilerim,
My Account,Hesabım,
My Profile,Profilim,
Never,Asla,
New contact,Yeni kişi,
No contacts found,Kişi bulunamadı,
No expiry,Süresiz,
None,Yok,
No guest sessions yet.,Henüz misafir oturumu yok.,
No recent items,Son öğe yok,
No recent items yet,Henüz son öğe yok,
No results for "{0}","{0}" için sonuç bulunamadı,
No results for "{0}" in {1},{1} içinde "{0}" için sonuç bulunamadı,
Notifications,Bildirimler,
Notification unavailable,Bildirim kullanılamıyor,
Organization Defaults,Kuruluş Varsayılanları,
Organization settings updated — reload to apply,Kuruluş ayarları güncellendi — uygulamak için yeniden yükle,
Org default,Kuruluş varsayılanı,
"Password, 2FA, profile picture","Şifre, 2FA, profil fotoğrafı",
Pause,Duraklat,
paused,duraklatıldı,
People,Kişiler,
People with access,Erişimi olan kişiler,
Permissions,İzinler,
Pinned,Sabitlenmiş,
Powered by Tonic,Tonic tarafından desteklenmektedir,
Phone,Telefon,
Private,Gizli,
Product Manager,Product Manager,
Preferences,Tercihler,
Read,Okuma,
Recent,Son,
Reload,Yeniden yükle,
Remove bookmark,Yer işaretini kaldır,
Remove from shared,Paylaşılanlardan kaldır,
Remove from recent,Son öğelerden kaldır,
Resume,Devam et,
Retry,Tekrar dene,
Revoke,İptal et,
Revoked,İptal edildi,
Revoke session,Oturumu iptal et,
Revoking…,İptal ediliyor…,
Saved,Kaydedildi,
Save failed,Kaydetme başarısız,
Save organization settings,Kuruluş ayarlarını kaydet,
Saving…,Kaydediliyor…,
Search...,Ara...,
"Search by name, email, or phone…","Ada, e-postaya veya telefona göre ara…",
Search users...,Kullanıcı ara...,
Share {0} {1},{0} {1} paylaş,
Submit,Gönder,
Search in All apps,Tüm uygulamalarda ara,
Search unavailable,Arama kullanılamıyor,
selected,seçili,
Share "{0}","{0}" paylaş,
Share with team,Ekiple paylaş,
Shared,Paylaşılan,
Shared with team,Ekiple paylaşıldı,
Share with client,Müşteriyle paylaş,
Showing {0} of {1} sessions,{1} oturumdan {0} tanesi gösteriliyor,
Site label,Site etiketi,
Sort: A–Z — click for last modified,Sıralama: A–Z — son değiştirilen için tıkla,
Sort: last modified — click for A–Z,Sıralama: son değiştirilen — A–Z için tıkla,
Start,Başla,
Start Timer,Zamanlayıcıyı Başlat,
Status,Durum,
Stop,Durdur,
Stop & Save,Durdur ve Kaydet,
Sunday,Pazar,
System,Sistem,
Theme,Tema,
Theme preference,Tema tercihi,
This email is already on,Bu e-posta zaten ekli,
This link has been deactivated.,Bu bağlantı devre dışı bırakıldı.,
This link has expired. Please ask the sender for a new link.,Bu bağlantının süresi doldu. Lütfen göndericiden yeni bir bağlantı iste.,
This link is invalid or has been removed.,Bu bağlantı geçersiz veya kaldırılmış.,
Time,Zaman,
Time entry saved,Zaman kaydı kaydedildi,
Timer unavailable,Zamanlayıcı kullanılamıyor,
Timezone,Saat dilimi,
total,toplam,
Try again,Tekrar dene,
Unread,Okunmamış,
Open calendar,Takvimi aç,
Open in Desk,Desk'te aç,
Open in {0},{0} içinde aç,
User menu,Kullanıcı menüsü,
View existing →,Mevcut olanı görüntüle →,
Visibility,Görünürlük,
View,Görüntüle,
View all notifications,Tüm bildirimleri görüntüle,
View time entry,Zaman kaydını görüntüle,
Week starts on,Hafta başlangıcı,
Write,Yazma,
What are you working on?,Ne üzerinde çalışıyorsun?,
You're all caught up,Hepsini okudun,
Your Preferences,Tercihlerin,
Your timer has been running for {0},Zamanlayıcın {0} süredir çalışıyor,
Actions,Eylemler,
Add details about this event...,Bu etkinlik hakkında ayrıntı ekle...,
Add event,Etkinlik ekle,
Agenda,Ajanda,
All day,Tüm gün,
Calendar,Takvim,
Create Event,Etkinlik Oluştur,
Create in:,Şurada oluştur:,
Day,Gün,
Deadline,Son tarih,
Delete Event,Etkinliği Sil,
Delete this event? This cannot be undone.,Bu etkinlik silinsin mi? Bu işlem geri alınamaz.,
Deleting…,Siliniyor…,
Description,Açıklama,
Details,Ayrıntılar,
End,Bitiş,
Event,Etkinlik,
Event title,Etkinlik başlığı,
Failed to create event,Etkinlik oluşturulamadı,
Failed to delete event,Etkinlik silinemedi,
Manage this event in,Bu etkinliği yönet:,
Meeting,Toplantı,
Milestone,Kilometre taşı,
Month,Ay,
My calendars,Takvimlerim,
New Event,Yeni Etkinlik,
No actions available,Kullanılabilir eylem yok,
No events,Etkinlik yok,
Open in,Şurada aç:,
Other,Diğer,
Permanently remove this event,Bu etkinliği kalıcı olarak kaldır,
Review,İnceleme,
Source,Kaynak,
Start date/time is required,Başlangıç tarihi/saati gerekli,
Title,Başlık,
Title is required,Başlık gerekli,
Today,Bugün,
Type,Tür,
View full details in the source app,Tüm ayrıntıları kaynak uygulamada görüntüle,
Week,Hafta,
When,Ne zaman,
{0} available,{0} mevcut,
Available,Mevcut,
Configure Frappe Manager to enable one-click updates.,Tek tıkla güncellemeleri etkinleştirmek için Frappe Manager'ı yapılandır.,
Copy command,Komutu kopyala,
Ecosystem Apps,Ekosistem Uygulamaları,
Failed,Başarısız,
Install,Kur,
Installed,Kurulu,
Learn more,Daha fazla bilgi,
No apps found,Uygulama bulunamadı,
not installed,kurulu değil,
Open,Aç,
Pro available,Pro mevcut,
Queued…,Sıraya alındı…,
Refresh,Yenile,
Remove,Kaldır,
Remove {0}? This will uninstall the app and may affect data.,{0} kaldırılsın mı? Bu uygulama kaldırılacak ve veriler etkilenebilir.,
Restart required,Yeniden başlatma gerekli,
Restarting…,Yeniden başlatılıyor…,
"To install {0}, run:","{0} kurmak için şunu çalıştır:",
"To update {0}, run:","{0} güncellemek için şunu çalıştır:",
"Update {0} from v{1} to {2}? This will restart Frappe.","{0} v{1}'den {2}'ye güncellensin mi? Bu işlem Frappe'yi yeniden başlatacak.",
Update to {0},{0} sürümüne güncelle,
Updated,Güncellendi,
Updating…,Güncelleniyor…,
Up to date,Güncel,
to version,sürüme,
For whom?,Kimin için?,
Working on?,Ne üzerinde?,
Search contacts...,Kişilerde ara...,
Select type...,Tür seç...,
Context,Bağlam,
Contact,Kişi,
Context Type,Bağlam Türü,
Activity,Aktivite,
Activity will appear here as you and your team work across ecosystem apps.,Sen ve ekibin ekosistem uygulamalarında çalıştıkça aktiviteler burada görünecek.,
Acknowledge,Onayla,
All apps,Tüm uygulamalar,
All Discussions,Tüm Tartışmalar,
All types,Tüm türler,
Archived,Arşivlenmiş,
Cancel,İptal,
Celebrate,Kutla,
Comments,Yorumlar,
Create Discussion,Tartışma Oluştur,
Creating…,Oluşturuluyor…,
Ctrl+Enter to send,Göndermek için Ctrl+Enter,
Decision,Karar,
Discussion not found,Tartışma bulunamadı,
Discussion title,Tartışma başlığı,
Discussions,Tartışmalar,
Flag,İşaretle,
General,Genel,
just now,az önce,
Keep commenting,Yorum yapmaya devam et,
Linked Records,Bağlantılı Kayıtlar,
Linked to,Bağlantılı:,
Load more,Daha fazla yükle,
Loading…,Yükleniyor…,
Meeting Protocol,Toplantı Protokolü,
Mentioned,Bahsedilen,
New Discussion,Yeni Tartışma,
No activity yet,Henüz aktivite yok,
No comments yet,Henüz yorum yok,
No discussions found,Tartışma bulunamadı,
No discussions yet,Henüz tartışma yok,
Note,Not,
Notes,Notlar,
Participants,Katılımcılar,
Pin,Sabitle,
Pinned,Sabitlenmiş,
Proposal,Teklif,
Protocol,Protokol,
Reopen,Yeniden aç,
Replies,Yanıtlar,
Reply,Yanıtla,
Replying to comment,Yoruma yanıt veriliyor,
Resolve,Çöz,
Resolve Discussion,Tartışmayı Çöz,
Resolved,Çözüldü,
Resolution,Çözüm,
Resolution summary...,Çözüm özeti...,
Retrospective,Retrospektif,
Search discussions...,Tartışmalarda ara...,
Seen,Görüldü,
Send,Gönder,
Start Discussion,Tartışma Başlat,
Unpin,Sabitlemeyi kaldır,
Write a comment...,Bir yorum yaz...,
Write your discussion content...,Tartışma içeriğini yaz...,
resolved,çözüldü,
unread,okunmamış,
{0} mentioned you in a comment,{0} bir yorumda senden bahsetti,
{0} is already an attendee.,{0} zaten bir katılımcı.,
{0} is not an attendee.,{0} katılımcı değil.,
{0} is not installed,{0} kurulu değil,
{0} results found,{0} sonuç bulundu,
+ Add tags,+ Etiket ekle,
A→Z,A→Z,
Accept,Kabul et,
Action failed,Eylem başarısız,
Active now,Şu an aktif,
Add a note,Not ekle,
"Add a note to keep track of details about this contact.","Bu kişi hakkındaki ayrıntıları takip etmek için bir not ekle.",
Add address,Adres ekle,
Add another address,Başka bir adres ekle,
Add birthday,Doğum günü ekle,
Add company,Şirket ekle,
Add job title,Ünvan ekle,
Add more tags...,Daha fazla etiket ekle...,
Add tags...,Etiket ekle...,
"Address is not linked to this contact","Adres bu kişiye bağlı değil",
"Address line 1, city, and country are required","Adres satırı 1, şehir ve ülke gereklidir",
ago,önce,
All companies,Tüm şirketler,
All day event,Tüm gün etkinliği,
"Apartment, suite, etc.","Daire, süit vb.",
Apps,Uygulamalar,
Archive contact,Kişiyi arşivle,
Attendees,Katılımcılar,
available,mevcut,
Best regards,Saygılarımla,
Bookmarks,Yer İşaretleri,
"Both proposed start and end times are required.","Önerilen başlangıç ve bitiş saatlerinin ikisi de gereklidir.",
Break,Mola,
Bridge not registered,Köprü kayıtlı değil,
Calendar Settings,Takvim Ayarları,
Call,Arama,
Cannot change bookmark owner,Yer işareti sahibi değiştirilemez,
Cannot revoke your current session,Mevcut oturumun iptal edilemez,
Change Password,Şifre Değiştir,
Change photo,Fotoğrafı değiştir,
Check Status,Durumu Kontrol Et,
City,Şehir,
Clear,Temizle,
Clear filters,Filtreleri temizle,
Close search,Aramayı kapat,
Cmd+Enter to save,Kaydetmek için Cmd+Enter,
Coming soon,Yakında,
Coming up!,Yaklaşıyor!,
Comment,Yorum,
Community Edition,Topluluk Sürümü,
Complete,Tamamla,
Confirm new password,Yeni şifreyi onayla,
Copy,Kopyala,
Could not load notes,Notlar yüklenemedi,
Country,Ülke,
"Country '{0}' not found. Please select a valid country.","'{0}' ülkesi bulunamadı. Lütfen geçerli bir ülke seç.",
Create a contact to get started,Başlamak için bir kişi oluştur,
Created event: {0},Etkinlik oluşturuldu: {0},
Creating...,Oluşturuluyor...,
Current,Mevcut,
Current password,Mevcut şifre,
Current password is incorrect,Mevcut şifre yanlış,
Currency,Para birimi,
Date,Tarih,
Decline,Reddet,
Department,Departman,
Do Not Contact,İletişime Geçilmesin,
Dock,Dock,
Download,İndir,
"e.g. en, fr, de","ör. en, fr, de",
Edit,Düzenle,
Edit address,Adresi düzenle,
Edit Timer,Zamanlayıcıyı Düzenle,
Email addresses,E-posta adresleri,
Enabled,Etkin,
"End time was before start time. Adjusted to 1 hour after start.","Bitiş saati başlangıç saatinden önceydi. Başlangıçtan 1 saat sonrasına ayarlandı.",
Error,Hata,
Event '{0}' status changed to {1},'{0}' etkinliğinin durumu {1} olarak değiştirildi,
Event Type,Etkinlik Türü,
events,etkinlikler,
External,Harici,
External — no user account,Harici — kullanıcı hesabı yok,
Failed to change password,Şifre değiştirilemedi,
Failed to check status,Durum kontrol edilemedi,
Failed to load apps,Uygulamalar yüklenemedi,
Failed to load settings,Ayarlar yüklenemedi,
"Field '{0}' is not editable","'{0}' alanı düzenlenemez",
Files,Dosyalar,
First Name,Ad,
Focus,Odaklan,
"Frappe Manager URL is not configured in Dock Settings.","Frappe Manager URL'si Dock Ayarları'nda yapılandırılmamış.",
Hello {0},Merhaba {0},
Inactive,Pasif,
Integrations,Entegrasyonlar,
Internal,Dahili,
Internal — has a user account,Dahili — kullanıcı hesabı var,
Invalid RSVP status,Geçersiz RSVP durumu,
Invalid status,Geçersiz durum,
"Invalid status. Must be one of: {0}","Geçersiz durum. Şunlardan biri olmalı: {0}",
"Invitation: {0} — {1} at {2}","Davet: {0} — {1}, {2}",
Invite People,Kişileri Davet Et,
Join meeting →,Toplantıya katıl →,
Language,Dil,
Last activity,Son aktivite,
Last modified,Son değiştirilen,
Last Name,Soyad,
Last sync,Son eşitleme,
Link user account,Kullanıcı hesabını bağla,
Linked records,Bağlantılı kayıtlar,
Loading settings...,Ayarlar yükleniyor...,
Loading...,Yükleniyor...,
Location,Konum,
Mark Do Not Contact,İletişime Geçilmesin olarak işaretle,
Maybe,Belki,
Meeting Link,Toplantı Bağlantısı,
Meeting title,Toplantı başlığı,
Meeting URL,Toplantı URL'si,
Mine,Benimkiler,
Modified,Değiştirildi,
navigate,gezin,
New note,Yeni not,
New password,Yeni şifre,
new tab,yeni sekme,
New tag,Yeni etiket,
No active sessions found,Aktif oturum bulunamadı,
No activity,Aktivite yok,
No attendees,Katılımcı yok,
No bookmarks yet,Henüz yer işareti yok,
No bridges registered,Kayıtlı köprü yok,
No contacts match these filters,Bu filtrelerle eşleşen kişi yok,
No file uploaded,Dosya yüklenmedi,
No files attached,Ekli dosya yok,
No notes yet,Henüz not yok,
No results found,Sonuç bulunamadı,
No settings registered for this app.,Bu uygulama için kayıtlı ayar yok.,
No status endpoint declared,Durum uç noktası tanımlanmamış,
No sync endpoint declared,Eşitleme uç noktası tanımlanmamış,
No tags found,Etiket bulunamadı,
Not checked,Kontrol edilmedi,
Not configured,Yapılandırılmamış,
Not permitted,İzin verilmedi,
Note content cannot be empty,Not içeriği boş olamaz,
Notification Settings,Bildirim Ayarları,
Number format,Sayı formatı,
One-way,Tek yönlü,
"Only native Dock events can be deleted here.","Burada yalnızca Dock'a ait etkinlikler silinebilir.",
"Only System Manager can trigger bridge sync","Yalnızca Sistem Yöneticisi köprü eşitlemesini başlatabilir",
"Only System Manager can view sync logs","Yalnızca Sistem Yöneticisi eşitleme günlüklerini görüntüleyebilir",
"Only the contact owner can change the photo","Yalnızca kişi sahibi fotoğrafı değiştirebilir",
"Only the contact owner can edit this contact","Yalnızca kişi sahibi bu kişiyi düzenleyebilir",
"Only the event organizer can send invitations.","Yalnızca etkinlik düzenleyicisi davet gönderebilir.",
"Only the session creator or a Dock Manager can revoke sessions","Yalnızca oturumu oluşturan veya Dock Yöneticisi oturumları iptal edebilir",
open,açık,
