source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,30 ദിവസം,
7 days,7 ദിവസം,
90 days,90 ദിവസം,
Acme Corp,Acme Corp,
Active,സജീവം,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","അധിക ഫീൽഡുകൾ (വിലാസം, കുറിപ്പുകൾ മുതലായവ) കോൺടാക്ട് സൃഷ്ടിച്ചതിനു ശേഷം എഡിറ്റ് ചെയ്യാം.",
Add,ചേർക്കുക,
Add people,ആളുകളെ ചേർക്കുക,
Adding…,ചേർക്കുന്നു…,
Add bookmark,ബുക്ക്‌മാർക്ക് ചേർക്കുക,
All logged-in users,ലോഗിൻ ചെയ്ത എല്ലാ ഉപയോക്താക്കളും,
All logged-in users can view this document,ലോഗിൻ ചെയ്ത എല്ലാ ഉപയോക്താക്കൾക്കും ഈ പ്രമാണം കാണാൻ കഴിയും,
Add notes...,കുറിപ്പുകൾ ചേർക്കുക...,
All,എല്ലാം,
A–Z,A–Z,
Blank = org default,ശൂന്യം = സ്ഥാപനത്തിന്റെ ഡീഫോൾട്ട്,
Bookmark limit reached (12),ബുക്ക്‌മാർക്ക് പരിധി എത്തി (12),
"Bookmark limit reached (12). Remove a bookmark to add another.","ബുക്ക്‌മാർക്ക് പരിധി എത്തി (12). മറ്റൊന്ന് ചേർക്കാൻ ഒരു ബുക്ക്‌മാർക്ക് നീക്കം ചെയ്യുക.",
Bookmark this record,ഈ രേഖ ബുക്ക്‌മാർക്ക് ചെയ്യുക,
App context,App സന്ദർഭം,
App switcher,App സ്വിച്ചർ,
Browse all apps →,എല്ലാ app കളും ബ്രൗസ് ചെയ്യുക →,
Install apps →,App കൾ ഇൻസ്റ്റാൾ ചെയ്യുക →,
Cancel,റദ്ദാക്കുക,
Clear recent items history,സമീപകാല ഇനങ്ങളുടെ ചരിത്രം മായ്ക്കുക,
Company,കമ്പനി,
Compose email,ഇമെയിൽ എഴുതുക,
contact,കോൺടാക്ട്,
contacts,കോൺടാക്ടുകൾ,
Could not create contact,കോൺടാക്ട് സൃഷ്ടിക്കാനായില്ല,
Could not load contact,കോൺടാക്ട് ലോഡ് ചെയ്യാനായില്ല,
Could not add user. Please try again.,ഉപയോക്താവിനെ ചേർക്കാനായില്ല. ദയവായി വീണ്ടും ശ്രമിക്കുക.,
Could not load contacts,കോൺടാക്ടുകൾ ലോഡ് ചെയ്യാനായില്ല,
Could not load shares,ഷെയറുകൾ ലോഡ് ചെയ്യാനായില്ല,
Create,സൃഷ്ടിക്കുക,
Create & Open,സൃഷ്ടിക്കുക & തുറക്കുക,
Create a contact or adjust your filters,ഒരു കോൺടാക്ട് സൃഷ്ടിക്കുക അല്ലെങ്കിൽ ഫിൽട്ടറുകൾ ക്രമീകരിക്കുക,
Creating…,സൃഷ്ടിക്കുന്നു…,
History cleared,ചരിത്രം മായ്ച്ചു,
This will remove all recent items. Continue?,ഇത് എല്ലാ സമീപകാല ഇനങ്ങളും നീക്കം ചെയ്യും. തുടരണോ?,
Close,അടയ്ക്കുക,
Content is temporarily unavailable.,ഉള്ളടക്കം താൽക്കാലികമായി ലഭ്യമല്ല.,
Copied!,പകർത്തി!,
