source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,30 egun,
7 days,7 egun,
90 days,90 egun,
Acme Corp,Acme Corp,
Active,Aktibo,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","Eremu gehigarriak (helbidea, oharrak, etab.) kontaktua sortu ondoren editatu daitezke.",
Add,Gehitu,
Add people,Pertsonak gehitu,
Adding…,Gehitzen…,
Add bookmark,Laster-marka gehitu,
All logged-in users,Saioa hasitako erabiltzaile guztiak,
All logged-in users can view this document,Saioa hasitako erabiltzaile guztiek dokumentu hau ikus dezakete,
Add notes...,Oharrak gehitu...,
All,Guztiak,
A–Z,A–Z,
Blank = org default,Hutsik = erakundearen lehenetsia,
Bookmark limit reached (12),Laster-marken muga gainditu da (12),
Bookmark limit reached (12). Remove a bookmark to add another.,Laster-marken muga gainditu da (12). Kendu laster-marka bat beste bat gehitzeko.,
Bookmark this record,Erregistro honi laster-marka jarri,
App context,Aplikazio-testuingurua,
App switcher,Aplikazio-aldagailua,
Browse all apps →,Aplikazio guztiak arakatu →,
Install apps →,Aplikazioak instalatu →,
Cancel,Utzi,
Clear recent items history,Azken elementuen historia garbitu,
Company,Enpresa,
Compose email,Mezu elektronikoa idatzi,
contact,kontaktu,
contacts,kontaktu,
Could not create contact,Ezin izan da kontaktua sortu,
Could not load contact,Ezin izan da kontaktua kargatu,
Could not add user. Please try again.,Ezin izan da erabiltzailea gehitu. Saiatu berriro.,
Could not load contacts,Ezin izan dira kontaktuak kargatu,
Could not load shares,Ezin izan dira partekatzeak kargatu,
Create,Sortu,
Create & Open,Sortu eta ireki,
Create a contact or adjust your filters,Sortu kontaktu bat edo egokitu iragazkiak,
Creating…,Sortzen…,
History cleared,Historia garbituta,
This will remove all recent items. Continue?,Azken elementu guztiak kenduko dira. Jarraitu?,
Close,Itxi,
Content is temporarily unavailable.,Edukia aldi baterako ez dago eskuragarri.,
Copied!,Kopiatuta!,
Copy link,Esteka kopiatu,
Copy portal URL,Atariaren URLa kopiatu,
Dark,Iluna,
Date format,Data-formatua,
Default app on login,Saioa hastean aplikazio lehenetsia,
Discover ecosystem apps,Ekosistemako aplikazioak aurkitu,
Delete,Ezabatu,
Displayed in the top bar,Goiko barran bistaratua,
Dock Settings,Dock ezarpenak,
Done,Eginda,
Done editing,Editatzen amaituta,
Drag to reorder {0},Arrastatu {0} berrordenatzeko,
Edit bookmarks,Laster-markak editatu,
e.g. Europe/Berlin,adib. Europe/Berlin,
Email,Posta elektronikoa,
Enable bookmarks,Laster-markak gaitu,
Everyone,Denak,
Enable global timer,Kronometro orokorra gaitu,
Enable recent items,Azken elementuak gaitu,
Expired,Iraungita,
Expires,Iraungitze-data,
Expires: {0},Iraungitze-data: {0},
Failed to generate link. Please try again.,Ezin izan da esteka sortu. Saiatu berriro.,
Failed to load sessions.,Ezin izan dira saioak kargatu.,
Features,Ezaugarriak,
Full name,Izen osoa,
Frappe Desk,Frappe Desk,
Generate link,Esteka sortu,
Generating…,Sortzen…,
Guest Portal,Gonbidatuen ataria,
in {0},{0}(e)n,
"Install Orga, Micro, or other apps to see cross-app context for your contacts.","Instalatu Orga, Micro edo beste aplikazioak zure kontaktuen aplikazio arteko testuingurua ikusteko.",
jane@example.com,jane@example.com,
Jane Smith,Jane Smith,
Job title,Lanpostua,
Keep running,Martxan mantendu,
Label,Etiketa,
Last accessed,Azken sarbidea,
Light,Argia,
Limit,Muga,
Link expires in:,Esteka iraungitze-epea:,
Loading…,Kargatzen…,
Load more,Gehiago kargatu,
Log out,Saioa itxi,
Make private,Pribatu bihurtu,
Mark all read,Guztiak irakurritako gisa markatu,
Mark read,Irakurritako gisa markatu,
Monday,Astelehena,
More fields,Eremu gehiago,
My contacts,Nire kontaktuak,
My Account,Nire kontua,
My Profile,Nire profila,
Never,Inoiz ez,
New contact,Kontaktu berria,
No contacts found,Ez da kontakturik aurkitu,
No expiry,Iraungitze-datarik gabe,
None,Bat ere ez,
No guest sessions yet.,Oraindik ez dago gonbidatu-saiorik.,
No recent items,Azken elementurik ez,
No recent items yet,Oraindik ez dago azken elementurik,
No results for "{0}",Emaitzarik ez "{0}" bilaketarako,
"No results for ""{0}"" in {1}","Emaitzarik ez ""{0}"" bilaketarako {1}(e)n",
Notifications,Jakinarazpenak,
Notification unavailable,Jakinarazpena ez dago eskuragarri,
Organization Defaults,Erakundearen lehenetsiak,
Organization settings updated — reload to apply,Erakundearen ezarpenak eguneratuta — birkargatu aplikatzeko,
Org default,Erakundearen lehenetsia,
"Password, 2FA, profile picture","Pasahitza, 2FA, profileko argazkia",
Pause,Pausatu,
paused,pausatuta,
People,Jendea,
People with access,Sarbidea duten pertsonak,
Permissions,Baimenak,
Pinned,Ainguratuta,
Powered by Tonic,Tonic-ek bultzatuta,
Phone,Telefonoa,
Private,Pribatua,
Product Manager,Product Manager,
Preferences,Hobespenak,
Read,Irakurri,
Recent,Azkenak,
Reload,Birkargatu,
Remove bookmark,Laster-marka kendu,
Remove from shared,Partekatzetik kendu,
Remove from recent,Azkenetik kendu,
Resume,Berrekin,
Retry,Berriro saiatu,
Revoke,Baliogabetu,
Revoked,Baliogabetuta,
Revoke session,Saioa baliogabetu,
Revoking…,Baliogabetzen…,
Saved,Gordeta,
Save failed,Gordetzeak huts egin du,
Save organization settings,Erakundearen ezarpenak gorde,
Saving…,Gordetzen…,
Search...,Bilatu...,
"Search by name, email, or phone…","Bilatu izenez, emailez edo telefonoz…",
Search users...,Erabiltzaileak bilatu...,
Share {0} {1},{0} {1} partekatu,
Submit,Bidali,
Search in All apps,Aplikazio guztietan bilatu,
Search unavailable,Bilaketa ez dago eskuragarri,
selected,hautatuta,
Share "{0}","{0}" partekatu,
Share with team,Taldearekin partekatu,
Shared,Partekatuta,
Shared with team,Taldearekin partekatuta,
Share with client,Bezeroarekin partekatu,
Showing {0} of {1} sessions,{1} saiotatik {0} erakusten,
Site label,Gunearen etiketa,
Sort: A–Z — click for last modified,Ordenatu: A–Z — egin klik azken aldaketaren arabera ordenatzeko,
Sort: last modified — click for A–Z,Ordenatu: azken aldaketa — egin klik A–Z ordenatzeko,
Start,Hasi,
Start Timer,Kronometroa hasi,
Status,Egoera,
Stop,Gelditu,
Stop & Save,Gelditu eta gorde,
Sunday,Igandea,
System,Sistema,
Theme,Itxura,
Theme preference,Itxura-hobespena,
This email is already on,Mezu elektroniko hau dagoeneko aktibatuta dago,
This link has been deactivated.,Esteka hau desaktibatu da.,
This link has expired. Please ask the sender for a new link.,Esteka hau iraungi da. Eskatu bidaltzaileari esteka berri bat.,
This link is invalid or has been removed.,Esteka hau baliogabea da edo kendu egin da.,
Time,Denbora,
Time entry saved,Denbora-sarrera gordeta,
Timer unavailable,Kronometroa ez dago eskuragarri,
Timezone,Ordu-eremua,
total,guztira,
Try again,Berriro saiatu,
Unread,Irakurri gabea,
Open calendar,Egutegia ireki,
Open in Desk,Desk-en ireki,
Open in {0},{0}(e)n ireki,
User menu,Erabiltzaile-menua,
