source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,30 nap,
7 days,7 nap,
90 days,90 nap,
Acme Corp,Acme Corp,
Active,Aktív,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","További mezők (cím, megjegyzések stb.) a kapcsolat létrehozása után szerkeszthetők.",
Add,Hozzáadás,
Add people,Személyek hozzáadása,
Adding…,Hozzáadás…,
Add bookmark,Könyvjelző hozzáadása,
All logged-in users,Minden bejelentkezett felhasználó,
All logged-in users can view this document,Minden bejelentkezett felhasználó megtekintheti ezt a dokumentumot,
Add notes...,Megjegyzés hozzáadása...,
All,Összes,
A–Z,A–Z,
Blank = org default,Üres = szervezeti alapértelmezés,
Bookmark limit reached (12),Könyvjelző-korlát elérve (12),
Bookmark limit reached (12). Remove a bookmark to add another.,"Könyvjelző-korlát elérve (12). Töröljél egy könyvjelzőt, hogy újat adhass hozzá.",
Bookmark this record,Rekord könyvjelzőzése,
App context,Alkalmazás-kontextus,
App switcher,Alkalmazásváltó,
Browse all apps →,Összes alkalmazás böngészése →,
Install apps →,Alkalmazások telepítése →,
Cancel,Mégse,
Clear recent items history,Legutóbbi elemek előzményeinek törlése,
Company,Cég,
Compose email,E-mail írása,
contact,kapcsolat,
contacts,kapcsolatok,
Could not create contact,Nem sikerült létrehozni a kapcsolatot,
Could not load contact,Nem sikerült betölteni a kapcsolatot,
Could not add user. Please try again.,Nem sikerült hozzáadni a felhasználót. Kérlek próbáld újra.,
Could not load contacts,Nem sikerült betölteni a kapcsolatokat,
Could not load shares,Nem sikerült betölteni a megosztásokat,
Create,Létrehozás,
Create & Open,Létrehozás és megnyitás,
Create a contact or adjust your filters,Hozz létre egy kapcsolatot vagy módosítsd a szűrőket,
Creating…,Létrehozás…,
History cleared,Előzmények törölve,
This will remove all recent items. Continue?,Ez törli az összes legutóbbi elemet. Folytatod?,
Close,Bezárás,
Content is temporarily unavailable.,A tartalom átmenetileg nem elérhető.,
Copied!,Másolva!,
Copy link,Link másolása,
Copy portal URL,Portál URL másolása,
Dark,Sötét,
Date format,Dátumformátum,
Default app on login,Alapértelmezett alkalmazás bejelentkezéskor,
Discover ecosystem apps,Ökoszisztéma-alkalmazások felfedezése,
Delete,Törlés,
Displayed in the top bar,Megjelenik a felső sávban,
Dock Settings,Dock beállítások,
Done,Kész,
Done editing,Szerkesztés befejezve,
Drag to reorder {0},Húzd az átrendezéshez: {0},
Edit bookmarks,Könyvjelzők szerkesztése,
e.g. Europe/Berlin,pl. Europe/Budapest,
Email,E-mail,
Enable bookmarks,Könyvjelzők engedélyezése,
Everyone,Mindenki,
Enable global timer,Globális időzítő engedélyezése,
Enable recent items,Legutóbbi elemek engedélyezése,
Expired,Lejárt,
Expires,Lejárat,
Expires: {0},Lejárat: {0},
Failed to generate link. Please try again.,Nem sikerült létrehozni a linket. Kérlek próbáld újra.,
Failed to load sessions.,Nem sikerült betölteni a munkameneteket.,
Features,Funkciók,
Full name,Teljes név,
Frappe Desk,Frappe Desk,
Generate link,Link generálása,
Generating…,Generálás…,
Guest Portal,Vendégportál,
in {0},{0} alkalmazásban,
"Install Orga, Micro, or other apps to see cross-app context for your contacts.","Telepítsd az Orga, Micro vagy más alkalmazásokat, hogy alkalmazásközi kontextust láthass a kapcsolataidhoz.",
jane@example.com,jane@example.com,
Jane Smith,Jane Smith,
Job title,Beosztás,
Keep running,Tovább fut,
Label,Címke,
Last accessed,Utolsó hozzáférés,
Light,Világos,
Limit,Korlát,
Link expires in:,Link lejárata:,
Loading…,Betöltés…,
Load more,Továbbiak betöltése,
Log out,Kijelentkezés,
Make private,Priváttá tétel,
Mark all read,Összes olvasottnak jelölése,
Mark read,Olvasottnak jelölés,
Monday,Hétfő,
More fields,További mezők,
My contacts,Kapcsolataim,
My Account,Fiókom,
My Profile,Profilom,
Never,Soha,
New contact,Új kapcsolat,
No contacts found,Nem található kapcsolat,
No expiry,Nincs lejárat,
None,Nincs,
No guest sessions yet.,Még nincsenek vendég munkamenetek.,
No recent items,Nincsenek legutóbbi elemek,
No recent items yet,Még nincsenek legutóbbi elemek,
No results for "{0}",Nincs találat erre: „{0}",
No results for "{0}" in {1},Nincs találat erre: „{0}" itt: {1},
Notifications,Értesítések,
Notification unavailable,Értesítés nem elérhető,
Organization Defaults,Szervezeti alapértelmezések,
Organization settings updated — reload to apply,Szervezeti beállítások frissítve — az alkalmazáshoz töltsd újra az oldalt,
Org default,Szervezeti alapértelmezés,
"Password, 2FA, profile picture","Jelszó, 2FA, profilkép",
Pause,Szünet,
paused,szüneteltetve,
People,Személyek,
People with access,Hozzáféréssel rendelkezők,
Permissions,Jogosultságok,
Pinned,Kitűzve,
Powered by Tonic,Powered by Tonic,
Phone,Telefon,
Private,Privát,
Product Manager,Product Manager,
Preferences,Preferenciák,
Read,Olvasás,
Recent,Legutóbbi,
Reload,Újratöltés,
Remove bookmark,Könyvjelző eltávolítása,
Remove from shared,Eltávolítás a megosztásból,
Remove from recent,Eltávolítás a legutóbbiak közül,
Resume,Folytatás,
Retry,Újrapróbálás,
Revoke,Visszavonás,
Revoked,Visszavonva,
Revoke session,Munkamenet visszavonása,
Revoking…,Visszavonás…,
Saved,Mentve,
Save failed,Mentés sikertelen,
Save organization settings,Szervezeti beállítások mentése,
Saving…,Mentés…,
Search...,Keresés...,
"Search by name, email, or phone…","Keresés név, e-mail vagy telefon alapján…",
Search users...,Felhasználók keresése...,
Share {0} {1},{0} {1} megosztása,
Submit,Beküldés,
Search in All apps,Keresés az összes alkalmazásban,
Search unavailable,Keresés nem elérhető,
selected,kijelölve,
Share "{0}",„{0}" megosztása,
Share with team,Megosztás a csapattal,
Shared,Megosztva,
Shared with team,Megosztva a csapattal,
Share with client,Megosztás ügyféllel,
Showing {0} of {1} sessions,{0}/{1} munkamenet megjelenítve,
Site label,Webhelycímke,
Sort: A–Z — click for last modified,Rendezés: A–Z — kattints a módosítás szerinti rendezéshez,
Sort: last modified — click for A–Z,Rendezés: módosítás szerint — kattints az A–Z rendezéshez,
Start,Indítás,
Start Timer,Időzítő indítása,
Status,Állapot,
Stop,Leállítás,
Stop & Save,Leállítás és mentés,
Sunday,Vasárnap,
System,Rendszer,
Theme,Téma,
Theme preference,Témapreferencia,
This email is already on,Ez az e-mail cím már szerepel,
This link has been deactivated.,Ez a link deaktiválva lett.,
This link has expired. Please ask the sender for a new link.,Ez a link lejárt. Kérj új linket a küldőtől.,
This link is invalid or has been removed.,Ez a link érvénytelen vagy eltávolításra került.,
Time,Idő,
Time entry saved,Időbejegyzés mentve,
Timer unavailable,Időzítő nem elérhető,
Timezone,Időzóna,
total,összesen,
Try again,Próbáld újra,
Unread,Olvasatlan,
Open calendar,Naptár megnyitása,
Open in Desk,Megnyitás a Deskben,
Open in {0},Megnyitás itt: {0},
User menu,Felhasználói menü,
View existing →,Meglévő megtekintése →,
Visibility,Láthatóság,
View,Megtekintés,
View all notifications,Összes értesítés megtekintése,
View time entry,Időbejegyzés megtekintése,
Week starts on,Hét kezdőnapja,
Write,Írás,
What are you working on?,Min dolgozol?,
You're all caught up,Minden naprakész,
Your Preferences,Preferenciáid,
Your timer has been running for {0},Az időzítőd {0} óta fut,
Actions,Műveletek,
