source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,30 రోజులు,
7 days,7 రోజులు,
90 days,90 రోజులు,
Acme Corp,Acme Corp,
Active,చురుకుగా ఉంది,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","అదనపు ఫీల్డ్‌లు (చిరునామా, నోట్స్, మొదలైనవి) కాంటాక్ట్ సృష్టించిన తర్వాత సవరించవచ్చు.",
Add,చేర్చు,
Add people,వ్యక్తులను చేర్చు,
Adding…,చేర్చుతోంది…,
Add bookmark,బుక్‌మార్క్ చేర్చు,
All logged-in users,లాగిన్ అయిన అందరు వినియోగదారులు,
All logged-in users can view this document,లాగిన్ అయిన అందరు వినియోగదారులు ఈ డాక్యుమెంట్‌ను చూడవచ్చు,
Add notes...,నోట్స్ చేర్చు...,
All,అన్నీ,
A–Z,A–Z,
Blank = org default,ఖాళీ = సంస్థ డిఫాల్ట్,
Bookmark limit reached (12),బుక్‌మార్క్ పరిమితి చేరుకుంది (12),
Bookmark limit reached (12). Remove a bookmark to add another.,బుక్‌మార్క్ పరిమితి చేరుకుంది (12). మరొకటి చేర్చడానికి ఒక బుక్‌మార్క్‌ను తొలగించండి.,
Bookmark this record,ఈ రికార్డ్‌ను బుక్‌మార్క్ చేయండి,
App context,యాప్ సందర్భం,
App switcher,యాప్ స్విచ్చర్,
Browse all apps →,అన్ని యాప్‌లను చూడండి →,
Install apps →,యాప్‌లను ఇన్‌స్టాల్ చేయండి →,
Cancel,రద్దు చేయండి,
Clear recent items history,ఇటీవలి అంశాల చరిత్రను తొలగించండి,
Company,కంపెనీ,
Compose email,ఇమెయిల్ రాయండి,
contact,కాంటాక్ట్,
contacts,కాంటాక్ట్‌లు,
Could not create contact,కాంటాక్ట్ సృష్టించలేకపోయింది,
Could not load contact,కాంటాక్ట్ లోడ్ చేయలేకపోయింది,
Could not add user. Please try again.,వినియోగదారుని చేర్చలేకపోయింది. దయచేసి మళ్ళీ ప్రయత్నించండి.,
Could not load contacts,కాంటాక్ట్‌లను లోడ్ చేయలేకపోయింది,
Could not load shares,షేర్లను లోడ్ చేయలేకపోయింది,
Create,సృష్టించు,
Create & Open,సృష్టించు & తెరువు,
Create a contact or adjust your filters,కాంటాక్ట్ సృష్టించండి లేదా మీ ఫిల్టర్లను సర్దుబాటు చేయండి,
Creating…,సృష్టిస్తోంది…,
History cleared,చరిత్ర తొలగించబడింది,
This will remove all recent items. Continue?,ఇది అన్ని ఇటీవలి అంశాలను తొలగిస్తుంది. కొనసాగించాలా?,
Close,మూసివేయండి,
Content is temporarily unavailable.,విషయం తాత్కాలికంగా అందుబాటులో లేదు.,
Copied!,కాపీ అయింది!,
Copy link,లింక్ కాపీ చేయండి,
Copy portal URL,పోర్టల్ URL కాపీ చేయండి,
Dark,డార్క్,
Date format,తేదీ ఫార్మాట్,
Default app on login,లాగిన్‌లో డిఫాల్ట్ యాప్,
Discover ecosystem apps,ఈకోసిస్టమ్ యాప్‌లను కనుగొనండి,
Delete,తొలగించు,
Displayed in the top bar,టాప్ బార్‌లో చూపబడుతుంది,
Dock Settings,Dock సెట్టింగ్‌లు,
Done,పూర్తయింది,
Done editing,సవరణ పూర్తయింది,
Drag to reorder {0},{0}ను క్రమం మార్చడానికి లాగండి,
Edit bookmarks,బుక్‌మార్క్‌లను సవరించు,
e.g. Europe/Berlin,ఉదా. Europe/Berlin,
Email,ఇమెయిల్,
Enable bookmarks,బుక్‌మార్క్‌లను ప్రారంభించు,
Everyone,అందరూ,
Enable global timer,గ్లోబల్ టైమర్‌ను ప్రారంభించు,
Enable recent items,ఇటీవలి అంశాలను ప్రారంభించు,
Expired,గడువు ముగిసింది,
Expires,గడువు ముగుస్తుంది,
Expires: {0},గడువు: {0},
Failed to generate link. Please try again.,లింక్ రూపొందించడం విఫలమైంది. దయచేసి మళ్ళీ ప్రయత్నించండి.,
Failed to load sessions.,సెషన్‌లను లోడ్ చేయడం విఫలమైంది.,
Features,ఫీచర్లు,
Full name,పూర్తి పేరు,
Frappe Desk,Frappe Desk,
Generate link,లింక్ రూపొందించు,
Generating…,రూపొందిస్తోంది…,
Guest Portal,గెస్ట్ పోర్టల్,
in {0},{0}లో,
"Install Orga, Micro, or other apps to see cross-app context for your contacts.","మీ కాంటాక్ట్‌ల కోసం క్రాస్-యాప్ సందర్భాన్ని చూడటానికి Orga, Micro లేదా ఇతర యాప్‌లను ఇన్‌స్టాల్ చేయండి.",
jane@example.com,jane@example.com,
Jane Smith,Jane Smith,
Job title,ఉద్యోగ శీర్షిక,
Keep running,కొనసాగించు,
Label,లేబుల్,
Last accessed,చివరిగా యాక్సెస్ చేయబడింది,
Light,లైట్,
Limit,పరిమితి,
Link expires in:,లింక్ గడువు ముగుస్తుంది:,
Loading…,లోడ్ అవుతోంది…,
Load more,మరింత లోడ్ చేయండి,
Log out,లాగ్ అవుట్,
Make private,ప్రైవేట్ చేయండి,
Mark all read,అన్నీ చదివినట్లు గుర్తించు,
Mark read,చదివినట్లు గుర్తించు,
Monday,సోమవారం,
More fields,మరిన్ని ఫీల్డ్‌లు,
My contacts,నా కాంటాక్ట్‌లు,
My Account,నా ఖాతా,
My Profile,నా ప్రొఫైల్,
Never,ఎప్పుడూ కాదు,
New contact,కొత్త కాంటాక్ట్,
No contacts found,కాంటాక్ట్‌లు కనుగొనబడలేదు,
No expiry,గడువు లేదు,
None,ఏదీ లేదు,
No guest sessions yet.,ఇంకా గెస్ట్ సెషన్‌లు లేవు.,
No recent items,ఇటీవలి అంశాలు లేవు,
No recent items yet,ఇంకా ఇటీవలి అంశాలు లేవు,
No results for "{0}","{0}" కోసం ఫలితాలు లేవు,
No results for "{0}" in {1},{1}లో "{0}" కోసం ఫలితాలు లేవు,
Notifications,నోటిఫికేషన్లు,
Notification unavailable,నోటిఫికేషన్ అందుబాటులో లేదు,
Organization Defaults,సంస్థ డిఫాల్ట్‌లు,
Organization settings updated — reload to apply,సంస్థ సెట్టింగ్‌లు నవీకరించబడ్డాయి — వర్తింపజేయడానికి రీలోడ్ చేయండి,
Org default,సంస్థ డిఫాల్ట్,
"Password, 2FA, profile picture","పాస్‌వర్డ్, 2FA, ప్రొఫైల్ చిత్రం",
Pause,పాజ్ చేయండి,
paused,పాజ్ చేయబడింది,
People,వ్యక్తులు,
People with access,యాక్సెస్ ఉన్న వ్యక్తులు,
Permissions,అనుమతులు,
Pinned,పిన్ చేయబడింది,
Powered by Tonic,Tonic ద్వారా నడుస్తోంది,
Phone,ఫోన్,
Private,ప్రైవేట్,
Product Manager,Product Manager,
Preferences,ప్రాధాన్యతలు,
Read,చదువు,
Recent,ఇటీవలి,
Reload,రీలోడ్ చేయండి,
Remove bookmark,బుక్‌మార్క్ తొలగించు,
Remove from shared,షేర్ నుండి తొలగించు,
Remove from recent,ఇటీవలి నుండి తొలగించు,
Resume,పునఃప్రారంభించు,
Retry,మళ్ళీ ప్రయత్నించు,
Revoke,రద్దు చేయండి,
Revoked,రద్దు చేయబడింది,
Revoke session,సెషన్ రద్దు చేయండి,
Revoking…,రద్దు చేస్తోంది…,
Saved,సేవ్ అయింది,
Save failed,సేవ్ విఫలమైంది,
Save organization settings,సంస్థ సెట్టింగ్‌లను సేవ్ చేయండి,
Saving…,సేవ్ అవుతోంది…,
Search...,శోధించు...,
"Search by name, email, or phone…","పేరు, ఇమెయిల్ లేదా ఫోన్ ద్వారా శోధించు…",
Search users...,వినియోగదారులను శోధించు...,
Share {0} {1},{0} {1} షేర్ చేయండి,
Submit,సమర్పించు,
Search in All apps,అన్ని యాప్‌లలో శోధించు,
Search unavailable,శోధన అందుబాటులో లేదు,
selected,ఎంపిక చేయబడింది,
Share "{0}","{0}" షేర్ చేయండి,
Share with team,బృందంతో షేర్ చేయండి,
Shared,షేర్ చేయబడింది,
Shared with team,బృందంతో షేర్ చేయబడింది,
Share with client,క్లయింట్‌తో షేర్ చేయండి,
Showing {0} of {1} sessions,{1} సెషన్‌లలో {0} చూపబడుతోంది,
Site label,సైట్ లేబుల్,
Sort: A–Z — click for last modified,క్రమం: A–Z — చివరిగా మార్చబడిన కోసం క్లిక్ చేయండి,
Sort: last modified — click for A–Z,క్రమం: చివరిగా మార్చబడింది — A–Z కోసం క్లిక్ చేయండి,
Start,ప్రారంభించు,
Start Timer,టైమర్ ప్రారంభించు,
Status,స్థితి,
Stop,ఆపు,
Stop & Save,ఆపు & సేవ్ చేయు,
Sunday,ఆదివారం,
System,సిస్టమ్,
Theme,థీమ్,
Theme preference,థీమ్ ప్రాధాన్యత,
This email is already on,ఈ ఇమెయిల్ ఇప్పటికే ఉంది,
This link has been deactivated.,ఈ లింక్ నిష్క్రియం చేయబడింది.,
This link has expired. Please ask the sender for a new link.,ఈ లింక్ గడువు ముగిసింది. దయచేసి పంపినవారిని కొత్త లింక్ కోసం అడగండి.,
This link is invalid or has been removed.,ఈ లింక్ చెల్లదు లేదా తొలగించబడింది.,
Time,సమయం,
Time entry saved,సమయ ఎంట్రీ సేవ్ అయింది,
Timer unavailable,టైమర్ అందుబాటులో లేదు,
