source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,30 dias,
7 days,7 dias,
90 days,90 dias,
Acme Corp,Acme Corp,
Active,Ativo,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","Campos adicionais (morada, notas, etc.) podem ser editados após criar o contacto.",
Add,Adicionar,
Add people,Adicionar pessoas,
Adding…,A adicionar…,
Add bookmark,Adicionar marcador,
All logged-in users,Todos os utilizadores com sessão iniciada,
All logged-in users can view this document,Todos os utilizadores com sessão iniciada podem ver este documento,
Add notes...,Adicionar notas...,
All,Tudo,
A–Z,A–Z,
Blank = org default,Vazio = predefinição da organização,
Bookmark limit reached (12),Limite de marcadores atingido (12),
"Bookmark limit reached (12). Remove a bookmark to add another.","Limite de marcadores atingido (12). Remova um marcador para adicionar outro.",
Bookmark this record,Marcar este registo,
App context,Contexto da aplicação,
App switcher,Alternador de aplicações,
Browse all apps →,Ver todas as aplicações →,
Install apps →,Instalar aplicações →,
Cancel,Cancelar,
Clear recent items history,Limpar histórico de itens recentes,
Company,Empresa,
Compose email,Escrever email,
contact,contacto,
contacts,contactos,
Could not create contact,Não foi possível criar o contacto,
Could not load contact,Não foi possível carregar o contacto,
Could not add user. Please try again.,Não foi possível adicionar o utilizador. Tente novamente.,
Could not load contacts,Não foi possível carregar os contactos,
Could not load shares,Não foi possível carregar as partilhas,
Create,Criar,
Create & Open,Criar e abrir,
Create a contact or adjust your filters,Crie um contacto ou ajuste os seus filtros,
Creating…,A criar…,
History cleared,Histórico limpo,
This will remove all recent items. Continue?,Isto irá remover todos os itens recentes. Continuar?,
Close,Fechar,
Content is temporarily unavailable.,O conteúdo está temporariamente indisponível.,
Copied!,Copiado!,
Copy link,Copiar ligação,
Copy portal URL,Copiar URL do portal,
Dark,Escuro,
Date format,Formato de data,
Default app on login,Aplicação predefinida ao iniciar sessão,
Discover ecosystem apps,Descobrir aplicações do ecossistema,
Delete,Eliminar,
Displayed in the top bar,Apresentado na barra superior,
Dock Settings,Definições do Dock,
Done,Concluído,
Done editing,Edição concluída,
Drag to reorder {0},Arrastar para reordenar {0},
Edit bookmarks,Editar marcadores,
e.g. Europe/Berlin,ex. Europe/Berlin,
Email,Email,
Enable bookmarks,Ativar marcadores,
Everyone,Todos,
Enable global timer,Ativar temporizador global,
Enable recent items,Ativar itens recentes,
Expired,Expirado,
Expires,Expira,
Expires: {0},Expira: {0},
Failed to generate link. Please try again.,Falha ao gerar ligação. Tente novamente.,
Failed to load sessions.,Falha ao carregar sessões.,
Features,Funcionalidades,
Full name,Nome completo,
Frappe Desk,Frappe Desk,
Generate link,Gerar ligação,
Generating…,A gerar…,
Guest Portal,Portal de convidados,
in {0},em {0},
"Install Orga, Micro, or other apps to see cross-app context for your contacts.","Instale Orga, Micro ou outras aplicações para ver o contexto inter-aplicações dos seus contactos.",
jane@example.com,jane@example.com,
Jane Smith,Jane Smith,
Job title,Cargo,
Keep running,Manter em execução,
Label,Etiqueta,
Last accessed,Último acesso,
Light,Claro,
Limit,Limite,
