source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,30 ημέρες,
7 days,7 ημέρες,
90 days,90 ημέρες,
Acme Corp,Acme Corp,
Active,Ενεργό,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","Επιπλέον πεδία (διεύθυνση, σημειώσεις κ.λπ.) μπορούν να επεξεργαστούν μετά τη δημιουργία της επαφής.",
Add,Προσθήκη,
Add people,Προσθήκη ατόμων,
Adding…,Προσθήκη…,
Add bookmark,Προσθήκη σελιδοδείκτη,
All logged-in users,Όλοι οι συνδεδεμένοι χρήστες,
All logged-in users can view this document,Όλοι οι συνδεδεμένοι χρήστες μπορούν να δουν αυτό το έγγραφο,
Add notes...,Προσθήκη σημειώσεων...,
All,Όλα,
A–Z,Α–Ω,
Blank = org default,Κενό = προεπιλογή οργανισμού,
Bookmark limit reached (12),Όριο σελιδοδεικτών (12),
"Bookmark limit reached (12). Remove a bookmark to add another.","Όριο σελιδοδεικτών (12). Αφαίρεσε έναν σελιδοδείκτη για να προσθέσεις άλλον.",
Bookmark this record,Σελιδοδείκτης για αυτήν την εγγραφή,
App context,Πλαίσιο εφαρμογής,
App switcher,Εναλλαγή εφαρμογών,
Browse all apps →,Περιήγηση σε όλες τις εφαρμογές →,
Install apps →,Εγκατάσταση εφαρμογών →,
Cancel,Ακύρωση,
Clear recent items history,Εκκαθάριση ιστορικού πρόσφατων,
Company,Εταιρεία,
Compose email,Σύνταξη email,
contact,επαφή,
contacts,επαφές,
Could not create contact,Αδυναμία δημιουργίας επαφής,
Could not load contact,Αδυναμία φόρτωσης επαφής,
Could not add user. Please try again.,Αδυναμία προσθήκης χρήστη. Δοκίμασε ξανά.,
Could not load contacts,Αδυναμία φόρτωσης επαφών,
Could not load shares,Αδυναμία φόρτωσης κοινοποιήσεων,
Create,Δημιουργία,
Create & Open,Δημιουργία & Άνοιγμα,
Create a contact or adjust your filters,Δημιούργησε μια επαφή ή προσάρμοσε τα φίλτρα σου,
Creating…,Δημιουργία…,
History cleared,Το ιστορικό εκκαθαρίστηκε,
This will remove all recent items. Continue?,Θα αφαιρεθούν όλα τα πρόσφατα στοιχεία. Συνέχεια;,
Close,Κλείσιμο,
Content is temporarily unavailable.,Το περιεχόμενο είναι προσωρινά μη διαθέσιμο.,
Copied!,Αντιγράφηκε!,
Copy link,Αντιγραφή συνδέσμου,
Copy portal URL,Αντιγραφή URL πύλης,
Dark,Σκούρο,
Date format,Μορφή ημερομηνίας,
Default app on login,Προεπιλεγμένη εφαρμογή στη σύνδεση,
Discover ecosystem apps,Ανακάλυψε τις εφαρμογές του οικοσυστήματος,
Delete,Διαγραφή,
Displayed in the top bar,Εμφανίζεται στην πάνω μπάρα,
Dock Settings,Ρυθμίσεις Dock,
Done,Ολοκληρώθηκε,
Done editing,Τέλος επεξεργασίας,
Drag to reorder {0},Σύρε για αναδιάταξη {0},
Edit bookmarks,Επεξεργασία σελιδοδεικτών,
e.g. Europe/Berlin,π.χ. Europe/Berlin,
Email,Email,
Enable bookmarks,Ενεργοποίηση σελιδοδεικτών,
Everyone,Όλοι,
Enable global timer,Ενεργοποίηση χρονομέτρου,
Enable recent items,Ενεργοποίηση πρόσφατων,
Expired,Έληξε,
Expires,Λήγει,
Expires: {0},Λήγει: {0},
Failed to generate link. Please try again.,Αποτυχία δημιουργίας συνδέσμου. Δοκίμασε ξανά.,
Failed to load sessions.,Αποτυχία φόρτωσης συνεδριών.,
Features,Δυνατότητες,
Full name,Πλήρες όνομα,
Frappe Desk,Frappe Desk,
Generate link,Δημιουργία συνδέσμου,
Generating…,Δημιουργία…,
Guest Portal,Πύλη Επισκεπτών,
in {0},σε {0},
"Install Orga, Micro, or other apps to see cross-app context for your contacts.","Εγκατέστησε Orga, Micro ή άλλες εφαρμογές για να δεις διασυνδεδεμένα δεδομένα των επαφών σου.",
jane@example.com,jane@example.com,
Jane Smith,Jane Smith,
Job title,Τίτλος θέσης,
Keep running,Συνέχισε,
Label,Ετικέτα,
Last accessed,Τελευταία πρόσβαση,
Light,Ανοιχτό,
Limit,Όριο,
Link expires in:,Ο σύνδεσμος λήγει σε:,
Loading…,Φόρτωση…,
Load more,Φόρτωση περισσότερων,
Log out,Αποσύνδεση,
Make private,Ιδιωτικοποίηση,
Mark all read,Σημείωση όλων ως αναγνωσμένα,
Mark read,Σημείωση ως αναγνωσμένο,
Monday,Δευτέρα,
More fields,Περισσότερα πεδία,
My contacts,Οι επαφές μου,
My Account,Ο λογαριασμός μου,
My Profile,Το προφίλ μου,
Never,Ποτέ,
New contact,Νέα επαφή,
No contacts found,Δεν βρέθηκαν επαφές,
No expiry,Χωρίς λήξη,
None,Κανένα,
No guest sessions yet.,Δεν υπάρχουν συνεδρίες επισκεπτών.,
No recent items,Χωρίς πρόσφατα,
No recent items yet,Δεν υπάρχουν πρόσφατα ακόμα,
No results for "{0}",Κανένα αποτέλεσμα για «{0}»,
"No results for ""{0}"" in {1}","Κανένα αποτέλεσμα για «{0}» σε {1}",
Notifications,Ειδοποιήσεις,
Notification unavailable,Ειδοποίηση μη διαθέσιμη,
