source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,30 ቀናት,
7 days,7 ቀናት,
90 days,90 ቀናት,
Acme Corp,Acme Corp,
Active,ንቁ,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","ተጨማሪ መስኮች (አድራሻ፣ ማስታወሻዎች፣ ወዘተ) ግንኙነቱን ከፈጠሩ በኋላ ማስተካከል ይቻላል።",
Add,ጨምር,
Add people,ሰዎችን ጨምር,
Adding…,በመጨመር ላይ…,
Add bookmark,ዕልባት ጨምር,
All logged-in users,ሁሉም የገቡ ተጠቃሚዎች,
All logged-in users can view this document,ሁሉም የገቡ ተጠቃሚዎች ይህን ሰነድ ማየት ይችላሉ,
Add notes...,ማስታወሻዎችን ጨምር...,
All,ሁሉም,
A–Z,ሀ–ፐ,
Blank = org default,ባዶ = የድርጅት ነባሪ,
Bookmark limit reached (12),የዕልባት ገደብ ላይ ደርሷል (12),
Bookmark limit reached (12). Remove a bookmark to add another.,የዕልባት ገደብ ላይ ደርሷል (12)። ሌላ ለመጨመር ዕልባት ያስወግዱ።,
Bookmark this record,ይህን መዝገብ ዕልባት አድርግ,
App context,የመተግበሪያ አውድ,
App switcher,መተግበሪያ ቀያሪ,
Browse all apps →,ሁሉንም መተግበሪያዎች ያስሱ →,
Install apps →,መተግበሪያዎችን ጫን →,
Cancel,ሰርዝ,
Clear recent items history,የቅርብ ጊዜ ንጥሎች ታሪክ አጽዳ,
Company,ኩባንያ,
Compose email,ኢሜይል ጻፍ,
contact,እውቂያ,
contacts,እውቂያዎች,
Could not create contact,እውቂያ መፍጠር አልተቻለም,
Could not load contact,እውቂያ መጫን አልተቻለም,
Could not add user. Please try again.,ተጠቃሚ መጨመር አልተቻለም። እባክዎ እንደገና ይሞክሩ።,
Could not load contacts,እውቂያዎችን መጫን አልተቻለም,
Could not load shares,ማጋራቶችን መጫን አልተቻለም,
Create,ፍጠር,
Create & Open,ፍጠር እና ክፈት,
Create a contact or adjust your filters,እውቂያ ይፍጠሩ ወይም ማጣሪያዎችዎን ያስተካክሉ,
Creating…,በመፍጠር ላይ…,
History cleared,ታሪክ ተጽድቷል,
