source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,30 hari,
7 days,7 hari,
90 days,90 hari,
Acme Corp,Acme Corp,
Active,Aktif,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","Medan tambahan (alamat, nota, dll.) boleh disunting selepas mencipta kenalan.",
Add,Tambah,
Add people,Tambah orang,
Adding…,Menambah…,
Add bookmark,Tambah penanda buku,
All logged-in users,Semua pengguna yang log masuk,
All logged-in users can view this document,Semua pengguna yang log masuk boleh melihat dokumen ini,
Add notes...,Tambah nota...,
All,Semua,
A–Z,A–Z,
Blank = org default,Kosong = lalai organisasi,
Bookmark limit reached (12),Had penanda buku dicapai (12),
Bookmark limit reached (12). Remove a bookmark to add another.,Had penanda buku dicapai (12). Buang penanda buku untuk menambah yang lain.,
Bookmark this record,Tandai rekod ini,
App context,Konteks aplikasi,
App switcher,Penukaran aplikasi,
Browse all apps →,Layari semua aplikasi →,
Install apps →,Pasang aplikasi →,
Cancel,Batal,
Clear recent items history,Padam sejarah item terkini,
Company,Syarikat,
Compose email,Tulis e-mel,
contact,kenalan,
contacts,kenalan,
Could not create contact,Tidak dapat mencipta kenalan,
Could not load contact,Tidak dapat memuatkan kenalan,
Could not add user. Please try again.,Tidak dapat menambah pengguna. Sila cuba lagi.,
Could not load contacts,Tidak dapat memuatkan kenalan,
Could not load shares,Tidak dapat memuatkan perkongsian,
Create,Cipta,
Create & Open,Cipta & Buka,
Create a contact or adjust your filters,Cipta kenalan atau laraskan penapis anda,
Creating…,Mencipta…,
History cleared,Sejarah dipadam,
This will remove all recent items. Continue?,Ini akan membuang semua item terkini. Teruskan?,
Close,Tutup,
Content is temporarily unavailable.,Kandungan tidak tersedia buat sementara waktu.,
Copied!,Disalin!,
Copy link,Salin pautan,
Copy portal URL,Salin URL portal,
Dark,Gelap,
Date format,Format tarikh,
Default app on login,Aplikasi lalai semasa log masuk,
Discover ecosystem apps,Terokai aplikasi ekosistem,
Delete,Padam,
Displayed in the top bar,Dipaparkan di bar atas,
Dock Settings,Tetapan Dock,
Done,Selesai,
Done editing,Selesai menyunting,
Drag to reorder {0},Seret untuk menyusun semula {0},
Edit bookmarks,Sunting penanda buku,
e.g. Europe/Berlin,cth. Europe/Berlin,
Email,E-mel,
Enable bookmarks,Aktifkan penanda buku,
Everyone,Semua orang,
Enable global timer,Aktifkan pemasa global,
Enable recent items,Aktifkan item terkini,
Expired,Tamat tempoh,
Expires,Tamat tempoh,
Expires: {0},Tamat tempoh: {0},
Failed to generate link. Please try again.,Gagal menjana pautan. Sila cuba lagi.,
Failed to load sessions.,Gagal memuatkan sesi.,
Features,Ciri-ciri,
Full name,Nama penuh,
Frappe Desk,Frappe Desk,
Generate link,Jana pautan,
Generating…,Menjana…,
Guest Portal,Portal Tetamu,
in {0},dalam {0},
"Install Orga, Micro, or other apps to see cross-app context for your contacts.","Pasang Orga, Micro, atau aplikasi lain untuk melihat konteks silang aplikasi bagi kenalan anda.",
jane@example.com,jane@example.com,
Jane Smith,Jane Smith,
Job title,Jawatan,
Keep running,Terus berjalan,
Label,Label,
Last accessed,Terakhir diakses,
Light,Cerah,
Limit,Had,
Link expires in:,Pautan tamat tempoh dalam:,
Loading…,Memuatkan…,
Load more,Muat lagi,
Log out,Log keluar,
Make private,Jadikan peribadi,
Mark all read,Tanda semua dibaca,
Mark read,Tanda dibaca,
Monday,Isnin,
More fields,Lagi medan,
My contacts,Kenalan saya,
My Account,Akaun Saya,
My Profile,Profil Saya,
Never,Tidak pernah,
New contact,Kenalan baru,
No contacts found,Tiada kenalan dijumpai,
No expiry,Tiada tamat tempoh,
None,Tiada,
No guest sessions yet.,Belum ada sesi tetamu.,
No recent items,Tiada item terkini,
No recent items yet,Belum ada item terkini,
No results for "{0}",Tiada hasil untuk "{0}",
No results for "{0}" in {1},Tiada hasil untuk "{0}" dalam {1},
Notifications,Pemberitahuan,
Notification unavailable,Pemberitahuan tidak tersedia,
Organization Defaults,Lalai Organisasi,
Organization settings updated — reload to apply,Tetapan organisasi dikemas kini — muat semula untuk menerapkan,
Org default,Lalai organisasi,
"Password, 2FA, profile picture","Kata laluan, 2FA, gambar profil",
Pause,Jeda,
paused,dijeda,
People,Orang,
People with access,Orang yang mempunyai akses,
Permissions,Kebenaran,
Pinned,Disemat,
Powered by Tonic,Dikuasakan oleh Tonic,
Phone,Telefon,
Private,Peribadi,
Product Manager,Product Manager,
Preferences,Keutamaan,
Read,Baca,
Recent,Terkini,
Reload,Muat semula,
Remove bookmark,Buang penanda buku,
Remove from shared,Buang dari perkongsian,
Remove from recent,Buang dari terkini,
Resume,Sambung,
Retry,Cuba lagi,
Revoke,Batalkan,
Revoked,Dibatalkan,
Revoke session,Batalkan sesi,
Revoking…,Membatalkan…,
Saved,Disimpan,
Save failed,Gagal menyimpan,
Save organization settings,Simpan tetapan organisasi,
Saving…,Menyimpan…,
Search...,Cari...,
"Search by name, email, or phone…","Cari mengikut nama, e-mel, atau telefon…",
Search users...,Cari pengguna...,
Share {0} {1},Kongsi {0} {1},
Submit,Hantar,
Search in All apps,Cari dalam Semua aplikasi,
Search unavailable,Carian tidak tersedia,
selected,dipilih,
Share "{0}",Kongsi "{0}",
Share with team,Kongsi dengan pasukan,
Shared,Dikongsi,
Shared with team,Dikongsi dengan pasukan,
Share with client,Kongsi dengan pelanggan,
Showing {0} of {1} sessions,Menunjukkan {0} daripada {1} sesi,
Site label,Label tapak,
Sort: A–Z — click for last modified,Isih: A–Z — klik untuk terakhir diubah,
Sort: last modified — click for A–Z,Isih: terakhir diubah — klik untuk A–Z,
Start,Mula,
Start Timer,Mulakan Pemasa,
Status,Status,
Stop,Berhenti,
Stop & Save,Berhenti & Simpan,
Sunday,Ahad,
System,Sistem,
Theme,Tema,
Theme preference,Keutamaan tema,
This email is already on,E-mel ini sudah ada pada,
This link has been deactivated.,Pautan ini telah dinyahaktifkan.,
This link has expired. Please ask the sender for a new link.,Pautan ini telah tamat tempoh. Sila minta penghantar untuk pautan baru.,
This link is invalid or has been removed.,Pautan ini tidak sah atau telah dibuang.,
Time,Masa,
Time entry saved,Entri masa disimpan,
Timer unavailable,Pemasa tidak tersedia,
Timezone,Zon waktu,
total,jumlah,
Try again,Cuba lagi,
Unread,Belum dibaca,
Open calendar,Buka kalendar,
Open in Desk,Buka di Desk,
Open in {0},Buka di {0},
User menu,Menu pengguna,
View existing →,Lihat sedia ada →,
Visibility,Keterlihatan,
View,Lihat,
View all notifications,Lihat semua pemberitahuan,
View time entry,Lihat entri masa,
Week starts on,Minggu bermula pada,
Write,Tulis,
What are you working on?,Apa yang anda sedang kerjakan?,
You're all caught up,Anda sudah mengetahui semuanya,
Your Preferences,Keutamaan Anda,
Your timer has been running for {0},Pemasa anda telah berjalan selama {0},
Actions,Tindakan,
Add details about this event...,Tambah butiran tentang acara ini...,
Add event,Tambah acara,
Agenda,Agenda,
All day,Sepanjang hari,
Calendar,Kalendar,
Create Event,Cipta Acara,
Create in:,Cipta dalam:,
Day,Hari,
Deadline,Tarikh akhir,
Delete Event,Padam Acara,
Delete this event? This cannot be undone.,Padam acara ini? Ini tidak boleh dibuat asal.,
Deleting…,Memadam…,
Description,Penerangan,
Details,Butiran,
End,Tamat,
Event,Acara,
Event title,Tajuk acara,
Failed to create event,Gagal mencipta acara,
Failed to delete event,Gagal memadam acara,
Manage this event in,Urus acara ini dalam,
Meeting,Mesyuarat,
Milestone,Pencapaian,
Month,Bulan,
My calendars,Kalendar saya,
New Event,Acara Baru,
No actions available,Tiada tindakan tersedia,
No events,Tiada acara,
Open in,Buka di,
Other,Lain-lain,
Permanently remove this event,Buang acara ini secara kekal,
Review,Semakan,
Source,Sumber,
Start date/time is required,Tarikh/masa mula diperlukan,
Title,Tajuk,
Title is required,Tajuk diperlukan,
Today,Hari ini,
Type,Jenis,
View full details in the source app,Lihat butiran penuh dalam aplikasi sumber,
Week,Minggu,
When,Bila,
{0} available,{0} tersedia,
Available,Tersedia,
Configure Frappe Manager to enable one-click updates.,Konfigurasikan Frappe Manager untuk mendayakan kemas kini sekali klik.,
Copy command,Salin arahan,
Ecosystem Apps,Aplikasi Ekosistem,
Failed,Gagal,
Install,Pasang,
Installed,Dipasang,
Learn more,Ketahui lanjut,
No apps found,Tiada aplikasi dijumpai,
not installed,tidak dipasang,
Open,Buka,
Pro available,Pro tersedia,
Queued…,Dalam barisan…,
Refresh,Segar semula,
Remove,Buang,
Remove {0}? This will uninstall the app and may affect data.,Buang {0}? Ini akan menyahpasang aplikasi dan mungkin menjejaskan data.,
Restart required,Perlu dimulakan semula,
Restarting…,Memulakan semula…,
"To install {0}, run:","Untuk memasang {0}, jalankan:",
"To update {0}, run:","Untuk mengemas kini {0}, jalankan:",
Update {0} from v{1} to {2}? This will restart Frappe.,Kemas kini {0} dari v{1} ke {2}? Ini akan memulakan semula Frappe.,
Update to {0},Kemas kini ke {0},
Updated,Dikemas kini,
Updating…,Mengemas kini…,
Up to date,Terkini,
to version,ke versi,
For whom?,Untuk siapa?,
Working on?,Sedang mengerjakan?,
Search contacts...,Cari kenalan...,
Select type...,Pilih jenis...,
Context,Konteks,
Contact,Kenalan,
Context Type,Jenis Konteks,
Activity,Aktiviti,
Activity will appear here as you and your team work across ecosystem apps.,Aktiviti akan muncul di sini apabila anda dan pasukan bekerja merentasi aplikasi ekosistem.,
Acknowledge,Terima maklum,
All apps,Semua aplikasi,
All Discussions,Semua Perbincangan,
All types,Semua jenis,
Archived,Diarkibkan,
Cancel,Batal,
Celebrate,Raikan,
Comments,Ulasan,
Create Discussion,Cipta Perbincangan,
Creating…,Mencipta…,
Ctrl+Enter to send,Ctrl+Enter untuk menghantar,
Decision,Keputusan,
Discussion not found,Perbincangan tidak dijumpai,
Discussion title,Tajuk perbincangan,
Discussions,Perbincangan,
Flag,Bendera,
General,Umum,
just now,baru sahaja,
Keep commenting,Terus mengulas,
Linked Records,Rekod Berkaitan,
Linked to,Dikaitkan kepada,
Load more,Muat lagi,
Loading…,Memuatkan…,
Meeting Protocol,Protokol Mesyuarat,
Mentioned,Disebut,
New Discussion,Perbincangan Baru,
No activity yet,Belum ada aktiviti,
No comments yet,Belum ada ulasan,
No discussions found,Tiada perbincangan dijumpai,
No discussions yet,Belum ada perbincangan,
Note,Nota,
Notes,Nota,
Participants,Peserta,
Pin,Semat,
Pinned,Disemat,
Proposal,Cadangan,
Protocol,Protokol,
Reopen,Buka semula,
Replies,Balasan,
Reply,Balas,
Replying to comment,Membalas ulasan,
Resolve,Selesaikan,
Resolve Discussion,Selesaikan Perbincangan,
Resolved,Diselesaikan,
Resolution,Resolusi,
Resolution summary...,Ringkasan resolusi...,
Retrospective,Retrospektif,
Search discussions...,Cari perbincangan...,
Seen,Dilihat,
Send,Hantar,
Start Discussion,Mulakan Perbincangan,
Unpin,Nyahsemat,
Write a comment...,Tulis ulasan...,
Write your discussion content...,Tulis kandungan perbincangan anda...,
resolved,diselesaikan,
unread,belum dibaca,
{0} mentioned you in a comment,{0} menyebut anda dalam ulasan,
{0} is already an attendee.,{0} sudah menjadi peserta.,
{0} is not an attendee.,{0} bukan peserta.,
{0} is not installed,{0} tidak dipasang,
{0} results found,{0} hasil dijumpai,
+ Add tags,+ Tambah tag,
A→Z,A→Z,
Accept,Terima,
Action failed,Tindakan gagal,
Active now,Aktif sekarang,
Add a note,Tambah nota,
"Add a note to keep track of details about this contact.","Tambah nota untuk menjejak butiran tentang kenalan ini.",
Add address,Tambah alamat,
Add another address,Tambah alamat lain,
Add birthday,Tambah hari lahir,
Add company,Tambah syarikat,
Add job title,Tambah jawatan,
Add more tags...,Tambah lagi tag...,
Add tags...,Tambah tag...,
"Address is not linked to this contact","Alamat tidak dikaitkan dengan kenalan ini",
"Address line 1, city, and country are required","Baris alamat 1, bandar, dan negara diperlukan",
ago,lalu,
All companies,Semua syarikat,
All day event,Acara sepanjang hari,
"Apartment, suite, etc.","Pangsapuri, suite, dll.",
Apps,Aplikasi,
Archive contact,Arkibkan kenalan,
Attendees,Peserta,
available,tersedia,
Best regards,Salam sejahtera,
Bookmarks,Penanda Buku,
"Both proposed start and end times are required.","Kedua-dua masa mula dan tamat yang dicadangkan diperlukan.",
Break,Rehat,
Bridge not registered,Bridge tidak berdaftar,
Calendar Settings,Tetapan Kalendar,
Call,Panggilan,
Cannot change bookmark owner,Tidak boleh menukar pemilik penanda buku,
Cannot revoke your current session,Tidak boleh membatalkan sesi semasa anda,
Change Password,Tukar Kata Laluan,
Change photo,Tukar gambar,
Check Status,Semak Status,
City,Bandar,
Clear,Padam,
Clear filters,Padam penapis,
