source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,೩೦ ದಿನಗಳು,
7 days,೭ ದಿನಗಳು,
90 days,೯೦ ದಿನಗಳು,
Acme Corp,Acme Corp,
Active,ಸಕ್ರಿಯ,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","ಹೆಚ್ಚುವರಿ ಕ್ಷೇತ್ರಗಳನ್ನು (ವಿಳಾಸ, ಟಿಪ್ಪಣಿಗಳು ಇತ್ಯಾದಿ) ಸಂಪರ್ಕ ರಚಿಸಿದ ನಂತರ ಸಂಪಾದಿಸಬಹುದು.",
Add,ಸೇರಿಸಿ,
Add people,ಜನರನ್ನು ಸೇರಿಸಿ,
Adding…,ಸೇರಿಸಲಾಗುತ್ತಿದೆ…,
Add bookmark,ಬುಕ್‌ಮಾರ್ಕ್ ಸೇರಿಸಿ,
All logged-in users,ಎಲ್ಲಾ ಲಾಗಿನ್ ಆದ ಬಳಕೆದಾರರು,
All logged-in users can view this document,ಎಲ್ಲಾ ಲಾಗಿನ್ ಆದ ಬಳಕೆದಾರರು ಈ ಡಾಕ್ಯುಮೆಂಟ್ ವೀಕ್ಷಿಸಬಹುದು,
Add notes...,ಟಿಪ್ಪಣಿಗಳನ್ನು ಸೇರಿಸಿ...,
All,ಎಲ್ಲಾ,
A–Z,A–Z,
Blank = org default,ಖಾಲಿ = ಸಂಸ್ಥೆಯ ಡೀಫಾಲ್ಟ್,
Bookmark limit reached (12),ಬುಕ್‌ಮಾರ್ಕ್ ಮಿತಿ ತಲುಪಿದೆ (೧೨),
"Bookmark limit reached (12). Remove a bookmark to add another.","ಬುಕ್‌ಮಾರ್ಕ್ ಮಿತಿ ತಲುಪಿದೆ (೧೨). ಮತ್ತೊಂದನ್ನು ಸೇರಿಸಲು ಒಂದು ಬುಕ್‌ಮಾರ್ಕ್ ತೆಗೆಯಿರಿ.",
Bookmark this record,ಈ ದಾಖಲೆಯನ್ನು ಬುಕ್‌ಮಾರ್ಕ್ ಮಾಡಿ,
App context,App ಸಂದರ್ಭ,
App switcher,App ಸ್ವಿಚರ್,
Browse all apps →,ಎಲ್ಲಾ app ಗಳನ್ನು ಬ್ರೌಸ್ ಮಾಡಿ →,
Install apps →,App ಗಳನ್ನು ಇನ್‌ಸ್ಟಾಲ್ ಮಾಡಿ →,
Cancel,ರದ್ದುಮಾಡಿ,
Clear recent items history,ಇತ್ತೀಚಿನ ಐಟಂಗಳ ಇತಿಹಾಸ ತೆರವುಗೊಳಿಸಿ,
Company,ಕಂಪನಿ,
Compose email,ಇಮೇಲ್ ಬರೆಯಿರಿ,
contact,ಸಂಪರ್ಕ,
contacts,ಸಂಪರ್ಕಗಳು,
Could not create contact,ಸಂಪರ್ಕ ರಚಿಸಲಾಗಲಿಲ್ಲ,
Could not load contact,ಸಂಪರ್ಕ ಲೋಡ್ ಮಾಡಲಾಗಲಿಲ್ಲ,
Could not add user. Please try again.,ಬಳಕೆದಾರರನ್ನು ಸೇರಿಸಲಾಗಲಿಲ್ಲ. ದಯವಿಟ್ಟು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ.,
Could not load contacts,ಸಂಪರ್ಕಗಳನ್ನು ಲೋಡ್ ಮಾಡಲಾಗಲಿಲ್ಲ,
Could not load shares,ಹಂಚಿಕೆಗಳನ್ನು ಲೋಡ್ ಮಾಡಲಾಗಲಿಲ್ಲ,
Create,ರಚಿಸಿ,
Create & Open,ರಚಿಸಿ ಮತ್ತು ತೆರೆಯಿರಿ,
Create a contact or adjust your filters,ಸಂಪರ್ಕ ರಚಿಸಿ ಅಥವಾ ಫಿಲ್ಟರ್‌ಗಳನ್ನು ಹೊಂದಿಸಿ,
Creating…,ರಚಿಸಲಾಗುತ್ತಿದೆ…,
History cleared,ಇತಿಹಾಸ ತೆರವುಗೊಳಿಸಲಾಗಿದೆ,
This will remove all recent items. Continue?,ಇದು ಎಲ್ಲಾ ಇತ್ತೀಚಿನ ಐಟಂಗಳನ್ನು ತೆಗೆಯುತ್ತದೆ. ಮುಂದುವರಿಯಬೇಕೇ?,
Close,ಮುಚ್ಚಿ,
Content is temporarily unavailable.,ವಿಷಯ ತಾತ್ಕಾಲಿಕವಾಗಿ ಲಭ್ಯವಿಲ್ಲ.,
Copied!,ನಕಲಿಸಲಾಗಿದೆ!,
Copy link,ಲಿಂಕ್ ನಕಲಿಸಿ,
Copy portal URL,ಪೋರ್ಟಲ್ URL ನಕಲಿಸಿ,
Dark,ಗಾಢ,
Date format,ದಿನಾಂಕ ಸ್ವರೂಪ,
Default app on login,ಲಾಗಿನ್‌ನಲ್ಲಿ ಡೀಫಾಲ್ಟ್ app,
Discover ecosystem apps,ಇಕೋಸಿಸ್ಟಮ್ app ಗಳನ್ನು ಅನ್ವೇಷಿಸಿ,
Delete,ಅಳಿಸಿ,
