source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,30 days,
7 days,7 days,
90 days,90 days,
Acme Corp,Acme Corp,
Active,Active,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","Additional fields (address, notes, etc.) can be edited after creating the contact.",
Add,Add,
Add people,Add people,
Adding…,Adding…,
Add bookmark,Add bookmark,
All logged-in users,All logged-in users,
All logged-in users can view this document,All logged-in users can view this document,
Add notes...,Add notes...,
All,All,
A–Z,A–Z,
Blank = org default,Blank = org default,
Bookmark limit reached (12),Bookmark limit reached (12),
Bookmark limit reached (12). Remove a bookmark to add another.,Bookmark limit reached (12). Remove a bookmark to add another.,
Bookmark this record,Bookmark this record,
App context,App context,
App switcher,App switcher,
Browse all apps →,Browse all apps →,
Install apps →,Install apps →,
Cancel,Cancel,
Clear recent items history,Clear recent items history,
Company,Company,
Compose email,Compose email,
contact,contact,
contacts,contacts,
Could not create contact,Could not create contact,
Could not load contact,Could not load contact,
Could not add user. Please try again.,Could not add user. Please try again.,
Could not load contacts,Could not load contacts,
Could not load shares,Could not load shares,
Create,Create,
Create & Open,Create & Open,
Create a contact or adjust your filters,Create a contact or adjust your filters,
Creating…,Creating…,
History cleared,History cleared,
This will remove all recent items. Continue?,This will remove all recent items. Continue?,
Close,Close,
Content is temporarily unavailable.,Content is temporarily unavailable.,
Copied!,Copied!,
Copy link,Copy link,
Copy portal URL,Copy portal URL,
Dark,Dark,
Date format,Date format,
Default app on login,Default app on login,
Discover ecosystem apps,Discover ecosystem apps,
Delete,Delete,
Displayed in the top bar,Displayed in the top bar,
Dock Settings,Dock Settings,
Done,Done,
Done editing,Done editing,
Drag to reorder {0},Drag to reorder {0},
Edit bookmarks,Edit bookmarks,
e.g. Europe/Berlin,e.g. Europe/Berlin,
Email,Email,
Enable bookmarks,Enable bookmarks,
Everyone,Everyone,
Enable global timer,Enable global timer,
Enable recent items,Enable recent items,
Expired,Expired,
Expires,Expires,
Expires: {0},Expires: {0},
Failed to generate link. Please try again.,Failed to generate link. Please try again.,
Failed to load sessions.,Failed to load sessions.,
Features,Features,
Full name,Full name,
Frappe Desk,Frappe Desk,
Generate link,Generate link,
Generating…,Generating…,
Guest Portal,Guest Portal,
in {0},in {0},
"Install Orga, Micro, or other apps to see cross-app context for your contacts.","Install Orga, Micro, or other apps to see cross-app context for your contacts.",
jane@example.com,jane@example.com,
Jane Smith,Jane Smith,
Job title,Job title,
Keep running,Keep running,
