source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,30 q'ij,
7 days,7 q'ij,
90 days,90 q'ij,
Acme Corp,Acme Corp,
Active,K'aslik,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","Ri jaljoj k'ak' (ub'i', tz'ib'ab'al, ch.) kakowinik uk'exik are chi ub'anik ri rech ub'ixik.",
Add,Taq'a',
Add people,Ketaq'a' winaq,
Adding…,Kataq'ax…,
Add bookmark,Taq'a' retal paj,
All logged-in users,Konojel ri e ok chi aj,
All logged-in users can view this document,Konojel ri e ok chi aj kekowin kakilo' we wuj,
Add notes...,Ketaq'a' tz'ib'ab'al...,
All,Ronojel,
A–Z,A–Z,
Blank = org default,Choj = pa raqan ri moloj,
Bookmark limit reached (12),Xopon ri uk'iyalil retal paj (12),
Bookmark limit reached (12). Remove a bookmark to add another.,Xopon ri uk'iyalil retal paj (12). Kesik jun retal paj rech kataq'ax jun chik.,
Bookmark this record,Tab'ana' retal paj we tz'ib'am,
App context,Ub'antajik ri ch'akulb'al,
App switcher,Ujek'ib'al ch'akulb'al,
Browse all apps →,Ketz'eta' ronojel ch'akulb'al →,
Install apps →,Keyak ch'akulb'al →,
Cancel,Meskunik,
Clear recent items history,Chojorsaj ri ub'antajik ri k'ak' jastaq,
Company,Nimaq moloj,
Compose email,Tz'ib'aj jun correo,
contact,rech ub'ixik,
contacts,rech ub'ixik,
Could not create contact,Man xkowin ta ub'anik ri rech ub'ixik,
Could not load contact,Man xkowin ta uq'alajisaxik ri rech ub'ixik,
Could not add user. Please try again.,Man xkowin ta utaq'axik ri ajch'akulnel. Tatojtob'ej chik.,
Could not load contacts,Man xkowin ta ukiq'alajisaxik ri rech ub'ixik,
Could not load shares,Man xkowin ta ukiq'alajisaxik ri komonik,
Create,B'ana',
Create & Open,B'ana' chuqa' Jaq'a',
Create a contact or adjust your filters,Tab'ana' jun rech ub'ixik o tajikib'a' ri ach'akub'al,
Creating…,Kab'an…,
History cleared,Xchojorsax ri ub'antajik,
This will remove all recent items. Continue?,Are' kasik ronojel ri k'ak' jastaq. ¿Laj kab'an na?,
Close,Tz'apij,
Content is temporarily unavailable.,Ri ucholajil man k'o ta wakami.,
Copied!,¡Xwachib'alij!,
Copy link,Tawachib'alij ri ximol,
Copy portal URL,Tawachib'alij ri URL rech ri portal,
Dark,Q'equmal,
Date format,Rub'eyal q'ij,
Default app on login,Ri ch'akulb'al pa raqan are kokonik,
Discover ecosystem apps,Keriqo' ri ch'akulb'al rech ecosistema,
Delete,Sik,
Displayed in the top bar,Kak'ut pa ri jachol barra,
Dock Settings,Taqanik rech Dock,
Done,Xb'an chik,
Done editing,Xk'is ri uk'exik,
Drag to reorder {0},Tasilij rech ujunamaxik {0},
Edit bookmarks,Kek'ex ri retal paj,
e.g. Europe/Berlin,jech. Europe/Berlin,
Email,Correo electrónico,
