source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,३० दिवस,
7 days,७ दिवस,
90 days,९० दिवस,
Acme Corp,Acme Corp,
Active,सक्रिय,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","अतिरिक्त फील्ड (पत्ता, नोट्स इ.) संपर्क तयार केल्यानंतर संपादित करता येतील.",
Add,जोडा,
Add people,लोक जोडा,
Adding…,जोडत आहे…,
Add bookmark,बुकमार्क जोडा,
All logged-in users,सर्व लॉगिन केलेले वापरकर्ते,
All logged-in users can view this document,सर्व लॉगिन केलेले वापरकर्ते हा दस्तऐवज पाहू शकतात,
Add notes...,नोट्स जोडा...,
All,सर्व,
A–Z,A–Z,
Blank = org default,रिक्त = संस्थेचे डीफॉल्ट,
Bookmark limit reached (12),बुकमार्क मर्यादा पूर्ण (१२),
"Bookmark limit reached (12). Remove a bookmark to add another.","बुकमार्क मर्यादा पूर्ण (१२). दुसरे जोडण्यासाठी एक बुकमार्क काढा.",
Bookmark this record,ही नोंद बुकमार्क करा,
App context,App संदर्भ,
App switcher,App स्विचर,
Browse all apps →,सर्व app पहा →,
Install apps →,App इंस्टॉल करा →,
Cancel,रद्द करा,
Clear recent items history,अलीकडील आयटमचा इतिहास साफ करा,
Company,कंपनी,
Compose email,ईमेल लिहा,
contact,संपर्क,
contacts,संपर्क,
Could not create contact,संपर्क तयार करता आला नाही,
Could not load contact,संपर्क लोड करता आला नाही,
Could not add user. Please try again.,वापरकर्ता जोडता आला नाही. कृपया पुन्हा प्रयत्न करा.,
Could not load contacts,संपर्क लोड करता आले नाहीत,
Could not load shares,शेअर्स लोड करता आले नाहीत,
Create,तयार करा,
Create & Open,तयार करा आणि उघडा,
Create a contact or adjust your filters,संपर्क तयार करा किंवा फिल्टर बदला,
Creating…,तयार करत आहे…,
History cleared,इतिहास साफ केला,
This will remove all recent items. Continue?,यामुळे सर्व अलीकडील आयटम काढले जातील. पुढे जायचे?,
Close,बंद करा,
Content is temporarily unavailable.,सामग्री तात्पुरती अनुपलब्ध आहे.,
Copied!,कॉपी केले!,
Copy link,लिंक कॉपी करा,
Copy portal URL,पोर्टल URL कॉपी करा,
Dark,गडद,
Date format,तारीख स्वरूप,
Default app on login,लॉगिनवर डीफॉल्ट app,
Discover ecosystem apps,इकोसिस्टम app शोधा,
Delete,हटवा,
Displayed in the top bar,टॉप बारमध्ये दर्शवले,
Dock Settings,Dock सेटिंग्ज,
Done,पूर्ण,
Done editing,संपादन पूर्ण,
Drag to reorder {0},{0} पुनर्क्रमित करण्यासाठी ड्रॅग करा,
Edit bookmarks,बुकमार्क संपादित करा,
e.g. Europe/Berlin,उदा. Europe/Berlin,
Email,ईमेल,
Enable bookmarks,बुकमार्क सक्रिय करा,
Everyone,सर्वजण,
Enable global timer,ग्लोबल टायमर सक्रिय करा,
Enable recent items,अलीकडील आयटम सक्रिय करा,
Expired,कालबाह्य,
Expires,मुदत संपते,
Expires: {0},मुदत संपते: {0},
Failed to generate link. Please try again.,लिंक तयार करता आली नाही. कृपया पुन्हा प्रयत्न करा.,
Failed to load sessions.,सत्रे लोड करता आली नाहीत.,
Features,वैशिष्ट्ये,
Full name,पूर्ण नाव,
Frappe Desk,Frappe Desk,
Generate link,लिंक तयार करा,
Generating…,तयार करत आहे…,
Guest Portal,अतिथी पोर्टल,
in {0},{0} मध्ये,
"Install Orga, Micro, or other apps to see cross-app context for your contacts.","तुमच्या संपर्कांचा क्रॉस-app संदर्भ पाहण्यासाठी Orga, Micro, किंवा इतर app इंस्टॉल करा.",
jane@example.com,jane@example.com,
Jane Smith,Jane Smith,
Job title,पदनाम,
Keep running,चालू ठेवा,
Label,लेबल,
Last accessed,शेवटचा वापर,
Light,हलके,
Limit,मर्यादा,
Link expires in:,लिंक मुदत:,
Loading…,लोड होत आहे…,
Load more,अधिक पहा,
Log out,लॉग आउट,
Make private,खाजगी करा,
Mark all read,सर्व वाचले म्हणून चिन्हांकित करा,
Mark read,वाचले म्हणून चिन्हांकित करा,
Monday,सोमवार,
More fields,अधिक फील्ड,
My contacts,माझे संपर्क,
My Account,माझे खाते,
My Profile,माझे प्रोफाइल,
Never,कधीही नाही,
New contact,नवीन संपर्क,
No contacts found,कोणताही संपर्क आढळला नाही,
No expiry,कोणतीही मुदत नाही,
None,काहीही नाही,
No guest sessions yet.,अद्याप कोणतेही अतिथी सत्र नाही.,
No recent items,कोणतेही अलीकडील आयटम नाहीत,
No recent items yet,अद्याप कोणतेही अलीकडील आयटम नाहीत,
