source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,30 dias,
7 days,7 dias,
90 days,90 dias,
Acme Corp,Acme Corp,
Active,Ativo,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","Campos adicionais (endereço, notas, etc.) podem ser editados após criar o contato.",
Add,Adicionar,
Add people,Adicionar pessoas,
Adding…,Adicionando…,
Add bookmark,Adicionar favorito,
All logged-in users,Todos os usuários logados,
All logged-in users can view this document,Todos os usuários logados podem ver este documento,
Add notes...,Adicionar notas...,
All,Todos,
A–Z,A–Z,
Blank = org default,Em branco = padrão da organização,
Bookmark limit reached (12),Limite de favoritos atingido (12),
Bookmark limit reached (12). Remove a bookmark to add another.,Limite de favoritos atingido (12). Remova um favorito para adicionar outro.,
Bookmark this record,Adicionar este registro aos favoritos,
App context,Contexto do app,
App switcher,Alternador de apps,
Browse all apps →,Ver todos os apps →,
Install apps →,Instalar apps →,
Cancel,Cancelar,
Clear recent items history,Limpar histórico de itens recentes,
Company,Empresa,
Compose email,Escrever e-mail,
contact,contato,
contacts,contatos,
Could not create contact,Não foi possível criar o contato,
Could not load contact,Não foi possível carregar o contato,
Could not add user. Please try again.,Não foi possível adicionar o usuário. Tente novamente.,
Could not load contacts,Não foi possível carregar os contatos,
Could not load shares,Não foi possível carregar os compartilhamentos,
Create,Criar,
Create & Open,Criar e Abrir,
Create a contact or adjust your filters,Crie um contato ou ajuste seus filtros,
Creating…,Criando…,
History cleared,Histórico limpo,
This will remove all recent items. Continue?,Isso removerá todos os itens recentes. Continuar?,
Close,Fechar,
Content is temporarily unavailable.,O conteúdo está temporariamente indisponível.,
Copied!,Copiado!,
Copy link,Copiar link,
Copy portal URL,Copiar URL do portal,
Dark,Escuro,
Date format,Formato de data,
Default app on login,App padrão ao fazer login,
Discover ecosystem apps,Descobrir apps do ecossistema,
Delete,Excluir,
Displayed in the top bar,Exibido na barra superior,
Dock Settings,Configurações do Dock,
Done,Concluído,
Done editing,Edição concluída,
Drag to reorder {0},Arraste para reordenar {0},
Edit bookmarks,Editar favoritos,
e.g. Europe/Berlin,ex.: America/Sao_Paulo,
Email,E-mail,
Enable bookmarks,Habilitar favoritos,
Everyone,Todos,
Enable global timer,Habilitar cronômetro global,
Enable recent items,Habilitar itens recentes,
Expired,Expirado,
Expires,Expira,
Expires: {0},Expira: {0},
Failed to generate link. Please try again.,Falha ao gerar link. Tente novamente.,
Failed to load sessions.,Falha ao carregar sessões.,
Features,Recursos,
Full name,Nome completo,
Frappe Desk,Frappe Desk,
Generate link,Gerar link,
Generating…,Gerando…,
Guest Portal,Portal de Convidados,
in {0},em {0},
"Install Orga, Micro, or other apps to see cross-app context for your contacts.","Instale Orga, Micro ou outros apps para ver o contexto entre apps dos seus contatos.",
jane@example.com,jane@exemplo.com,
Jane Smith,Jane Smith,
Job title,Cargo,
Keep running,Manter em execução,
Label,Rótulo,
Last accessed,Último acesso,
Light,Claro,
Limit,Limite,
Link expires in:,O link expira em:,
Loading…,Carregando…,
