source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,30 ימים,
7 days,7 ימים,
90 days,90 ימים,
Acme Corp,Acme Corp,
Active,פעיל,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","שדות נוספים (כתובת, הערות, וכו׳) ניתנים לעריכה לאחר יצירת איש הקשר.",
Add,הוסף,
Add people,הוסף אנשים,
Adding…,מוסיף…,
Add bookmark,הוסף סימנייה,
All logged-in users,כל המשתמשים המחוברים,
All logged-in users can view this document,כל המשתמשים המחוברים יכולים לצפות במסמך זה,
Add notes...,הוסף הערות...,
All,הכל,
A–Z,A–Z,
Blank = org default,ריק = ברירת מחדל ארגונית,
Bookmark limit reached (12),הגעת למגבלת הסימניות (12),
Bookmark limit reached (12). Remove a bookmark to add another.,הגעת למגבלת הסימניות (12). הסר סימנייה כדי להוסיף אחרת.,
Bookmark this record,סמן רשומה זו כסימנייה,
App context,הקשר יישום,
App switcher,מחליף יישומים,
Browse all apps →,עיין בכל היישומים →,
Install apps →,התקן יישומים →,
Cancel,ביטול,
Clear recent items history,נקה היסטוריית פריטים אחרונים,
Company,חברה,
Compose email,כתוב אימייל,
contact,איש קשר,
contacts,אנשי קשר,
Could not create contact,לא ניתן ליצור איש קשר,
Could not load contact,לא ניתן לטעון איש קשר,
Could not add user. Please try again.,לא ניתן להוסיף משתמש. נסה שוב.,
Could not load contacts,לא ניתן לטעון אנשי קשר,
Could not load shares,לא ניתן לטעון שיתופים,
Create,צור,
Create & Open,צור ופתח,
Create a contact or adjust your filters,צור איש קשר או התאם את המסננים שלך,
Creating…,יוצר…,
History cleared,ההיסטוריה נוקתה,
This will remove all recent items. Continue?,פעולה זו תסיר את כל הפריטים האחרונים. להמשיך?,
Close,סגור,
Content is temporarily unavailable.,התוכן אינו זמין באופן זמני.,
Copied!,הועתק!,
Copy link,העתק קישור,
Copy portal URL,העתק כתובת פורטל,
Dark,כהה,
Date format,פורמט תאריך,
Default app on login,יישום ברירת מחדל בהתחברות,
Discover ecosystem apps,גלה יישומי מערכת אקולוגית,
Delete,מחק,
Displayed in the top bar,מוצג בסרגל העליון,
Dock Settings,הגדרות Dock,
Done,בוצע,
Done editing,סיים עריכה,
Drag to reorder {0},גרור כדי לסדר מחדש את {0},
Edit bookmarks,ערוך סימניות,
e.g. Europe/Berlin,לדוגמה Europe/Berlin,
Email,אימייל,
Enable bookmarks,אפשר סימניות,
Everyone,כולם,
Enable global timer,אפשר טיימר גלובלי,
Enable recent items,אפשר פריטים אחרונים,
Expired,פג תוקף,
Expires,פג תוקף ב,
Expires: {0},פג תוקף: {0},
Failed to generate link. Please try again.,יצירת הקישור נכשלה. נסה שוב.,
Failed to load sessions.,טעינת הסשנים נכשלה.,
Features,תכונות,
Full name,שם מלא,
Frappe Desk,Frappe Desk,
Generate link,צור קישור,
Generating…,יוצר קישור…,
Guest Portal,פורטל אורחים,
in {0},ב-{0},
"Install Orga, Micro, or other apps to see cross-app context for your contacts.","התקן את Orga, Micro או יישומים אחרים כדי לראות הקשר בין-יישומי לאנשי הקשר שלך.",
jane@example.com,jane@example.com,
Jane Smith,Jane Smith,
Job title,תפקיד,
Keep running,המשך לרוץ,
Label,תווית,
Last accessed,גישה אחרונה,
Light,בהיר,
Limit,מגבלה,
Link expires in:,הקישור פג תוקף בעוד:,
Loading…,טוען…,
Load more,טען עוד,
Log out,התנתק,
Make private,הפוך לפרטי,
Mark all read,סמן הכל כנקרא,
Mark read,סמן כנקרא,
Monday,יום שני,
More fields,שדות נוספים,
My contacts,אנשי הקשר שלי,
My Account,החשבון שלי,
My Profile,הפרופיל שלי,
Never,אף פעם,
New contact,איש קשר חדש,
No contacts found,לא נמצאו אנשי קשר,
No expiry,ללא תפוגה,
None,ללא,
No guest sessions yet.,אין עדיין סשנים של אורחים.,
No recent items,אין פריטים אחרונים,
No recent items yet,אין עדיין פריטים אחרונים,
No results for "{0}",אין תוצאות עבור "{0}",
No results for "{0}" in {1},אין תוצאות עבור "{0}" ב-{1},
Notifications,התראות,
Notification unavailable,התראה לא זמינה,
Organization Defaults,ברירות מחדל ארגוניות,
Organization settings updated — reload to apply,הגדרות הארגון עודכנו — טען מחדש כדי להחיל,
Org default,ברירת מחדל ארגונית,
"Password, 2FA, profile picture","סיסמה, 2FA, תמונת פרופיל",
Pause,השהה,
paused,מושהה,
People,אנשים,
People with access,אנשים עם גישה,
Permissions,הרשאות,
Pinned,מוצמד,
Powered by Tonic,מופעל על ידי Tonic,
Phone,טלפון,
Private,פרטי,
Product Manager,Product Manager,
Preferences,העדפות,
Read,קריאה,
Recent,אחרונים,
Reload,טען מחדש,
Remove bookmark,הסר סימנייה,
Remove from shared,הסר משיתוף,
Remove from recent,הסר מאחרונים,
Resume,המשך,
Retry,נסה שוב,
Revoke,בטל,
Revoked,בוטל,
Revoke session,בטל סשן,
Revoking…,מבטל…,
Saved,נשמר,
Save failed,השמירה נכשלה,
Save organization settings,שמור הגדרות ארגון,
Saving…,שומר…,
Search...,חיפוש...,
"Search by name, email, or phone…","חפש לפי שם, אימייל או טלפון…",
Search users...,חפש משתמשים...,
Share {0} {1},שתף {0} {1},
Submit,שלח,
Search in All apps,חפש בכל היישומים,
Search unavailable,חיפוש לא זמין,
selected,נבחר,
