source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,30 دن,
7 days,7 دن,
90 days,90 دن,
Acme Corp,Acme Corp,
Active,فعال,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","اضافی فیلڈز (پتہ، نوٹس وغیرہ) رابطہ بنانے کے بعد ایڈٹ کی جا سکتی ہیں۔",
Add,شامل کریں,
Add people,لوگوں کو شامل کریں,
Adding…,شامل کر رہے ہیں…,
Add bookmark,بک مارک شامل کریں,
All logged-in users,تمام لاگ ان شدہ صارفین,
All logged-in users can view this document,تمام لاگ ان شدہ صارفین اس دستاویز کو دیکھ سکتے ہیں,
Add notes...,نوٹس شامل کریں...,
All,سب,
A–Z,A–Z,
Blank = org default,خالی = تنظیم کی ڈیفالٹ,
Bookmark limit reached (12),بک مارک کی حد پوری ہو گئی (12),
Bookmark limit reached (12). Remove a bookmark to add another.,بک مارک کی حد پوری ہو گئی (12)۔ ایک اور شامل کرنے کے لیے ایک بک مارک ہٹائیں۔,
Bookmark this record,اس ریکارڈ کو بک مارک کریں,
App context,ایپ سیاق و سباق,
App switcher,ایپ سوئچر,
Browse all apps →,تمام ایپس دیکھیں →,
Install apps →,ایپس انسٹال کریں →,
Cancel,منسوخ کریں,
Clear recent items history,حالیہ آئٹمز کی تاریخ صاف کریں,
Company,کمپنی,
Compose email,ای میل لکھیں,
contact,رابطہ,
contacts,رابطے,
Could not create contact,رابطہ بنایا نہیں جا سکا,
Could not load contact,رابطہ لوڈ نہیں ہو سکا,
Could not add user. Please try again.,صارف شامل نہیں ہو سکا۔ دوبارہ کوشش کریں۔,
Could not load contacts,رابطے لوڈ نہیں ہو سکے,
Could not load shares,شیئرز لوڈ نہیں ہو سکے,
Create,بنائیں,
Create & Open,بنائیں اور کھولیں,
Create a contact or adjust your filters,رابطہ بنائیں یا اپنے فلٹرز ایڈجسٹ کریں,
Creating…,بنا رہے ہیں…,
History cleared,تاریخ صاف ہو گئی,
This will remove all recent items. Continue?,یہ تمام حالیہ آئٹمز ہٹا دے گا۔ جاری رکھیں؟,
Close,بند کریں,
Content is temporarily unavailable.,مواد عارضی طور پر دستیاب نہیں ہے۔,
Copied!,کاپی ہو گیا!,
Copy link,لنک کاپی کریں,
Copy portal URL,پورٹل URL کاپی کریں,
Dark,ڈارک,
Date format,تاریخ فارمیٹ,
Default app on login,لاگ ان پر ڈیفالٹ ایپ,
Discover ecosystem apps,ایکو سسٹم ایپس دریافت کریں,
Delete,حذف کریں,
Displayed in the top bar,ٹاپ بار میں دکھایا گیا,
Dock Settings,Dock ترتیبات,
Done,ہو گیا,
Done editing,ترمیم مکمل,
Drag to reorder {0},{0} کی ترتیب بدلنے کے لیے گھسیٹیں,
Edit bookmarks,بک مارکس ایڈٹ کریں,
e.g. Europe/Berlin,مثلاً Europe/Berlin,
Email,ای میل,
Enable bookmarks,بک مارکس فعال کریں,
Everyone,سب,
Enable global timer,گلوبل ٹائمر فعال کریں,
Enable recent items,حالیہ آئٹمز فعال کریں,
Expired,ختم ہو گئی,
Expires,ختم ہوتی ہے,
Expires: {0},ختم ہوتی ہے: {0},
Failed to generate link. Please try again.,لنک بنانے میں ناکامی۔ دوبارہ کوشش کریں۔,
Failed to load sessions.,سیشنز لوڈ کرنے میں ناکامی۔,
Features,خصوصیات,
Full name,پورا نام,
Frappe Desk,Frappe Desk,
Generate link,لنک بنائیں,
Generating…,بنا رہے ہیں…,
Guest Portal,مہمان پورٹل,
in {0},{0} میں,
"Install Orga, Micro, or other apps to see cross-app context for your contacts.","اپنے رابطوں کے لیے کراس ایپ سیاق و سباق دیکھنے کے لیے Orga، Micro یا دیگر ایپس انسٹال کریں۔",
jane@example.com,jane@example.com,
Jane Smith,Jane Smith,
Job title,عہدہ,
Keep running,جاری رکھیں,
Label,لیبل,
Last accessed,آخری رسائی,
Light,لائٹ,
Limit,حد,
Link expires in:,لنک ختم ہوتا ہے:,
Loading…,لوڈ ہو رہا ہے…,
Load more,مزید لوڈ کریں,
Log out,لاگ آؤٹ,
Make private,نجی بنائیں,
Mark all read,سب پڑھا ہوا نشان زد کریں,
Mark read,پڑھا ہوا نشان زد کریں,
Monday,پیر,
More fields,مزید فیلڈز,
My contacts,میرے رابطے,
My Account,میرا اکاؤنٹ,
My Profile,میری پروفائل,
Never,کبھی نہیں,
New contact,نیا رابطہ,
No contacts found,کوئی رابطے نہیں ملے,
No expiry,کوئی میعاد نہیں,
None,کوئی نہیں,
No guest sessions yet.,ابھی تک کوئی مہمان سیشن نہیں۔,
No recent items,حالیہ آئٹمز نہیں ہیں,
No recent items yet,ابھی تک حالیہ آئٹمز نہیں ہیں,
No results for "{0}","{0}" کے لیے کوئی نتائج نہیں,
No results for "{0}" in {1},{1} میں "{0}" کے لیے کوئی نتائج نہیں,
Notifications,اطلاعات,
Notification unavailable,اطلاع دستیاب نہیں,
Organization Defaults,تنظیم کی ڈیفالٹ ترتیبات,
Organization settings updated — reload to apply,تنظیم کی ترتیبات اپ ڈیٹ ہو گئیں — لاگو کرنے کے لیے ری لوڈ کریں,
Org default,تنظیم ڈیفالٹ,
"Password, 2FA, profile picture","پاس ورڈ، 2FA، پروفائل تصویر",
Pause,روکیں,
paused,روکا ہوا,
People,لوگ,
People with access,رسائی والے لوگ,
Permissions,اجازتیں,
Pinned,پن کیا ہوا,
Powered by Tonic,Tonic کے ذریعے تقویت یافتہ,
Phone,فون,
Private,نجی,
Product Manager,Product Manager,
Preferences,ترجیحات,
Read,پڑھیں,
Recent,حالیہ,
Reload,ری لوڈ کریں,
Remove bookmark,بک مارک ہٹائیں,
Remove from shared,شیئر سے ہٹائیں,
Remove from recent,حالیہ سے ہٹائیں,
Resume,دوبارہ شروع کریں,
Retry,دوبارہ کوشش کریں,
Revoke,منسوخ کریں,
Revoked,منسوخ ہو گیا,
Revoke session,سیشن منسوخ کریں,
Revoking…,منسوخ کر رہے ہیں…,
Saved,محفوظ ہو گیا,
Save failed,محفوظ کرنا ناکام ہوا,
Save organization settings,تنظیم کی ترتیبات محفوظ کریں,
Saving…,محفوظ کر رہے ہیں…,
Search...,تلاش کریں...,
"Search by name, email, or phone…","نام، ای میل، یا فون سے تلاش کریں…",
Search users...,صارفین تلاش کریں...,
Share {0} {1},{0} {1} شیئر کریں,
Submit,جمع کریں,
Search in All apps,تمام ایپس میں تلاش کریں,
Search unavailable,تلاش دستیاب نہیں,
selected,منتخب,
Share "{0}","{0}" شیئر کریں,
Share with team,ٹیم کے ساتھ شیئر کریں,
Shared,شیئر کیا گیا,
Shared with team,ٹیم کے ساتھ شیئر کیا گیا,
Share with client,کلائنٹ کے ساتھ شیئر کریں,
Showing {0} of {1} sessions,{1} سیشنز میں سے {0} دکھا رہے ہیں,
Site label,سائٹ لیبل,
Sort: A–Z — click for last modified,ترتیب: A–Z — آخری تبدیلی کے لیے کلک کریں,
Sort: last modified — click for A–Z,ترتیب: آخری تبدیلی — A–Z کے لیے کلک کریں,
Start,شروع کریں,
Start Timer,ٹائمر شروع کریں,
Status,حالت,
Stop,روکیں,
Stop & Save,روکیں اور محفوظ کریں,
Sunday,اتوار,
System,سسٹم,
Theme,تھیم,
Theme preference,تھیم ترجیح,
This email is already on,یہ ای میل پہلے سے موجود ہے,
This link has been deactivated.,یہ لنک غیر فعال ہو چکا ہے۔,
This link has expired. Please ask the sender for a new link.,اس لنک کی مدت ختم ہو گئی ہے۔ بھیجنے والے سے نیا لنک مانگیں۔,
This link is invalid or has been removed.,یہ لنک غلط ہے یا ہٹا دیا گیا ہے۔,
Time,وقت,
Time entry saved,وقت کا اندراج محفوظ ہو گیا,
Timer unavailable,ٹائمر دستیاب نہیں,
