source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,30 araw,
7 days,7 araw,
90 days,90 araw,
Acme Corp,Acme Corp,
Active,Aktibo,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","Ang mga karagdagang field (address, notes, atbp.) ay maaaring i-edit pagkatapos gumawa ng contact.",
Add,Magdagdag,
Add people,Magdagdag ng mga tao,
Adding…,Nagdadagdag…,
Add bookmark,Magdagdag ng bookmark,
All logged-in users,Lahat ng naka-log in na user,
All logged-in users can view this document,Lahat ng naka-log in na user ay makakakita ng dokumentong ito,
Add notes...,Magdagdag ng mga note...,
All,Lahat,
A–Z,A–Z,
Blank = org default,Blangko = default ng organisasyon,
Bookmark limit reached (12),Naabot na ang limit ng bookmark (12),
Bookmark limit reached (12). Remove a bookmark to add another.,Naabot na ang limit ng bookmark (12). Mag-alis ng bookmark para makapagdagdag ng iba.,
Bookmark this record,I-bookmark ang record na ito,
App context,Konteksto ng app,
App switcher,App switcher,
Browse all apps →,Tingnan lahat ng apps →,
Install apps →,Mag-install ng apps →,
Cancel,Kanselahin,
Clear recent items history,I-clear ang kasaysayan ng mga kamakailang item,
Company,Kumpanya,
Compose email,Sumulat ng email,
contact,contact,
contacts,mga contact,
Could not create contact,Hindi nagawa ang contact,
Could not load contact,Hindi ma-load ang contact,
Could not add user. Please try again.,Hindi maidagdag ang user. Pakisubukan muli.,
Could not load contacts,Hindi ma-load ang mga contact,
Could not load shares,Hindi ma-load ang mga share,
Create,Gumawa,
Create & Open,Gumawa at Buksan,
Create a contact or adjust your filters,Gumawa ng contact o ayusin ang iyong mga filter,
Creating…,Gumagawa…,
History cleared,Na-clear na ang kasaysayan,
This will remove all recent items. Continue?,Aalisin nito ang lahat ng mga kamakailang item. Ituloy?,
Close,Isara,
Content is temporarily unavailable.,Pansamantalang hindi available ang content.,
Copied!,Nakopya!,
Copy link,Kopyahin ang link,
Copy portal URL,Kopyahin ang portal URL,
Dark,Madilim,
Date format,Format ng petsa,
Default app on login,Default na app sa pag-login,
Discover ecosystem apps,Tuklasin ang mga ecosystem app,
Delete,I-delete,
Displayed in the top bar,Ipinapakita sa top bar,
Dock Settings,Mga Setting ng Dock,
Done,Tapos na,
Done editing,Tapos na mag-edit,
